"Repeat","alpha","lamda2","rho_A.l.","rho_I.l."
1,0.08,0.28,0.684,0.541
1,0.08,0.3,0.615,0.638
1,0.08,0.32,0.708,0.609
1,0.08,0.34,0.73,0.607
1,0.08,0.36,0.613,0.628
1,0.08,0.38,0.642,0.599
1,0.08,0.4,0.677,0.541
1,0.08,0.42,0.655,0.618
1,0.08,0.44,0.668,0.59
1,0.08,0.46,0.695,0.498
1,0.08,0.48,0.582,0.619
1,0.08,0.5,0.629,0.657
1,0.08,0.52,0.719,0.567
1,0.08,0.54,0.712,0.596
1,0.08,0.56,0.671,0.539
1,0.08,0.58,0.654,0.617
1,0.08,0.6,0.669,0.515
1,0.08,0.62,0.682,0.611
1,0.08,0.64,0.656,0.593
1,0.08,0.66,0.71,0.623
1,0.08,0.68,0.711,0.569
1,0.08,0.7,0.7,0.485
1,0.08,0.72,0.708,0.595
1,0.08,0.74,0.685,0.614
1,0.08,0.76,0.605,0.572
1,0.08,0.78,0.725,0.544
1,0.08,0.8,0.725,0.469
1,0.08,0.82,0.649,0.635
1,0.08,0.84,0.699,0.485
1,0.08,0.86,0.711,0.536
1,0.08,0.88,0.688,0.528
1,0.08,0.9,0.687,0.605
1,0.08,0.92,0.737,0.579
1,0.08,0.94,0.69,0.571
1,0.08,0.96,0.679,0.604
1,0.08,0.98,0.674,0.573
1,0.08,1,0.681,0.579
1,0.1,0.02,0.642,0.615
1,0.1,0.04,0.657,0.644
1,0.1,0.06,0.695,0.521
1,0.1,0.08,0.72,0.552
1,0.1,0.1,0.615,0.623
1,0.1,0.12,0.656,0.54
1,0.1,0.14,0.74,0.532
1,0.1,0.16,0.737,0.617
1,0.1,0.18,0.65,0.575
1,0.1,0.2,0.64,0.617
1,0.1,0.22,0.67,0.605
1,0.1,0.24,0.684,0.562
1,0.1,0.26,0.661,0.622
1,0.1,0.28,0.724,0.6
1,0.1,0.3,0.722,0.633
1,0.1,0.32,0.711,0.364
1,0.1,0.34,0.688,0.554
1,0.1,0.36,0.704,0.543
1,0.1,0.38,0.601,0.587
1,0.1,0.4,0.721,0.62
1,0.1,0.42,0.609,0.579
1,0.1,0.44,0.72,0.593
1,0.1,0.46,0.657,0.648
1,0.1,0.48,0.696,0.595
1,0.1,0.5,0.713,0.633
1,0.1,0.52,0.712,0.584
1,0.1,0.54,0.685,0.593
1,0.1,0.56,0.621,0.551
1,0.1,0.58,0.665,0.528
1,0.1,0.6,0.71,0.57
1,0.1,0.62,0.625,0.596
1,0.1,0.64,0.59,0.574
1,0.1,0.66,0.698,0.577
1,0.1,0.68,0.621,0.569
1,0.1,0.7,0.733,0.574
1,0.1,0.72,0.725,0.616
1,0.1,0.74,0.62,0.61
1,0.1,0.76,0.662,0.595
1,0.1,0.78,0.704,0.549
1,0.1,0.8,0.692,0.537
1,0.1,0.82,0.659,0.542
1,0.1,0.84,0.602,0.625
1,0.1,0.86,0.596,0.611
1,0.1,0.88,0.681,0.405
1,0.1,0.9,0.682,0.587
1,0.1,0.92,0.747,0.562
1,0.1,0.94,0.682,0.618
1,0.1,0.96,0.708,0.496
1,0.1,0.98,0.656,0.622
1,0.1,1,0.672,0.586
1,0.12,0.02,0.654,0.548
1,0.12,0.04,0.672,0.553
1,0.12,0.06,0.644,0.596
1,0.12,0.08,0.663,0.558
1,0.12,0.1,0.715,0.438
1,0.12,0.12,0.689,0.562
1,0.12,0.14,0.675,0.543
1,0.12,0.16,0.691,0.605
1,0.12,0.18,0.67,0.551
1,0.12,0.2,0.662,0.591
1,0.12,0.22,0.553,0.606
1,0.12,0.24,0.718,0.541
1,0.12,0.26,0.696,0.564
1,0.12,0.28,0.638,0.591
1,0.12,0.3,0.618,0.578
1,0.12,0.32,0.668,0.546
1,0.12,0.34,0.671,0.576
1,0.12,0.36,0.688,0.636
1,0.12,0.38,0.654,0.528
1,0.12,0.4,0.667,0.55
1,0.12,0.42,0.667,0.542
1,0.12,0.44,0.597,0.51
1,0.12,0.46,0.705,0.586
1,0.12,0.48,0.649,0.614
1,0.12,0.5,0.711,0.571
1,0.12,0.52,0.633,0.606
1,0.12,0.54,0.714,0.474
1,0.12,0.56,0.624,0.584
1,0.12,0.58,0.683,0.6
1,0.12,0.6,0.663,0.582
1,0.12,0.62,0.66,0.62
1,0.12,0.64,0.711,0.57
1,0.12,0.66,0.717,0.584
1,0.12,0.68,0.69,0.641
1,0.12,0.7,0.69,0.598
1,0.12,0.72,0.653,0.545
1,0.12,0.74,0.72,0.485
1,0.12,0.76,0.679,0.54
1,0.12,0.78,0.594,0.636
1,0.12,0.8,0.703,0.605
1,0.12,0.82,0.722,0.574
1,0.12,0.84,0.701,0.475
1,0.12,0.86,0.721,0.552
1,0.12,0.88,0.687,0.55
1,0.12,0.9,0.696,0.549
1,0.12,0.92,0.591,0.601
1,0.12,0.94,0.588,0.587
1,0.12,0.96,0.601,0.648
1,0.12,0.98,0.684,0.576
1,0.12,1,0.731,0.549
1,0.14,0.02,0.695,0.548
1,0.14,0.04,0.734,0.436
1,0.14,0.06,0.636,0.567
1,0.14,0.08,0.759,0.566
1,0.14,0.1,0.626,0.648
1,0.14,0.12,0.641,0.558
1,0.14,0.14,0.684,0.578
1,0.14,0.16,0.592,0.635
1,0.14,0.18,0.703,0.541
1,0.14,0.2,0.634,0.565
1,0.14,0.22,0.67,0.631
1,0.14,0.24,0.675,0.537
1,0.14,0.26,0.621,0.627
1,0.14,0.28,0.645,0.632
1,0.14,0.3,0.603,0.57
1,0.14,0.32,0.647,0.589
1,0.14,0.34,0.724,0.599
1,0.14,0.36,0.582,0.596
1,0.14,0.38,0.668,0.584
1,0.14,0.4,0.699,0.601
1,0.14,0.42,0.674,0.629
1,0.14,0.44,0.676,0.528
1,0.14,0.46,0.734,0.538
1,0.14,0.48,0.68,0.555
1,0.14,0.5,0.698,0.559
1,0.14,0.52,0.618,0.544
1,0.14,0.54,0.662,0.611
1,0.14,0.56,0.652,0.555
1,0.14,0.58,0.686,0.506
1,0.14,0.6,0.749,0.568
1,0.14,0.62,0.657,0.601
1,0.14,0.64,0.676,0.576
1,0.14,0.66,0.66,0.538
1,0.14,0.68,0.693,0.445
1,0.14,0.7,0.666,0.575
1,0.14,0.72,0.698,0.636
1,0.14,0.74,0.675,0.6
1,0.14,0.76,0.632,0.578
1,0.14,0.78,0.615,0.628
1,0.14,0.8,0.652,0.629
1,0.14,0.82,0.643,0.581
1,0.14,0.84,0.703,0.602
1,0.14,0.86,0.556,0.63
1,0.14,0.88,0.686,0.568
1,0.14,0.9,0.756,0.45
1,0.14,0.92,0.724,0.557
1,0.14,0.94,0.749,0.512
1,0.14,0.96,0.705,0.53
1,0.14,0.98,0.693,0.58
1,0.14,1,0.667,0.505
1,0.16,0.02,0.629,0.573
1,0.16,0.04,0.703,0.438
1,0.16,0.06,0.635,0.604
1,0.16,0.08,0.662,0.566
1,0.16,0.1,0.686,0.564
1,0.16,0.12,0.701,0.524
1,0.16,0.14,0.694,0.546
1,0.16,0.16,0.666,0.588
1,0.16,0.18,0.723,0.567
1,0.16,0.2,0.732,0.418
1,0.16,0.22,0.678,0.622
1,0.16,0.24,0.685,0.586
1,0.16,0.26,0.663,0.541
1,0.16,0.28,0.656,0.573
1,0.16,0.3,0.644,0.539
1,0.16,0.32,0.738,0.559
1,0.16,0.34,0.603,0.542
1,0.16,0.36,0.732,0.548
1,0.16,0.38,0.688,0.504
1,0.16,0.4,0.676,0.519
1,0.16,0.42,0.748,0.575
1,0.16,0.44,0.677,0.613
1,0.16,0.46,0.688,0.484
1,0.16,0.48,0.611,0.626
1,0.16,0.5,0.649,0.492
1,0.16,0.52,0.679,0.596
1,0.16,0.54,0.638,0.615
1,0.16,0.56,0.691,0.518
1,0.16,0.58,0.71,0.537
1,0.16,0.6,0.703,0.548
1,0.16,0.62,0.648,0.577
1,0.16,0.64,0.688,0.456
1,0.16,0.66,0.651,0.523
1,0.16,0.68,0.695,0.562
1,0.16,0.7,0.706,0.536
1,0.16,0.72,0.703,0.575
1,0.16,0.74,0.663,0.552
1,0.16,0.76,0.72,0.42
1,0.16,0.78,0.631,0.531
1,0.16,0.8,0.632,0.552
1,0.16,0.82,0.721,0.541
1,0.16,0.84,0.716,0.54
1,0.16,0.86,0.707,0.611
1,0.16,0.88,0.721,0.58
1,0.16,0.9,0.669,0.542
1,0.16,0.92,0.703,0.485
1,0.16,0.94,0.704,0.519
1,0.16,0.96,0.731,0.489
1,0.16,0.98,0.647,0.563
1,0.16,1,0.625,0.542
1,0.18,0.02,0.683,0.522
1,0.18,0.04,0.696,0.605
1,0.18,0.06,0.675,0.529
1,0.18,0.08,0.683,0.573
1,0.18,0.1,0.648,0.625
1,0.18,0.12,0.625,0.601
1,0.18,0.14,0.684,0.628
1,0.18,0.16,0.687,0.613
1,0.18,0.18,0.635,0.608
1,0.18,0.2,0.725,0.529
1,0.18,0.22,0.704,0.583
1,0.18,0.24,0.694,0.507
1,0.18,0.26,0.661,0.548
1,0.18,0.28,0.705,0.536
1,0.18,0.3,0.726,0.547
1,0.18,0.32,0.68,0.545
1,0.18,0.34,0.566,0.565
1,0.18,0.36,0.702,0.511
1,0.18,0.38,0.669,0.578
1,0.18,0.4,0.731,0.496
1,0.18,0.42,0.691,0.491
1,0.18,0.44,0.561,0.642
1,0.18,0.46,0.615,0.594
1,0.18,0.48,0.662,0.536
1,0.18,0.5,0.612,0.632
1,0.18,0.52,0.658,0.5
1,0.18,0.54,0.552,0.575
1,0.18,0.56,0.668,0.521
1,0.18,0.58,0.725,0.545
1,0.18,0.6,0.702,0.544
1,0.18,0.62,0.695,0.472
1,0.18,0.64,0.669,0.564
1,0.18,0.66,0.738,0.599
1,0.18,0.68,0.609,0.56
1,0.18,0.7,0.677,0.559
1,0.18,0.72,0.616,0.581
1,0.18,0.74,0.682,0.573
1,0.18,0.76,0.691,0.627
1,0.18,0.78,0.627,0.581
1,0.18,0.8,0.674,0.564
1,0.18,0.82,0.672,0.583
1,0.18,0.84,0.714,0.531
1,0.18,0.86,0.658,0.626
1,0.18,0.88,0.634,0.514
1,0.18,0.9,0.662,0.628
1,0.18,0.92,0.666,0.582
1,0.18,0.94,0.714,0.559
1,0.18,0.96,0.709,0.564
1,0.18,0.98,0.665,0.582
1,0.18,1,0.696,0.57
1,0.2,0.02,0.676,0.577
1,0.2,0.04,0.686,0.558
1,0.2,0.06,0.686,0.539
1,0.2,0.08,0.704,0.582
1,0.2,0.1,0.68,0.604
1,0.2,0.12,0.67,0.534
1,0.2,0.14,0.646,0.54
1,0.2,0.16,0.67,0.618
1,0.2,0.18,0.714,0.57
1,0.2,0.2,0.68,0.54
1,0.2,0.22,0.584,0.553
1,0.2,0.24,0.677,0.62
1,0.2,0.26,0.653,0.57
1,0.2,0.28,0.661,0.563
1,0.2,0.3,0.719,0.481
1,0.2,0.32,0.597,0.576
1,0.2,0.34,0.687,0.538
1,0.2,0.36,0.683,0.567
1,0.2,0.38,0.614,0.609
1,0.2,0.4,0.582,0.639
1,0.2,0.42,0.577,0.568
1,0.2,0.44,0.717,0.533
1,0.2,0.46,0.709,0.445
1,0.2,0.48,0.665,0.55
1,0.2,0.5,0.696,0.521
1,0.2,0.52,0.683,0.573
1,0.2,0.54,0.681,0.486
1,0.2,0.56,0.635,0.595
1,0.2,0.58,0.694,0.591
1,0.2,0.6,0.684,0.495
1,0.2,0.62,0.698,0.54
1,0.2,0.64,0.629,0.581
1,0.2,0.66,0.671,0.553
1,0.2,0.68,0.687,0.534
1,0.2,0.7,0.661,0.526
1,0.2,0.72,0.68,0.611
1,0.2,0.74,0.688,0.62
1,0.2,0.76,0.692,0.548
1,0.2,0.78,0.69,0.586
1,0.2,0.8,0.578,0.642
1,0.2,0.82,0.66,0.509
1,0.2,0.84,0.654,0.555
1,0.2,0.86,0.704,0.443
1,0.2,0.88,0.692,0.585
1,0.2,0.9,0.617,0.624
1,0.2,0.92,0.656,0.585
1,0.2,0.94,0.64,0.518
1,0.2,0.96,0.666,0.633
1,0.2,0.98,0.64,0.648
1,0.2,1,0.728,0.571
1,0.22,0.02,0.661,0.559
1,0.22,0.04,0.667,0.597
1,0.22,0.06,0.61,0.538
1,0.22,0.08,0.668,0.635
1,0.22,0.1,0.702,0.607
1,0.22,0.12,0.679,0.531
1,0.22,0.14,0.717,0.523
1,0.22,0.16,0.631,0.627
1,0.22,0.18,0.645,0.614
1,0.22,0.2,0.639,0.582
1,0.22,0.22,0.671,0.533
1,0.22,0.24,0.64,0.567
1,0.22,0.26,0.682,0.496
1,0.22,0.28,0.694,0.625
1,0.22,0.3,0.676,0.584
1,0.22,0.32,0.665,0.574
1,0.22,0.34,0.654,0.601
1,0.22,0.36,0.624,0.575
1,0.22,0.38,0.635,0.526
1,0.22,0.4,0.684,0.564
1,0.22,0.42,0.643,0.587
1,0.22,0.44,0.688,0.561
1,0.22,0.46,0.732,0.589
1,0.22,0.48,0.661,0.573
1,0.22,0.5,0.683,0.533
1,0.22,0.52,0.638,0.572
1,0.22,0.54,0.699,0.576
1,0.22,0.56,0.718,0.602
1,0.22,0.58,0.676,0.538
1,0.22,0.6,0.7,0.576
1,0.22,0.62,0.661,0.582
1,0.22,0.64,0.651,0.584
1,0.22,0.66,0.598,0.605
1,0.22,0.68,0.647,0.54
1,0.22,0.7,0.671,0.581
1,0.22,0.72,0.66,0.573
1,0.22,0.74,0.681,0.556
1,0.22,0.76,0.699,0.555
1,0.22,0.78,0.661,0.618
1,0.22,0.8,0.67,0.536
1,0.22,0.82,0.711,0.536
1,0.22,0.84,0.666,0.562
1,0.22,0.86,0.676,0.564
1,0.22,0.88,0.686,0.585
1,0.22,0.9,0.689,0.492
1,0.22,0.92,0.655,0.523
1,0.22,0.94,0.628,0.585
1,0.22,0.96,0.633,0.605
1,0.22,0.98,0.682,0.562
1,0.22,1,0.685,0.536
1,0.24,0.02,0.64,0.635
1,0.24,0.04,0.618,0.608
1,0.24,0.06,0.638,0.573
1,0.24,0.08,0.649,0.542
1,0.24,0.1,0.613,0.628
1,0.24,0.12,0.696,0.519
1,0.24,0.14,0.674,0.492
1,0.24,0.16,0.631,0.573
1,0.24,0.18,0.672,0.54
1,0.24,0.2,0.678,0.591
1,0.24,0.22,0.7,0.55
1,0.24,0.24,0.651,0.503
1,0.24,0.26,0.655,0.587
1,0.24,0.28,0.699,0.573
1,0.24,0.3,0.696,0.563
1,0.24,0.32,0.728,0.548
1,0.24,0.34,0.685,0.481
1,0.24,0.36,0.667,0.576
1,0.24,0.38,0.7,0.492
1,0.24,0.4,0.667,0.521
1,0.24,0.42,0.524,0.592
1,0.24,0.44,0.606,0.598
1,0.24,0.46,0.664,0.609
1,0.24,0.48,0.668,0.568
1,0.24,0.5,0.612,0.616
1,0.24,0.52,0.673,0.536
1,0.24,0.54,0.708,0.547
1,0.24,0.56,0.633,0.59
1,0.24,0.58,0.69,0.579
1,0.24,0.6,0.675,0.545
1,0.24,0.62,0.601,0.495
1,0.24,0.64,0.641,0.515
1,0.24,0.66,0.655,0.525
1,0.24,0.68,0.7,0.592
1,0.24,0.7,0.632,0.561
1,0.24,0.72,0.611,0.511
1,0.24,0.74,0.679,0.619
1,0.24,0.76,0.572,0.601
1,0.24,0.78,0.699,0.536
1,0.24,0.8,0.67,0.545
1,0.24,0.82,0.629,0.571
1,0.24,0.84,0.577,0.561
1,0.24,0.86,0.653,0.61
1,0.24,0.88,0.679,0.58
1,0.24,0.9,0.707,0.575
1,0.24,0.92,0.731,0.586
1,0.24,0.94,0.652,0.593
1,0.24,0.96,0.619,0.516
1,0.24,0.98,0.712,0.575
1,0.24,1,0.698,0.419
1,0.26,0.02,0.572,0.611
1,0.26,0.04,0.683,0.458
1,0.26,0.06,0.712,0.579
1,0.26,0.08,0.68,0.457
1,0.26,0.1,0.663,0.472
1,0.26,0.12,0.719,0.508
1,0.26,0.14,0.682,0.557
1,0.26,0.16,0.65,0.623
1,0.26,0.18,0.589,0.626
1,0.26,0.2,0.693,0.536
1,0.26,0.22,0.701,0.604
1,0.26,0.24,0.687,0.583
1,0.26,0.26,0.695,0.571
1,0.26,0.28,0.614,0.484
1,0.26,0.3,0.62,0.579
1,0.26,0.32,0.606,0.552
1,0.26,0.34,0.688,0.439
1,0.26,0.36,0.667,0.628
1,0.26,0.38,0.713,0.592
1,0.26,0.4,0.728,0.586
1,0.26,0.42,0.701,0.542
1,0.26,0.44,0.721,0.514
1,0.26,0.46,0.667,0.564
1,0.26,0.48,0.691,0.467
1,0.26,0.5,0.662,0.538
1,0.26,0.52,0.682,0.591
1,0.26,0.54,0.689,0.551
1,0.26,0.56,0.611,0.586
1,0.26,0.58,0.604,0.598
1,0.26,0.6,0.677,0.574
1,0.26,0.62,0.639,0.592
1,0.26,0.64,0.65,0.55
1,0.26,0.66,0.709,0.529
1,0.26,0.68,0.633,0.556
1,0.26,0.7,0.68,0.576
1,0.26,0.72,0.685,0.612
1,0.26,0.74,0.685,0.537
1,0.26,0.76,0.664,0.523
1,0.26,0.78,0.741,0.538
1,0.26,0.8,0.669,0.553
1,0.26,0.82,0.639,0.579
1,0.26,0.84,0.623,0.613
1,0.26,0.86,0.659,0.515
1,0.26,0.88,0.649,0.484
1,0.26,0.9,0.692,0.582
1,0.26,0.92,0.722,0.531
1,0.26,0.94,0.638,0.548
1,0.26,0.96,0.713,0.511
1,0.26,0.98,0.535,0.574
1,0.26,1,0.704,0.547
1,0.28,0.02,0.617,0.497
1,0.28,0.04,0.667,0.505
1,0.28,0.06,0.659,0.508
1,0.28,0.08,0.541,0.615
1,0.28,0.1,0.681,0.566
1,0.28,0.12,0.685,0.55
1,0.28,0.14,0.634,0.611
1,0.28,0.16,0.655,0.563
1,0.28,0.18,0.58,0.575
1,0.28,0.2,0.662,0.631
1,0.28,0.22,0.717,0.552
1,0.28,0.24,0.719,0.545
1,0.28,0.26,0.664,0.604
1,0.28,0.28,0.719,0.5
1,0.28,0.3,0.681,0.479
1,0.28,0.32,0.672,0.577
1,0.28,0.34,0.597,0.619
1,0.28,0.36,0.702,0.582
1,0.28,0.38,0.659,0.519
1,0.28,0.4,0.708,0.604
1,0.28,0.42,0.606,0.612
1,0.28,0.44,0.721,0.499
1,0.28,0.46,0.653,0.564
1,0.28,0.48,0.606,0.595
1,0.28,0.5,0.608,0.611
1,0.28,0.52,0.706,0.432
1,0.28,0.54,0.687,0.614
1,0.28,0.56,0.642,0.501
1,0.28,0.58,0.677,0.539
1,0.28,0.6,0.699,0.571
1,0.28,0.62,0.621,0.6
1,0.28,0.64,0.691,0.575
1,0.28,0.66,0.667,0.608
1,0.28,0.68,0.68,0.503
1,0.28,0.7,0.708,0.551
1,0.28,0.72,0.635,0.527
1,0.28,0.74,0.666,0.551
1,0.28,0.76,0.683,0.543
1,0.28,0.78,0.623,0.576
1,0.28,0.8,0.655,0.555
1,0.28,0.82,0.612,0.568
1,0.28,0.84,0.665,0.525
1,0.28,0.86,0.664,0.553
1,0.28,0.88,0.526,0.557
1,0.28,0.9,0.709,0.602
1,0.28,0.92,0.728,0.563
1,0.28,0.94,0.693,0.461
1,0.28,0.96,0.649,0.576
1,0.28,0.98,0.598,0.537
1,0.28,1,0.669,0.547
1,0.3,0.02,0.715,0.431
1,0.3,0.04,0.679,0.488
1,0.3,0.06,0.68,0.567
1,0.3,0.08,0.676,0.465
1,0.3,0.1,0.681,0.625
1,0.3,0.12,0.595,0.506
1,0.3,0.14,0.704,0.411
1,0.3,0.16,0.704,0.548
1,0.3,0.18,0.695,0.484
1,0.3,0.2,0.641,0.603
1,0.3,0.22,0.674,0.576
1,0.3,0.24,0.655,0.501
1,0.3,0.26,0.61,0.627
1,0.3,0.28,0.681,0.518
1,0.3,0.3,0.703,0.584
1,0.3,0.32,0.591,0.558
1,0.3,0.34,0.643,0.529
1,0.3,0.36,0.717,0.545
1,0.3,0.38,0.719,0.527
1,0.3,0.4,0.609,0.568
1,0.3,0.42,0.612,0.508
1,0.3,0.44,0.678,0.516
1,0.3,0.46,0.687,0.541
1,0.3,0.48,0.677,0.472
1,0.3,0.5,0.692,0.486
1,0.3,0.52,0.683,0.594
1,0.3,0.54,0.621,0.617
1,0.3,0.56,0.638,0.512
1,0.3,0.58,0.66,0.58
1,0.3,0.6,0.676,0.547
1,0.3,0.62,0.657,0.52
1,0.3,0.64,0.669,0.604
1,0.3,0.66,0.659,0.522
1,0.3,0.68,0.701,0.52
1,0.3,0.7,0.585,0.583
1,0.3,0.72,0.718,0.513
1,0.3,0.74,0.638,0.468
1,0.3,0.76,0.72,0.476
1,0.3,0.78,0.677,0.563
1,0.3,0.8,0.679,0.597
1,0.3,0.82,0.687,0.543
1,0.3,0.84,0.656,0.49
1,0.3,0.86,0.644,0.511
1,0.3,0.88,0.639,0.616
1,0.3,0.9,0.643,0.515
1,0.3,0.92,0.73,0.549
1,0.3,0.94,0.646,0.535
1,0.3,0.96,0.664,0.498
1,0.3,0.98,0.592,0.621
1,0.3,1,0.699,0.557
1,0.32,0.02,0.559,0.531
1,0.32,0.04,0.605,0.511
1,0.32,0.06,0.717,0.544
1,0.32,0.08,0.647,0.574
1,0.32,0.1,0.665,0.524
1,0.32,0.12,0.645,0.568
1,0.32,0.14,0.65,0.599
1,0.32,0.16,0.678,0.587
1,0.32,0.18,0.67,0.415
1,0.32,0.2,0.675,0.527
1,0.32,0.22,0.692,0.587
1,0.32,0.24,0.678,0.526
1,0.32,0.26,0.701,0.569
1,0.32,0.28,0.693,0.601
1,0.32,0.3,0.666,0.578
1,0.32,0.32,0.716,0.491
1,0.32,0.34,0.701,0.516
1,0.32,0.36,0.667,0.537
1,0.32,0.38,0.689,0.533
1,0.32,0.4,0.65,0.584
1,0.32,0.42,0.692,0.591
1,0.32,0.44,0.635,0.609
1,0.32,0.46,0.661,0.586
1,0.32,0.48,0.716,0.539
1,0.32,0.5,0.68,0.617
