"Repeat","alpha","lamda2","rho_A.l.","rho_I.l."
1,0.02,0.02,0.683,0.52
1,0.02,0.04,0.703,0.608
1,0.02,0.06,0.66,0.626
1,0.02,0.08,0.646,0.63
1,0.02,0.1,0.69,0.535
1,0.02,0.12,0.743,0.545
1,0.02,0.14,0.625,0.581
1,0.02,0.16,0.68,0.629
1,0.02,0.18,0.73,0.555
1,0.02,0.2,0.753,0.513
1,0.02,0.22,0.667,0.54
1,0.02,0.24,0.616,0.616
1,0.02,0.26,0.679,0.605
1,0.02,0.28,0.718,0.508
1,0.02,0.3,0.682,0.583
1,0.02,0.32,0.753,0.487
1,0.02,0.34,0.74,0.554
1,0.02,0.36,0.694,0.54
1,0.02,0.38,0.707,0.573
1,0.02,0.4,0.705,0.598
1,0.02,0.42,0.707,0.553
1,0.02,0.44,0.719,0.626
1,0.02,0.46,0.675,0.608
1,0.02,0.48,0.726,0.61
1,0.02,0.5,0.712,0.566
1,0.02,0.52,0.756,0.541
1,0.02,0.54,0.662,0.627
1,0.02,0.56,0.66,0.598
1,0.02,0.58,0.693,0.548
1,0.02,0.6,0.717,0.583
1,0.02,0.62,0.694,0.584
1,0.02,0.64,0.61,0.596
1,0.02,0.66,0.674,0.538
1,0.02,0.68,0.722,0.567
1,0.02,0.7,0.7,0.555
1,0.02,0.72,0.66,0.57
1,0.02,0.74,0.681,0.59
1,0.02,0.76,0.695,0.559
1,0.02,0.78,0.726,0.519
1,0.02,0.8,0.708,0.517
1,0.02,0.82,0.672,0.548
1,0.02,0.84,0.737,0.505
1,0.02,0.86,0.679,0.601
1,0.02,0.88,0.664,0.573
1,0.02,0.9,0.717,0.546
1,0.02,0.92,0.702,0.584
1,0.02,0.94,0.704,0.611
1,0.02,0.96,0.747,0.558
1,0.02,0.98,0.676,0.593
1,0.02,1,0.702,0.569
1,0.04,0.02,0.641,0.538
1,0.04,0.04,0.663,0.496
1,0.04,0.06,0.719,0.528
1,0.04,0.08,0.642,0.59
1,0.04,0.1,0.723,0.548
1,0.04,0.12,0.683,0.639
1,0.04,0.14,0.643,0.583
1,0.04,0.16,0.697,0.595
1,0.04,0.18,0.734,0.514
1,0.04,0.2,0.686,0.557
1,0.04,0.22,0.612,0.628
1,0.04,0.24,0.756,0.559
1,0.04,0.26,0.694,0.571
1,0.04,0.28,0.699,0.607
1,0.04,0.3,0.712,0.592
1,0.04,0.32,0.669,0.593
1,0.04,0.34,0.631,0.551
1,0.04,0.36,0.728,0.565
1,0.04,0.38,0.741,0.559
1,0.04,0.4,0.677,0.552
1,0.04,0.42,0.709,0.621
1,0.04,0.44,0.732,0.454
1,0.04,0.46,0.751,0.505
1,0.04,0.48,0.593,0.593
1,0.04,0.5,0.642,0.579
1,0.04,0.52,0.697,0.6
1,0.04,0.54,0.66,0.543
1,0.04,0.56,0.712,0.54
1,0.04,0.58,0.695,0.594
1,0.04,0.6,0.748,0.575
1,0.04,0.62,0.607,0.62
1,0.04,0.64,0.626,0.602
1,0.04,0.66,0.707,0.581
1,0.04,0.68,0.714,0.553
1,0.04,0.7,0.743,0.57
1,0.04,0.72,0.716,0.649
1,0.04,0.74,0.701,0.492
1,0.04,0.76,0.634,0.619
1,0.04,0.78,0.685,0.567
1,0.04,0.8,0.653,0.638
1,0.04,0.82,0.724,0.517
1,0.04,0.84,0.692,0.526
1,0.04,0.86,0.711,0.544
1,0.04,0.88,0.676,0.578
1,0.04,0.9,0.72,0.581
1,0.04,0.92,0.669,0.562
1,0.04,0.94,0.752,0.572
1,0.04,0.96,0.734,0.57
1,0.04,0.98,0.668,0.645
1,0.04,1,0.706,0.49
1,0.06,0.02,0.677,0.524
1,0.06,0.04,0.672,0.539
1,0.06,0.06,0.578,0.623
1,0.06,0.08,0.629,0.57
1,0.06,0.1,0.684,0.489
1,0.06,0.12,0.719,0.612
1,0.06,0.14,0.62,0.583
1,0.06,0.16,0.649,0.612
1,0.06,0.18,0.585,0.622
1,0.06,0.2,0.703,0.583
1,0.06,0.22,0.714,0.563
1,0.06,0.24,0.634,0.576
1,0.06,0.26,0.687,0.593
1,0.06,0.28,0.647,0.527
1,0.06,0.3,0.696,0.559
1,0.06,0.32,0.649,0.587
1,0.06,0.34,0.663,0.534
1,0.06,0.36,0.71,0.589
1,0.06,0.38,0.696,0.58
1,0.06,0.4,0.722,0.561
1,0.06,0.42,0.696,0.607
1,0.06,0.44,0.683,0.512
1,0.06,0.46,0.72,0.574
1,0.06,0.48,0.682,0.58
1,0.06,0.5,0.627,0.636
1,0.06,0.52,0.635,0.54
1,0.06,0.54,0.666,0.494
1,0.06,0.56,0.665,0.592
1,0.06,0.58,0.668,0.571
1,0.06,0.6,0.671,0.601
1,0.06,0.62,0.73,0.554
1,0.06,0.64,0.699,0.653
1,0.06,0.66,0.669,0.604
1,0.06,0.68,0.69,0.566
1,0.06,0.7,0.739,0.561
1,0.06,0.72,0.674,0.544
1,0.06,0.74,0.747,0.635
1,0.06,0.76,0.65,0.587
1,0.06,0.78,0.686,0.626
1,0.06,0.8,0.647,0.553
1,0.06,0.82,0.737,0.526
1,0.06,0.84,0.696,0.553
1,0.06,0.86,0.691,0.571
1,0.06,0.88,0.69,0.544
1,0.06,0.9,0.686,0.548
1,0.06,0.92,0.639,0.62
1,0.06,0.94,0.631,0.61
1,0.06,0.96,0.625,0.618
1,0.06,0.98,0.743,0.553
1,0.06,1,0.683,0.588
1,0.08,0.02,0.711,0.615
1,0.08,0.04,0.672,0.503
1,0.08,0.06,0.694,0.536
1,0.08,0.08,0.679,0.596
1,0.08,0.1,0.738,0.497
1,0.08,0.12,0.643,0.601
1,0.08,0.14,0.717,0.587
1,0.08,0.16,0.67,0.595
1,0.08,0.18,0.661,0.552
1,0.08,0.2,0.722,0.575
1,0.08,0.22,0.7,0.549
1,0.08,0.24,0.682,0.604
1,0.08,0.26,0.745,0.455
