"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.367204654380944,0.0311498393801005,0.249950354644902,0.0134480385072731,0.117254299736042,0.0177018008728274
0.02,0.438684609114419,0.107100007650706,0.276105920416514,0.0473148076859818,0.162578688697905,0.0597851999647239
0.03,0.483527740890665,0.161248732278866,0.291885621811473,0.0721607406601616,0.191642119079192,0.0890879916187049
0.04,0.519301787672985,0.205262754859363,0.304627549262025,0.092705707521399,0.21467423841096,0.112557047337964
0.05,0.549430458258969,0.24262688808947,0.315515737868353,0.110383649855769,0.233914720390617,0.132243238233701
0.06,0.57543042280823,0.275207091615103,0.325020710705992,0.125977590814406,0.250409712102237,0.149229500800697
0.07,0.598253936388159,0.30413549727718,0.333445351271164,0.139965245454044,0.264808585116995,0.164170251823136
0.08,0.618502435014752,0.33009123575501,0.340983573336029,0.152629689606857,0.277518861678723,0.177461546148153
0.09,0.636592116844062,0.353530461554002,0.34777038518763,0.164159452654106,0.288821731656432,0.189371008899896
0.1,0.652840396897242,0.374799750501908,0.353909573264877,0.174698583061142,0.298930823632365,0.200101167440766
0.11,0.667502277965565,0.394180135549773,0.359485345836748,0.184365475770269,0.308016932128818,0.209814659779505
0.12,0.6807872531294,0.411905447291112,0.36456759139163,0.193260136055432,0.31621966173777,0.21864531123568
0.13,0.692869421107875,0.428172478835702,0.369214963324811,0.201467947462187,0.323654457783063,0.226704531373516
0.14,0.703894684130985,0.443148090557869,0.373477075932072,0.20906227017215,0.330417608198912,0.234085820385719
0.15,0.713986219187193,0.456974661952758,0.377396188401378,0.216106463214106,0.336590030785815,0.240868198738652
0.16,0.723248729588723,0.469774396777875,0.381008526565249,0.222655513515762,0.342240203023474,0.247118883262113
0.17,0.731771784358472,0.481652760593029,0.384345330993171,0.228757362278043,0.347426453365302,0.252895398314985
0.18,0.73963246324095,0.492701245814945,0.387433694556736,0.23445399118371,0.352198768684214,0.258247254631235
0.19,0.746897468212961,0.502999610558461,0.390297236673724,0.239782316403237,0.356600231539237,0.263217294155224
0.2,0.753624821813995,0.512617702915777,0.392956649939087,0.244774928043676,0.360668171874908,0.267842774872101
0.21,0.759865242977765,0.521616956551494,0.39543014632256,0.249460704762315,0.364435096655205,0.272156251789179
0.22,0.765663269222922,0.530051624072993,0.397733823756306,0.253865327094358,0.367929445466617,0.276186296978635
0.23,0.771058177893413,0.537969799919916,0.399881969179081,0.258011708220965,0.371176208714332,0.279958091698951
0.24,0.776084747077728,0.54541427330303,0.401887310522859,0.261920357127303,0.374197436554869,0.283493916175728
0.25,0.780773887769898,0.552423243128967,0.403761227414026,0.265609686134672,0.377012660355872,0.286813556994295
0.26,0.785153171966936,0.559030920222641,0.405513928289312,0.269096272454524,0.379639243677624,0.289934647768117
0.27,0.789247276154747,0.565268037022674,0.407154600033051,0.272395081565276,0.382092676121697,0.292872955457398
0.28,0.793078355603377,0.571162280919818,0.40869153500823,0.275519658747233,0.384386820595147,0.295642622172585
0.29,0.796666361771302,0.576738664267778,0.410132239391618,0.278482293943471,0.386534122379684,0.298256370324307
0.3,0.800029312686149,0.582019841620043,0.411483525968449,0.281294164180815,0.3885457867177,0.300725677439228
0.31,0.803183524261954,0.587026382784346,0.412751593946609,0.283965457035295,0.390431930315345,0.303060925749051
0.32,0.806143809008801,0.591777008723577,0.413942097877733,0.28650547802184,0.392201711131068,0.305271530701738
0.33,0.808923647397657,0.596288796081002,0.415060207395775,0.288922744298443,0.393863440001881,0.307366051782559
