"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.331416337368457,0.033469478537993,0.225064098594426,0.0146908261770978,0.106352238774031,0.0187786523608952
0.02,0.407916174478316,0.110648551482917,0.254687224505462,0.0495865269934461,0.153228949972855,0.0610620244894713
0.03,0.455501804258956,0.165585845180324,0.272257771218184,0.0750825184595622,0.183244033040772,0.0905033267207622
0.04,0.493489906323466,0.21023106481474,0.286421468755953,0.0961221091768996,0.207068437567514,0.114108955637841
0.05,0.525452570155471,0.248076865020068,0.29848878992807,0.114172703090246,0.226963780227402,0.133904161929821
0.06,0.552996622760989,0.281027611803295,0.308988357133028,0.130051877811702,0.244008265627961,0.150975733991593
0.07,0.577135959859426,0.310235379104701,0.31826345404052,0.144256293779724,0.258872505818906,0.165979085324976
0.08,0.598515422136709,0.336394237924936,0.326536152073873,0.157081855868747,0.271979270062836,0.179312382056189
0.09,0.617585061070711,0.359975010490467,0.333962644436601,0.168728007651187,0.28362241663411,0.191247002839279
0.1,0.634689213200946,0.381337269301727,0.340663253324578,0.179347958520274,0.294025959876367,0.201989310781453
0.11,0.650104169521966,0.400772550574313,0.346735232413046,0.189067441290294,0.30336893710892,0.211705109284019
0.12,0.66405627059228,0.418522875683029,0.352258840264785,0.197992223167366,0.311797430327495,0.220530652515664
0.13,0.67673304808423,0.434791387329614,0.3573010495022,0.206212205033755,0.31943199858203,0.228579182295859
0.14,0.68829122001934,0.449749890265468,0.361918214076068,0.213804307032978,0.326373005943272,0.23594558323249
0.15,0.698862758543361,0.46354464087666,0.366158105349341,0.220834712518356,0.33270465319402,0.242709928358304
0.16,0.708559585986666,0.476300903915459,0.370061497706749,0.227360663879869,0.338498088279918,0.24894024003559
0.17,0.71747724804916,0.488126577131042,0.373663416152315,0.233431914428226,0.343813831896846,0.254694662702817
0.18,0.725697812169847,0.499115096491879,0.376994126305553,0.239091909748269,0.348703685864294,0.26002318674361
0.19,0.733292173432837,0.509347780995277,0.38007992632522,0.24437875443951,0.353212247107617,0.264969026555767
0.2,0.740321903591762,0.518895737775079,0.382943785291021,0.249326007627479,0.357378118300741,0.2695697301476
0.21,0.746840744845035,0.52782141986952,0.385605861599178,0.253963341128785,0.361234883245857,0.273858078740735
0.22,0.752895825167353,0.536179907793813,0.388083926853357,0.258317086862697,0.364811898313996,0.277862820931116
0.23,0.758528653720916,0.544019970079064,0.390393714757406,0.262410694481342,0.36813493896351,0.281609275597722
0.24,0.763775941302941,0.551384945824197,0.392549210062706,0.266265115839092,0.371226731240235,0.285119829985106
0.25,0.768670280635037,0.558313483066181,0.394562889276416,0.269899129538314,0.374107391358621,0.288414353527867
0.26,0.773240713642049,0.564840159679544,0.396445922301611,0.273329616146223,0.376794791340437,0.291510543533322
0.27,0.777513207044099,0.570996008036274,0.398208342243957,0.276571792604437,0.379304864800142,0.294424215431837
0.28,0.781511053122725,0.576808960398664,0.399859189129474,0.279639412719008,0.381651863993251,0.297169547679656
0.29,0.785255209077238,0.582304228688998,0.401406632122878,0.282544939325096,0.383848576954361,0.299759289363902
0.3,0.78876458571057,0.587504629663426,0.402858073934754,0.285299692691626,0.385906511775815,0.3022049369718
0.31,0.792056294090319,0.592430864449316,0.404220240398134,0.287913978909254,0.387836053692185,0.304516885540062
0.32,0.795145857183543,0.597101759762125,0.405499257636127,0.290397201345094,0.389646599547416,0.30670455841703
0.33,0.798047392160316,0.60153447680533,0.406700718798322,0.292757957715668,0.391346673361995,0.308776519089662
0.34,0.800773768023997,0.60574469280336,0.407829741989227,0.295004124898514,0.39294402603477,0.310740567904846
0.35,0.80333674239647,0.609746759267405,0.408891020727502,0.297142933252219,0.394445721668968,0.312603826015186
0.36,0.805747080619709,0.613553840404958,0.409888868045294,0.299181031927984,0.395858212574415,0.314372808476974
0.37,0.808014659796074,0.617178034522704,0.410827255150991,0.301124546420515,0.397187404645083,0.316053488102189
0.38,0.810148559952301,0.620630480813201,0.411709845427269,0.302979129412038,0.398438714525032,0.317651351401163
0.39,0.812157144155312,0.623921453538414,0.412540024412422,0.304750005802573,0.39961711974289,0.319171447735841
0.4,0.814048129115655,0.627060445311745,0.413320926311149,0.306442012686148,0.400727202804505,0.320618432625597
0.41,0.815828647573822,0.630056240922063,0.414055457496965,0.308059634921163,0.401773190076857,0.321996606000901
0.42,0.817505303565931,0.632916982928488,0.414746317398776,0.309607036849849,0.402758986167155,0.323309946078638
0.43,0.819084221500287,0.6356502300753,0.415396017106206,0.311088090643285,0.403688204394081,0.324562139432015
0.44,0.820571089838996,0.638263009425991,0.416006895979851,0.312506401682297,0.404564193859145,0.325756607743694
0.45,0.821971200063845,0.64076186298894,0.416581136512044,0.31386533132857,0.405390063551801,0.32689653166037
0.46,0.823289481509309,0.643152889500449,0.417120777649527,0.315168017392766,0.406168703859782,0.327984872107683
0.47,0.824530532564263,0.645441781940421,0.417627726760567,0.316417392565957,0.406902805803696,0.329024389374464
0.48,0.825698648675401,0.647633861279153,0.418103770404568,0.317616201046152,0.407594878270832,0.330017660233002
0.49,0.826797847527112,0.649734106888263,0.418550584041428,0.318767013562048,0.408247263485684,0.330967093326215
0.5,0.827831891723117,0.651747183992833,0.418969740800131,0.319872240970778,0.408862150922986,0.331874943022055
0.51,0.828804309252892,0.653677468493946,0.419362719410872,0.320934146584501,0.40944158984202,0.332743321909445
0.52,0.829718411989804,0.655529069449592,0.419730911391973,0.321954857361828,0.409987500597831,0.333574212087764
0.53,0.830577312436884,0.657305849466498,0.420075627571631,0.32293637408375,0.410501684865254,0.334369475382748
0.54,0.83138393890945,0.659011443224759,0.420398104014851,0.323880580619542,0.410985834894599,0.335130862605217
0.55,0.832141049320839,0.660649274330713,0.420699507417547,0.324789252375861,0.411441541903292,0.335860021954852
0.56,0.832851243717587,0.662222570670448,0.420980940022522,0.325664064011501,0.411870303695065,0.336558506658947
0.57,0.833516975693139,0.663734378416386,0.421243444105739,0.326506596490946,0.4122735315874,0.337227781925441
0.58,0.834140562794222,0.665187574821945,0.421488006075763,0.32731834354166,0.412652556718459,0.337869231280284
0.59,0.83472419602094,0.666584879924091,0.421715560224487,0.328100717572942,0.413008635796454,0.338484162351148
0.6,0.835269948510288,0.667928867260283,0.421926992163015,0.328855055107813,0.413342956347273,0.339073812152469
0.61,0.8357797834828,0.669221973694641,0.422123141972918,0.329582621773956,0.413656641509882,0.339639351920685
0.62,0.836255561523364,0.670466508437949,0.422304807099806,0.330284616894793,0.413950754423558,0.340181891543155
0.63,0.836699047259532,0.671664661337067,0.422472745013345,0.33096217771754,0.414226302246187,0.340702483619526
0.64,0.837111915493944,0.672818510501408,0.422627675655298,0.331616383311234,0.414484239838645,0.341202127190174
0.65,0.837495756841554,0.673930029327101,0.422770283694972,0.332248258164407,0.414725473146582,0.341681771162693
0.66,0.837852082917081,0.675001092973268,0.42290122060946,0.33285877550907,0.41495086230762,0.342142317464198
0.67,0.83818233111348,0.676033484339354,0.423021106604358,0.333448860395032,0.415161224509122,0.342584623944322
0.68,0.838487869008144,0.677028899587543,0.423130532389043,0.334019392536224,0.415357336619102,0.343009507051319
0.69,0.838769998429863,0.67798895325,0.423230060819256,0.334571208948592,0.415539937610607,0.343417744301408
0.7,0.839029959216362,0.678915182956785,0.423320228418502,0.335105106397253,0.41570973079786,0.343810076559531
0.71,0.839268932689338,0.679809053816851,0.423401546788643,0.335621843668939,0.415867385900695,0.344187210147912
0.72,0.839488044871348,0.680671962481489,0.423474503919151,0.336122143684236,0.416013540952198,0.344549818797253
0.73,0.839688369466602,0.681505240916802,0.423539565403535,0.336606695462822,0.416148804063067,0.34489854545398
0.74,0.839870930625671,0.682310159909355,0.423597175570737,0.33707615595365,0.416273755054934,0.345234003955705
0.75,0.840036705512259,0.683087932326932,0.423647758538529,0.337531151740992,0.41638894697373,0.345556780585939
0.76,0.840186626688565,0.683839716154349,0.423691719195359,0.33797228063625,0.416494907493206,0.345867435518099
0.77,0.840321584334256,0.684566617322507,0.423729444116487,0.338400113164582,0.416592140217769,0.346166504157925
0.78,0.840442428312742,0.685269692347229,0.423761302419748,0.338815193954589,0.416681125892994,0.346454498392639
0.79,0.840549970097266,0.685949950793029,0.423787646565833,0.339218043038614,0.416762323531434,0.346731907754415
0.8,0.840644984568193,0.68660835757561,0.42380881310752,0.339609157070519,0.416836171460673,0.346999200505091
0.81,0.840728211691949,0.687245835115734,0.423825123391955,0.339989010467279,0.416903088299994,0.347256824648455
0.82,0.840800358091151,0.687863265356041,0.423836884219692,0.340358056480142,0.416963473871459,0.347505208875899
0.83,0.840862098514661,0.688461491651396,0.423844388463921,0.340716728200671,0.41701771005074,0.347744763450725
0.84,0.84091407721559,0.689041320542515,0.423847915653028,0.341065439506517,0.417066161562561,0.347975881035999
0.85,0.840956909244601,0.689603523421772,0.423847732519342,0.341404585951395,0.417109176725259,0.348198937470377
0.86,0.840991181665267,0.690148838099395,0.42384409351673,0.341734545603359,0.417147088148537,0.348414292496036
0.87,0.841017454697677,0.690677970277597,0.423837241309461,0.342055679835155,0.417180213388216,0.348622290442443
0.88,0.841036262796012,0.691191594939561,0.423827407234568,0.342368334070114,0.417208855561443,0.348823260869447
0.89,0.841048115665332,0.691690357659681,0.423814811739773,0.342672838486805,0.417233303925559,0.349017519172876
0.9,0.841053499222403,0.692174875840937,0.423799664798845,0.342969508685367,0.417253834423558,0.34920536715557
0.91,0.841052876505023,0.692645739884826,0.423782166306161,0.34325864631827,0.417270710198863,0.349387093566556
0.92,0.841046688533945,0.693103514298855,0.423762506452042,0.343540539687987,0.417284182081903,0.349562974610868
0.93,0.841035355131175,0.693548738746211,0.423740866080368,0.343815464313919,0.417294489050807,0.349733274432292
0.94,0.841019275698135,0.69398192904187,0.423717417029818,0.344083683470689,0.417301858668316,0.349898245571182
0.95,0.840998829956907,0.694403578099089,0.423692322460001,0.344345448699801,0.417306507496906,0.350058129399288
0.96,0.840974378657518,0.694814156829902,0.423665737163626,0.34460100029649,0.417308641493892,0.350213156533412
0.97,0.840946264254004,0.695214115003008,0.423637807865792,0.344850567773453,0.417308456388211,0.350363547229555
0.98,0.840914811551776,0.695603882062129,0.423608673511376,0.345094370303023,0.4173061380404,0.350509511759106
0.99,0.840880328328623,0.695983867907739,0.423578465541424,0.345332617139254,0.417301862787199,0.350651250768486
1,0.840843105931479,0.696354463644802,0.423547308159398,0.345565508021238,0.417295797772081,0.350788955623564
