"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.3686,0.0694,0.2294,0.0306,0.1392,0.0388
0.04,0.4956,0.2132,0.2828,0.0928,0.2128,0.1204
0.06,0.5024,0.291,0.2858,0.141,0.2166,0.15
0.08,0.6074,0.3396,0.336,0.1686,0.2714,0.171
0.1,0.6024,0.306,0.3258,0.1444,0.2766,0.1616
0.12,0.6144,0.411,0.33,0.1934,0.2844,0.2176
0.14,0.658,0.4656,0.3594,0.2202,0.2986,0.2454
0.16,0.6758,0.3934,0.3658,0.1996,0.31,0.1938
0.18,0.7124,0.434,0.3644,0.2088,0.348,0.2252
0.2,0.6438,0.4662,0.335,0.2216,0.3088,0.2446
0.22,0.682,0.504,0.357,0.2436,0.325,0.2604
0.24,0.6808,0.5072,0.3658,0.2618,0.315,0.2454
0.26,0.6998,0.502,0.3624,0.2542,0.3374,0.2478
0.28,0.6614,0.5426,0.3496,0.2738,0.3118,0.2688
0.3,0.6876,0.5126,0.3548,0.2548,0.3328,0.2578
0.32,0.7066,0.5574,0.3712,0.278,0.3354,0.2794
0.34,0.724,0.5962,0.3752,0.2966,0.3488,0.2996
0.36,0.7324,0.5816,0.3724,0.2868,0.36,0.2948
0.38,0.7238,0.5446,0.3666,0.277,0.3572,0.2676
0.4,0.7208,0.5894,0.3794,0.292,0.3414,0.2974
0.42,0.7466,0.56,0.3868,0.282,0.3598,0.278
0.44,0.6962,0.624,0.3636,0.3126,0.3326,0.3114
0.46,0.7698,0.5878,0.3904,0.2926,0.3794,0.2952
0.48,0.753,0.6054,0.3852,0.306,0.3678,0.2994
0.5,0.7666,0.5638,0.3968,0.2782,0.3698,0.2856
0.52,0.742,0.5966,0.3788,0.301,0.3632,0.2956
0.54,0.775,0.6,0.3952,0.309,0.3798,0.291
0.56,0.7714,0.589,0.3932,0.2892,0.3782,0.2998
0.58,0.773,0.5804,0.3958,0.2834,0.3772,0.297
0.6,0.7922,0.6042,0.4136,0.3006,0.3786,0.3036
0.62,0.7676,0.5746,0.387,0.2788,0.3806,0.2958
0.64,0.7574,0.652,0.3828,0.331,0.3746,0.321
0.66,0.757,0.6604,0.3764,0.3312,0.3806,0.3292
0.68,0.7946,0.6348,0.4064,0.3092,0.3882,0.3256
0.7,0.7952,0.6528,0.4048,0.3202,0.3904,0.3326
0.72,0.8012,0.644,0.4074,0.3158,0.3938,0.3282
0.74,0.7416,0.689,0.3824,0.3398,0.3592,0.3492
0.76,0.8026,0.5644,0.4028,0.2816,0.3998,0.2828
0.78,0.764,0.6544,0.3878,0.3242,0.3762,0.3302
0.8,0.7606,0.6934,0.3856,0.347,0.375,0.3464
0.82,0.7894,0.6396,0.3958,0.3222,0.3936,0.3174
0.84,0.7756,0.6404,0.388,0.3192,0.3876,0.3212
0.86,0.7842,0.67,0.3956,0.3188,0.3886,0.3512
0.88,0.7834,0.6834,0.3874,0.3416,0.396,0.3418
0.9,0.7904,0.6746,0.3976,0.337,0.3928,0.3376
0.92,0.755,0.7086,0.3894,0.3556,0.3656,0.353
0.94,0.796,0.6562,0.4058,0.3354,0.3902,0.3208
0.96,0.7908,0.6754,0.4022,0.3412,0.3886,0.3342
0.98,0.769,0.7022,0.399,0.3526,0.37,0.3496
1,0.793,0.6456,0.4048,0.3264,0.3882,0.3192
