"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.335,0.053,0.201,0.017,0.134,0.036
1,0.04,0.468,0.182,0.266,0.076,0.202,0.106
1,0.06,0.49,0.297,0.287,0.151,0.203,0.146
1,0.08,0.627,0.33,0.344,0.163,0.283,0.167
1,0.1,0.628,0.302,0.343,0.142,0.285,0.16
1,0.12,0.64,0.401,0.344,0.189,0.296,0.212
1,0.14,0.692,0.47,0.377,0.221,0.315,0.249
1,0.16,0.675,0.385,0.369,0.2,0.306,0.185
1,0.18,0.724,0.464,0.366,0.228,0.358,0.236
1,0.2,0.657,0.435,0.341,0.2,0.316,0.235
1,0.22,0.698,0.514,0.365,0.244,0.333,0.27
1,0.24,0.674,0.532,0.361,0.277,0.313,0.255
1,0.26,0.717,0.476,0.37,0.245,0.347,0.231
1,0.28,0.647,0.557,0.344,0.279,0.303,0.278
1,0.3,0.67,0.517,0.346,0.252,0.324,0.265
1,0.32,0.723,0.583,0.386,0.294,0.337,0.289
1,0.34,0.728,0.569,0.382,0.283,0.346,0.286
1,0.36,0.746,0.608,0.374,0.3,0.372,0.308
1,0.38,0.733,0.505,0.373,0.259,0.36,0.246
1,0.4,0.726,0.629,0.387,0.308,0.339,0.321
1,0.42,0.723,0.58,0.382,0.294,0.341,0.286
1,0.44,0.691,0.614,0.372,0.303,0.319,0.311
1,0.46,0.759,0.627,0.384,0.315,0.375,0.312
1,0.48,0.735,0.589,0.38,0.306,0.355,0.283
1,0.5,0.753,0.537,0.388,0.269,0.365,0.268
1,0.52,0.742,0.599,0.378,0.311,0.364,0.288
1,0.54,0.761,0.632,0.386,0.327,0.375,0.305
1,0.56,0.801,0.567,0.404,0.282,0.397,0.285
1,0.58,0.777,0.576,0.397,0.283,0.38,0.293
1,0.6,0.787,0.657,0.412,0.321,0.375,0.336
1,0.62,0.77,0.557,0.391,0.27,0.379,0.287
1,0.64,0.757,0.66,0.382,0.339,0.375,0.321
1,0.66,0.757,0.628,0.366,0.32,0.391,0.308
1,0.68,0.787,0.63,0.404,0.31,0.383,0.32
1,0.7,0.806,0.626,0.408,0.305,0.398,0.321
1,0.72,0.792,0.658,0.401,0.317,0.391,0.341
1,0.74,0.72,0.735,0.372,0.361,0.348,0.374
1,0.76,0.801,0.518,0.402,0.266,0.399,0.252
1,0.78,0.766,0.656,0.385,0.319,0.381,0.337
1,0.8,0.777,0.685,0.392,0.337,0.385,0.348
1,0.82,0.803,0.618,0.403,0.317,0.4,0.301
1,0.84,0.772,0.654,0.384,0.328,0.388,0.326
1,0.86,0.795,0.648,0.404,0.308,0.391,0.34
1,0.88,0.781,0.677,0.389,0.34,0.392,0.337
1,0.9,0.766,0.681,0.384,0.343,0.382,0.338
1,0.92,0.705,0.751,0.365,0.384,0.34,0.367
1,0.94,0.772,0.669,0.389,0.339,0.383,0.33
1,0.96,0.79,0.701,0.405,0.356,0.385,0.345
