"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.437,0.096,0.271,0.048,0.166,0.048
1,0.04,0.471,0.156,0.266,0.063,0.205,0.093
1,0.06,0.498,0.29,0.283,0.142,0.215,0.148
1,0.08,0.557,0.32,0.294,0.146,0.263,0.174
1,0.1,0.61,0.35,0.326,0.169,0.284,0.181
1,0.12,0.596,0.364,0.324,0.169,0.272,0.195
1,0.14,0.664,0.384,0.369,0.187,0.295,0.197
1,0.16,0.665,0.456,0.362,0.225,0.303,0.231
1,0.18,0.696,0.54,0.36,0.264,0.336,0.276
1,0.2,0.675,0.385,0.367,0.193,0.308,0.192
1,0.22,0.693,0.495,0.36,0.24,0.333,0.255
1,0.24,0.745,0.483,0.377,0.234,0.368,0.249
1,0.26,0.692,0.536,0.372,0.28,0.32,0.256
1,0.28,0.703,0.524,0.361,0.262,0.342,0.262
1,0.3,0.701,0.552,0.357,0.271,0.344,0.281
1,0.32,0.665,0.586,0.359,0.291,0.306,0.295
1,0.34,0.756,0.557,0.383,0.282,0.373,0.275
1,0.36,0.738,0.565,0.384,0.267,0.354,0.298
1,0.38,0.719,0.517,0.372,0.256,0.347,0.261
1,0.4,0.721,0.583,0.37,0.287,0.351,0.296
1,0.42,0.656,0.621,0.339,0.302,0.317,0.319
1,0.44,0.739,0.635,0.364,0.309,0.375,0.326
1,0.46,0.759,0.601,0.389,0.294,0.37,0.307
1,0.48,0.765,0.558,0.396,0.269,0.369,0.289
1,0.5,0.655,0.662,0.328,0.343,0.327,0.319
1,0.52,0.793,0.615,0.393,0.3,0.4,0.315
1,0.54,0.756,0.617,0.385,0.304,0.371,0.313
1,0.56,0.77,0.642,0.397,0.331,0.373,0.311
1,0.58,0.767,0.636,0.399,0.322,0.368,0.314
1,0.6,0.754,0.631,0.387,0.314,0.367,0.317
1,0.62,0.785,0.657,0.402,0.324,0.383,0.333
1,0.64,0.815,0.647,0.407,0.313,0.408,0.334
1,0.66,0.812,0.592,0.413,0.284,0.399,0.308
1,0.68,0.726,0.669,0.371,0.323,0.355,0.346
1,0.7,0.807,0.631,0.417,0.309,0.39,0.322
1,0.72,0.76,0.662,0.389,0.332,0.371,0.33
1,0.74,0.82,0.629,0.423,0.316,0.397,0.313
1,0.76,0.778,0.596,0.383,0.304,0.395,0.292
1,0.78,0.787,0.604,0.403,0.312,0.384,0.292
1,0.8,0.775,0.638,0.388,0.311,0.387,0.327
1,0.82,0.715,0.706,0.368,0.346,0.347,0.36
1,0.84,0.755,0.697,0.374,0.342,0.381,0.355
1,0.86,0.778,0.64,0.391,0.31,0.387,0.33
1,0.88,0.784,0.683,0.389,0.341,0.395,0.342
1,0.9,0.778,0.651,0.394,0.322,0.384,0.329
1,0.92,0.809,0.635,0.405,0.312,0.404,0.323
