"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.454,0.106,0.285,0.046,0.169,0.06
1,0.04,0.495,0.2,0.29,0.09,0.205,0.11
1,0.06,0.55,0.259,0.309,0.125,0.241,0.134
1,0.08,0.537,0.327,0.305,0.151,0.232,0.176
1,0.1,0.604,0.369,0.339,0.174,0.265,0.195
1,0.12,0.593,0.42,0.332,0.197,0.261,0.223
1,0.14,0.657,0.433,0.352,0.216,0.305,0.217
1,0.16,0.652,0.448,0.355,0.227,0.297,0.221
1,0.18,0.686,0.44,0.362,0.215,0.324,0.225
1,0.2,0.701,0.428,0.354,0.223,0.347,0.205
1,0.22,0.735,0.475,0.394,0.237,0.341,0.238
1,0.24,0.723,0.542,0.376,0.269,0.347,0.273
1,0.26,0.68,0.534,0.354,0.258,0.326,0.276
1,0.28,0.706,0.466,0.366,0.238,0.34,0.228
1,0.3,0.751,0.513,0.383,0.253,0.368,0.26
1,0.32,0.749,0.482,0.377,0.234,0.372,0.248
1,0.34,0.754,0.55,0.38,0.271,0.374,0.279
1,0.36,0.756,0.496,0.399,0.26,0.357,0.236
1,0.38,0.692,0.57,0.359,0.291,0.333,0.279
1,0.4,0.759,0.559,0.39,0.273,0.369,0.286
1,0.42,0.743,0.509,0.391,0.261,0.352,0.248
1,0.44,0.794,0.563,0.418,0.283,0.376,0.28
1,0.46,0.781,0.637,0.389,0.309,0.392,0.328
1,0.48,0.776,0.539,0.393,0.254,0.383,0.285
1,0.5,0.793,0.577,0.412,0.294,0.381,0.283
1,0.52,0.795,0.616,0.401,0.313,0.394,0.303
1,0.54,0.751,0.64,0.392,0.296,0.359,0.344
1,0.56,0.786,0.635,0.394,0.309,0.392,0.326
1,0.58,0.794,0.637,0.401,0.319,0.393,0.318
1,0.6,0.78,0.563,0.388,0.266,0.392,0.297
1,0.62,0.744,0.683,0.387,0.344,0.357,0.339
1,0.64,0.798,0.632,0.402,0.315,0.396,0.317
1,0.66,0.782,0.632,0.407,0.298,0.375,0.334
1,0.68,0.75,0.631,0.39,0.304,0.36,0.327
1,0.7,0.745,0.666,0.369,0.335,0.376,0.331
1,0.72,0.834,0.667,0.432,0.329,0.402,0.338
1,0.74,0.788,0.643,0.407,0.32,0.381,0.323
1,0.76,0.73,0.707,0.371,0.351,0.359,0.356
1,0.78,0.782,0.68,0.401,0.336,0.381,0.344
1,0.8,0.799,0.635,0.41,0.31,0.389,0.325
1,0.82,0.787,0.688,0.399,0.343,0.388,0.345
1,0.84,0.81,0.661,0.405,0.339,0.405,0.322
1,0.86,0.813,0.655,0.421,0.331,0.392,0.324
1,0.88,0.759,0.71,0.401,0.359,0.358,0.351
1,0.9,0.794,0.659,0.402,0.336,0.392,0.323
1,0.92,0.811,0.651,0.416,0.339,0.395,0.312
1,0.94,0.774,0.711,0.398,0.348,0.376,0.363
1,0.96,0.824,0.637,0.413,0.323,0.411,0.314
1,0.98,0.799,0.677,0.407,0.327,0.392,0.35
1,1,0.772,0.663,0.389,0.347,0.383,0.316
2,0.02,0.454,0.106,0.285,0.046,0.169,0.06
2,0.04,0.495,0.2,0.29,0.09,0.205,0.11
2,0.06,0.55,0.259,0.309,0.125,0.241,0.134
2,0.08,0.537,0.327,0.305,0.151,0.232,0.176
2,0.1,0.604,0.369,0.339,0.174,0.265,0.195
2,0.12,0.593,0.42,0.332,0.197,0.261,0.223
2,0.14,0.657,0.433,0.352,0.216,0.305,0.217
2,0.16,0.652,0.448,0.355,0.227,0.297,0.221
2,0.18,0.686,0.44,0.362,0.215,0.324,0.225
2,0.2,0.701,0.428,0.354,0.223,0.347,0.205
2,0.22,0.735,0.475,0.394,0.237,0.341,0.238
2,0.24,0.723,0.542,0.376,0.269,0.347,0.273
