"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.409,0.111,0.263,0.063,0.146,0.048
1,0.04,0.403,0.191,0.23,0.09,0.173,0.101
1,0.06,0.519,0.289,0.293,0.145,0.226,0.144
1,0.08,0.616,0.328,0.326,0.145,0.29,0.183
1,0.1,0.578,0.364,0.308,0.175,0.27,0.189
1,0.12,0.625,0.409,0.316,0.191,0.309,0.218
1,0.14,0.52,0.462,0.262,0.209,0.258,0.253
1,0.16,0.625,0.47,0.321,0.226,0.304,0.244
1,0.18,0.626,0.38,0.333,0.194,0.293,0.186
1,0.2,0.665,0.544,0.357,0.264,0.308,0.28
1,0.22,0.717,0.545,0.361,0.273,0.356,0.272
1,0.24,0.631,0.488,0.336,0.247,0.295,0.241
1,0.26,0.705,0.496,0.356,0.234,0.349,0.262
1,0.28,0.73,0.553,0.378,0.282,0.352,0.271
1,0.3,0.712,0.535,0.378,0.267,0.334,0.268
1,0.32,0.73,0.495,0.368,0.255,0.362,0.24
1,0.34,0.629,0.636,0.325,0.312,0.304,0.324
1,0.36,0.692,0.594,0.354,0.295,0.338,0.299
1,0.38,0.749,0.575,0.379,0.276,0.37,0.299
1,0.4,0.761,0.48,0.393,0.252,0.368,0.228
1,0.42,0.758,0.548,0.387,0.267,0.371,0.281
1,0.44,0.756,0.607,0.384,0.31,0.372,0.297
1,0.46,0.761,0.622,0.39,0.311,0.371,0.311
1,0.48,0.719,0.627,0.372,0.3,0.347,0.327
1,0.5,0.778,0.526,0.391,0.273,0.387,0.253
1,0.52,0.709,0.649,0.358,0.331,0.351,0.318
1,0.54,0.744,0.601,0.391,0.296,0.353,0.305
1,0.56,0.814,0.547,0.401,0.277,0.413,0.27
1,0.58,0.723,0.703,0.385,0.342,0.338,0.361
1,0.6,0.832,0.621,0.425,0.316,0.407,0.305
1,0.62,0.782,0.655,0.405,0.332,0.377,0.323
1,0.64,0.778,0.599,0.392,0.311,0.386,0.288
1,0.66,0.72,0.632,0.367,0.309,0.353,0.323
1,0.68,0.739,0.652,0.377,0.327,0.362,0.325
1,0.7,0.795,0.631,0.399,0.319,0.396,0.312
1,0.72,0.793,0.622,0.396,0.315,0.397,0.307
1,0.74,0.781,0.63,0.399,0.322,0.382,0.308
1,0.76,0.798,0.632,0.408,0.318,0.39,0.314
1,0.78,0.81,0.646,0.41,0.341,0.4,0.305
1,0.8,0.763,0.656,0.38,0.324,0.383,0.332
1,0.82,0.773,0.558,0.396,0.279,0.377,0.279
1,0.84,0.813,0.517,0.41,0.264,0.403,0.253
1,0.86,0.78,0.623,0.393,0.315,0.387,0.308
1,0.88,0.819,0.656,0.412,0.343,0.407,0.313
1,0.9,0.781,0.681,0.396,0.342,0.385,0.339
1,0.92,0.816,0.645,0.417,0.334,0.399,0.311
1,0.94,0.786,0.678,0.397,0.349,0.389,0.329
1,0.96,0.785,0.666,0.401,0.342,0.384,0.324
1,0.98,0.796,0.684,0.401,0.332,0.395,0.352
1,1,0.781,0.686,0.39,0.344,0.391,0.342
2,0.02,0.409,0.111,0.263,0.063,0.146,0.048
2,0.04,0.403,0.191,0.23,0.09,0.173,0.101
2,0.06,0.519,0.289,0.293,0.145,0.226,0.144
2,0.08,0.616,0.328,0.326,0.145,0.29,0.183
2,0.1,0.578,0.364,0.308,0.175,0.27,0.189
2,0.12,0.625,0.409,0.316,0.191,0.309,0.218
2,0.14,0.52,0.462,0.262,0.209,0.258,0.253
2,0.16,0.625,0.47,0.321,0.226,0.304,0.244
