"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.401,0.0998,0.2542,0.051,0.1468,0.0488
0.04,0.4314,0.2038,0.244,0.098,0.1874,0.1058
0.06,0.5198,0.2758,0.2962,0.1354,0.2236,0.1404
0.08,0.5888,0.3268,0.3164,0.1438,0.2724,0.183
0.1,0.5928,0.3932,0.316,0.1918,0.2768,0.2014
0.12,0.6054,0.4194,0.3104,0.2018,0.295,0.2176
0.14,0.5264,0.4476,0.2748,0.2118,0.2516,0.2358
0.16,0.6502,0.4572,0.3346,0.2224,0.3156,0.2348
0.18,0.6368,0.376,0.3366,0.186,0.3002,0.19
0.2,0.6482,0.506,0.3426,0.2508,0.3056,0.2552
0.22,0.6922,0.5474,0.3514,0.2714,0.3408,0.276
0.24,0.6594,0.5004,0.3492,0.251,0.3102,0.2494
0.26,0.6818,0.5032,0.35,0.2448,0.3318,0.2584
0.28,0.7248,0.5554,0.3752,0.2828,0.3496,0.2726
0.3,0.708,0.529,0.372,0.2594,0.336,0.2696
0.32,0.7412,0.4922,0.3828,0.249,0.3584,0.2432
0.34,0.6578,0.6036,0.3374,0.2972,0.3204,0.3064
0.36,0.6968,0.572,0.364,0.2798,0.3328,0.2922
0.38,0.7614,0.5494,0.3922,0.2644,0.3692,0.285
0.4,0.7466,0.5208,0.385,0.2712,0.3616,0.2496
0.42,0.7588,0.5716,0.3898,0.2814,0.369,0.2902
0.44,0.7584,0.6106,0.382,0.3076,0.3764,0.303
0.46,0.7434,0.5936,0.3768,0.2938,0.3666,0.2998
0.48,0.7398,0.6446,0.3824,0.31,0.3574,0.3346
0.5,0.7724,0.5692,0.3882,0.2914,0.3842,0.2778
0.52,0.7194,0.6222,0.3648,0.3194,0.3546,0.3028
0.54,0.7496,0.6134,0.387,0.3076,0.3626,0.3058
0.56,0.7868,0.5894,0.393,0.2958,0.3938,0.2936
0.58,0.7298,0.675,0.3798,0.3344,0.35,0.3406
0.6,0.8072,0.6254,0.4134,0.3148,0.3938,0.3106
0.62,0.7988,0.6554,0.4066,0.3284,0.3922,0.327
0.64,0.7444,0.6442,0.3816,0.3302,0.3628,0.314
0.66,0.7068,0.6616,0.3626,0.3274,0.3442,0.3342
0.68,0.763,0.6372,0.3902,0.3222,0.3728,0.315
0.7,0.7958,0.6306,0.4002,0.3186,0.3956,0.312
0.72,0.801,0.6384,0.3968,0.3194,0.4042,0.319
0.74,0.7646,0.6456,0.3922,0.3252,0.3724,0.3204
0.76,0.7988,0.6136,0.414,0.3112,0.3848,0.3024
0.78,0.7908,0.6584,0.3996,0.3434,0.3912,0.315
0.8,0.7734,0.662,0.384,0.33,0.3894,0.332
0.82,0.7826,0.5672,0.3968,0.2826,0.3858,0.2846
0.84,0.7906,0.5782,0.3984,0.2968,0.3922,0.2814
0.86,0.7912,0.6454,0.3998,0.3258,0.3914,0.3196
0.88,0.8062,0.6356,0.404,0.3238,0.4022,0.3118
0.9,0.7678,0.6882,0.396,0.3376,0.3718,0.3506
0.92,0.8036,0.6434,0.4078,0.3248,0.3958,0.3186
0.94,0.796,0.6668,0.4054,0.3362,0.3906,0.3306
0.96,0.7942,0.642,0.4022,0.3236,0.392,0.3184
0.98,0.8056,0.662,0.4038,0.32,0.4018,0.342
1,0.7898,0.6704,0.396,0.3404,0.3938,0.33
