"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.415,0.0928,0.2578,0.0416,0.1572,0.0512
0.04,0.4446,0.1748,0.2492,0.0746,0.1954,0.1002
0.06,0.508,0.2732,0.2818,0.1304,0.2262,0.1428
0.08,0.565,0.3408,0.3004,0.1596,0.2646,0.1812
0.1,0.6088,0.3372,0.3264,0.1634,0.2824,0.1738
0.12,0.5932,0.3528,0.3168,0.1606,0.2764,0.1922
0.14,0.668,0.4236,0.3654,0.2114,0.3026,0.2122
0.16,0.6586,0.4564,0.3544,0.2226,0.3042,0.2338
0.18,0.658,0.5104,0.3448,0.2444,0.3132,0.266
0.2,0.6814,0.393,0.371,0.197,0.3104,0.196
0.22,0.7158,0.5046,0.374,0.2532,0.3418,0.2514
0.24,0.7182,0.4986,0.3654,0.2456,0.3528,0.253
0.26,0.6932,0.5284,0.3652,0.2684,0.328,0.26
0.28,0.7066,0.52,0.3674,0.262,0.3392,0.258
0.3,0.7102,0.55,0.3642,0.2726,0.346,0.2774
0.32,0.6922,0.5532,0.3714,0.2826,0.3208,0.2706
0.34,0.7476,0.545,0.3826,0.2744,0.365,0.2706
0.36,0.7308,0.589,0.3816,0.2814,0.3492,0.3076
0.38,0.729,0.545,0.3696,0.2728,0.3594,0.2722
0.4,0.7326,0.5738,0.374,0.2802,0.3586,0.2936
0.42,0.6724,0.625,0.3466,0.3032,0.3258,0.3218
0.44,0.733,0.6186,0.366,0.3082,0.367,0.3104
0.46,0.7434,0.5946,0.381,0.2884,0.3624,0.3062
0.48,0.7794,0.5736,0.4,0.279,0.3794,0.2946
0.5,0.6914,0.6412,0.3444,0.3286,0.347,0.3126
0.52,0.7858,0.6018,0.395,0.2972,0.3908,0.3046
0.54,0.764,0.591,0.3862,0.2964,0.3778,0.2946
0.56,0.7672,0.6372,0.3966,0.3218,0.3706,0.3154
0.58,0.7678,0.6344,0.4038,0.3244,0.364,0.31
0.6,0.7676,0.633,0.3922,0.3192,0.3754,0.3138
0.62,0.7922,0.6366,0.4024,0.314,0.3898,0.3226
0.64,0.8002,0.6274,0.4002,0.307,0.4,0.3204
0.66,0.7916,0.598,0.3974,0.2952,0.3942,0.3028
0.68,0.7616,0.6538,0.3866,0.321,0.375,0.3328
0.7,0.7966,0.6346,0.4086,0.3122,0.388,0.3224
0.72,0.7764,0.6508,0.3982,0.3292,0.3782,0.3216
0.74,0.81,0.6366,0.413,0.314,0.397,0.3226
0.76,0.7768,0.6192,0.3878,0.3104,0.389,0.3088
0.78,0.799,0.6088,0.4034,0.3088,0.3956,0.3
0.8,0.7834,0.6208,0.3928,0.2994,0.3906,0.3214
0.82,0.747,0.6896,0.382,0.336,0.365,0.3536
0.84,0.7474,0.6954,0.378,0.3444,0.3694,0.351
0.86,0.778,0.6572,0.3938,0.318,0.3842,0.3392
0.88,0.7716,0.6894,0.3862,0.3454,0.3854,0.344
0.9,0.8044,0.6566,0.4084,0.3344,0.396,0.3222
0.92,0.789,0.6242,0.3918,0.3068,0.3972,0.3174
0.94,0.8126,0.683,0.4128,0.3388,0.3998,0.3442
0.96,0.8102,0.6582,0.4076,0.3294,0.4026,0.3288
0.98,0.8226,0.6172,0.4158,0.3122,0.4068,0.305
1,0.811,0.6614,0.4054,0.333,0.4056,0.3284
