"Repeat","alpha","lamda1","rho_A.l.","rho_I.l."
1,0.02,0.02,0.664,0.481
1,0.02,0.04,0.744,0.508
1,0.02,0.06,0.688,0.594
1,0.02,0.08,0.616,0.638
1,0.02,0.1,0.692,0.56
1,0.02,0.12,0.722,0.423
1,0.02,0.14,0.677,0.555
1,0.02,0.16,0.714,0.56
1,0.02,0.18,0.681,0.639
1,0.02,0.2,0.659,0.622
1,0.02,0.22,0.707,0.631
1,0.02,0.24,0.744,0.583
1,0.02,0.26,0.693,0.632
1,0.02,0.28,0.698,0.632
1,0.02,0.3,0.599,0.532
1,0.02,0.32,0.7,0.561
1,0.02,0.34,0.61,0.621
1,0.02,0.36,0.717,0.627
1,0.02,0.38,0.657,0.603
1,0.02,0.4,0.682,0.579
1,0.02,0.42,0.696,0.587
1,0.02,0.44,0.672,0.614
1,0.02,0.46,0.709,0.518
1,0.02,0.48,0.699,0.531
1,0.02,0.5,0.685,0.502
1,0.02,0.52,0.695,0.587
1,0.02,0.54,0.699,0.514
1,0.02,0.56,0.695,0.641
1,0.02,0.58,0.731,0.532
1,0.02,0.6,0.689,0.588
1,0.02,0.62,0.733,0.57
1,0.02,0.64,0.692,0.585
1,0.02,0.66,0.683,0.635
1,0.02,0.68,0.722,0.562
1,0.02,0.7,0.72,0.526
1,0.02,0.72,0.665,0.537
1,0.02,0.74,0.74,0.543
1,0.02,0.76,0.728,0.591
1,0.02,0.78,0.686,0.563
1,0.02,0.8,0.701,0.542
1,0.02,0.82,0.715,0.511
1,0.02,0.84,0.636,0.603
1,0.02,0.86,0.666,0.563
1,0.02,0.88,0.727,0.508
1,0.02,0.9,0.703,0.637
1,0.02,0.92,0.663,0.583
1,0.02,0.94,0.689,0.597
1,0.02,0.96,0.718,0.587
1,0.02,0.98,0.67,0.551
1,0.02,1,0.713,0.588
1,0.04,0.02,0.688,0.504
1,0.04,0.04,0.611,0.64
1,0.04,0.06,0.682,0.548
1,0.04,0.08,0.655,0.5
1,0.04,0.1,0.666,0.624
1,0.04,0.12,0.612,0.593
1,0.04,0.14,0.693,0.531
1,0.04,0.16,0.696,0.55
1,0.04,0.18,0.703,0.56
1,0.04,0.2,0.724,0.552
1,0.04,0.22,0.69,0.59
1,0.04,0.24,0.694,0.632
1,0.04,0.26,0.641,0.591
1,0.04,0.28,0.67,0.624
1,0.04,0.3,0.723,0.594
1,0.04,0.32,0.638,0.581
1,0.04,0.34,0.645,0.557
1,0.04,0.36,0.725,0.562
1,0.04,0.38,0.74,0.558
1,0.04,0.4,0.736,0.499
1,0.04,0.42,0.697,0.573
1,0.04,0.44,0.593,0.637
1,0.04,0.46,0.702,0.627
1,0.04,0.48,0.518,0.638
1,0.04,0.5,0.705,0.547
1,0.04,0.52,0.703,0.59
1,0.04,0.54,0.743,0.508
1,0.04,0.56,0.705,0.596
1,0.04,0.58,0.667,0.607
1,0.04,0.6,0.705,0.549
1,0.04,0.62,0.625,0.592
1,0.04,0.64,0.685,0.566
1,0.04,0.66,0.674,0.624
1,0.04,0.68,0.716,0.527
1,0.04,0.7,0.676,0.623
1,0.04,0.72,0.73,0.557
1,0.04,0.74,0.715,0.543
1,0.04,0.76,0.769,0.578
1,0.04,0.78,0.661,0.656
1,0.04,0.8,0.731,0.549
1,0.04,0.82,0.709,0.521
1,0.04,0.84,0.726,0.617
1,0.04,0.86,0.701,0.544
1,0.04,0.88,0.636,0.658
1,0.04,0.9,0.719,0.523
1,0.04,0.92,0.691,0.559
1,0.04,0.94,0.734,0.589
1,0.04,0.96,0.677,0.553
1,0.04,0.98,0.692,0.589
1,0.04,1,0.669,0.606
1,0.06,0.02,0.666,0.532
1,0.06,0.04,0.712,0.545
1,0.06,0.06,0.621,0.636
1,0.06,0.08,0.695,0.579
1,0.06,0.1,0.646,0.58
1,0.06,0.12,0.702,0.573
1,0.06,0.14,0.673,0.536
1,0.06,0.16,0.708,0.559
1,0.06,0.18,0.715,0.422
1,0.06,0.2,0.677,0.56
1,0.06,0.22,0.721,0.443
1,0.06,0.24,0.626,0.6
1,0.06,0.26,0.699,0.578
1,0.06,0.28,0.673,0.622
1,0.06,0.3,0.631,0.63
1,0.06,0.32,0.591,0.605
1,0.06,0.34,0.691,0.52
1,0.06,0.36,0.62,0.582
1,0.06,0.38,0.699,0.629
1,0.06,0.4,0.721,0.498
1,0.06,0.42,0.754,0.453
1,0.06,0.44,0.666,0.609
1,0.06,0.46,0.632,0.57
1,0.06,0.48,0.748,0.573
1,0.06,0.5,0.755,0.449
1,0.06,0.52,0.691,0.595
1,0.06,0.54,0.67,0.577
1,0.06,0.56,0.683,0.583
1,0.06,0.58,0.68,0.525
1,0.06,0.6,0.621,0.554
1,0.06,0.62,0.665,0.601
1,0.06,0.64,0.641,0.559
1,0.06,0.66,0.613,0.554
1,0.06,0.68,0.722,0.566
1,0.06,0.7,0.696,0.555
1,0.06,0.72,0.605,0.604
1,0.06,0.74,0.671,0.559
1,0.06,0.76,0.699,0.516
1,0.06,0.78,0.703,0.584
1,0.06,0.8,0.707,0.538
1,0.06,0.82,0.741,0.462
1,0.06,0.84,0.691,0.603
1,0.06,0.86,0.718,0.539
1,0.06,0.88,0.696,0.546
1,0.06,0.9,0.68,0.601
1,0.06,0.92,0.699,0.637
1,0.06,0.94,0.701,0.558
1,0.06,0.96,0.678,0.571
1,0.06,0.98,0.736,0.508
1,0.06,1,0.656,0.619
1,0.08,0.02,0.563,0.609
1,0.08,0.04,0.692,0.623
1,0.08,0.06,0.681,0.583
1,0.08,0.08,0.64,0.563
1,0.08,0.1,0.644,0.583
1,0.08,0.12,0.73,0.498
1,0.08,0.14,0.683,0.536
1,0.08,0.16,0.712,0.518
1,0.08,0.18,0.725,0.514
1,0.08,0.2,0.731,0.602
1,0.08,0.22,0.683,0.517
1,0.08,0.24,0.628,0.606
1,0.08,0.26,0.697,0.567
1,0.08,0.28,0.693,0.592
1,0.08,0.3,0.59,0.641
1,0.08,0.32,0.739,0.595
1,0.08,0.34,0.641,0.58
1,0.08,0.36,0.627,0.587
1,0.08,0.38,0.659,0.551
1,0.08,0.4,0.731,0.521
1,0.08,0.42,0.683,0.603
1,0.08,0.44,0.685,0.574
1,0.08,0.46,0.71,0.537
1,0.08,0.48,0.753,0.585
1,0.08,0.5,0.733,0.532
1,0.08,0.52,0.67,0.55
1,0.08,0.54,0.669,0.601
1,0.08,0.56,0.737,0.601
1,0.08,0.58,0.654,0.534
1,0.08,0.6,0.72,0.568
1,0.08,0.62,0.63,0.582
1,0.08,0.64,0.669,0.621
1,0.08,0.66,0.692,0.581
1,0.08,0.68,0.657,0.618
1,0.08,0.7,0.696,0.59
1,0.08,0.72,0.678,0.593
1,0.08,0.74,0.637,0.533
1,0.08,0.76,0.664,0.53
1,0.08,0.78,0.634,0.587
1,0.08,0.8,0.623,0.569
1,0.08,0.82,0.679,0.637
1,0.08,0.84,0.652,0.636
1,0.08,0.86,0.637,0.576
1,0.08,0.88,0.591,0.65
1,0.08,0.9,0.676,0.583
1,0.08,0.92,0.653,0.576
1,0.08,0.94,0.701,0.516
1,0.08,0.96,0.662,0.548
1,0.08,0.98,0.691,0.601
1,0.08,1,0.615,0.639
1,0.1,0.02,0.676,0.557
1,0.1,0.04,0.721,0.624
1,0.1,0.06,0.733,0.45
1,0.1,0.08,0.699,0.61
1,0.1,0.1,0.715,0.541
1,0.1,0.12,0.696,0.596
1,0.1,0.14,0.621,0.623
1,0.1,0.16,0.713,0.513
1,0.1,0.18,0.668,0.568
1,0.1,0.2,0.668,0.614
1,0.1,0.22,0.699,0.559
1,0.1,0.24,0.675,0.547
1,0.1,0.26,0.716,0.508
1,0.1,0.28,0.664,0.632
1,0.1,0.3,0.706,0.59
1,0.1,0.32,0.648,0.59
1,0.1,0.34,0.702,0.631
1,0.1,0.36,0.59,0.564
1,0.1,0.38,0.671,0.551
1,0.1,0.4,0.656,0.622
1,0.1,0.42,0.735,0.548
1,0.1,0.44,0.739,0.576
1,0.1,0.46,0.752,0.56
1,0.1,0.48,0.68,0.603
1,0.1,0.5,0.69,0.511
1,0.1,0.52,0.616,0.591
1,0.1,0.54,0.704,0.581
1,0.1,0.56,0.733,0.51
1,0.1,0.58,0.726,0.58
1,0.1,0.6,0.76,0.555
1,0.1,0.62,0.733,0.592
1,0.1,0.64,0.652,0.521
1,0.1,0.66,0.694,0.613
1,0.1,0.68,0.735,0.495
1,0.1,0.7,0.653,0.596
1,0.1,0.72,0.692,0.501
1,0.1,0.74,0.697,0.586
1,0.1,0.76,0.678,0.431
1,0.1,0.78,0.728,0.593
1,0.1,0.8,0.653,0.564
1,0.1,0.82,0.675,0.587
1,0.1,0.84,0.665,0.538
1,0.1,0.86,0.681,0.454
1,0.1,0.88,0.681,0.595
1,0.1,0.9,0.654,0.532
1,0.1,0.92,0.674,0.538
1,0.1,0.94,0.721,0.601
1,0.1,0.96,0.622,0.564
1,0.1,0.98,0.723,0.491
1,0.1,1,0.652,0.517
1,0.12,0.02,0.652,0.587
1,0.12,0.04,0.664,0.578
1,0.12,0.06,0.571,0.609
1,0.12,0.08,0.704,0.507
1,0.12,0.1,0.691,0.622
1,0.12,0.12,0.685,0.55
1,0.12,0.14,0.69,0.549
1,0.12,0.16,0.698,0.592
1,0.12,0.18,0.724,0.496
1,0.12,0.2,0.657,0.618
1,0.12,0.22,0.663,0.518
1,0.12,0.24,0.733,0.572
1,0.12,0.26,0.631,0.497
1,0.12,0.28,0.643,0.593
1,0.12,0.3,0.735,0.587
1,0.12,0.32,0.593,0.583
1,0.12,0.34,0.662,0.489
1,0.12,0.36,0.717,0.551
1,0.12,0.38,0.722,0.548
1,0.12,0.4,0.712,0.547
1,0.12,0.42,0.644,0.526
1,0.12,0.44,0.739,0.55
1,0.12,0.46,0.706,0.577
1,0.12,0.48,0.732,0.491
1,0.12,0.5,0.727,0.571
1,0.12,0.52,0.722,0.601
1,0.12,0.54,0.735,0.545
1,0.12,0.56,0.671,0.632
1,0.12,0.58,0.677,0.639
1,0.12,0.6,0.719,0.455
1,0.12,0.62,0.689,0.582
1,0.12,0.64,0.749,0.51
1,0.12,0.66,0.695,0.543
1,0.12,0.68,0.682,0.554
1,0.12,0.7,0.73,0.514
1,0.12,0.72,0.703,0.469
1,0.12,0.74,0.658,0.568
1,0.12,0.76,0.724,0.526
1,0.12,0.78,0.695,0.531
1,0.12,0.8,0.645,0.546
1,0.12,0.82,0.735,0.559
1,0.12,0.84,0.732,0.52
1,0.12,0.86,0.658,0.586
1,0.12,0.88,0.666,0.557
1,0.12,0.9,0.661,0.51
1,0.12,0.92,0.701,0.503
1,0.12,0.94,0.648,0.569
1,0.12,0.96,0.672,0.553
1,0.12,0.98,0.655,0.682
1,0.12,1,0.576,0.639
1,0.14,0.02,0.71,0.621
1,0.14,0.04,0.704,0.612
1,0.14,0.06,0.731,0.573
1,0.14,0.08,0.702,0.554
1,0.14,0.1,0.71,0.562
1,0.14,0.12,0.685,0.579
1,0.14,0.14,0.603,0.569
1,0.14,0.16,0.684,0.544
1,0.14,0.18,0.619,0.623
1,0.14,0.2,0.696,0.561
1,0.14,0.22,0.719,0.58
1,0.14,0.24,0.712,0.513
1,0.14,0.26,0.69,0.569
1,0.14,0.28,0.622,0.536
1,0.14,0.3,0.67,0.638
1,0.14,0.32,0.718,0.579
1,0.14,0.34,0.666,0.582
1,0.14,0.36,0.725,0.554
1,0.14,0.38,0.659,0.567
1,0.14,0.4,0.728,0.539
1,0.14,0.42,0.717,0.507
1,0.14,0.44,0.614,0.629
1,0.14,0.46,0.688,0.583
1,0.14,0.48,0.638,0.586
1,0.14,0.5,0.682,0.485
1,0.14,0.52,0.683,0.621
1,0.14,0.54,0.754,0.517
1,0.14,0.56,0.673,0.547
1,0.14,0.58,0.695,0.624
1,0.14,0.6,0.687,0.57
1,0.14,0.62,0.719,0.54
1,0.14,0.64,0.618,0.632
1,0.14,0.66,0.519,0.609
1,0.14,0.68,0.705,0.483
1,0.14,0.7,0.676,0.562
1,0.14,0.72,0.75,0.592
1,0.14,0.74,0.643,0.533
1,0.14,0.76,0.653,0.594
1,0.14,0.78,0.663,0.639
1,0.14,0.8,0.727,0.579
1,0.14,0.82,0.706,0.626
1,0.14,0.84,0.649,0.542
1,0.14,0.86,0.685,0.537
1,0.14,0.88,0.725,0.513
1,0.14,0.9,0.676,0.482
1,0.14,0.92,0.72,0.511
1,0.14,0.94,0.654,0.639
1,0.14,0.96,0.681,0.532
1,0.14,0.98,0.649,0.616
1,0.14,1,0.648,0.612
1,0.16,0.02,0.712,0.563
1,0.16,0.04,0.697,0.535
1,0.16,0.06,0.673,0.535
1,0.16,0.08,0.737,0.515
1,0.16,0.1,0.684,0.582
1,0.16,0.12,0.653,0.589
1,0.16,0.14,0.707,0.558
1,0.16,0.16,0.722,0.513
1,0.16,0.18,0.589,0.574
1,0.16,0.2,0.656,0.516
1,0.16,0.22,0.707,0.568
1,0.16,0.24,0.644,0.461
1,0.16,0.26,0.671,0.533
1,0.16,0.28,0.693,0.516
1,0.16,0.3,0.677,0.613
1,0.16,0.32,0.707,0.561
1,0.16,0.34,0.707,0.614
1,0.16,0.36,0.668,0.555
1,0.16,0.38,0.657,0.645
1,0.16,0.4,0.675,0.569
1,0.16,0.42,0.593,0.605
1,0.16,0.44,0.678,0.547
1,0.16,0.46,0.599,0.594
1,0.16,0.48,0.651,0.571
1,0.16,0.5,0.719,0.51
1,0.16,0.52,0.721,0.605
1,0.16,0.54,0.708,0.621
1,0.16,0.56,0.692,0.56
1,0.16,0.58,0.656,0.562
1,0.16,0.6,0.662,0.585
1,0.16,0.62,0.692,0.599
1,0.16,0.64,0.638,0.559
1,0.16,0.66,0.655,0.565
1,0.16,0.68,0.708,0.627
1,0.16,0.7,0.676,0.497
1,0.16,0.72,0.619,0.624
1,0.16,0.74,0.666,0.624
1,0.16,0.76,0.733,0.514
1,0.16,0.78,0.649,0.509
1,0.16,0.8,0.683,0.495
1,0.16,0.82,0.697,0.589
1,0.16,0.84,0.63,0.573
1,0.16,0.86,0.661,0.552
1,0.16,0.88,0.576,0.6
1,0.16,0.9,0.68,0.518
1,0.16,0.92,0.559,0.627
1,0.16,0.94,0.657,0.561
1,0.16,0.96,0.691,0.619
1,0.16,0.98,0.614,0.61
1,0.16,1,0.71,0.561
1,0.18,0.02,0.676,0.583
1,0.18,0.04,0.664,0.591
1,0.18,0.06,0.688,0.498
1,0.18,0.08,0.67,0.609
1,0.18,0.1,0.665,0.58
1,0.18,0.12,0.679,0.607
1,0.18,0.14,0.709,0.502
1,0.18,0.16,0.687,0.558
1,0.18,0.18,0.668,0.544
1,0.18,0.2,0.654,0.581
1,0.18,0.22,0.684,0.537
1,0.18,0.24,0.693,0.56
1,0.18,0.26,0.665,0.5
1,0.18,0.28,0.709,0.537
1,0.18,0.3,0.726,0.593
1,0.18,0.32,0.651,0.621
1,0.18,0.34,0.706,0.545
1,0.18,0.36,0.629,0.583
1,0.18,0.38,0.7,0.549
1,0.18,0.4,0.71,0.578
1,0.18,0.42,0.715,0.629
1,0.18,0.44,0.699,0.562
1,0.18,0.46,0.652,0.561
1,0.18,0.48,0.68,0.513
1,0.18,0.5,0.672,0.574
1,0.18,0.52,0.688,0.587
1,0.18,0.54,0.636,0.599
1,0.18,0.56,0.679,0.548
1,0.18,0.58,0.688,0.596
1,0.18,0.6,0.612,0.639
1,0.18,0.62,0.752,0.569
1,0.18,0.64,0.663,0.486
1,0.18,0.66,0.679,0.57
1,0.18,0.68,0.687,0.481
1,0.18,0.7,0.706,0.548
1,0.18,0.72,0.698,0.628
1,0.18,0.74,0.705,0.539
1,0.18,0.76,0.694,0.563
1,0.18,0.78,0.591,0.54
1,0.18,0.8,0.629,0.479
1,0.18,0.82,0.717,0.584
1,0.18,0.84,0.677,0.582
1,0.18,0.86,0.605,0.577
1,0.18,0.88,0.715,0.611
1,0.18,0.9,0.716,0.447
1,0.18,0.92,0.736,0.443
1,0.18,0.94,0.708,0.558
1,0.18,0.96,0.621,0.574
1,0.18,0.98,0.727,0.629
1,0.18,1,0.691,0.588
1,0.2,0.02,0.669,0.574
1,0.2,0.04,0.633,0.551
1,0.2,0.06,0.592,0.601
1,0.2,0.08,0.666,0.555
1,0.2,0.1,0.678,0.547
1,0.2,0.12,0.562,0.624
1,0.2,0.14,0.697,0.612
1,0.2,0.16,0.682,0.519
1,0.2,0.18,0.658,0.548
1,0.2,0.2,0.655,0.555
1,0.2,0.22,0.701,0.529
1,0.2,0.24,0.677,0.575
1,0.2,0.26,0.659,0.506
1,0.2,0.28,0.693,0.592
1,0.2,0.3,0.607,0.579
1,0.2,0.32,0.685,0.53
1,0.2,0.34,0.696,0.507
1,0.2,0.36,0.689,0.521
1,0.2,0.38,0.751,0.53
1,0.2,0.4,0.703,0.609
1,0.2,0.42,0.66,0.598
1,0.2,0.44,0.677,0.568
1,0.2,0.46,0.711,0.565
1,0.2,0.48,0.689,0.572
1,0.2,0.5,0.718,0.568
1,0.2,0.52,0.684,0.57
1,0.2,0.54,0.681,0.519
1,0.2,0.56,0.717,0.488
1,0.2,0.58,0.668,0.55
1,0.2,0.6,0.717,0.424
1,0.2,0.62,0.67,0.55
1,0.2,0.64,0.644,0.583
1,0.2,0.66,0.648,0.625
1,0.2,0.68,0.69,0.487
1,0.2,0.7,0.678,0.591
1,0.2,0.72,0.636,0.57
1,0.2,0.74,0.74,0.581
1,0.2,0.76,0.69,0.47
1,0.2,0.78,0.668,0.538
1,0.2,0.8,0.737,0.443
1,0.2,0.82,0.673,0.548
1,0.2,0.84,0.625,0.533
1,0.2,0.86,0.661,0.561
1,0.2,0.88,0.682,0.519
1,0.2,0.9,0.716,0.486
1,0.2,0.92,0.661,0.526
1,0.2,0.94,0.673,0.554
1,0.2,0.96,0.685,0.621
1,0.2,0.98,0.668,0.524
1,0.2,1,0.699,0.425
1,0.22,0.02,0.74,0.525
1,0.22,0.04,0.672,0.538
1,0.22,0.06,0.699,0.557
1,0.22,0.08,0.669,0.565
1,0.22,0.1,0.671,0.465
1,0.22,0.12,0.706,0.548
1,0.22,0.14,0.715,0.534
1,0.22,0.16,0.677,0.561
1,0.22,0.18,0.627,0.624
1,0.22,0.2,0.703,0.545
1,0.22,0.22,0.718,0.553
1,0.22,0.24,0.658,0.587
1,0.22,0.26,0.662,0.599
1,0.22,0.28,0.653,0.55
1,0.22,0.3,0.7,0.581
1,0.22,0.32,0.708,0.553
1,0.22,0.34,0.602,0.578
1,0.22,0.36,0.679,0.541
1,0.22,0.38,0.677,0.545
1,0.22,0.4,0.728,0.44
1,0.22,0.42,0.709,0.582
1,0.22,0.44,0.678,0.487
1,0.22,0.46,0.664,0.51
1,0.22,0.48,0.648,0.578
1,0.22,0.5,0.621,0.527
1,0.22,0.52,0.646,0.585
1,0.22,0.54,0.592,0.56
1,0.22,0.56,0.703,0.565
1,0.22,0.58,0.658,0.564
1,0.22,0.6,0.628,0.557
1,0.22,0.62,0.661,0.542
1,0.22,0.64,0.657,0.599
1,0.22,0.66,0.69,0.429
1,0.22,0.68,0.683,0.512
1,0.22,0.7,0.688,0.59
1,0.22,0.72,0.545,0.56
1,0.22,0.74,0.699,0.551
1,0.22,0.76,0.651,0.549
1,0.22,0.78,0.683,0.621
1,0.22,0.8,0.679,0.523
1,0.22,0.82,0.733,0.534
1,0.22,0.84,0.6,0.593
1,0.22,0.86,0.738,0.53
1,0.22,0.88,0.732,0.562
1,0.22,0.9,0.683,0.647
1,0.22,0.92,0.649,0.589
1,0.22,0.94,0.671,0.514
1,0.22,0.96,0.663,0.521
1,0.22,0.98,0.722,0.44
1,0.22,1,0.699,0.516
1,0.24,0.02,0.598,0.61
1,0.24,0.04,0.706,0.499
1,0.24,0.06,0.715,0.595
1,0.24,0.08,0.662,0.573
1,0.24,0.1,0.595,0.574
1,0.24,0.12,0.59,0.625
1,0.24,0.14,0.679,0.538
1,0.24,0.16,0.566,0.625
1,0.24,0.18,0.661,0.529
1,0.24,0.2,0.675,0.516
1,0.24,0.22,0.673,0.569
1,0.24,0.24,0.634,0.552
1,0.24,0.26,0.736,0.512
1,0.24,0.28,0.669,0.467
1,0.24,0.3,0.712,0.585
1,0.24,0.32,0.666,0.577
1,0.24,0.34,0.719,0.52
1,0.24,0.36,0.69,0.495
1,0.24,0.38,0.712,0.485
1,0.24,0.4,0.682,0.596
1,0.24,0.42,0.65,0.523
1,0.24,0.44,0.7,0.484
1,0.24,0.46,0.677,0.537
1,0.24,0.48,0.681,0.598
1,0.24,0.5,0.691,0.57
1,0.24,0.52,0.742,0.559
1,0.24,0.54,0.71,0.586
1,0.24,0.56,0.677,0.522
1,0.24,0.58,0.746,0.519
1,0.24,0.6,0.589,0.63
1,0.24,0.62,0.681,0.569
1,0.24,0.64,0.69,0.559
1,0.24,0.66,0.726,0.55
1,0.24,0.68,0.695,0.612
1,0.24,0.7,0.604,0.617
1,0.24,0.72,0.678,0.612
1,0.24,0.74,0.733,0.559
1,0.24,0.76,0.657,0.563
1,0.24,0.78,0.693,0.462
1,0.24,0.8,0.661,0.516
1,0.24,0.82,0.673,0.628
1,0.24,0.84,0.702,0.482
1,0.24,0.86,0.599,0.599
1,0.24,0.88,0.701,0.611
1,0.24,0.9,0.652,0.583
1,0.24,0.92,0.684,0.616
1,0.24,0.94,0.668,0.611
1,0.24,0.96,0.616,0.568
1,0.24,0.98,0.694,0.604
1,0.24,1,0.711,0.488
1,0.26,0.02,0.713,0.536
1,0.26,0.04,0.593,0.619
1,0.26,0.06,0.598,0.563
1,0.26,0.08,0.708,0.477
1,0.26,0.1,0.6,0.578
1,0.26,0.12,0.692,0.533
1,0.26,0.14,0.639,0.462
1,0.26,0.16,0.599,0.605
1,0.26,0.18,0.732,0.443
1,0.26,0.2,0.604,0.618
1,0.26,0.22,0.708,0.571
1,0.26,0.24,0.709,0.576
1,0.26,0.26,0.674,0.612
1,0.26,0.28,0.658,0.581
1,0.26,0.3,0.634,0.478
1,0.26,0.32,0.691,0.522
1,0.26,0.34,0.638,0.47
1,0.26,0.36,0.729,0.546
1,0.26,0.38,0.668,0.585
1,0.26,0.4,0.632,0.566
1,0.26,0.42,0.623,0.61
1,0.26,0.44,0.688,0.522
1,0.26,0.46,0.589,0.599
1,0.26,0.48,0.734,0.538
1,0.26,0.5,0.687,0.475
1,0.26,0.52,0.683,0.611
1,0.26,0.54,0.61,0.566
1,0.26,0.56,0.691,0.614
1,0.26,0.58,0.659,0.577
1,0.26,0.6,0.687,0.458
1,0.26,0.62,0.705,0.573
1,0.26,0.64,0.649,0.502
1,0.26,0.66,0.639,0.628
1,0.26,0.68,0.681,0.513
1,0.26,0.7,0.701,0.534
1,0.26,0.72,0.712,0.586
1,0.26,0.74,0.692,0.493
1,0.26,0.76,0.648,0.506
1,0.26,0.78,0.642,0.604
1,0.26,0.8,0.711,0.469
1,0.26,0.82,0.704,0.494
1,0.26,0.84,0.734,0.562
1,0.26,0.86,0.626,0.632
1,0.26,0.88,0.64,0.508
1,0.26,0.9,0.696,0.52
1,0.26,0.92,0.688,0.524
1,0.26,0.94,0.614,0.574
1,0.26,0.96,0.67,0.595
1,0.26,0.98,0.733,0.535
1,0.26,1,0.726,0.536
1,0.28,0.02,0.671,0.568
1,0.28,0.04,0.629,0.578
1,0.28,0.06,0.675,0.577
1,0.28,0.08,0.646,0.611
1,0.28,0.1,0.66,0.623
1,0.28,0.12,0.682,0.615
1,0.28,0.14,0.682,0.606
1,0.28,0.16,0.671,0.608
1,0.28,0.18,0.669,0.617
1,0.28,0.2,0.711,0.629
1,0.28,0.22,0.647,0.503
1,0.28,0.24,0.637,0.531
1,0.28,0.26,0.611,0.566
1,0.28,0.28,0.629,0.553
1,0.28,0.3,0.612,0.591
1,0.28,0.32,0.607,0.533
1,0.28,0.34,0.684,0.508
1,0.28,0.36,0.631,0.456
1,0.28,0.38,0.69,0.45
1,0.28,0.4,0.654,0.485
1,0.28,0.42,0.617,0.583
1,0.28,0.44,0.657,0.469
1,0.28,0.46,0.64,0.552
1,0.28,0.48,0.708,0.533
1,0.28,0.5,0.637,0.466
1,0.28,0.52,0.609,0.565
1,0.28,0.54,0.723,0.586
1,0.28,0.56,0.718,0.482
1,0.28,0.58,0.648,0.505
1,0.28,0.6,0.662,0.567
1,0.28,0.62,0.654,0.581
1,0.28,0.64,0.636,0.582
1,0.28,0.66,0.735,0.563
1,0.28,0.68,0.589,0.59
1,0.28,0.7,0.657,0.505
1,0.28,0.72,0.704,0.579
1,0.28,0.74,0.673,0.502
1,0.28,0.76,0.672,0.578
1,0.28,0.78,0.584,0.542
1,0.28,0.8,0.69,0.504
1,0.28,0.82,0.702,0.534
1,0.28,0.84,0.689,0.539
1,0.28,0.86,0.674,0.449
1,0.28,0.88,0.678,0.6
1,0.28,0.9,0.663,0.604
1,0.28,0.92,0.538,0.621
1,0.28,0.94,0.685,0.537
1,0.28,0.96,0.69,0.544
1,0.28,0.98,0.594,0.517
1,0.28,1,0.612,0.605
1,0.3,0.02,0.626,0.626
1,0.3,0.04,0.661,0.575
1,0.3,0.06,0.717,0.563
1,0.3,0.08,0.572,0.604
1,0.3,0.1,0.645,0.509
1,0.3,0.12,0.67,0.494
1,0.3,0.14,0.662,0.529
1,0.3,0.16,0.715,0.591
1,0.3,0.18,0.67,0.571
1,0.3,0.2,0.637,0.539
1,0.3,0.22,0.709,0.607
1,0.3,0.24,0.68,0.529
1,0.3,0.26,0.595,0.554
1,0.3,0.28,0.674,0.548
1,0.3,0.3,0.682,0.515
1,0.3,0.32,0.646,0.56
1,0.3,0.34,0.54,0.568
1,0.3,0.36,0.609,0.567
1,0.3,0.38,0.692,0.543
1,0.3,0.4,0.703,0.589
1,0.3,0.42,0.531,0.553
1,0.3,0.44,0.723,0.558
1,0.3,0.46,0.683,0.525
1,0.3,0.48,0.64,0.498
1,0.3,0.5,0.68,0.48
1,0.3,0.52,0.565,0.602
1,0.3,0.54,0.679,0.542
1,0.3,0.56,0.663,0.481
1,0.3,0.58,0.678,0.556
1,0.3,0.6,0.674,0.499
1,0.3,0.62,0.707,0.496
1,0.3,0.64,0.71,0.53
1,0.3,0.66,0.645,0.569
1,0.3,0.68,0.751,0.541
1,0.3,0.7,0.682,0.561
1,0.3,0.72,0.702,0.432
1,0.3,0.74,0.703,0.553
1,0.3,0.76,0.608,0.605
1,0.3,0.78,0.655,0.595
1,0.3,0.8,0.664,0.613
1,0.3,0.82,0.703,0.515
1,0.3,0.84,0.665,0.532
1,0.3,0.86,0.679,0.495
1,0.3,0.88,0.698,0.53
1,0.3,0.9,0.632,0.561
1,0.3,0.92,0.713,0.517
1,0.3,0.94,0.622,0.581
1,0.3,0.96,0.696,0.549
1,0.3,0.98,0.681,0.441
1,0.3,1,0.703,0.589
1,0.32,0.02,0.655,0.581
1,0.32,0.04,0.63,0.56
1,0.32,0.06,0.545,0.578
1,0.32,0.08,0.598,0.607
1,0.32,0.1,0.648,0.539
1,0.32,0.12,0.664,0.563
1,0.32,0.14,0.691,0.594
1,0.32,0.16,0.679,0.51
1,0.32,0.18,0.697,0.429
1,0.32,0.2,0.624,0.48
1,0.32,0.22,0.697,0.419
1,0.32,0.24,0.578,0.475
1,0.32,0.26,0.635,0.458
1,0.32,0.28,0.705,0.411
1,0.32,0.3,0.645,0.606
1,0.32,0.32,0.64,0.544
1,0.32,0.34,0.672,0.534
1,0.32,0.36,0.603,0.491
1,0.32,0.38,0.647,0.578
1,0.32,0.4,0.629,0.612
1,0.32,0.42,0.676,0.583
1,0.32,0.44,0.662,0.503
1,0.32,0.46,0.529,0.628
1,0.32,0.48,0.626,0.585
1,0.32,0.5,0.645,0.577
1,0.32,0.52,0.619,0.607
1,0.32,0.54,0.639,0.602
