"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.477332248735327,0.0249873660483361,0.300935120879697,0.0107210138518604,0.17639712785563,0.0142663521964757
0.02,0.534597748808661,0.0958664645484628,0.319800769572712,0.0422152858782651,0.214796979235948,0.0536511786701977
0.03,0.567434590352632,0.147258074605128,0.330454106995496,0.0657042583866611,0.236980483357137,0.0815538162184666
0.04,0.593467693103682,0.189317930539081,0.339030508707548,0.0852458541900667,0.254437184396134,0.104072076349015
0.05,0.615647747129623,0.225257967941875,0.346458879173924,0.102164230012033,0.269188867955698,0.123093737929842
0.06,0.634974913370911,0.256767192798364,0.353021714427934,0.117162410845276,0.281953198942977,0.139604781953088
0.07,0.652086857058655,0.284909677129982,0.358901108370361,0.13068781803633,0.293185748688293,0.154221859093652
0.08,0.667391294004418,0.310319150960453,0.364213892293218,0.14300434000134,0.3031774017112,0.167314810959113
0.09,0.681165813122173,0.333405742948399,0.369039409705084,0.154280686800817,0.312126403417089,0.179125056147582
0.1,0.693620407707802,0.354473886543111,0.373438134989387,0.164642257064393,0.320182272718415,0.189831629478718
0.11,0.704924943799621,0.373770087068336,0.37745975690321,0.174191822915793,0.327465186896411,0.199578264152543
0.12,0.715220861586384,0.391501209737284,0.381146387043968,0.183016946219084,0.334074474542416,0.2084842635182
0.13,0.724627405265453,0.407843238752446,0.384534136162983,0.191193223026175,0.34009326910247,0.216650015726271
0.14,0.733245852686452,0.422946949914898,0.387654157489292,0.198786300724956,0.34559169519716,0.224160649189943
0.15,0.741162743444521,0.436942224402155,0.390533454682857,0.205853425313996,0.350629288761664,0.231088799088159
0.16,0.748452436966246,0.44994150063333,0.39319553812325,0.212444708484229,0.355256898842996,0.237496792149101
0.17,0.755179165181494,0.462042576937897,0.395660964535566,0.218604181011474,0.359518200645928,0.243438395926423
0.18,0.761398690924547,0.473330901582867,0.397947782703111,0.224370672097004,0.363450908221436,0.248960229485863
0.19,0.767159655593483,0.483881453211812,0.400071902907127,0.229778545334797,0.367087752686356,0.254102907877016
0.2,0.772504680471519,0.493760292421294,0.402047404269356,0.234858316411162,0.370457276202163,0.258901976010132
0.21,0.777471271727984,0.503025848187214,0.403886791428583,0.239637173166314,0.3735844802994,0.2633886750209
0.22,0.782092568122104,0.511729989580342,0.405601209764617,0.244139414924192,0.376491358357487,0.26759057465615
0.23,0.786397961997376,0.519918922828498,0.407200626598191,0.248386824921231,0.379197335399184,0.271532097907268
0.24,0.79041361766163,0.527633945655223,0.408693984364814,0.252398987145788,0.381719633296816,0.275234958509436
0.25,0.794162906230752,0.53491208444942,0.410089330616548,0.256193556847903,0.384073575614204,0.278718527601517
0.26,0.797666772119347,0.54178663480497,0.411393928790962,0.259786492312033,0.386272843328385,0.282000142492937
0.27,0.800944043323705,0.548287622009864,0.4126143529543,0.263192254132354,0.388329690369406,0.28509536787751
0.28,0.804011695261008,0.55444219492667,0.413756569138781,0.266423977131683,0.390255126122227,0.288018217794986
0.29,0.806885076052734,0.560274964209747,0.414826005421995,0.269493619172246,0.392059070630739,0.290781345037501
0.3,0.809578099655265,0.565808293810349,0.415827612515891,0.272412090379485,0.393750487139374,0.293396203430863
0.31,0.812103412059621,0.571062553121153,0.416765916325304,0.275189365706956,0.395337495734317,0.295873187414197
0.32,0.81447253483852,0.576056335823436,0.4176450636864,0.277834583285092,0.39682747115212,0.298221752538344
