"l1","alpha","lamda1","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
1,0.02,0.02,0.648268573967556,0.462204081069007,0.343031307902822,0.230075590728614,0.305237266064734,0.232128490340393
1,0.02,0.04,0.651847911275329,0.462180319293149,0.345619306960014,0.230059316518175,0.306228604315315,0.232121002774974
1,0.02,0.06,0.655421390396707,0.462156610065935,0.348203865003081,0.230043072015029,0.307217525393626,0.232113538050906
1,0.02,0.08,0.65898914304189,0.462132952220297,0.350785100115326,0.230026856174285,0.308204042926564,0.232106096046012
1,0.02,0.1,0.662551300029995,0.462109344594542,0.353363129634693,0.230010667955282,0.309188170395302,0.23209867663926
1,0.02,0.12,0.666107991339529,0.462085786032014,0.355938070200924,0.22999450632127,0.310169921138605,0.232091279710744
1,0.02,0.14,0.669659346157491,0.462062275380747,0.358510037801472,0.229978370239092,0.311149308356019,0.232083905141656
1,0.02,0.16,0.67320549292721,0.462038811493142,0.361079147816272,0.229962258678875,0.312126345110938,0.232076552814267
1,0.02,0.18,0.67674655939502,0.462015393225628,0.363645515061464,0.229946170613723,0.313101044333555,0.232069222611905
1,0.02,0.2,0.680282672655859,0.461992019438349,0.36620925383215,0.229930105019414,0.314073418823709,0.232061914418935
1,0.02,0.22,0.683813959197882,0.461968688994835,0.368770477944265,0.229914060874099,0.315043481253617,0.232054628120736
1,0.02,0.24,0.687340544946172,0.461945400761695,0.371329300775649,0.22989803715801,0.316011244170523,0.232047363603685
1,0.02,0.26,0.690862555305621,0.461922153608296,0.373885835306377,0.22988203285316,0.316976719999243,0.232040120755137
1,0.02,0.28,0.694380115203057,0.461898946406461,0.37644019415843,0.229866046943058,0.317939921044626,0.232032899463403
1,0.02,0.3,0.697893349128696,0.461875778030155,0.378992489634766,0.229850078412413,0.31890085949393,0.232025699617742
1,0.02,0.32,0.701402381176965,0.461852647355184,0.38154283375785,0.229834126246851,0.319859547419115,0.232018521108332
1,0.02,0.34,0.704907335086787,0.461829553258888,0.384091338307719,0.229818189432624,0.320815996779068,0.232011363826264
1,0.02,0.36,0.708408334281357,0.461806494619841,0.386638114859612,0.229802266956323,0.321770219421745,0.232004227663518
1,0.02,0.38,0.711905501907507,0.461783470317548,0.389183274821256,0.229786357804596,0.322722227086251,0.231997112512952
1,0.02,0.4,0.715398960874674,0.461760479232143,0.391726929469823,0.229770460963858,0.32367203140485,0.231990018268286
1,0.02,0.42,0.718888833893559,0.461737520244091,0.394269189988642,0.229754575420006,0.324619643904916,0.231982944824085
1,0.02,0.44,0.722375243514515,0.461714592233883,0.396810167503697,0.229738700158134,0.325565076010818,0.231975892075749
1,0.02,0.46,0.725858312165718,0.461691694081738,0.399349973119965,0.229722834162244,0.326508339045752,0.231968859919494
1,0.02,0.48,0.729338162191161,0.4616688246673,0.401888717957644,0.229706976414957,0.327449444233517,0.231961848252343
1,0.02,0.5,0.732814915888544,0.461645982869332,0.404426513188309,0.229691125897223,0.328388402700235,0.231954856972108
1,0.02,0.52,0.736288695547086,0.461623167565415,0.40696347007106,0.229675281588031,0.329325225476026,0.231947885977384
1,0.02,0.54,0.739759623485309,0.461600377631641,0.409499699988678,0.229659442464113,0.330259923496632,0.231940935167528
1,0.02,0.56,0.74322782208885,0.461577611942302,0.412035314483859,0.229643607499648,0.331192507604991,0.231934004442654
1,0.02,0.58,0.746693413848334,0.461554869369582,0.414570425295561,0.229627775665965,0.332122988552773,0.231927093703617
1,0.02,0.6,0.750156521397369,0.461532148783242,0.417105144395498,0.22961194593124,0.333051377001871,0.231920202852002
1,0.02,0.62,0.753617267550689,0.461509449050304,0.419639584024841,0.22959611726019,0.333977683525848,0.231913331790114
1,0.02,0.64,0.757075775342503,0.461486769034733,0.422173856731154,0.229580288613767,0.334901918611349,0.231906480420966
1,0.02,0.66,0.760532168065088,0.461464107597108,0.424708075405616,0.229564458948841,0.335824092659473,0.231899648648267
1,0.02,0.68,0.763986569307682,0.461441463594302,0.427242353320572,0.229548627217888,0.33674421598711,0.231892836376414
1,0.02,0.7,0.767439102995695,0.461418835879144,0.429776804167455,0.229532792368666,0.33766229882824,0.231886043510478
1,0.02,0.72,0.770889893430321,0.461396223300088,0.432311542095116,0.22951695334389,0.338578351335205,0.231879269956198
1,0.02,0.74,0.774339065328561,0.461373624700866,0.43484668174862,0.229501109080898,0.339492383579941,0.231872515619968
1,0.02,0.76,0.777786743863729,0.461351038920144,0.437382338308544,0.229485258511317,0.340404405555184,0.231865780408827
1,0.02,0.78,0.781233054706466,0.461328464791172,0.43991862753082,0.229469400560719,0.341314427175647,0.231859064230453
1,0.02,0.8,0.784678124066333,0.46130590114142,0.442455665787173,0.22945353414827,0.342222458279159,0.23185236699315
1,0.02,0.82,0.788122078734002,0.461283346792215,0.44499357010621,0.229437658186377,0.343128508627792,0.231845688605838
1,0.02,0.84,0.79156504612413,0.46126080055837,0.447532458215184,0.229421771580321,0.344032587908946,0.231839028978049
1,0.02,0.86,0.79500715431893,0.461238261247804,0.450072448582515,0.229405873227891,0.344934705736415,0.231832388019914
1,0.02,0.88,0.798448532112515,0.461215727661153,0.452613660461083,0.229389962018999,0.345834871651432,0.231825765642154
1,0.02,0.9,0.80188930905606,0.461193198591376,0.455156213932379,0.229374036835301,0.34673309512368,0.231819161756074
1,0.02,0.92,0.805329615503831,0.461170672823349,0.457700229951541,0.229358096549795,0.34762938555229,0.231812576273554
1,0.02,0.94,0.808769582660153,0.461148149133458,0.460245830393346,0.229342140026419,0.348523752266807,0.23180600910704
