"Repeat","alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
1,0.02,0.02,0.368,0.113,0.218,0.053,0.15,0.06
1,0.02,0.04,0.522,0.271,0.302,0.121,0.22,0.15
1,0.02,0.06,0.601,0.313,0.333,0.148,0.268,0.165
1,0.02,0.08,0.612,0.393,0.341,0.203,0.271,0.19
1,0.02,0.1,0.659,0.451,0.352,0.231,0.307,0.22
1,0.02,0.12,0.618,0.491,0.344,0.241,0.274,0.25
1,0.02,0.14,0.599,0.547,0.32,0.279,0.279,0.268
1,0.02,0.16,0.695,0.499,0.367,0.248,0.328,0.251
1,0.02,0.18,0.748,0.561,0.37,0.28,0.378,0.281
1,0.02,0.2,0.782,0.608,0.41,0.296,0.372,0.312
1,0.02,0.22,0.703,0.635,0.352,0.323,0.351,0.312
1,0.02,0.24,0.767,0.601,0.393,0.29,0.374,0.311
1,0.02,0.26,0.739,0.59,0.38,0.302,0.359,0.288
1,0.02,0.28,0.784,0.623,0.39,0.315,0.394,0.308
1,0.02,0.3,0.804,0.56,0.408,0.299,0.396,0.261
1,0.02,0.32,0.718,0.653,0.366,0.319,0.352,0.334
1,0.02,0.34,0.747,0.693,0.385,0.347,0.362,0.346
1,0.02,0.36,0.799,0.657,0.402,0.332,0.397,0.325
1,0.02,0.38,0.782,0.706,0.395,0.355,0.387,0.351
1,0.02,0.4,0.776,0.688,0.391,0.346,0.385,0.342
1,0.02,0.42,0.763,0.683,0.386,0.328,0.377,0.355
1,0.02,0.44,0.814,0.705,0.406,0.344,0.408,0.361
1,0.02,0.46,0.811,0.648,0.408,0.323,0.403,0.325
1,0.02,0.48,0.785,0.716,0.395,0.367,0.39,0.349
1,0.02,0.5,0.775,0.677,0.398,0.328,0.377,0.349
1,0.02,0.52,0.831,0.697,0.417,0.342,0.414,0.355
1,0.02,0.54,0.821,0.704,0.414,0.35,0.407,0.354
1,0.02,0.56,0.798,0.71,0.396,0.351,0.402,0.359
1,0.02,0.58,0.788,0.703,0.399,0.349,0.389,0.354
1,0.02,0.6,0.794,0.72,0.392,0.363,0.402,0.357
1,0.02,0.62,0.821,0.715,0.42,0.366,0.401,0.349
1,0.02,0.64,0.831,0.699,0.411,0.344,0.42,0.355
1,0.02,0.66,0.794,0.69,0.393,0.355,0.401,0.335
1,0.02,0.68,0.831,0.722,0.424,0.364,0.407,0.358
1,0.02,0.7,0.799,0.72,0.402,0.356,0.397,0.364
1,0.02,0.72,0.826,0.696,0.407,0.357,0.419,0.339
1,0.02,0.74,0.821,0.755,0.409,0.376,0.412,0.379
1,0.02,0.76,0.836,0.719,0.409,0.369,0.427,0.35
1,0.02,0.78,0.827,0.718,0.411,0.366,0.416,0.352
1,0.02,0.8,0.825,0.697,0.416,0.34,0.409,0.357
1,0.02,0.82,0.826,0.704,0.411,0.359,0.415,0.345
1,0.02,0.84,0.834,0.684,0.423,0.349,0.411,0.335
1,0.02,0.86,0.844,0.711,0.428,0.35,0.416,0.361
1,0.02,0.88,0.809,0.714,0.409,0.355,0.4,0.359
1,0.02,0.9,0.835,0.721,0.419,0.357,0.416,0.364
1,0.02,0.92,0.822,0.722,0.405,0.371,0.417,0.351
1,0.02,0.94,0.81,0.717,0.413,0.348,0.397,0.369
1,0.02,0.96,0.824,0.702,0.407,0.361,0.417,0.341
1,0.02,0.98,0.832,0.706,0.414,0.355,0.418,0.351
1,0.02,1,0.818,0.741,0.408,0.366,0.41,0.375
1,0.04,0.02,0.414,0.151,0.268,0.072,0.146,0.079
1,0.04,0.04,0.488,0.252,0.275,0.126,0.213,0.126
1,0.04,0.06,0.565,0.303,0.305,0.152,0.26,0.151
1,0.04,0.08,0.579,0.449,0.31,0.235,0.269,0.214
1,0.04,0.1,0.668,0.453,0.356,0.231,0.312,0.222
1,0.04,0.12,0.638,0.399,0.324,0.178,0.314,0.221
1,0.04,0.14,0.741,0.543,0.379,0.269,0.362,0.274
1,0.04,0.16,0.691,0.501,0.364,0.239,0.327,0.262
1,0.04,0.18,0.715,0.598,0.372,0.298,0.343,0.3
1,0.04,0.2,0.774,0.589,0.391,0.298,0.383,0.291
1,0.04,0.22,0.69,0.666,0.363,0.345,0.327,0.321
1,0.04,0.24,0.746,0.619,0.386,0.311,0.36,0.308
1,0.04,0.26,0.685,0.641,0.358,0.316,0.327,0.325
1,0.04,0.28,0.753,0.682,0.375,0.328,0.378,0.354
1,0.04,0.3,0.789,0.659,0.408,0.329,0.381,0.33
1,0.04,0.32,0.796,0.664,0.4,0.338,0.396,0.326
1,0.04,0.34,0.78,0.682,0.397,0.341,0.383,0.341
1,0.04,0.36,0.787,0.677,0.39,0.344,0.397,0.333
1,0.04,0.38,0.834,0.652,0.411,0.34,0.423,0.312
1,0.04,0.4,0.813,0.675,0.424,0.338,0.389,0.337
1,0.04,0.42,0.804,0.621,0.404,0.306,0.4,0.315
1,0.04,0.44,0.824,0.548,0.423,0.273,0.401,0.275
1,0.04,0.46,0.806,0.692,0.415,0.345,0.391,0.347
1,0.04,0.48,0.835,0.682,0.42,0.35,0.415,0.332
1,0.04,0.5,0.826,0.7,0.414,0.354,0.412,0.346
1,0.04,0.52,0.787,0.743,0.413,0.372,0.374,0.371
1,0.04,0.54,0.828,0.725,0.422,0.359,0.406,0.366
1,0.04,0.56,0.798,0.696,0.407,0.353,0.391,0.343
1,0.04,0.58,0.809,0.715,0.402,0.354,0.407,0.361
1,0.04,0.6,0.827,0.664,0.409,0.331,0.418,0.333
1,0.04,0.62,0.842,0.696,0.425,0.356,0.417,0.34
1,0.04,0.64,0.83,0.69,0.416,0.348,0.414,0.342
1,0.04,0.66,0.848,0.696,0.423,0.342,0.425,0.354
1,0.04,0.68,0.841,0.723,0.431,0.359,0.41,0.364
1,0.04,0.7,0.827,0.719,0.418,0.359,0.409,0.36
1,0.04,0.72,0.828,0.724,0.425,0.365,0.403,0.359
1,0.04,0.74,0.806,0.735,0.411,0.369,0.395,0.366
1,0.04,0.76,0.815,0.7,0.408,0.349,0.407,0.351
1,0.04,0.78,0.815,0.711,0.409,0.35,0.406,0.361
1,0.04,0.8,0.833,0.725,0.416,0.367,0.417,0.358
1,0.04,0.82,0.85,0.723,0.423,0.364,0.427,0.359
1,0.04,0.84,0.812,0.73,0.409,0.371,0.403,0.359
1,0.04,0.86,0.846,0.705,0.427,0.345,0.419,0.36
1,0.04,0.88,0.813,0.724,0.407,0.349,0.406,0.375
1,0.04,0.9,0.81,0.703,0.4,0.351,0.41,0.352
1,0.04,0.92,0.807,0.716,0.397,0.362,0.41,0.354
1,0.04,0.94,0.832,0.716,0.414,0.373,0.418,0.343
1,0.04,0.96,0.82,0.728,0.417,0.372,0.403,0.356
1,0.04,0.98,0.808,0.709,0.403,0.341,0.405,0.368
1,0.04,1,0.841,0.7,0.42,0.359,0.421,0.341
1,0.06,0.02,0.413,0.169,0.258,0.078,0.155,0.091
1,0.06,0.04,0.508,0.223,0.281,0.097,0.227,0.126
1,0.06,0.06,0.606,0.323,0.345,0.16,0.261,0.163
1,0.06,0.08,0.591,0.416,0.317,0.208,0.274,0.208
1,0.06,0.1,0.618,0.443,0.333,0.22,0.285,0.223
1,0.06,0.12,0.677,0.46,0.355,0.23,0.322,0.23
1,0.06,0.14,0.663,0.496,0.347,0.233,0.316,0.263
1,0.06,0.16,0.705,0.51,0.372,0.262,0.333,0.248
1,0.06,0.18,0.709,0.605,0.358,0.303,0.351,0.302
1,0.06,0.2,0.783,0.608,0.398,0.302,0.385,0.306
1,0.06,0.22,0.778,0.589,0.408,0.279,0.37,0.31
1,0.06,0.24,0.665,0.664,0.353,0.336,0.312,0.328
1,0.06,0.26,0.745,0.623,0.38,0.311,0.365,0.312
1,0.06,0.28,0.787,0.57,0.413,0.281,0.374,0.289
1,0.06,0.3,0.727,0.71,0.377,0.36,0.35,0.35
1,0.06,0.32,0.728,0.62,0.373,0.317,0.355,0.303
1,0.06,0.34,0.812,0.577,0.406,0.302,0.406,0.275
1,0.06,0.36,0.803,0.605,0.411,0.303,0.392,0.302
1,0.06,0.38,0.828,0.667,0.408,0.325,0.42,0.342
1,0.06,0.4,0.833,0.601,0.42,0.296,0.413,0.305
1,0.06,0.42,0.787,0.666,0.397,0.334,0.39,0.332
1,0.06,0.44,0.833,0.622,0.417,0.318,0.416,0.304
1,0.06,0.46,0.713,0.752,0.367,0.367,0.346,0.385
1,0.06,0.48,0.836,0.677,0.422,0.334,0.414,0.343
1,0.06,0.5,0.793,0.626,0.396,0.308,0.397,0.318
1,0.06,0.52,0.817,0.636,0.409,0.317,0.408,0.319
1,0.06,0.54,0.856,0.704,0.436,0.35,0.42,0.354
1,0.06,0.56,0.821,0.681,0.405,0.34,0.416,0.341
1,0.06,0.58,0.847,0.663,0.423,0.325,0.424,0.338
1,0.06,0.6,0.812,0.681,0.395,0.333,0.417,0.348
1,0.06,0.62,0.789,0.728,0.394,0.367,0.395,0.361
1,0.06,0.64,0.811,0.716,0.404,0.359,0.407,0.357
1,0.06,0.66,0.815,0.686,0.412,0.348,0.403,0.338
1,0.06,0.68,0.822,0.703,0.405,0.356,0.417,0.347
1,0.06,0.7,0.835,0.72,0.428,0.359,0.407,0.361
1,0.06,0.72,0.825,0.722,0.406,0.369,0.419,0.353
1,0.06,0.74,0.829,0.678,0.414,0.339,0.415,0.339
1,0.06,0.76,0.805,0.732,0.408,0.375,0.397,0.357
1,0.06,0.78,0.816,0.734,0.405,0.371,0.411,0.363
1,0.06,0.8,0.829,0.707,0.424,0.34,0.405,0.367
1,0.06,0.82,0.836,0.744,0.412,0.369,0.424,0.375
1,0.06,0.84,0.822,0.731,0.411,0.366,0.411,0.365
1,0.06,0.86,0.818,0.7,0.405,0.341,0.413,0.359
1,0.06,0.88,0.827,0.704,0.416,0.345,0.411,0.359
1,0.06,0.9,0.833,0.713,0.416,0.352,0.417,0.361
1,0.06,0.92,0.812,0.727,0.407,0.361,0.405,0.366
1,0.06,0.94,0.813,0.721,0.415,0.368,0.398,0.353
1,0.06,0.96,0.825,0.667,0.412,0.323,0.413,0.344
1,0.06,0.98,0.822,0.731,0.417,0.366,0.405,0.365
1,0.06,1,0.818,0.684,0.408,0.344,0.41,0.34
1,0.08,0.02,0.4,0.165,0.256,0.086,0.144,0.079
1,0.08,0.04,0.556,0.289,0.321,0.139,0.235,0.15
1,0.08,0.06,0.531,0.346,0.291,0.167,0.24,0.179
1,0.08,0.08,0.636,0.446,0.334,0.232,0.302,0.214
1,0.08,0.1,0.643,0.469,0.348,0.246,0.295,0.223
1,0.08,0.12,0.656,0.52,0.354,0.259,0.302,0.261
1,0.08,0.14,0.63,0.486,0.324,0.251,0.306,0.235
1,0.08,0.16,0.768,0.452,0.401,0.221,0.367,0.231
1,0.08,0.18,0.711,0.588,0.366,0.3,0.345,0.288
1,0.08,0.2,0.744,0.552,0.389,0.282,0.355,0.27
1,0.08,0.22,0.778,0.514,0.389,0.259,0.389,0.255
1,0.08,0.24,0.747,0.47,0.38,0.241,0.367,0.229
1,0.08,0.26,0.782,0.574,0.404,0.277,0.378,0.297
1,0.08,0.28,0.789,0.646,0.402,0.321,0.387,0.325
1,0.08,0.3,0.804,0.549,0.395,0.279,0.409,0.27
1,0.08,0.32,0.737,0.658,0.381,0.326,0.356,0.332
1,0.08,0.34,0.809,0.704,0.4,0.355,0.409,0.349
1,0.08,0.36,0.764,0.684,0.38,0.346,0.384,0.338
1,0.08,0.38,0.766,0.697,0.387,0.36,0.379,0.337
1,0.08,0.4,0.83,0.555,0.412,0.276,0.418,0.279
1,0.08,0.42,0.815,0.654,0.41,0.335,0.405,0.319
1,0.08,0.44,0.798,0.718,0.392,0.354,0.406,0.364
1,0.08,0.46,0.803,0.724,0.404,0.357,0.399,0.367
1,0.08,0.48,0.834,0.684,0.418,0.351,0.416,0.333
1,0.08,0.5,0.832,0.694,0.412,0.35,0.42,0.344
1,0.08,0.52,0.76,0.723,0.399,0.368,0.361,0.355
1,0.08,0.54,0.84,0.665,0.414,0.329,0.426,0.336
1,0.08,0.56,0.837,0.688,0.415,0.346,0.422,0.342
1,0.08,0.58,0.816,0.673,0.412,0.33,0.404,0.343
1,0.08,0.6,0.83,0.702,0.408,0.36,0.422,0.342
1,0.08,0.62,0.815,0.704,0.408,0.34,0.407,0.364
1,0.08,0.64,0.823,0.749,0.406,0.377,0.417,0.372
1,0.08,0.66,0.808,0.675,0.393,0.344,0.415,0.331
1,0.08,0.68,0.827,0.69,0.412,0.35,0.415,0.34
1,0.08,0.7,0.841,0.671,0.422,0.337,0.419,0.334
1,0.08,0.72,0.8,0.715,0.402,0.355,0.398,0.36
1,0.08,0.74,0.841,0.681,0.426,0.337,0.415,0.344
1,0.08,0.76,0.824,0.707,0.413,0.356,0.411,0.351
1,0.08,0.78,0.82,0.729,0.415,0.366,0.405,0.363
1,0.08,0.8,0.824,0.696,0.408,0.348,0.416,0.348
1,0.08,0.82,0.82,0.711,0.409,0.354,0.411,0.357
1,0.08,0.84,0.82,0.731,0.4,0.372,0.42,0.359
1,0.08,0.86,0.848,0.709,0.418,0.367,0.43,0.342
1,0.08,0.88,0.814,0.719,0.406,0.359,0.408,0.36
1,0.08,0.9,0.832,0.682,0.414,0.34,0.418,0.342
1,0.08,0.92,0.847,0.707,0.419,0.363,0.428,0.344
1,0.08,0.94,0.827,0.73,0.412,0.365,0.415,0.365
1,0.08,0.96,0.826,0.723,0.407,0.367,0.419,0.356
1,0.08,0.98,0.821,0.714,0.404,0.369,0.417,0.345
1,0.08,1,0.825,0.715,0.419,0.35,0.406,0.365
1,0.1,0.02,0.437,0.129,0.269,0.066,0.168,0.063
1,0.1,0.04,0.485,0.299,0.263,0.143,0.222,0.156
1,0.1,0.06,0.563,0.306,0.305,0.147,0.258,0.159
1,0.1,0.08,0.597,0.398,0.334,0.192,0.263,0.206
1,0.1,0.1,0.666,0.482,0.36,0.243,0.306,0.239
1,0.1,0.12,0.645,0.445,0.351,0.217,0.294,0.228
1,0.1,0.14,0.675,0.508,0.348,0.252,0.327,0.256
1,0.1,0.16,0.712,0.438,0.367,0.212,0.345,0.226
1,0.1,0.18,0.692,0.535,0.362,0.267,0.33,0.268
1,0.1,0.2,0.738,0.602,0.373,0.294,0.365,0.308
1,0.1,0.22,0.789,0.488,0.396,0.245,0.393,0.243
1,0.1,0.24,0.761,0.631,0.397,0.325,0.364,0.306
1,0.1,0.26,0.761,0.57,0.388,0.288,0.373,0.282
1,0.1,0.28,0.723,0.595,0.367,0.297,0.356,0.298
1,0.1,0.3,0.745,0.684,0.386,0.344,0.359,0.34
1,0.1,0.32,0.798,0.671,0.402,0.331,0.396,0.34
1,0.1,0.34,0.79,0.613,0.394,0.309,0.396,0.304
1,0.1,0.36,0.791,0.628,0.407,0.32,0.384,0.308
1,0.1,0.38,0.805,0.692,0.412,0.331,0.393,0.361
1,0.1,0.4,0.738,0.733,0.377,0.37,0.361,0.363
1,0.1,0.42,0.776,0.713,0.388,0.348,0.388,0.365
1,0.1,0.44,0.8,0.619,0.398,0.317,0.402,0.302
1,0.1,0.46,0.705,0.733,0.355,0.38,0.35,0.353
1,0.1,0.48,0.794,0.692,0.402,0.342,0.392,0.35
1,0.1,0.5,0.806,0.674,0.404,0.336,0.402,0.338
1,0.1,0.52,0.813,0.657,0.403,0.328,0.41,0.329
1,0.1,0.54,0.842,0.701,0.427,0.346,0.415,0.355
1,0.1,0.56,0.832,0.701,0.418,0.338,0.414,0.363
1,0.1,0.58,0.793,0.732,0.397,0.356,0.396,0.376
1,0.1,0.6,0.846,0.66,0.424,0.314,0.422,0.346
1,0.1,0.62,0.786,0.727,0.395,0.356,0.391,0.371
1,0.1,0.64,0.813,0.673,0.398,0.343,0.415,0.33
1,0.1,0.66,0.843,0.66,0.414,0.325,0.429,0.335
1,0.1,0.68,0.832,0.696,0.409,0.349,0.423,0.347
1,0.1,0.7,0.82,0.709,0.411,0.354,0.409,0.355
1,0.1,0.72,0.817,0.707,0.41,0.351,0.407,0.356
1,0.1,0.74,0.846,0.638,0.419,0.333,0.427,0.305
1,0.1,0.76,0.822,0.716,0.41,0.361,0.412,0.355
1,0.1,0.78,0.849,0.716,0.416,0.368,0.433,0.348
1,0.1,0.8,0.836,0.704,0.413,0.357,0.423,0.347
1,0.1,0.82,0.827,0.709,0.401,0.357,0.426,0.352
1,0.1,0.84,0.84,0.681,0.433,0.34,0.407,0.341
1,0.1,0.86,0.841,0.695,0.418,0.347,0.423,0.348
1,0.1,0.88,0.838,0.726,0.416,0.369,0.422,0.357
1,0.1,0.9,0.823,0.741,0.41,0.365,0.413,0.376
1,0.1,0.92,0.827,0.708,0.408,0.363,0.419,0.345
1,0.1,0.94,0.841,0.697,0.414,0.353,0.427,0.344
1,0.1,0.96,0.814,0.721,0.407,0.355,0.407,0.366
1,0.1,0.98,0.822,0.709,0.418,0.345,0.404,0.364
1,0.1,1,0.834,0.705,0.421,0.36,0.413,0.345
1,0.12,0.02,0.451,0.15,0.27,0.069,0.181,0.081
1,0.12,0.04,0.512,0.243,0.295,0.12,0.217,0.123
1,0.12,0.06,0.581,0.349,0.319,0.161,0.262,0.188
1,0.12,0.08,0.584,0.329,0.321,0.162,0.263,0.167
1,0.12,0.1,0.638,0.402,0.347,0.194,0.291,0.208
1,0.12,0.12,0.654,0.494,0.346,0.237,0.308,0.257
1,0.12,0.14,0.669,0.5,0.352,0.263,0.317,0.237
1,0.12,0.16,0.725,0.516,0.374,0.232,0.351,0.284
1,0.12,0.18,0.66,0.624,0.343,0.303,0.317,0.321
1,0.12,0.2,0.706,0.658,0.36,0.334,0.346,0.324
1,0.12,0.22,0.682,0.633,0.342,0.313,0.34,0.32
1,0.12,0.24,0.66,0.636,0.335,0.317,0.325,0.319
1,0.12,0.26,0.81,0.684,0.408,0.34,0.402,0.344
1,0.12,0.28,0.8,0.603,0.412,0.303,0.388,0.3
1,0.12,0.3,0.748,0.569,0.378,0.289,0.37,0.28
1,0.12,0.32,0.774,0.607,0.392,0.307,0.382,0.3
1,0.12,0.34,0.82,0.512,0.412,0.257,0.408,0.255
1,0.12,0.36,0.805,0.518,0.397,0.254,0.408,0.264
1,0.12,0.38,0.78,0.717,0.396,0.358,0.384,0.359
1,0.12,0.4,0.776,0.683,0.399,0.344,0.377,0.339
1,0.12,0.42,0.801,0.691,0.412,0.353,0.389,0.338
1,0.12,0.44,0.825,0.623,0.415,0.306,0.41,0.317
1,0.12,0.46,0.817,0.603,0.406,0.296,0.411,0.307
1,0.12,0.48,0.803,0.672,0.403,0.342,0.4,0.33
1,0.12,0.5,0.815,0.687,0.41,0.34,0.405,0.347
1,0.12,0.52,0.787,0.711,0.39,0.363,0.397,0.348
1,0.12,0.54,0.81,0.706,0.397,0.355,0.413,0.351
1,0.12,0.56,0.816,0.679,0.407,0.344,0.409,0.335
1,0.12,0.58,0.819,0.705,0.408,0.355,0.411,0.35
1,0.12,0.6,0.858,0.587,0.426,0.289,0.432,0.298
1,0.12,0.62,0.786,0.714,0.391,0.35,0.395,0.364
1,0.12,0.64,0.787,0.736,0.406,0.369,0.381,0.367
1,0.12,0.66,0.8,0.663,0.401,0.33,0.399,0.333
1,0.12,0.68,0.849,0.672,0.424,0.338,0.425,0.334
1,0.12,0.7,0.819,0.71,0.404,0.357,0.415,0.353
1,0.12,0.72,0.825,0.737,0.413,0.361,0.412,0.376
1,0.12,0.74,0.823,0.712,0.424,0.344,0.399,0.368
1,0.12,0.76,0.84,0.707,0.43,0.349,0.41,0.358
1,0.12,0.78,0.833,0.68,0.417,0.353,0.416,0.327
1,0.12,0.8,0.794,0.709,0.403,0.366,0.391,0.343
1,0.12,0.82,0.837,0.699,0.419,0.35,0.418,0.349
1,0.12,0.84,0.842,0.69,0.427,0.34,0.415,0.35
1,0.12,0.86,0.822,0.703,0.407,0.371,0.415,0.332
1,0.12,0.88,0.833,0.723,0.416,0.364,0.417,0.359
1,0.12,0.9,0.793,0.737,0.387,0.373,0.406,0.364
1,0.12,0.92,0.832,0.718,0.415,0.367,0.417,0.351
1,0.12,0.94,0.816,0.733,0.408,0.38,0.408,0.353
1,0.12,0.96,0.824,0.711,0.414,0.355,0.41,0.356
1,0.12,0.98,0.826,0.705,0.422,0.343,0.404,0.362
1,0.12,1,0.843,0.724,0.42,0.352,0.423,0.372
1,0.14,0.02,0.442,0.14,0.269,0.075,0.173,0.065
1,0.14,0.04,0.528,0.287,0.301,0.141,0.227,0.146
1,0.14,0.06,0.572,0.328,0.336,0.154,0.236,0.174
1,0.14,0.08,0.598,0.369,0.327,0.186,0.271,0.183
1,0.14,0.1,0.643,0.46,0.342,0.229,0.301,0.231
1,0.14,0.12,0.636,0.478,0.339,0.252,0.297,0.226
1,0.14,0.14,0.651,0.431,0.339,0.21,0.312,0.221
1,0.14,0.16,0.662,0.538,0.356,0.256,0.306,0.282
1,0.14,0.18,0.711,0.53,0.367,0.257,0.344,0.273
1,0.14,0.2,0.752,0.549,0.383,0.275,0.369,0.274
1,0.14,0.22,0.764,0.524,0.39,0.263,0.374,0.261
1,0.14,0.24,0.787,0.639,0.418,0.317,0.369,0.322
1,0.14,0.26,0.739,0.598,0.373,0.303,0.366,0.295
1,0.14,0.28,0.791,0.572,0.39,0.285,0.401,0.287
1,0.14,0.3,0.771,0.622,0.397,0.308,0.374,0.314
1,0.14,0.32,0.789,0.655,0.397,0.313,0.392,0.342
1,0.14,0.34,0.78,0.642,0.399,0.314,0.381,0.328
1,0.14,0.36,0.786,0.661,0.405,0.331,0.381,0.33
1,0.14,0.38,0.828,0.621,0.412,0.318,0.416,0.303
1,0.14,0.4,0.758,0.694,0.38,0.359,0.378,0.335
1,0.14,0.42,0.839,0.62,0.423,0.327,0.416,0.293
1,0.14,0.44,0.805,0.664,0.417,0.325,0.388,0.339
1,0.14,0.46,0.815,0.685,0.417,0.344,0.398,0.341
1,0.14,0.48,0.774,0.714,0.396,0.356,0.378,0.358
1,0.14,0.5,0.813,0.684,0.418,0.348,0.395,0.336
1,0.14,0.52,0.819,0.684,0.411,0.329,0.408,0.355
1,0.14,0.54,0.805,0.715,0.398,0.351,0.407,0.364
1,0.14,0.56,0.81,0.72,0.399,0.367,0.411,0.353
1,0.14,0.58,0.825,0.684,0.414,0.334,0.411,0.35
1,0.14,0.6,0.815,0.663,0.402,0.352,0.413,0.311
1,0.14,0.62,0.783,0.706,0.396,0.348,0.387,0.358
1,0.14,0.64,0.834,0.659,0.422,0.325,0.412,0.334
1,0.14,0.66,0.83,0.692,0.399,0.334,0.431,0.358
1,0.14,0.68,0.819,0.692,0.419,0.344,0.4,0.348
1,0.14,0.7,0.816,0.709,0.415,0.353,0.401,0.356
1,0.14,0.72,0.82,0.711,0.412,0.35,0.408,0.361
1,0.14,0.74,0.84,0.718,0.426,0.364,0.414,0.354
1,0.14,0.76,0.848,0.716,0.425,0.359,0.423,0.357
1,0.14,0.78,0.838,0.711,0.408,0.363,0.43,0.348
1,0.14,0.8,0.823,0.724,0.419,0.35,0.404,0.374
1,0.14,0.82,0.814,0.723,0.409,0.368,0.405,0.355
1,0.14,0.84,0.841,0.692,0.415,0.348,0.426,0.344
1,0.14,0.86,0.825,0.712,0.424,0.353,0.401,0.359
1,0.14,0.88,0.841,0.709,0.42,0.362,0.421,0.347
1,0.14,0.9,0.833,0.737,0.427,0.368,0.406,0.369
1,0.14,0.92,0.817,0.704,0.416,0.354,0.401,0.35
1,0.14,0.94,0.831,0.705,0.409,0.363,0.422,0.342
1,0.14,0.96,0.828,0.719,0.41,0.351,0.418,0.368
1,0.14,0.98,0.816,0.697,0.41,0.353,0.406,0.344
1,0.14,1,0.821,0.726,0.414,0.359,0.407,0.367
1,0.16,0.02,0.447,0.162,0.271,0.071,0.176,0.091
1,0.16,0.04,0.564,0.271,0.323,0.138,0.241,0.133
1,0.16,0.06,0.574,0.34,0.314,0.161,0.26,0.179
1,0.16,0.08,0.601,0.268,0.325,0.132,0.276,0.136
1,0.16,0.1,0.568,0.4,0.3,0.192,0.268,0.208
1,0.16,0.12,0.713,0.485,0.388,0.241,0.325,0.244
1,0.16,0.14,0.65,0.492,0.34,0.237,0.31,0.255
1,0.16,0.16,0.744,0.425,0.382,0.202,0.362,0.223
1,0.16,0.18,0.75,0.427,0.376,0.233,0.374,0.194
1,0.16,0.2,0.674,0.651,0.341,0.303,0.333,0.348
1,0.16,0.22,0.738,0.564,0.374,0.28,0.364,0.284
1,0.16,0.24,0.64,0.603,0.332,0.295,0.308,0.308
1,0.16,0.26,0.765,0.602,0.405,0.299,0.36,0.303
1,0.16,0.28,0.735,0.582,0.382,0.292,0.353,0.29
1,0.16,0.3,0.788,0.581,0.407,0.287,0.381,0.294
1,0.16,0.32,0.779,0.681,0.379,0.338,0.4,0.343
1,0.16,0.34,0.681,0.73,0.357,0.366,0.324,0.364
1,0.16,0.36,0.826,0.617,0.409,0.3,0.417,0.317
1,0.16,0.38,0.745,0.712,0.386,0.363,0.359,0.349
1,0.16,0.4,0.775,0.63,0.392,0.309,0.383,0.321
1,0.16,0.42,0.824,0.686,0.426,0.334,0.398,0.352
1,0.16,0.44,0.834,0.562,0.414,0.279,0.42,0.283
1,0.16,0.46,0.771,0.714,0.384,0.356,0.387,0.358
1,0.16,0.48,0.787,0.711,0.408,0.347,0.379,0.364
1,0.16,0.5,0.814,0.671,0.398,0.349,0.416,0.322
1,0.16,0.52,0.823,0.687,0.415,0.351,0.408,0.336
1,0.16,0.54,0.817,0.644,0.41,0.321,0.407,0.323
1,0.16,0.56,0.82,0.694,0.414,0.355,0.406,0.339
1,0.16,0.58,0.814,0.703,0.404,0.34,0.41,0.363
1,0.16,0.6,0.726,0.774,0.374,0.388,0.352,0.386
1,0.16,0.62,0.82,0.704,0.406,0.357,0.414,0.347
1,0.16,0.64,0.801,0.669,0.4,0.331,0.401,0.338
1,0.16,0.66,0.826,0.71,0.412,0.358,0.414,0.352
1,0.16,0.68,0.803,0.726,0.402,0.365,0.401,0.361
1,0.16,0.7,0.805,0.743,0.411,0.365,0.394,0.378
1,0.16,0.72,0.805,0.733,0.4,0.377,0.405,0.356
1,0.16,0.74,0.837,0.716,0.417,0.366,0.42,0.35
1,0.16,0.76,0.827,0.707,0.409,0.357,0.418,0.35
1,0.16,0.78,0.843,0.7,0.42,0.343,0.423,0.357
1,0.16,0.8,0.831,0.682,0.421,0.338,0.41,0.344
1,0.16,0.82,0.827,0.698,0.411,0.349,0.416,0.349
1,0.16,0.84,0.83,0.686,0.413,0.359,0.417,0.327
1,0.16,0.86,0.853,0.696,0.439,0.339,0.414,0.357
1,0.16,0.88,0.834,0.682,0.431,0.334,0.403,0.348
1,0.16,0.9,0.817,0.731,0.408,0.357,0.409,0.374
1,0.16,0.92,0.822,0.71,0.412,0.364,0.41,0.346
1,0.16,0.94,0.803,0.724,0.392,0.373,0.411,0.351
1,0.16,0.96,0.836,0.726,0.423,0.358,0.413,0.368
1,0.16,0.98,0.833,0.712,0.417,0.361,0.416,0.351
1,0.16,1,0.831,0.714,0.414,0.363,0.417,0.351
1,0.18,0.02,0.469,0.135,0.294,0.078,0.175,0.057
1,0.18,0.04,0.488,0.255,0.273,0.126,0.215,0.129
1,0.18,0.06,0.585,0.267,0.322,0.139,0.263,0.128
1,0.18,0.08,0.612,0.302,0.337,0.15,0.275,0.152
1,0.18,0.1,0.67,0.433,0.34,0.216,0.33,0.217
1,0.18,0.12,0.622,0.505,0.332,0.244,0.29,0.261
1,0.18,0.14,0.687,0.459,0.356,0.218,0.331,0.241
1,0.18,0.16,0.683,0.494,0.338,0.234,0.345,0.26
1,0.18,0.18,0.682,0.446,0.347,0.213,0.335,0.233
1,0.18,0.2,0.721,0.529,0.372,0.271,0.349,0.258
