"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.5376,0.081,0.3152,0.0372,0.2224,0.0438
0.04,0.5496,0.1718,0.316,0.0766,0.2336,0.0952
0.06,0.5666,0.2514,0.3244,0.1206,0.2422,0.1308
0.08,0.6142,0.2588,0.3404,0.1236,0.2738,0.1352
0.1,0.631,0.3174,0.3394,0.1472,0.2916,0.1702
0.12,0.6662,0.3436,0.3626,0.1646,0.3036,0.179
0.14,0.6686,0.4286,0.3666,0.2118,0.302,0.2168
0.16,0.701,0.4382,0.374,0.2188,0.327,0.2194
0.18,0.7214,0.4734,0.3898,0.2362,0.3316,0.2372
0.2,0.7424,0.4566,0.3882,0.2214,0.3542,0.2352
0.22,0.7208,0.4328,0.3806,0.206,0.3402,0.2268
0.24,0.7064,0.4974,0.3766,0.2388,0.3298,0.2586
0.26,0.7386,0.5688,0.3808,0.28,0.3578,0.2888
0.28,0.767,0.4792,0.3858,0.239,0.3812,0.2402
0.3,0.7552,0.5414,0.4032,0.2706,0.352,0.2708
0.32,0.7324,0.5074,0.3824,0.246,0.35,0.2614
0.34,0.7566,0.5528,0.3896,0.2678,0.367,0.285
0.36,0.765,0.5762,0.4014,0.2866,0.3636,0.2896
0.38,0.7688,0.549,0.4016,0.2782,0.3672,0.2708
0.4,0.7738,0.5818,0.3938,0.2944,0.38,0.2874
0.42,0.7598,0.552,0.3988,0.2768,0.361,0.2752
0.44,0.7604,0.5694,0.3958,0.2744,0.3646,0.295
0.46,0.7708,0.6134,0.3998,0.3004,0.371,0.313
0.48,0.7262,0.5838,0.3786,0.2846,0.3476,0.2992
0.5,0.794,0.5564,0.4034,0.2758,0.3906,0.2806
0.52,0.7588,0.5848,0.392,0.2874,0.3668,0.2974
0.54,0.7878,0.5812,0.4068,0.2828,0.381,0.2984
0.56,0.7832,0.6344,0.4096,0.3296,0.3736,0.3048
0.58,0.787,0.6708,0.399,0.3368,0.388,0.334
0.6,0.797,0.651,0.4014,0.318,0.3956,0.333
0.62,0.7608,0.6382,0.3942,0.3112,0.3666,0.327
0.64,0.7858,0.593,0.3956,0.3086,0.3902,0.2844
0.66,0.7768,0.6422,0.3972,0.321,0.3796,0.3212
0.68,0.807,0.6194,0.407,0.3122,0.4,0.3072
0.7,0.7912,0.623,0.404,0.305,0.3872,0.318
0.72,0.8304,0.6422,0.4222,0.324,0.4082,0.3182
0.74,0.7932,0.6512,0.404,0.3156,0.3892,0.3356
0.76,0.8014,0.6654,0.3988,0.3322,0.4026,0.3332
0.78,0.8054,0.669,0.4126,0.3322,0.3928,0.3368
0.8,0.8062,0.636,0.4134,0.3224,0.3928,0.3136
0.82,0.8092,0.6782,0.4136,0.3404,0.3956,0.3378
0.84,0.8064,0.6824,0.417,0.339,0.3894,0.3434
0.86,0.802,0.7126,0.4134,0.3528,0.3886,0.3598
0.88,0.8198,0.6602,0.4088,0.3424,0.411,0.3178
0.9,0.7926,0.6604,0.4018,0.3214,0.3908,0.339
0.92,0.8224,0.6758,0.4202,0.3374,0.4022,0.3384
0.94,0.8228,0.6814,0.4164,0.3384,0.4064,0.343
0.96,0.811,0.6702,0.4038,0.3376,0.4072,0.3326
0.98,0.8128,0.6506,0.4098,0.3232,0.403,0.3274
1,0.8094,0.6916,0.411,0.3428,0.3984,0.3488
