"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.3262,0.0984,0.2076,0.0432,0.1186,0.0552
0.04,0.4686,0.2174,0.2562,0.099,0.2124,0.1184
0.06,0.5034,0.3034,0.2778,0.1396,0.2256,0.1638
0.08,0.4974,0.3332,0.279,0.1534,0.2184,0.1798
0.1,0.5886,0.3856,0.3184,0.1846,0.2702,0.201
0.12,0.6198,0.4288,0.3356,0.2132,0.2842,0.2156
0.14,0.6272,0.4712,0.3256,0.2226,0.3016,0.2486
0.16,0.5958,0.4436,0.3114,0.219,0.2844,0.2246
0.18,0.6266,0.4588,0.3274,0.2224,0.2992,0.2364
0.2,0.6416,0.4788,0.3408,0.247,0.3008,0.2318
0.22,0.6648,0.5,0.3516,0.2498,0.3132,0.2502
0.24,0.64,0.5482,0.3348,0.2768,0.3052,0.2714
0.26,0.6636,0.5396,0.3452,0.2654,0.3184,0.2742
0.28,0.6484,0.5484,0.3364,0.2762,0.312,0.2722
0.3,0.6914,0.5876,0.3686,0.2964,0.3228,0.2912
0.32,0.7106,0.5348,0.3618,0.2666,0.3488,0.2682
0.34,0.6216,0.602,0.3212,0.2904,0.3004,0.3116
0.36,0.7324,0.5052,0.371,0.2452,0.3614,0.26
0.38,0.7332,0.6224,0.3822,0.3146,0.351,0.3078
0.4,0.7102,0.5742,0.3626,0.2838,0.3476,0.2904
0.42,0.7302,0.551,0.3742,0.2752,0.356,0.2758
0.44,0.7554,0.6074,0.3914,0.3054,0.364,0.302
0.46,0.7508,0.6088,0.3738,0.2988,0.377,0.31
0.48,0.7314,0.6128,0.3728,0.3046,0.3586,0.3082
0.5,0.7534,0.5398,0.3834,0.272,0.37,0.2678
0.52,0.7588,0.5946,0.383,0.2924,0.3758,0.3022
0.54,0.7696,0.5944,0.392,0.2892,0.3776,0.3052
0.56,0.757,0.5828,0.3768,0.2984,0.3802,0.2844
0.58,0.7398,0.5976,0.372,0.292,0.3678,0.3056
0.6,0.773,0.6106,0.3954,0.3106,0.3776,0.3
0.62,0.746,0.6386,0.379,0.3256,0.367,0.313
0.64,0.7616,0.5936,0.3816,0.2942,0.38,0.2994
0.66,0.7838,0.6086,0.3938,0.3032,0.39,0.3054
0.68,0.784,0.6442,0.3966,0.3254,0.3874,0.3188
0.7,0.754,0.64,0.3908,0.3132,0.3632,0.3268
0.72,0.8124,0.6144,0.4082,0.3102,0.4042,0.3042
0.74,0.776,0.617,0.393,0.304,0.383,0.313
0.76,0.7602,0.6788,0.3794,0.3296,0.3808,0.3492
0.78,0.7754,0.664,0.3928,0.32,0.3826,0.344
0.8,0.7916,0.6594,0.3956,0.3314,0.396,0.328
0.82,0.7864,0.6266,0.397,0.3158,0.3894,0.3108
0.84,0.786,0.6912,0.3964,0.3334,0.3896,0.3578
0.86,0.7602,0.6654,0.3776,0.333,0.3826,0.3324
0.88,0.7842,0.6854,0.3996,0.3414,0.3846,0.344
0.9,0.7144,0.715,0.3598,0.3638,0.3546,0.3512
0.92,0.7524,0.6864,0.3768,0.3446,0.3756,0.3418
0.94,0.7896,0.6992,0.396,0.3526,0.3936,0.3466
0.96,0.7934,0.6908,0.3994,0.3426,0.394,0.3482
0.98,0.8038,0.6612,0.398,0.3248,0.4058,0.3364
1,0.8054,0.6388,0.409,0.3152,0.3964,0.3236
