"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.02,0.398,0.0842,0.2378,0.0354,0.1602,0.0488
0.04,0.5404,0.2008,0.3094,0.0946,0.231,0.1062
0.06,0.5888,0.2348,0.3344,0.1162,0.2544,0.1186
0.08,0.6208,0.3148,0.3486,0.16,0.2722,0.1548
0.1,0.6372,0.2772,0.3568,0.1314,0.2804,0.1458
0.12,0.6366,0.4168,0.348,0.1922,0.2886,0.2246
0.14,0.6712,0.393,0.355,0.1898,0.3162,0.2032
0.16,0.6762,0.4452,0.3676,0.2156,0.3086,0.2296
0.18,0.7048,0.4222,0.3652,0.2006,0.3396,0.2216
0.2,0.7082,0.4668,0.3722,0.2324,0.336,0.2344
0.22,0.7036,0.4654,0.3708,0.2328,0.3328,0.2326
0.24,0.701,0.5086,0.3798,0.2594,0.3212,0.2492
0.26,0.7024,0.529,0.3672,0.257,0.3352,0.272
0.28,0.7282,0.5456,0.3844,0.2614,0.3438,0.2842
0.3,0.705,0.4818,0.3606,0.244,0.3444,0.2378
0.32,0.7284,0.5504,0.3792,0.2572,0.3492,0.2932
0.34,0.7572,0.516,0.391,0.2656,0.3662,0.2504
0.36,0.729,0.5632,0.384,0.286,0.345,0.2772
0.38,0.73,0.6316,0.3852,0.3182,0.3448,0.3134
0.4,0.7612,0.5534,0.383,0.2632,0.3782,0.2902
0.42,0.7682,0.564,0.3912,0.2794,0.377,0.2846
0.44,0.7328,0.5782,0.3824,0.2844,0.3504,0.2938
0.46,0.736,0.6236,0.382,0.3152,0.354,0.3084
0.48,0.7912,0.6044,0.4092,0.3028,0.382,0.3016
0.5,0.79,0.6044,0.3976,0.3002,0.3924,0.3042
0.52,0.7908,0.6174,0.4096,0.3038,0.3812,0.3136
0.54,0.7868,0.6118,0.3994,0.3046,0.3874,0.3072
0.56,0.7578,0.6106,0.3804,0.3004,0.3774,0.3102
0.58,0.7586,0.6296,0.3864,0.3116,0.3722,0.318
0.6,0.762,0.6014,0.3934,0.295,0.3686,0.3064
0.62,0.7728,0.653,0.398,0.3308,0.3748,0.3222
0.64,0.7778,0.5898,0.4004,0.2978,0.3774,0.292
0.66,0.771,0.6382,0.3984,0.3254,0.3726,0.3128
0.68,0.8008,0.6268,0.4034,0.3114,0.3974,0.3154
0.7,0.8194,0.582,0.416,0.2896,0.4034,0.2924
0.72,0.8092,0.594,0.4092,0.3072,0.4,0.2868
0.74,0.7882,0.6726,0.3994,0.341,0.3888,0.3316
0.76,0.7748,0.656,0.4024,0.3306,0.3724,0.3254
0.78,0.8196,0.6116,0.414,0.3096,0.4056,0.302
0.8,0.7506,0.6432,0.3848,0.3098,0.3658,0.3334
0.82,0.8242,0.655,0.4202,0.3254,0.404,0.3296
0.84,0.7506,0.6884,0.3852,0.3396,0.3654,0.3488
0.86,0.8116,0.6398,0.4082,0.3232,0.4034,0.3166
0.88,0.7808,0.674,0.399,0.3488,0.3818,0.3252
0.9,0.7744,0.6904,0.3948,0.349,0.3796,0.3414
0.92,0.819,0.6606,0.4144,0.3354,0.4046,0.3252
0.94,0.802,0.667,0.3998,0.3326,0.4022,0.3344
0.96,0.8176,0.692,0.4138,0.345,0.4038,0.347
0.98,0.8166,0.6538,0.4106,0.3282,0.406,0.3256
1,0.7976,0.6368,0.4072,0.3164,0.3904,0.3204
