"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
3,0.1,0.572,0.353,0.301,0.162,0.271,0.191
3,0.12,0.628,0.359,0.342,0.167,0.286,0.192
3,0.14,0.647,0.442,0.342,0.221,0.305,0.221
3,0.16,0.62,0.49,0.334,0.229,0.286,0.261
3,0.18,0.669,0.399,0.355,0.204,0.314,0.195
3,0.2,0.624,0.503,0.336,0.254,0.288,0.249
3,0.22,0.717,0.417,0.364,0.2,0.353,0.217
3,0.24,0.686,0.557,0.344,0.257,0.342,0.3
3,0.26,0.702,0.528,0.375,0.26,0.327,0.268
3,0.28,0.75,0.491,0.393,0.249,0.357,0.242
3,0.3,0.762,0.535,0.391,0.269,0.371,0.266
3,0.32,0.708,0.46,0.353,0.218,0.355,0.242
3,0.34,0.742,0.544,0.375,0.266,0.367,0.278
3,0.36,0.705,0.592,0.36,0.302,0.345,0.29
3,0.38,0.705,0.574,0.353,0.28,0.352,0.294
3,0.4,0.692,0.547,0.354,0.282,0.338,0.265
3,0.42,0.725,0.6,0.397,0.301,0.328,0.299
3,0.44,0.789,0.619,0.405,0.314,0.384,0.305
3,0.46,0.733,0.623,0.373,0.307,0.36,0.316
3,0.48,0.686,0.646,0.365,0.321,0.321,0.325
3,0.5,0.684,0.623,0.371,0.304,0.313,0.319
3,0.52,0.732,0.648,0.385,0.331,0.347,0.317
3,0.54,0.803,0.587,0.409,0.293,0.394,0.294
3,0.56,0.794,0.625,0.411,0.315,0.383,0.31
3,0.58,0.763,0.59,0.384,0.301,0.379,0.289
3,0.6,0.813,0.576,0.413,0.284,0.4,0.292
3,0.62,0.761,0.549,0.403,0.287,0.358,0.262
3,0.64,0.774,0.667,0.39,0.323,0.384,0.344
3,0.66,0.8,0.606,0.417,0.303,0.383,0.303
3,0.68,0.772,0.629,0.392,0.307,0.38,0.322
3,0.7,0.8,0.658,0.405,0.317,0.395,0.341
3,0.72,0.836,0.61,0.418,0.303,0.418,0.307
3,0.74,0.82,0.625,0.422,0.296,0.398,0.329
3,0.76,0.822,0.611,0.413,0.299,0.409,0.312
3,0.78,0.775,0.683,0.405,0.327,0.37,0.356
3,0.8,0.788,0.652,0.397,0.316,0.391,0.336
3,0.82,0.78,0.644,0.401,0.329,0.379,0.315
3,0.84,0.796,0.662,0.42,0.322,0.376,0.34
3,0.86,0.789,0.667,0.4,0.33,0.389,0.337
3,0.88,0.804,0.681,0.4,0.331,0.404,0.35
3,0.9,0.767,0.642,0.385,0.321,0.382,0.321
3,0.92,0.793,0.63,0.405,0.322,0.388,0.308
3,0.94,0.767,0.66,0.39,0.318,0.377,0.342
3,0.96,0.819,0.7,0.418,0.366,0.401,0.334
3,0.98,0.728,0.731,0.362,0.352,0.366,0.379
3,1,0.766,0.674,0.393,0.338,0.373,0.336
4,0.02,0.329,0.098,0.211,0.046,0.118,0.052
4,0.04,0.504,0.174,0.288,0.08,0.216,0.094
4,0.06,0.58,0.311,0.313,0.145,0.267,0.166
4,0.08,0.523,0.287,0.28,0.142,0.243,0.145
4,0.1,0.572,0.353,0.301,0.162,0.271,0.191
4,0.12,0.628,0.359,0.342,0.167,0.286,0.192
4,0.14,0.647,0.442,0.342,0.221,0.305,0.221
4,0.16,0.62,0.49,0.334,0.229,0.286,0.261
4,0.18,0.669,0.399,0.355,0.204,0.314,0.195
4,0.2,0.624,0.503,0.336,0.254,0.288,0.249
4,0.22,0.717,0.417,0.364,0.2,0.353,0.217
4,0.24,0.686,0.557,0.344,0.257,0.342,0.3
4,0.26,0.702,0.528,0.375,0.26,0.327,0.268
4,0.28,0.75,0.491,0.393,0.249,0.357,0.242
4,0.3,0.762,0.535,0.391,0.269,0.371,0.266
4,0.32,0.708,0.46,0.353,0.218,0.355,0.242
4,0.34,0.742,0.544,0.375,0.266,0.367,0.278
4,0.36,0.705,0.592,0.36,0.302,0.345,0.29
4,0.38,0.705,0.574,0.353,0.28,0.352,0.294
4,0.4,0.692,0.547,0.354,0.282,0.338,0.265
4,0.42,0.725,0.6,0.397,0.301,0.328,0.299
4,0.44,0.789,0.619,0.405,0.314,0.384,0.305
4,0.46,0.733,0.623,0.373,0.307,0.36,0.316
4,0.48,0.686,0.646,0.365,0.321,0.321,0.325
4,0.5,0.684,0.623,0.371,0.304,0.313,0.319
4,0.52,0.732,0.648,0.385,0.331,0.347,0.317
4,0.54,0.803,0.587,0.409,0.293,0.394,0.294
4,0.56,0.794,0.625,0.411,0.315,0.383,0.31
4,0.58,0.763,0.59,0.384,0.301,0.379,0.289
4,0.6,0.813,0.576,0.413,0.284,0.4,0.292
4,0.62,0.761,0.549,0.403,0.287,0.358,0.262
4,0.64,0.774,0.667,0.39,0.323,0.384,0.344
4,0.66,0.8,0.606,0.417,0.303,0.383,0.303
4,0.68,0.772,0.629,0.392,0.307,0.38,0.322
4,0.7,0.8,0.658,0.405,0.317,0.395,0.341
4,0.72,0.836,0.61,0.418,0.303,0.418,0.307
4,0.74,0.82,0.625,0.422,0.296,0.398,0.329
4,0.76,0.822,0.611,0.413,0.299,0.409,0.312
4,0.78,0.775,0.683,0.405,0.327,0.37,0.356
4,0.8,0.788,0.652,0.397,0.316,0.391,0.336
4,0.82,0.78,0.644,0.401,0.329,0.379,0.315
4,0.84,0.796,0.662,0.42,0.322,0.376,0.34
4,0.86,0.789,0.667,0.4,0.33,0.389,0.337
4,0.88,0.804,0.681,0.4,0.331,0.404,0.35
4,0.9,0.767,0.642,0.385,0.321,0.382,0.321
4,0.92,0.793,0.63,0.405,0.322,0.388,0.308
4,0.94,0.767,0.66,0.39,0.318,0.377,0.342
4,0.96,0.819,0.7,0.418,0.366,0.401,0.334
4,0.98,0.728,0.731,0.362,0.352,0.366,0.379
4,1,0.766,0.674,0.393,0.338,0.373,0.336
5,0.02,0.329,0.098,0.211,0.046,0.118,0.052
5,0.04,0.504,0.174,0.288,0.08,0.216,0.094
5,0.06,0.58,0.311,0.313,0.145,0.267,0.166
5,0.08,0.523,0.287,0.28,0.142,0.243,0.145
5,0.1,0.572,0.353,0.301,0.162,0.271,0.191
5,0.12,0.628,0.359,0.342,0.167,0.286,0.192
5,0.14,0.647,0.442,0.342,0.221,0.305,0.221
5,0.16,0.62,0.49,0.334,0.229,0.286,0.261
5,0.18,0.669,0.399,0.355,0.204,0.314,0.195
5,0.2,0.624,0.503,0.336,0.254,0.288,0.249
5,0.22,0.717,0.417,0.364,0.2,0.353,0.217
5,0.24,0.686,0.557,0.344,0.257,0.342,0.3
5,0.26,0.702,0.528,0.375,0.26,0.327,0.268
5,0.28,0.75,0.491,0.393,0.249,0.357,0.242
5,0.3,0.762,0.535,0.391,0.269,0.371,0.266
5,0.32,0.708,0.46,0.353,0.218,0.355,0.242
5,0.34,0.742,0.544,0.375,0.266,0.367,0.278
5,0.36,0.705,0.592,0.36,0.302,0.345,0.29
5,0.38,0.705,0.574,0.353,0.28,0.352,0.294
5,0.4,0.692,0.547,0.354,0.282,0.338,0.265
5,0.42,0.725,0.6,0.397,0.301,0.328,0.299
5,0.44,0.789,0.619,0.405,0.314,0.384,0.305
5,0.46,0.733,0.623,0.373,0.307,0.36,0.316
5,0.48,0.686,0.646,0.365,0.321,0.321,0.325
5,0.5,0.684,0.623,0.371,0.304,0.313,0.319
5,0.52,0.732,0.648,0.385,0.331,0.347,0.317
5,0.54,0.803,0.587,0.409,0.293,0.394,0.294
5,0.56,0.794,0.625,0.411,0.315,0.383,0.31
5,0.58,0.763,0.59,0.384,0.301,0.379,0.289
5,0.6,0.813,0.576,0.413,0.284,0.4,0.292
5,0.62,0.761,0.549,0.403,0.287,0.358,0.262
5,0.64,0.774,0.667,0.39,0.323,0.384,0.344
5,0.66,0.8,0.606,0.417,0.303,0.383,0.303
5,0.68,0.772,0.629,0.392,0.307,0.38,0.322
5,0.7,0.8,0.658,0.405,0.317,0.395,0.341
5,0.72,0.836,0.61,0.418,0.303,0.418,0.307
5,0.74,0.82,0.625,0.422,0.296,0.398,0.329
5,0.76,0.822,0.611,0.413,0.299,0.409,0.312
5,0.78,0.775,0.683,0.405,0.327,0.37,0.356
5,0.8,0.788,0.652,0.397,0.316,0.391,0.336
5,0.82,0.78,0.644,0.401,0.329,0.379,0.315
5,0.84,0.796,0.662,0.42,0.322,0.376,0.34
5,0.86,0.789,0.667,0.4,0.33,0.389,0.337
5,0.88,0.804,0.681,0.4,0.331,0.404,0.35
5,0.9,0.767,0.642,0.385,0.321,0.382,0.321
5,0.92,0.793,0.63,0.405,0.322,0.388,0.308
