"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
2,0.92,0.74,0.708,0.37,0.355,0.37,0.353
2,0.94,0.764,0.702,0.384,0.353,0.38,0.349
2,0.96,0.797,0.694,0.405,0.349,0.392,0.345
2,0.98,0.801,0.668,0.394,0.324,0.407,0.344
2,1,0.805,0.61,0.411,0.298,0.394,0.312
3,0.02,0.317,0.118,0.196,0.052,0.121,0.066
3,0.04,0.487,0.205,0.267,0.097,0.22,0.108
3,0.06,0.547,0.319,0.307,0.144,0.24,0.175
3,0.08,0.489,0.332,0.269,0.147,0.22,0.185
3,0.1,0.623,0.392,0.322,0.189,0.301,0.203
3,0.12,0.617,0.438,0.334,0.212,0.283,0.226
3,0.14,0.612,0.472,0.316,0.215,0.296,0.257
3,0.16,0.627,0.414,0.327,0.205,0.3,0.209
3,0.18,0.633,0.428,0.331,0.214,0.302,0.214
3,0.2,0.668,0.468,0.352,0.239,0.316,0.229
3,0.22,0.682,0.516,0.362,0.253,0.32,0.263
3,0.24,0.658,0.541,0.34,0.274,0.318,0.267
3,0.26,0.658,0.518,0.346,0.253,0.312,0.265
3,0.28,0.596,0.55,0.312,0.273,0.284,0.277
3,0.3,0.667,0.606,0.357,0.302,0.31,0.304
3,0.32,0.735,0.494,0.365,0.249,0.37,0.245
3,0.34,0.638,0.624,0.328,0.294,0.31,0.33
3,0.36,0.724,0.454,0.367,0.214,0.357,0.24
3,0.38,0.72,0.632,0.377,0.321,0.343,0.311
3,0.4,0.703,0.585,0.361,0.283,0.342,0.302
3,0.42,0.717,0.559,0.369,0.278,0.348,0.281
3,0.44,0.777,0.577,0.405,0.297,0.372,0.28
3,0.46,0.778,0.606,0.383,0.304,0.395,0.302
3,0.48,0.753,0.6,0.382,0.295,0.371,0.305
3,0.5,0.763,0.553,0.383,0.278,0.38,0.275
3,0.52,0.752,0.605,0.381,0.294,0.371,0.311
3,0.54,0.762,0.58,0.384,0.286,0.378,0.294
3,0.56,0.747,0.566,0.372,0.29,0.375,0.276
3,0.58,0.723,0.61,0.364,0.306,0.359,0.304
3,0.6,0.763,0.645,0.395,0.327,0.368,0.318
3,0.62,0.738,0.639,0.375,0.328,0.363,0.311
3,0.64,0.768,0.576,0.388,0.287,0.38,0.289
3,0.66,0.805,0.603,0.405,0.302,0.4,0.301
3,0.68,0.784,0.625,0.397,0.313,0.387,0.312
3,0.7,0.776,0.616,0.41,0.304,0.366,0.312
3,0.72,0.822,0.612,0.413,0.317,0.409,0.295
3,0.74,0.786,0.571,0.395,0.282,0.391,0.289
3,0.76,0.735,0.71,0.371,0.35,0.364,0.36
3,0.78,0.777,0.66,0.392,0.318,0.385,0.342
3,0.8,0.782,0.683,0.39,0.343,0.392,0.34
3,0.82,0.784,0.625,0.397,0.319,0.387,0.306
3,0.84,0.776,0.698,0.392,0.333,0.384,0.365
3,0.86,0.773,0.627,0.378,0.317,0.395,0.31
3,0.88,0.775,0.689,0.396,0.339,0.379,0.35
3,0.9,0.76,0.689,0.385,0.355,0.375,0.334
3,0.92,0.74,0.708,0.37,0.355,0.37,0.353
3,0.94,0.764,0.702,0.384,0.353,0.38,0.349
3,0.96,0.797,0.694,0.405,0.349,0.392,0.345
3,0.98,0.801,0.668,0.394,0.324,0.407,0.344
3,1,0.805,0.61,0.411,0.298,0.394,0.312
4,0.02,0.317,0.118,0.196,0.052,0.121,0.066
4,0.04,0.487,0.205,0.267,0.097,0.22,0.108
4,0.06,0.547,0.319,0.307,0.144,0.24,0.175
4,0.08,0.489,0.332,0.269,0.147,0.22,0.185
4,0.1,0.623,0.392,0.322,0.189,0.301,0.203
4,0.12,0.617,0.438,0.334,0.212,0.283,0.226
4,0.14,0.612,0.472,0.316,0.215,0.296,0.257
4,0.16,0.627,0.414,0.327,0.205,0.3,0.209
4,0.18,0.633,0.428,0.331,0.214,0.302,0.214
4,0.2,0.668,0.468,0.352,0.239,0.316,0.229
4,0.22,0.682,0.516,0.362,0.253,0.32,0.263
4,0.24,0.658,0.541,0.34,0.274,0.318,0.267
4,0.26,0.658,0.518,0.346,0.253,0.312,0.265
4,0.28,0.596,0.55,0.312,0.273,0.284,0.277
4,0.3,0.667,0.606,0.357,0.302,0.31,0.304
4,0.32,0.735,0.494,0.365,0.249,0.37,0.245
4,0.34,0.638,0.624,0.328,0.294,0.31,0.33
4,0.36,0.724,0.454,0.367,0.214,0.357,0.24
4,0.38,0.72,0.632,0.377,0.321,0.343,0.311
4,0.4,0.703,0.585,0.361,0.283,0.342,0.302
4,0.42,0.717,0.559,0.369,0.278,0.348,0.281
4,0.44,0.777,0.577,0.405,0.297,0.372,0.28
4,0.46,0.778,0.606,0.383,0.304,0.395,0.302
4,0.48,0.753,0.6,0.382,0.295,0.371,0.305
4,0.5,0.763,0.553,0.383,0.278,0.38,0.275
4,0.52,0.752,0.605,0.381,0.294,0.371,0.311
4,0.54,0.762,0.58,0.384,0.286,0.378,0.294
4,0.56,0.747,0.566,0.372,0.29,0.375,0.276
4,0.58,0.723,0.61,0.364,0.306,0.359,0.304
4,0.6,0.763,0.645,0.395,0.327,0.368,0.318
4,0.62,0.738,0.639,0.375,0.328,0.363,0.311
4,0.64,0.768,0.576,0.388,0.287,0.38,0.289
4,0.66,0.805,0.603,0.405,0.302,0.4,0.301
4,0.68,0.784,0.625,0.397,0.313,0.387,0.312
4,0.7,0.776,0.616,0.41,0.304,0.366,0.312
4,0.72,0.822,0.612,0.413,0.317,0.409,0.295
4,0.74,0.786,0.571,0.395,0.282,0.391,0.289
4,0.76,0.735,0.71,0.371,0.35,0.364,0.36
4,0.78,0.777,0.66,0.392,0.318,0.385,0.342
4,0.8,0.782,0.683,0.39,0.343,0.392,0.34
4,0.82,0.784,0.625,0.397,0.319,0.387,0.306
4,0.84,0.776,0.698,0.392,0.333,0.384,0.365
4,0.86,0.773,0.627,0.378,0.317,0.395,0.31
4,0.88,0.775,0.689,0.396,0.339,0.379,0.35
4,0.9,0.76,0.689,0.385,0.355,0.375,0.334
4,0.92,0.74,0.708,0.37,0.355,0.37,0.353
4,0.94,0.764,0.702,0.384,0.353,0.38,0.349
4,0.96,0.797,0.694,0.405,0.349,0.392,0.345
4,0.98,0.801,0.668,0.394,0.324,0.407,0.344
4,1,0.805,0.61,0.411,0.298,0.394,0.312
5,0.02,0.317,0.118,0.196,0.052,0.121,0.066
5,0.04,0.487,0.205,0.267,0.097,0.22,0.108
5,0.06,0.547,0.319,0.307,0.144,0.24,0.175
5,0.08,0.489,0.332,0.269,0.147,0.22,0.185
5,0.1,0.623,0.392,0.322,0.189,0.301,0.203
5,0.12,0.617,0.438,0.334,0.212,0.283,0.226
5,0.14,0.612,0.472,0.316,0.215,0.296,0.257
5,0.16,0.627,0.414,0.327,0.205,0.3,0.209
5,0.18,0.633,0.428,0.331,0.214,0.302,0.214
5,0.2,0.668,0.468,0.352,0.239,0.316,0.229
5,0.22,0.682,0.516,0.362,0.253,0.32,0.263
5,0.24,0.658,0.541,0.34,0.274,0.318,0.267
5,0.26,0.658,0.518,0.346,0.253,0.312,0.265
5,0.28,0.596,0.55,0.312,0.273,0.284,0.277
5,0.3,0.667,0.606,0.357,0.302,0.31,0.304
5,0.32,0.735,0.494,0.365,0.249,0.37,0.245
5,0.34,0.638,0.624,0.328,0.294,0.31,0.33
5,0.36,0.724,0.454,0.367,0.214,0.357,0.24
5,0.38,0.72,0.632,0.377,0.321,0.343,0.311
5,0.4,0.703,0.585,0.361,0.283,0.342,0.302
5,0.42,0.717,0.559,0.369,0.278,0.348,0.281
5,0.44,0.777,0.577,0.405,0.297,0.372,0.28
5,0.46,0.778,0.606,0.383,0.304,0.395,0.302
5,0.48,0.753,0.6,0.382,0.295,0.371,0.305
5,0.5,0.763,0.553,0.383,0.278,0.38,0.275
5,0.52,0.752,0.605,0.381,0.294,0.371,0.311
5,0.54,0.762,0.58,0.384,0.286,0.378,0.294
5,0.56,0.747,0.566,0.372,0.29,0.375,0.276
5,0.58,0.723,0.61,0.364,0.306,0.359,0.304
5,0.6,0.763,0.645,0.395,0.327,0.368,0.318
5,0.62,0.738,0.639,0.375,0.328,0.363,0.311
5,0.64,0.768,0.576,0.388,0.287,0.38,0.289
5,0.66,0.805,0.603,0.405,0.302,0.4,0.301
5,0.68,0.784,0.625,0.397,0.313,0.387,0.312
5,0.7,0.776,0.616,0.41,0.304,0.366,0.312
5,0.72,0.822,0.612,0.413,0.317,0.409,0.295
5,0.74,0.786,0.571,0.395,0.282,0.391,0.289
5,0.76,0.735,0.71,0.371,0.35,0.364,0.36
5,0.78,0.777,0.66,0.392,0.318,0.385,0.342
5,0.8,0.782,0.683,0.39,0.343,0.392,0.34
5,0.82,0.784,0.625,0.397,0.319,0.387,0.306
5,0.84,0.776,0.698,0.392,0.333,0.384,0.365
5,0.86,0.773,0.627,0.378,0.317,0.395,0.31
5,0.88,0.775,0.689,0.396,0.339,0.379,0.35
5,0.9,0.76,0.689,0.385,0.355,0.375,0.334
5,0.92,0.74,0.708,0.37,0.355,0.37,0.353
5,0.94,0.764,0.702,0.384,0.353,0.38,0.349
5,0.96,0.797,0.694,0.405,0.349,0.392,0.345
5,0.98,0.801,0.668,0.394,0.324,0.407,0.344
5,1,0.805,0.61,0.411,0.298,0.394,0.312
6,0.02,0.317,0.118,0.196,0.052,0.121,0.066
6,0.04,0.487,0.205,0.267,0.097,0.22,0.108
6,0.06,0.547,0.319,0.307,0.144,0.24,0.175
6,0.08,0.489,0.332,0.269,0.147,0.22,0.185
6,0.1,0.623,0.392,0.322,0.189,0.301,0.203
6,0.12,0.617,0.438,0.334,0.212,0.283,0.226
6,0.14,0.612,0.472,0.316,0.215,0.296,0.257
6,0.16,0.627,0.414,0.327,0.205,0.3,0.209
6,0.18,0.633,0.428,0.331,0.214,0.302,0.214
6,0.2,0.668,0.468,0.352,0.239,0.316,0.229
6,0.22,0.682,0.516,0.362,0.253,0.32,0.263
6,0.24,0.658,0.541,0.34,0.274,0.318,0.267
6,0.26,0.658,0.518,0.346,0.253,0.312,0.265
6,0.28,0.596,0.55,0.312,0.273,0.284,0.277
6,0.3,0.667,0.606,0.357,0.302,0.31,0.304
6,0.32,0.735,0.494,0.365,0.249,0.37,0.245
6,0.34,0.638,0.624,0.328,0.294,0.31,0.33
6,0.36,0.724,0.454,0.367,0.214,0.357,0.24
6,0.38,0.72,0.632,0.377,0.321,0.343,0.311
6,0.4,0.703,0.585,0.361,0.283,0.342,0.302
6,0.42,0.717,0.559,0.369,0.278,0.348,0.281
6,0.44,0.777,0.577,0.405,0.297,0.372,0.28
6,0.46,0.778,0.606,0.383,0.304,0.395,0.302
6,0.48,0.753,0.6,0.382,0.295,0.371,0.305
6,0.5,0.763,0.553,0.383,0.278,0.38,0.275
6,0.52,0.752,0.605,0.381,0.294,0.371,0.311
6,0.54,0.762,0.58,0.384,0.286,0.378,0.294
6,0.56,0.747,0.566,0.372,0.29,0.375,0.276
6,0.58,0.723,0.61,0.364,0.306,0.359,0.304
6,0.6,0.763,0.645,0.395,0.327,0.368,0.318
6,0.62,0.738,0.639,0.375,0.328,0.363,0.311
6,0.64,0.768,0.576,0.388,0.287,0.38,0.289
6,0.66,0.805,0.603,0.405,0.302,0.4,0.301
6,0.68,0.784,0.625,0.397,0.313,0.387,0.312
6,0.7,0.776,0.616,0.41,0.304,0.366,0.312
6,0.72,0.822,0.612,0.413,0.317,0.409,0.295
6,0.74,0.786,0.571,0.395,0.282,0.391,0.289
6,0.76,0.735,0.71,0.371,0.35,0.364,0.36
6,0.78,0.777,0.66,0.392,0.318,0.385,0.342
6,0.8,0.782,0.683,0.39,0.343,0.392,0.34
6,0.82,0.784,0.625,0.397,0.319,0.387,0.306
6,0.84,0.776,0.698,0.392,0.333,0.384,0.365
6,0.86,0.773,0.627,0.378,0.317,0.395,0.31
6,0.88,0.775,0.689,0.396,0.339,0.379,0.35
6,0.9,0.76,0.689,0.385,0.355,0.375,0.334
6,0.92,0.74,0.708,0.37,0.355,0.37,0.353
6,0.94,0.764,0.702,0.384,0.353,0.38,0.349
6,0.96,0.797,0.694,0.405,0.349,0.392,0.345
6,0.98,0.801,0.668,0.394,0.324,0.407,0.344
6,1,0.805,0.61,0.411,0.298,0.394,0.312
7,0.02,0.317,0.118,0.196,0.052,0.121,0.066
7,0.04,0.487,0.205,0.267,0.097,0.22,0.108
7,0.06,0.547,0.319,0.307,0.144,0.24,0.175
7,0.08,0.489,0.332,0.269,0.147,0.22,0.185
7,0.1,0.623,0.392,0.322,0.189,0.301,0.203
7,0.12,0.617,0.438,0.334,0.212,0.283,0.226
7,0.14,0.612,0.472,0.316,0.215,0.296,0.257
7,0.16,0.627,0.414,0.327,0.205,0.3,0.209
7,0.18,0.633,0.428,0.331,0.214,0.302,0.214
7,0.2,0.668,0.468,0.352,0.239,0.316,0.229
7,0.22,0.682,0.516,0.362,0.253,0.32,0.263
7,0.24,0.658,0.541,0.34,0.274,0.318,0.267
7,0.26,0.658,0.518,0.346,0.253,0.312,0.265
7,0.28,0.596,0.55,0.312,0.273,0.284,0.277
7,0.3,0.667,0.606,0.357,0.302,0.31,0.304
7,0.32,0.735,0.494,0.365,0.249,0.37,0.245
7,0.34,0.638,0.624,0.328,0.294,0.31,0.33
7,0.36,0.724,0.454,0.367,0.214,0.357,0.24
7,0.38,0.72,0.632,0.377,0.321,0.343,0.311
7,0.4,0.703,0.585,0.361,0.283,0.342,0.302
7,0.42,0.717,0.559,0.369,0.278,0.348,0.281
7,0.44,0.777,0.577,0.405,0.297,0.372,0.28
7,0.46,0.778,0.606,0.383,0.304,0.395,0.302
7,0.48,0.753,0.6,0.382,0.295,0.371,0.305
7,0.5,0.763,0.553,0.383,0.278,0.38,0.275
7,0.52,0.752,0.605,0.381,0.294,0.371,0.311
7,0.54,0.762,0.58,0.384,0.286,0.378,0.294
7,0.56,0.747,0.566,0.372,0.29,0.375,0.276
7,0.58,0.723,0.61,0.364,0.306,0.359,0.304
7,0.6,0.763,0.645,0.395,0.327,0.368,0.318
7,0.62,0.738,0.639,0.375,0.328,0.363,0.311
7,0.64,0.768,0.576,0.388,0.287,0.38,0.289
7,0.66,0.805,0.603,0.405,0.302,0.4,0.301
7,0.68,0.784,0.625,0.397,0.313,0.387,0.312
7,0.7,0.776,0.616,0.41,0.304,0.366,0.312
7,0.72,0.822,0.612,0.413,0.317,0.409,0.295
7,0.74,0.786,0.571,0.395,0.282,0.391,0.289
7,0.76,0.735,0.71,0.371,0.35,0.364,0.36
7,0.78,0.777,0.66,0.392,0.318,0.385,0.342
7,0.8,0.782,0.683,0.39,0.343,0.392,0.34
7,0.82,0.784,0.625,0.397,0.319,0.387,0.306
7,0.84,0.776,0.698,0.392,0.333,0.384,0.365
7,0.86,0.773,0.627,0.378,0.317,0.395,0.31
7,0.88,0.775,0.689,0.396,0.339,0.379,0.35
7,0.9,0.76,0.689,0.385,0.355,0.375,0.334
7,0.92,0.74,0.708,0.37,0.355,0.37,0.353
7,0.94,0.764,0.702,0.384,0.353,0.38,0.349
7,0.96,0.797,0.694,0.405,0.349,0.392,0.345
7,0.98,0.801,0.668,0.394,0.324,0.407,0.344
7,1,0.805,0.61,0.411,0.298,0.394,0.312
8,0.02,0.317,0.118,0.196,0.052,0.121,0.066
8,0.04,0.487,0.205,0.267,0.097,0.22,0.108
8,0.06,0.547,0.319,0.307,0.144,0.24,0.175
8,0.08,0.489,0.332,0.269,0.147,0.22,0.185
8,0.1,0.623,0.392,0.322,0.189,0.301,0.203
8,0.12,0.617,0.438,0.334,0.212,0.283,0.226
8,0.14,0.612,0.472,0.316,0.215,0.296,0.257
8,0.16,0.627,0.414,0.327,0.205,0.3,0.209
8,0.18,0.633,0.428,0.331,0.214,0.302,0.214
8,0.2,0.668,0.468,0.352,0.239,0.316,0.229
8,0.22,0.682,0.516,0.362,0.253,0.32,0.263
8,0.24,0.658,0.541,0.34,0.274,0.318,0.267
8,0.26,0.658,0.518,0.346,0.253,0.312,0.265
8,0.28,0.596,0.55,0.312,0.273,0.284,0.277
8,0.3,0.667,0.606,0.357,0.302,0.31,0.304
8,0.32,0.735,0.494,0.365,0.249,0.37,0.245
8,0.34,0.638,0.624,0.328,0.294,0.31,0.33
8,0.36,0.724,0.454,0.367,0.214,0.357,0.24
8,0.38,0.72,0.632,0.377,0.321,0.343,0.311
8,0.4,0.703,0.585,0.361,0.283,0.342,0.302
8,0.42,0.717,0.559,0.369,0.278,0.348,0.281
8,0.44,0.777,0.577,0.405,0.297,0.372,0.28
8,0.46,0.778,0.606,0.383,0.304,0.395,0.302
8,0.48,0.753,0.6,0.382,0.295,0.371,0.305
8,0.5,0.763,0.553,0.383,0.278,0.38,0.275
8,0.52,0.752,0.605,0.381,0.294,0.371,0.311
8,0.54,0.762,0.58,0.384,0.286,0.378,0.294
8,0.56,0.747,0.566,0.372,0.29,0.375,0.276
8,0.58,0.723,0.61,0.364,0.306,0.359,0.304
8,0.6,0.763,0.645,0.395,0.327,0.368,0.318
8,0.62,0.738,0.639,0.375,0.328,0.363,0.311
8,0.64,0.768,0.576,0.388,0.287,0.38,0.289
8,0.66,0.805,0.603,0.405,0.302,0.4,0.301
8,0.68,0.784,0.625,0.397,0.313,0.387,0.312
8,0.7,0.776,0.616,0.41,0.304,0.366,0.312
8,0.72,0.822,0.612,0.413,0.317,0.409,0.295
8,0.74,0.786,0.571,0.395,0.282,0.391,0.289
8,0.76,0.735,0.71,0.371,0.35,0.364,0.36
8,0.78,0.777,0.66,0.392,0.318,0.385,0.342
8,0.8,0.782,0.683,0.39,0.343,0.392,0.34
8,0.82,0.784,0.625,0.397,0.319,0.387,0.306
8,0.84,0.776,0.698,0.392,0.333,0.384,0.365
8,0.86,0.773,0.627,0.378,0.317,0.395,0.31
8,0.88,0.775,0.689,0.396,0.339,0.379,0.35
8,0.9,0.76,0.689,0.385,0.355,0.375,0.334
8,0.92,0.74,0.708,0.37,0.355,0.37,0.353
8,0.94,0.764,0.702,0.384,0.353,0.38,0.349
8,0.96,0.797,0.694,0.405,0.349,0.392,0.345
8,0.98,0.801,0.668,0.394,0.324,0.407,0.344
8,1,0.805,0.61,0.411,0.298,0.394,0.312
9,0.02,0.317,0.118,0.196,0.052,0.121,0.066
9,0.04,0.487,0.205,0.267,0.097,0.22,0.108
9,0.06,0.547,0.319,0.307,0.144,0.24,0.175
9,0.08,0.489,0.332,0.269,0.147,0.22,0.185
9,0.1,0.623,0.392,0.322,0.189,0.301,0.203
9,0.12,0.617,0.438,0.334,0.212,0.283,0.226
9,0.14,0.612,0.472,0.316,0.215,0.296,0.257
9,0.16,0.627,0.414,0.327,0.205,0.3,0.209
9,0.18,0.633,0.428,0.331,0.214,0.302,0.214
9,0.2,0.668,0.468,0.352,0.239,0.316,0.229
9,0.22,0.682,0.516,0.362,0.253,0.32,0.263
9,0.24,0.658,0.541,0.34,0.274,0.318,0.267
9,0.26,0.658,0.518,0.346,0.253,0.312,0.265
9,0.28,0.596,0.55,0.312,0.273,0.284,0.277
9,0.3,0.667,0.606,0.357,0.302,0.31,0.304
9,0.32,0.735,0.494,0.365,0.249,0.37,0.245
9,0.34,0.638,0.624,0.328,0.294,0.31,0.33
9,0.36,0.724,0.454,0.367,0.214,0.357,0.24
9,0.38,0.72,0.632,0.377,0.321,0.343,0.311
9,0.4,0.703,0.585,0.361,0.283,0.342,0.302
9,0.42,0.717,0.559,0.369,0.278,0.348,0.281
9,0.44,0.777,0.577,0.405,0.297,0.372,0.28
9,0.46,0.778,0.606,0.383,0.304,0.395,0.302
9,0.48,0.753,0.6,0.382,0.295,0.371,0.305
9,0.5,0.763,0.553,0.383,0.278,0.38,0.275
9,0.52,0.752,0.605,0.381,0.294,0.371,0.311
9,0.54,0.762,0.58,0.384,0.286,0.378,0.294
9,0.56,0.747,0.566,0.372,0.29,0.375,0.276
9,0.58,0.723,0.61,0.364,0.306,0.359,0.304
9,0.6,0.763,0.645,0.395,0.327,0.368,0.318
9,0.62,0.738,0.639,0.375,0.328,0.363,0.311
9,0.64,0.768,0.576,0.388,0.287,0.38,0.289
9,0.66,0.805,0.603,0.405,0.302,0.4,0.301
9,0.68,0.784,0.625,0.397,0.313,0.387,0.312
9,0.7,0.776,0.616,0.41,0.304,0.366,0.312
9,0.72,0.822,0.612,0.413,0.317,0.409,0.295
9,0.74,0.786,0.571,0.395,0.282,0.391,0.289
9,0.76,0.735,0.71,0.371,0.35,0.364,0.36
9,0.78,0.777,0.66,0.392,0.318,0.385,0.342
9,0.8,0.782,0.683,0.39,0.343,0.392,0.34
9,0.82,0.784,0.625,0.397,0.319,0.387,0.306
9,0.84,0.776,0.698,0.392,0.333,0.384,0.365
9,0.86,0.773,0.627,0.378,0.317,0.395,0.31
9,0.88,0.775,0.689,0.396,0.339,0.379,0.35
9,0.9,0.76,0.689,0.385,0.355,0.375,0.334
9,0.92,0.74,0.708,0.37,0.355,0.37,0.353
9,0.94,0.764,0.702,0.384,0.353,0.38,0.349
9,0.96,0.797,0.694,0.405,0.349,0.392,0.345
9,0.98,0.801,0.668,0.394,0.324,0.407,0.344
9,1,0.805,0.61,0.411,0.298,0.394,0.312
10,0.02,0.317,0.118,0.196,0.052,0.121,0.066
10,0.04,0.487,0.205,0.267,0.097,0.22,0.108
10,0.06,0.547,0.319,0.307,0.144,0.24,0.175
10,0.08,0.489,0.332,0.269,0.147,0.22,0.185
10,0.1,0.623,0.392,0.322,0.189,0.301,0.203
10,0.12,0.617,0.438,0.334,0.212,0.283,0.226
10,0.14,0.612,0.472,0.316,0.215,0.296,0.257
10,0.16,0.627,0.414,0.327,0.205,0.3,0.209
10,0.18,0.633,0.428,0.331,0.214,0.302,0.214
10,0.2,0.668,0.468,0.352,0.239,0.316,0.229
10,0.22,0.682,0.516,0.362,0.253,0.32,0.263
10,0.24,0.658,0.541,0.34,0.274,0.318,0.267
