"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.317,0.118,0.196,0.052,0.121,0.066
1,0.04,0.487,0.205,0.267,0.097,0.22,0.108
1,0.06,0.547,0.319,0.307,0.144,0.24,0.175
1,0.08,0.489,0.332,0.269,0.147,0.22,0.185
1,0.1,0.623,0.392,0.322,0.189,0.301,0.203
1,0.12,0.617,0.438,0.334,0.212,0.283,0.226
1,0.14,0.612,0.472,0.316,0.215,0.296,0.257
1,0.16,0.627,0.414,0.327,0.205,0.3,0.209
1,0.18,0.633,0.428,0.331,0.214,0.302,0.214
1,0.2,0.668,0.468,0.352,0.239,0.316,0.229
1,0.22,0.682,0.516,0.362,0.253,0.32,0.263
1,0.24,0.658,0.541,0.34,0.274,0.318,0.267
1,0.26,0.658,0.518,0.346,0.253,0.312,0.265
1,0.28,0.596,0.55,0.312,0.273,0.284,0.277
1,0.3,0.667,0.606,0.357,0.302,0.31,0.304
1,0.32,0.735,0.494,0.365,0.249,0.37,0.245
1,0.34,0.638,0.624,0.328,0.294,0.31,0.33
1,0.36,0.724,0.454,0.367,0.214,0.357,0.24
1,0.38,0.72,0.632,0.377,0.321,0.343,0.311
1,0.4,0.703,0.585,0.361,0.283,0.342,0.302
1,0.42,0.717,0.559,0.369,0.278,0.348,0.281
1,0.44,0.777,0.577,0.405,0.297,0.372,0.28
1,0.46,0.778,0.606,0.383,0.304,0.395,0.302
1,0.48,0.753,0.6,0.382,0.295,0.371,0.305
1,0.5,0.763,0.553,0.383,0.278,0.38,0.275
1,0.52,0.752,0.605,0.381,0.294,0.371,0.311
1,0.54,0.762,0.58,0.384,0.286,0.378,0.294
1,0.56,0.747,0.566,0.372,0.29,0.375,0.276
1,0.58,0.723,0.61,0.364,0.306,0.359,0.304
1,0.6,0.763,0.645,0.395,0.327,0.368,0.318
1,0.62,0.738,0.639,0.375,0.328,0.363,0.311
1,0.64,0.768,0.576,0.388,0.287,0.38,0.289
1,0.66,0.805,0.603,0.405,0.302,0.4,0.301
1,0.68,0.784,0.625,0.397,0.313,0.387,0.312
1,0.7,0.776,0.616,0.41,0.304,0.366,0.312
1,0.72,0.822,0.612,0.413,0.317,0.409,0.295
1,0.74,0.786,0.571,0.395,0.282,0.391,0.289
1,0.76,0.735,0.71,0.371,0.35,0.364,0.36
1,0.78,0.777,0.66,0.392,0.318,0.385,0.342
1,0.8,0.782,0.683,0.39,0.343,0.392,0.34
1,0.82,0.784,0.625,0.397,0.319,0.387,0.306
1,0.84,0.776,0.698,0.392,0.333,0.384,0.365
1,0.86,0.773,0.627,0.378,0.317,0.395,0.31
1,0.88,0.775,0.689,0.396,0.339,0.379,0.35
1,0.9,0.76,0.689,0.385,0.355,0.375,0.334
1,0.92,0.74,0.708,0.37,0.355,0.37,0.353
1,0.94,0.764,0.702,0.384,0.353,0.38,0.349
1,0.96,0.797,0.694,0.405,0.349,0.392,0.345
1,0.98,0.801,0.668,0.394,0.324,0.407,0.344
1,1,0.805,0.61,0.411,0.298,0.394,0.312
2,0.02,0.317,0.118,0.196,0.052,0.121,0.066
2,0.04,0.487,0.205,0.267,0.097,0.22,0.108
2,0.06,0.547,0.319,0.307,0.144,0.24,0.175
2,0.08,0.489,0.332,0.269,0.147,0.22,0.185
2,0.1,0.623,0.392,0.322,0.189,0.301,0.203
2,0.12,0.617,0.438,0.334,0.212,0.283,0.226
2,0.14,0.612,0.472,0.316,0.215,0.296,0.257
2,0.16,0.627,0.414,0.327,0.205,0.3,0.209
2,0.18,0.633,0.428,0.331,0.214,0.302,0.214
2,0.2,0.668,0.468,0.352,0.239,0.316,0.229
2,0.22,0.682,0.516,0.362,0.253,0.32,0.263
2,0.24,0.658,0.541,0.34,0.274,0.318,0.267
2,0.26,0.658,0.518,0.346,0.253,0.312,0.265
2,0.28,0.596,0.55,0.312,0.273,0.284,0.277
2,0.3,0.667,0.606,0.357,0.302,0.31,0.304
2,0.32,0.735,0.494,0.365,0.249,0.37,0.245
2,0.34,0.638,0.624,0.328,0.294,0.31,0.33
2,0.36,0.724,0.454,0.367,0.214,0.357,0.24
2,0.38,0.72,0.632,0.377,0.321,0.343,0.311
2,0.4,0.703,0.585,0.361,0.283,0.342,0.302
2,0.42,0.717,0.559,0.369,0.278,0.348,0.281
2,0.44,0.777,0.577,0.405,0.297,0.372,0.28
2,0.46,0.778,0.606,0.383,0.304,0.395,0.302
2,0.48,0.753,0.6,0.382,0.295,0.371,0.305
2,0.5,0.763,0.553,0.383,0.278,0.38,0.275
2,0.52,0.752,0.605,0.381,0.294,0.371,0.311
2,0.54,0.762,0.58,0.384,0.286,0.378,0.294
2,0.56,0.747,0.566,0.372,0.29,0.375,0.276
2,0.58,0.723,0.61,0.364,0.306,0.359,0.304
2,0.6,0.763,0.645,0.395,0.327,0.368,0.318
2,0.62,0.738,0.639,0.375,0.328,0.363,0.311
2,0.64,0.768,0.576,0.388,0.287,0.38,0.289
2,0.66,0.805,0.603,0.405,0.302,0.4,0.301
2,0.68,0.784,0.625,0.397,0.313,0.387,0.312
2,0.7,0.776,0.616,0.41,0.304,0.366,0.312
2,0.72,0.822,0.612,0.413,0.317,0.409,0.295
2,0.74,0.786,0.571,0.395,0.282,0.391,0.289
2,0.76,0.735,0.71,0.371,0.35,0.364,0.36
2,0.78,0.777,0.66,0.392,0.318,0.385,0.342
2,0.8,0.782,0.683,0.39,0.343,0.392,0.34
2,0.82,0.784,0.625,0.397,0.319,0.387,0.306
2,0.84,0.776,0.698,0.392,0.333,0.384,0.365
2,0.86,0.773,0.627,0.378,0.317,0.395,0.31
2,0.88,0.775,0.689,0.396,0.339,0.379,0.35
2,0.9,0.76,0.689,0.385,0.355,0.375,0.334
