"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.372,0.091,0.221,0.037,0.151,0.054
1,0.04,0.516,0.19,0.309,0.095,0.207,0.095
1,0.06,0.586,0.188,0.342,0.091,0.244,0.097
1,0.08,0.616,0.318,0.345,0.158,0.271,0.16
1,0.1,0.654,0.252,0.372,0.119,0.282,0.133
1,0.12,0.625,0.434,0.332,0.195,0.293,0.239
1,0.14,0.656,0.421,0.353,0.209,0.303,0.212
1,0.16,0.719,0.488,0.394,0.238,0.325,0.25
1,0.18,0.722,0.409,0.37,0.193,0.352,0.216
1,0.2,0.701,0.496,0.361,0.238,0.34,0.258
1,0.22,0.718,0.483,0.378,0.244,0.34,0.239
1,0.24,0.689,0.525,0.371,0.269,0.318,0.256
1,0.26,0.69,0.509,0.36,0.247,0.33,0.262
1,0.28,0.761,0.54,0.41,0.267,0.351,0.273
1,0.3,0.719,0.471,0.363,0.238,0.356,0.233
1,0.32,0.742,0.538,0.382,0.244,0.36,0.294
1,0.34,0.79,0.516,0.413,0.266,0.377,0.25
1,0.36,0.715,0.558,0.378,0.288,0.337,0.27
1,0.38,0.712,0.66,0.378,0.341,0.334,0.319
1,0.4,0.778,0.531,0.389,0.25,0.389,0.281
1,0.42,0.755,0.546,0.382,0.267,0.373,0.279
1,0.44,0.702,0.647,0.382,0.32,0.32,0.327
1,0.46,0.714,0.634,0.374,0.32,0.34,0.314
1,0.48,0.79,0.624,0.414,0.318,0.376,0.306
1,0.5,0.782,0.636,0.388,0.325,0.394,0.311
1,0.52,0.79,0.593,0.414,0.285,0.376,0.308
1,0.54,0.788,0.643,0.401,0.319,0.387,0.324
1,0.56,0.785,0.597,0.394,0.298,0.391,0.299
1,0.58,0.763,0.648,0.388,0.316,0.375,0.332
1,0.6,0.752,0.637,0.383,0.311,0.369,0.326
1,0.62,0.788,0.643,0.408,0.334,0.38,0.309
1,0.64,0.809,0.549,0.42,0.287,0.389,0.262
1,0.66,0.745,0.633,0.39,0.327,0.355,0.306
1,0.68,0.806,0.612,0.401,0.301,0.405,0.311
1,0.7,0.825,0.642,0.424,0.328,0.401,0.314
1,0.72,0.816,0.568,0.418,0.304,0.398,0.264
1,0.74,0.765,0.707,0.389,0.363,0.376,0.344
1,0.76,0.766,0.652,0.398,0.331,0.368,0.321
1,0.78,0.812,0.628,0.41,0.318,0.402,0.31
1,0.8,0.777,0.616,0.396,0.297,0.381,0.319
1,0.82,0.835,0.681,0.423,0.341,0.412,0.34
1,0.84,0.717,0.7,0.368,0.344,0.349,0.356
1,0.86,0.802,0.617,0.405,0.32,0.397,0.297
1,0.88,0.794,0.654,0.409,0.34,0.385,0.314
1,0.9,0.756,0.71,0.384,0.363,0.372,0.347
1,0.92,0.811,0.679,0.41,0.347,0.401,0.332
1,0.94,0.818,0.669,0.403,0.337,0.415,0.332
1,0.96,0.81,0.702,0.411,0.353,0.399,0.349
1,0.98,0.805,0.675,0.401,0.331,0.404,0.344
1,1,0.796,0.606,0.41,0.294,0.386,0.312
2,0.02,0.372,0.091,0.221,0.037,0.151,0.054
2,0.04,0.516,0.19,0.309,0.095,0.207,0.095
2,0.06,0.586,0.188,0.342,0.091,0.244,0.097
2,0.08,0.616,0.318,0.345,0.158,0.271,0.16
2,0.1,0.654,0.252,0.372,0.119,0.282,0.133
2,0.12,0.625,0.434,0.332,0.195,0.293,0.239
2,0.14,0.656,0.421,0.353,0.209,0.303,0.212
2,0.16,0.719,0.488,0.394,0.238,0.325,0.25
2,0.18,0.722,0.409,0.37,0.193,0.352,0.216
2,0.2,0.701,0.496,0.361,0.238,0.34,0.258
2,0.22,0.718,0.483,0.378,0.244,0.34,0.239
2,0.24,0.689,0.525,0.371,0.269,0.318,0.256
2,0.26,0.69,0.509,0.36,0.247,0.33,0.262
2,0.28,0.761,0.54,0.41,0.267,0.351,0.273
2,0.3,0.719,0.471,0.363,0.238,0.356,0.233
2,0.32,0.742,0.538,0.382,0.244,0.36,0.294
2,0.34,0.79,0.516,0.413,0.266,0.377,0.25
