"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
2,0.36,0.715,0.558,0.378,0.288,0.337,0.27
2,0.38,0.712,0.66,0.378,0.341,0.334,0.319
2,0.4,0.778,0.531,0.389,0.25,0.389,0.281
2,0.42,0.755,0.546,0.382,0.267,0.373,0.279
2,0.44,0.702,0.647,0.382,0.32,0.32,0.327
2,0.46,0.714,0.634,0.374,0.32,0.34,0.314
2,0.48,0.79,0.624,0.414,0.318,0.376,0.306
2,0.5,0.782,0.636,0.388,0.325,0.394,0.311
2,0.52,0.79,0.593,0.414,0.285,0.376,0.308
2,0.54,0.788,0.643,0.401,0.319,0.387,0.324
2,0.56,0.785,0.597,0.394,0.298,0.391,0.299
2,0.58,0.763,0.648,0.388,0.316,0.375,0.332
2,0.6,0.752,0.637,0.383,0.311,0.369,0.326
2,0.62,0.788,0.643,0.408,0.334,0.38,0.309
2,0.64,0.809,0.549,0.42,0.287,0.389,0.262
2,0.66,0.745,0.633,0.39,0.327,0.355,0.306
2,0.68,0.806,0.612,0.401,0.301,0.405,0.311
2,0.7,0.825,0.642,0.424,0.328,0.401,0.314
2,0.72,0.816,0.568,0.418,0.304,0.398,0.264
2,0.74,0.765,0.707,0.389,0.363,0.376,0.344
2,0.76,0.766,0.652,0.398,0.331,0.368,0.321
2,0.78,0.812,0.628,0.41,0.318,0.402,0.31
2,0.8,0.777,0.616,0.396,0.297,0.381,0.319
2,0.82,0.835,0.681,0.423,0.341,0.412,0.34
2,0.84,0.717,0.7,0.368,0.344,0.349,0.356
2,0.86,0.802,0.617,0.405,0.32,0.397,0.297
2,0.88,0.794,0.654,0.409,0.34,0.385,0.314
2,0.9,0.756,0.71,0.384,0.363,0.372,0.347
2,0.92,0.811,0.679,0.41,0.347,0.401,0.332
2,0.94,0.818,0.669,0.403,0.337,0.415,0.332
2,0.96,0.81,0.702,0.411,0.353,0.399,0.349
2,0.98,0.805,0.675,0.401,0.331,0.404,0.344
2,1,0.796,0.606,0.41,0.294,0.386,0.312
3,0.02,0.372,0.091,0.221,0.037,0.151,0.054
3,0.04,0.516,0.19,0.309,0.095,0.207,0.095
3,0.06,0.586,0.188,0.342,0.091,0.244,0.097
3,0.08,0.616,0.318,0.345,0.158,0.271,0.16
3,0.1,0.654,0.252,0.372,0.119,0.282,0.133
3,0.12,0.625,0.434,0.332,0.195,0.293,0.239
3,0.14,0.656,0.421,0.353,0.209,0.303,0.212
3,0.16,0.719,0.488,0.394,0.238,0.325,0.25
3,0.18,0.722,0.409,0.37,0.193,0.352,0.216
3,0.2,0.701,0.496,0.361,0.238,0.34,0.258
3,0.22,0.718,0.483,0.378,0.244,0.34,0.239
3,0.24,0.689,0.525,0.371,0.269,0.318,0.256
3,0.26,0.69,0.509,0.36,0.247,0.33,0.262
3,0.28,0.761,0.54,0.41,0.267,0.351,0.273
3,0.3,0.719,0.471,0.363,0.238,0.356,0.233
3,0.32,0.742,0.538,0.382,0.244,0.36,0.294
3,0.34,0.79,0.516,0.413,0.266,0.377,0.25
3,0.36,0.715,0.558,0.378,0.288,0.337,0.27
3,0.38,0.712,0.66,0.378,0.341,0.334,0.319
3,0.4,0.778,0.531,0.389,0.25,0.389,0.281
3,0.42,0.755,0.546,0.382,0.267,0.373,0.279
3,0.44,0.702,0.647,0.382,0.32,0.32,0.327
3,0.46,0.714,0.634,0.374,0.32,0.34,0.314
3,0.48,0.79,0.624,0.414,0.318,0.376,0.306
3,0.5,0.782,0.636,0.388,0.325,0.394,0.311
3,0.52,0.79,0.593,0.414,0.285,0.376,0.308
3,0.54,0.788,0.643,0.401,0.319,0.387,0.324
3,0.56,0.785,0.597,0.394,0.298,0.391,0.299
3,0.58,0.763,0.648,0.388,0.316,0.375,0.332
3,0.6,0.752,0.637,0.383,0.311,0.369,0.326
3,0.62,0.788,0.643,0.408,0.334,0.38,0.309
3,0.64,0.809,0.549,0.42,0.287,0.389,0.262
3,0.66,0.745,0.633,0.39,0.327,0.355,0.306
3,0.68,0.806,0.612,0.401,0.301,0.405,0.311
3,0.7,0.825,0.642,0.424,0.328,0.401,0.314
3,0.72,0.816,0.568,0.418,0.304,0.398,0.264
3,0.74,0.765,0.707,0.389,0.363,0.376,0.344
3,0.76,0.766,0.652,0.398,0.331,0.368,0.321
3,0.78,0.812,0.628,0.41,0.318,0.402,0.31
3,0.8,0.777,0.616,0.396,0.297,0.381,0.319
3,0.82,0.835,0.681,0.423,0.341,0.412,0.34
3,0.84,0.717,0.7,0.368,0.344,0.349,0.356
3,0.86,0.802,0.617,0.405,0.32,0.397,0.297
3,0.88,0.794,0.654,0.409,0.34,0.385,0.314
3,0.9,0.756,0.71,0.384,0.363,0.372,0.347
3,0.92,0.811,0.679,0.41,0.347,0.401,0.332
3,0.94,0.818,0.669,0.403,0.337,0.415,0.332
3,0.96,0.81,0.702,0.411,0.353,0.399,0.349
3,0.98,0.805,0.675,0.401,0.331,0.404,0.344
3,1,0.796,0.606,0.41,0.294,0.386,0.312
4,0.02,0.372,0.091,0.221,0.037,0.151,0.054
4,0.04,0.516,0.19,0.309,0.095,0.207,0.095
4,0.06,0.586,0.188,0.342,0.091,0.244,0.097
4,0.08,0.616,0.318,0.345,0.158,0.271,0.16
4,0.1,0.654,0.252,0.372,0.119,0.282,0.133
4,0.12,0.625,0.434,0.332,0.195,0.293,0.239
4,0.14,0.656,0.421,0.353,0.209,0.303,0.212
4,0.16,0.719,0.488,0.394,0.238,0.325,0.25
4,0.18,0.722,0.409,0.37,0.193,0.352,0.216
4,0.2,0.701,0.496,0.361,0.238,0.34,0.258
4,0.22,0.718,0.483,0.378,0.244,0.34,0.239
4,0.24,0.689,0.525,0.371,0.269,0.318,0.256
4,0.26,0.69,0.509,0.36,0.247,0.33,0.262
4,0.28,0.761,0.54,0.41,0.267,0.351,0.273
4,0.3,0.719,0.471,0.363,0.238,0.356,0.233
4,0.32,0.742,0.538,0.382,0.244,0.36,0.294
4,0.34,0.79,0.516,0.413,0.266,0.377,0.25
4,0.36,0.715,0.558,0.378,0.288,0.337,0.27
4,0.38,0.712,0.66,0.378,0.341,0.334,0.319
4,0.4,0.778,0.531,0.389,0.25,0.389,0.281
4,0.42,0.755,0.546,0.382,0.267,0.373,0.279
4,0.44,0.702,0.647,0.382,0.32,0.32,0.327
4,0.46,0.714,0.634,0.374,0.32,0.34,0.314
4,0.48,0.79,0.624,0.414,0.318,0.376,0.306
4,0.5,0.782,0.636,0.388,0.325,0.394,0.311
4,0.52,0.79,0.593,0.414,0.285,0.376,0.308
4,0.54,0.788,0.643,0.401,0.319,0.387,0.324
4,0.56,0.785,0.597,0.394,0.298,0.391,0.299
4,0.58,0.763,0.648,0.388,0.316,0.375,0.332
4,0.6,0.752,0.637,0.383,0.311,0.369,0.326
4,0.62,0.788,0.643,0.408,0.334,0.38,0.309
4,0.64,0.809,0.549,0.42,0.287,0.389,0.262
4,0.66,0.745,0.633,0.39,0.327,0.355,0.306
4,0.68,0.806,0.612,0.401,0.301,0.405,0.311
4,0.7,0.825,0.642,0.424,0.328,0.401,0.314
4,0.72,0.816,0.568,0.418,0.304,0.398,0.264
4,0.74,0.765,0.707,0.389,0.363,0.376,0.344
4,0.76,0.766,0.652,0.398,0.331,0.368,0.321
4,0.78,0.812,0.628,0.41,0.318,0.402,0.31
4,0.8,0.777,0.616,0.396,0.297,0.381,0.319
4,0.82,0.835,0.681,0.423,0.341,0.412,0.34
4,0.84,0.717,0.7,0.368,0.344,0.349,0.356
4,0.86,0.802,0.617,0.405,0.32,0.397,0.297
4,0.88,0.794,0.654,0.409,0.34,0.385,0.314
4,0.9,0.756,0.71,0.384,0.363,0.372,0.347
4,0.92,0.811,0.679,0.41,0.347,0.401,0.332
4,0.94,0.818,0.669,0.403,0.337,0.415,0.332
4,0.96,0.81,0.702,0.411,0.353,0.399,0.349
4,0.98,0.805,0.675,0.401,0.331,0.404,0.344
4,1,0.796,0.606,0.41,0.294,0.386,0.312
5,0.02,0.372,0.091,0.221,0.037,0.151,0.054
5,0.04,0.516,0.19,0.309,0.095,0.207,0.095
5,0.06,0.586,0.188,0.342,0.091,0.244,0.097
5,0.08,0.616,0.318,0.345,0.158,0.271,0.16
5,0.1,0.654,0.252,0.372,0.119,0.282,0.133
5,0.12,0.625,0.434,0.332,0.195,0.293,0.239
5,0.14,0.656,0.421,0.353,0.209,0.303,0.212
5,0.16,0.719,0.488,0.394,0.238,0.325,0.25
5,0.18,0.722,0.409,0.37,0.193,0.352,0.216
5,0.2,0.701,0.496,0.361,0.238,0.34,0.258
5,0.22,0.718,0.483,0.378,0.244,0.34,0.239
5,0.24,0.689,0.525,0.371,0.269,0.318,0.256
5,0.26,0.69,0.509,0.36,0.247,0.33,0.262
5,0.28,0.761,0.54,0.41,0.267,0.351,0.273
5,0.3,0.719,0.471,0.363,0.238,0.356,0.233
5,0.32,0.742,0.538,0.382,0.244,0.36,0.294
5,0.34,0.79,0.516,0.413,0.266,0.377,0.25
5,0.36,0.715,0.558,0.378,0.288,0.337,0.27
5,0.38,0.712,0.66,0.378,0.341,0.334,0.319
5,0.4,0.778,0.531,0.389,0.25,0.389,0.281
5,0.42,0.755,0.546,0.382,0.267,0.373,0.279
5,0.44,0.702,0.647,0.382,0.32,0.32,0.327
5,0.46,0.714,0.634,0.374,0.32,0.34,0.314
5,0.48,0.79,0.624,0.414,0.318,0.376,0.306
5,0.5,0.782,0.636,0.388,0.325,0.394,0.311
5,0.52,0.79,0.593,0.414,0.285,0.376,0.308
5,0.54,0.788,0.643,0.401,0.319,0.387,0.324
5,0.56,0.785,0.597,0.394,0.298,0.391,0.299
5,0.58,0.763,0.648,0.388,0.316,0.375,0.332
5,0.6,0.752,0.637,0.383,0.311,0.369,0.326
5,0.62,0.788,0.643,0.408,0.334,0.38,0.309
5,0.64,0.809,0.549,0.42,0.287,0.389,0.262
5,0.66,0.745,0.633,0.39,0.327,0.355,0.306
5,0.68,0.806,0.612,0.401,0.301,0.405,0.311
5,0.7,0.825,0.642,0.424,0.328,0.401,0.314
5,0.72,0.816,0.568,0.418,0.304,0.398,0.264
5,0.74,0.765,0.707,0.389,0.363,0.376,0.344
5,0.76,0.766,0.652,0.398,0.331,0.368,0.321
5,0.78,0.812,0.628,0.41,0.318,0.402,0.31
5,0.8,0.777,0.616,0.396,0.297,0.381,0.319
5,0.82,0.835,0.681,0.423,0.341,0.412,0.34
5,0.84,0.717,0.7,0.368,0.344,0.349,0.356
5,0.86,0.802,0.617,0.405,0.32,0.397,0.297
5,0.88,0.794,0.654,0.409,0.34,0.385,0.314
5,0.9,0.756,0.71,0.384,0.363,0.372,0.347
5,0.92,0.811,0.679,0.41,0.347,0.401,0.332
5,0.94,0.818,0.669,0.403,0.337,0.415,0.332
5,0.96,0.81,0.702,0.411,0.353,0.399,0.349
5,0.98,0.805,0.675,0.401,0.331,0.404,0.344
5,1,0.796,0.606,0.41,0.294,0.386,0.312
6,0.02,0.372,0.091,0.221,0.037,0.151,0.054
6,0.04,0.516,0.19,0.309,0.095,0.207,0.095
6,0.06,0.586,0.188,0.342,0.091,0.244,0.097
6,0.08,0.616,0.318,0.345,0.158,0.271,0.16
6,0.1,0.654,0.252,0.372,0.119,0.282,0.133
6,0.12,0.625,0.434,0.332,0.195,0.293,0.239
6,0.14,0.656,0.421,0.353,0.209,0.303,0.212
6,0.16,0.719,0.488,0.394,0.238,0.325,0.25
6,0.18,0.722,0.409,0.37,0.193,0.352,0.216
6,0.2,0.701,0.496,0.361,0.238,0.34,0.258
6,0.22,0.718,0.483,0.378,0.244,0.34,0.239
6,0.24,0.689,0.525,0.371,0.269,0.318,0.256
6,0.26,0.69,0.509,0.36,0.247,0.33,0.262
6,0.28,0.761,0.54,0.41,0.267,0.351,0.273
6,0.3,0.719,0.471,0.363,0.238,0.356,0.233
6,0.32,0.742,0.538,0.382,0.244,0.36,0.294
6,0.34,0.79,0.516,0.413,0.266,0.377,0.25
6,0.36,0.715,0.558,0.378,0.288,0.337,0.27
6,0.38,0.712,0.66,0.378,0.341,0.334,0.319
6,0.4,0.778,0.531,0.389,0.25,0.389,0.281
6,0.42,0.755,0.546,0.382,0.267,0.373,0.279
6,0.44,0.702,0.647,0.382,0.32,0.32,0.327
6,0.46,0.714,0.634,0.374,0.32,0.34,0.314
6,0.48,0.79,0.624,0.414,0.318,0.376,0.306
6,0.5,0.782,0.636,0.388,0.325,0.394,0.311
6,0.52,0.79,0.593,0.414,0.285,0.376,0.308
6,0.54,0.788,0.643,0.401,0.319,0.387,0.324
6,0.56,0.785,0.597,0.394,0.298,0.391,0.299
6,0.58,0.763,0.648,0.388,0.316,0.375,0.332
6,0.6,0.752,0.637,0.383,0.311,0.369,0.326
6,0.62,0.788,0.643,0.408,0.334,0.38,0.309
6,0.64,0.809,0.549,0.42,0.287,0.389,0.262
6,0.66,0.745,0.633,0.39,0.327,0.355,0.306
6,0.68,0.806,0.612,0.401,0.301,0.405,0.311
6,0.7,0.825,0.642,0.424,0.328,0.401,0.314
6,0.72,0.816,0.568,0.418,0.304,0.398,0.264
6,0.74,0.765,0.707,0.389,0.363,0.376,0.344
6,0.76,0.766,0.652,0.398,0.331,0.368,0.321
6,0.78,0.812,0.628,0.41,0.318,0.402,0.31
6,0.8,0.777,0.616,0.396,0.297,0.381,0.319
6,0.82,0.835,0.681,0.423,0.341,0.412,0.34
6,0.84,0.717,0.7,0.368,0.344,0.349,0.356
6,0.86,0.802,0.617,0.405,0.32,0.397,0.297
6,0.88,0.794,0.654,0.409,0.34,0.385,0.314
6,0.9,0.756,0.71,0.384,0.363,0.372,0.347
6,0.92,0.811,0.679,0.41,0.347,0.401,0.332
6,0.94,0.818,0.669,0.403,0.337,0.415,0.332
6,0.96,0.81,0.702,0.411,0.353,0.399,0.349
6,0.98,0.805,0.675,0.401,0.331,0.404,0.344
6,1,0.796,0.606,0.41,0.294,0.386,0.312
7,0.02,0.372,0.091,0.221,0.037,0.151,0.054
7,0.04,0.516,0.19,0.309,0.095,0.207,0.095
7,0.06,0.586,0.188,0.342,0.091,0.244,0.097
7,0.08,0.616,0.318,0.345,0.158,0.271,0.16
7,0.1,0.654,0.252,0.372,0.119,0.282,0.133
7,0.12,0.625,0.434,0.332,0.195,0.293,0.239
7,0.14,0.656,0.421,0.353,0.209,0.303,0.212
7,0.16,0.719,0.488,0.394,0.238,0.325,0.25
7,0.18,0.722,0.409,0.37,0.193,0.352,0.216
7,0.2,0.701,0.496,0.361,0.238,0.34,0.258
7,0.22,0.718,0.483,0.378,0.244,0.34,0.239
7,0.24,0.689,0.525,0.371,0.269,0.318,0.256
7,0.26,0.69,0.509,0.36,0.247,0.33,0.262
7,0.28,0.761,0.54,0.41,0.267,0.351,0.273
7,0.3,0.719,0.471,0.363,0.238,0.356,0.233
7,0.32,0.742,0.538,0.382,0.244,0.36,0.294
7,0.34,0.79,0.516,0.413,0.266,0.377,0.25
7,0.36,0.715,0.558,0.378,0.288,0.337,0.27
7,0.38,0.712,0.66,0.378,0.341,0.334,0.319
7,0.4,0.778,0.531,0.389,0.25,0.389,0.281
7,0.42,0.755,0.546,0.382,0.267,0.373,0.279
7,0.44,0.702,0.647,0.382,0.32,0.32,0.327
7,0.46,0.714,0.634,0.374,0.32,0.34,0.314
7,0.48,0.79,0.624,0.414,0.318,0.376,0.306
7,0.5,0.782,0.636,0.388,0.325,0.394,0.311
7,0.52,0.79,0.593,0.414,0.285,0.376,0.308
7,0.54,0.788,0.643,0.401,0.319,0.387,0.324
7,0.56,0.785,0.597,0.394,0.298,0.391,0.299
7,0.58,0.763,0.648,0.388,0.316,0.375,0.332
7,0.6,0.752,0.637,0.383,0.311,0.369,0.326
7,0.62,0.788,0.643,0.408,0.334,0.38,0.309
7,0.64,0.809,0.549,0.42,0.287,0.389,0.262
7,0.66,0.745,0.633,0.39,0.327,0.355,0.306
7,0.68,0.806,0.612,0.401,0.301,0.405,0.311
7,0.7,0.825,0.642,0.424,0.328,0.401,0.314
7,0.72,0.816,0.568,0.418,0.304,0.398,0.264
7,0.74,0.765,0.707,0.389,0.363,0.376,0.344
7,0.76,0.766,0.652,0.398,0.331,0.368,0.321
7,0.78,0.812,0.628,0.41,0.318,0.402,0.31
7,0.8,0.777,0.616,0.396,0.297,0.381,0.319
7,0.82,0.835,0.681,0.423,0.341,0.412,0.34
7,0.84,0.717,0.7,0.368,0.344,0.349,0.356
7,0.86,0.802,0.617,0.405,0.32,0.397,0.297
7,0.88,0.794,0.654,0.409,0.34,0.385,0.314
7,0.9,0.756,0.71,0.384,0.363,0.372,0.347
7,0.92,0.811,0.679,0.41,0.347,0.401,0.332
7,0.94,0.818,0.669,0.403,0.337,0.415,0.332
7,0.96,0.81,0.702,0.411,0.353,0.399,0.349
7,0.98,0.805,0.675,0.401,0.331,0.404,0.344
7,1,0.796,0.606,0.41,0.294,0.386,0.312
8,0.02,0.372,0.091,0.221,0.037,0.151,0.054
8,0.04,0.516,0.19,0.309,0.095,0.207,0.095
8,0.06,0.586,0.188,0.342,0.091,0.244,0.097
8,0.08,0.616,0.318,0.345,0.158,0.271,0.16
8,0.1,0.654,0.252,0.372,0.119,0.282,0.133
8,0.12,0.625,0.434,0.332,0.195,0.293,0.239
8,0.14,0.656,0.421,0.353,0.209,0.303,0.212
8,0.16,0.719,0.488,0.394,0.238,0.325,0.25
8,0.18,0.722,0.409,0.37,0.193,0.352,0.216
8,0.2,0.701,0.496,0.361,0.238,0.34,0.258
8,0.22,0.718,0.483,0.378,0.244,0.34,0.239
8,0.24,0.689,0.525,0.371,0.269,0.318,0.256
8,0.26,0.69,0.509,0.36,0.247,0.33,0.262
8,0.28,0.761,0.54,0.41,0.267,0.351,0.273
8,0.3,0.719,0.471,0.363,0.238,0.356,0.233
8,0.32,0.742,0.538,0.382,0.244,0.36,0.294
8,0.34,0.79,0.516,0.413,0.266,0.377,0.25
8,0.36,0.715,0.558,0.378,0.288,0.337,0.27
8,0.38,0.712,0.66,0.378,0.341,0.334,0.319
8,0.4,0.778,0.531,0.389,0.25,0.389,0.281
8,0.42,0.755,0.546,0.382,0.267,0.373,0.279
8,0.44,0.702,0.647,0.382,0.32,0.32,0.327
8,0.46,0.714,0.634,0.374,0.32,0.34,0.314
8,0.48,0.79,0.624,0.414,0.318,0.376,0.306
8,0.5,0.782,0.636,0.388,0.325,0.394,0.311
8,0.52,0.79,0.593,0.414,0.285,0.376,0.308
8,0.54,0.788,0.643,0.401,0.319,0.387,0.324
8,0.56,0.785,0.597,0.394,0.298,0.391,0.299
8,0.58,0.763,0.648,0.388,0.316,0.375,0.332
8,0.6,0.752,0.637,0.383,0.311,0.369,0.326
8,0.62,0.788,0.643,0.408,0.334,0.38,0.309
8,0.64,0.809,0.549,0.42,0.287,0.389,0.262
8,0.66,0.745,0.633,0.39,0.327,0.355,0.306
8,0.68,0.806,0.612,0.401,0.301,0.405,0.311
8,0.7,0.825,0.642,0.424,0.328,0.401,0.314
8,0.72,0.816,0.568,0.418,0.304,0.398,0.264
8,0.74,0.765,0.707,0.389,0.363,0.376,0.344
8,0.76,0.766,0.652,0.398,0.331,0.368,0.321
8,0.78,0.812,0.628,0.41,0.318,0.402,0.31
8,0.8,0.777,0.616,0.396,0.297,0.381,0.319
8,0.82,0.835,0.681,0.423,0.341,0.412,0.34
8,0.84,0.717,0.7,0.368,0.344,0.349,0.356
8,0.86,0.802,0.617,0.405,0.32,0.397,0.297
8,0.88,0.794,0.654,0.409,0.34,0.385,0.314
8,0.9,0.756,0.71,0.384,0.363,0.372,0.347
8,0.92,0.811,0.679,0.41,0.347,0.401,0.332
8,0.94,0.818,0.669,0.403,0.337,0.415,0.332
8,0.96,0.81,0.702,0.411,0.353,0.399,0.349
8,0.98,0.805,0.675,0.401,0.331,0.404,0.344
8,1,0.796,0.606,0.41,0.294,0.386,0.312
9,0.02,0.372,0.091,0.221,0.037,0.151,0.054
9,0.04,0.516,0.19,0.309,0.095,0.207,0.095
9,0.06,0.586,0.188,0.342,0.091,0.244,0.097
9,0.08,0.616,0.318,0.345,0.158,0.271,0.16
9,0.1,0.654,0.252,0.372,0.119,0.282,0.133
9,0.12,0.625,0.434,0.332,0.195,0.293,0.239
9,0.14,0.656,0.421,0.353,0.209,0.303,0.212
9,0.16,0.719,0.488,0.394,0.238,0.325,0.25
9,0.18,0.722,0.409,0.37,0.193,0.352,0.216
9,0.2,0.701,0.496,0.361,0.238,0.34,0.258
9,0.22,0.718,0.483,0.378,0.244,0.34,0.239
9,0.24,0.689,0.525,0.371,0.269,0.318,0.256
9,0.26,0.69,0.509,0.36,0.247,0.33,0.262
9,0.28,0.761,0.54,0.41,0.267,0.351,0.273
9,0.3,0.719,0.471,0.363,0.238,0.356,0.233
9,0.32,0.742,0.538,0.382,0.244,0.36,0.294
9,0.34,0.79,0.516,0.413,0.266,0.377,0.25
9,0.36,0.715,0.558,0.378,0.288,0.337,0.27
9,0.38,0.712,0.66,0.378,0.341,0.334,0.319
9,0.4,0.778,0.531,0.389,0.25,0.389,0.281
9,0.42,0.755,0.546,0.382,0.267,0.373,0.279
9,0.44,0.702,0.647,0.382,0.32,0.32,0.327
9,0.46,0.714,0.634,0.374,0.32,0.34,0.314
9,0.48,0.79,0.624,0.414,0.318,0.376,0.306
9,0.5,0.782,0.636,0.388,0.325,0.394,0.311
9,0.52,0.79,0.593,0.414,0.285,0.376,0.308
9,0.54,0.788,0.643,0.401,0.319,0.387,0.324
9,0.56,0.785,0.597,0.394,0.298,0.391,0.299
9,0.58,0.763,0.648,0.388,0.316,0.375,0.332
9,0.6,0.752,0.637,0.383,0.311,0.369,0.326
9,0.62,0.788,0.643,0.408,0.334,0.38,0.309
9,0.64,0.809,0.549,0.42,0.287,0.389,0.262
9,0.66,0.745,0.633,0.39,0.327,0.355,0.306
9,0.68,0.806,0.612,0.401,0.301,0.405,0.311
9,0.7,0.825,0.642,0.424,0.328,0.401,0.314
9,0.72,0.816,0.568,0.418,0.304,0.398,0.264
9,0.74,0.765,0.707,0.389,0.363,0.376,0.344
9,0.76,0.766,0.652,0.398,0.331,0.368,0.321
9,0.78,0.812,0.628,0.41,0.318,0.402,0.31
9,0.8,0.777,0.616,0.396,0.297,0.381,0.319
9,0.82,0.835,0.681,0.423,0.341,0.412,0.34
9,0.84,0.717,0.7,0.368,0.344,0.349,0.356
9,0.86,0.802,0.617,0.405,0.32,0.397,0.297
9,0.88,0.794,0.654,0.409,0.34,0.385,0.314
9,0.9,0.756,0.71,0.384,0.363,0.372,0.347
9,0.92,0.811,0.679,0.41,0.347,0.401,0.332
9,0.94,0.818,0.669,0.403,0.337,0.415,0.332
9,0.96,0.81,0.702,0.411,0.353,0.399,0.349
9,0.98,0.805,0.675,0.401,0.331,0.404,0.344
9,1,0.796,0.606,0.41,0.294,0.386,0.312
10,0.02,0.372,0.091,0.221,0.037,0.151,0.054
10,0.04,0.516,0.19,0.309,0.095,0.207,0.095
10,0.06,0.586,0.188,0.342,0.091,0.244,0.097
10,0.08,0.616,0.318,0.345,0.158,0.271,0.16
10,0.1,0.654,0.252,0.372,0.119,0.282,0.133
10,0.12,0.625,0.434,0.332,0.195,0.293,0.239
10,0.14,0.656,0.421,0.353,0.209,0.303,0.212
10,0.16,0.719,0.488,0.394,0.238,0.325,0.25
10,0.18,0.722,0.409,0.37,0.193,0.352,0.216
10,0.2,0.701,0.496,0.361,0.238,0.34,0.258
10,0.22,0.718,0.483,0.378,0.244,0.34,0.239
10,0.24,0.689,0.525,0.371,0.269,0.318,0.256
