"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.02,0.53,0.101,0.31,0.048,0.22,0.053
1,0.04,0.518,0.155,0.304,0.069,0.214,0.086
1,0.06,0.605,0.245,0.344,0.119,0.261,0.126
1,0.08,0.625,0.282,0.344,0.134,0.281,0.148
1,0.1,0.667,0.315,0.349,0.146,0.318,0.169
1,0.12,0.645,0.322,0.351,0.151,0.294,0.171
1,0.14,0.683,0.425,0.379,0.211,0.304,0.214
1,0.16,0.735,0.443,0.39,0.224,0.345,0.219
1,0.18,0.737,0.481,0.403,0.247,0.334,0.234
1,0.2,0.732,0.473,0.389,0.223,0.343,0.25
1,0.22,0.734,0.418,0.387,0.192,0.347,0.226
1,0.24,0.69,0.499,0.373,0.248,0.317,0.251
1,0.26,0.737,0.568,0.382,0.274,0.355,0.294
1,0.28,0.769,0.436,0.377,0.215,0.392,0.221
1,0.3,0.77,0.545,0.408,0.271,0.362,0.274
1,0.32,0.726,0.519,0.386,0.248,0.34,0.271
1,0.34,0.757,0.538,0.392,0.261,0.365,0.277
1,0.36,0.775,0.567,0.413,0.285,0.362,0.282
1,0.38,0.76,0.535,0.4,0.267,0.36,0.268
1,0.4,0.761,0.591,0.383,0.298,0.378,0.293
1,0.42,0.737,0.544,0.392,0.272,0.345,0.272
1,0.44,0.74,0.595,0.385,0.28,0.355,0.315
1,0.46,0.77,0.585,0.405,0.284,0.365,0.301
1,0.48,0.689,0.579,0.369,0.287,0.32,0.292
1,0.5,0.782,0.526,0.395,0.263,0.387,0.263
1,0.52,0.768,0.552,0.392,0.257,0.376,0.295
1,0.54,0.797,0.526,0.412,0.258,0.385,0.268
1,0.56,0.774,0.66,0.41,0.344,0.364,0.316
1,0.58,0.757,0.674,0.383,0.342,0.374,0.332
1,0.6,0.807,0.675,0.403,0.328,0.404,0.347
1,0.62,0.744,0.675,0.387,0.334,0.357,0.341
1,0.64,0.777,0.543,0.39,0.289,0.387,0.254
1,0.66,0.756,0.667,0.386,0.339,0.37,0.328
1,0.68,0.791,0.635,0.395,0.329,0.396,0.306
1,0.7,0.798,0.605,0.406,0.293,0.392,0.312
1,0.72,0.828,0.657,0.415,0.334,0.413,0.323
1,0.74,0.788,0.62,0.408,0.298,0.38,0.322
1,0.76,0.811,0.651,0.404,0.321,0.407,0.33
1,0.78,0.809,0.677,0.421,0.341,0.388,0.336
1,0.8,0.825,0.614,0.419,0.314,0.406,0.3
1,0.82,0.82,0.699,0.424,0.354,0.396,0.345
1,0.84,0.812,0.708,0.413,0.353,0.399,0.355
1,0.86,0.838,0.693,0.427,0.346,0.411,0.347
1,0.88,0.815,0.649,0.404,0.338,0.411,0.311
1,0.9,0.775,0.672,0.399,0.331,0.376,0.341
1,0.92,0.834,0.663,0.425,0.325,0.409,0.338
1,0.94,0.814,0.705,0.414,0.352,0.4,0.353
1,0.96,0.809,0.661,0.401,0.338,0.408,0.323
1,0.98,0.802,0.651,0.401,0.32,0.401,0.331
1,1,0.809,0.706,0.413,0.35,0.396,0.356
2,0.02,0.53,0.101,0.31,0.048,0.22,0.053
2,0.04,0.518,0.155,0.304,0.069,0.214,0.086
2,0.06,0.605,0.245,0.344,0.119,0.261,0.126
2,0.08,0.625,0.282,0.344,0.134,0.281,0.148
2,0.1,0.667,0.315,0.349,0.146,0.318,0.169
2,0.12,0.645,0.322,0.351,0.151,0.294,0.171
2,0.14,0.683,0.425,0.379,0.211,0.304,0.214
2,0.16,0.735,0.443,0.39,0.224,0.345,0.219
2,0.18,0.737,0.481,0.403,0.247,0.334,0.234
2,0.2,0.732,0.473,0.389,0.223,0.343,0.25
2,0.22,0.734,0.418,0.387,0.192,0.347,0.226
2,0.24,0.69,0.499,0.373,0.248,0.317,0.251
2,0.26,0.737,0.568,0.382,0.274,0.355,0.294
2,0.28,0.769,0.436,0.377,0.215,0.392,0.221
2,0.3,0.77,0.545,0.408,0.271,0.362,0.274
2,0.32,0.726,0.519,0.386,0.248,0.34,0.271
2,0.34,0.757,0.538,0.392,0.261,0.365,0.277
2,0.36,0.775,0.567,0.413,0.285,0.362,0.282
2,0.38,0.76,0.535,0.4,0.267,0.36,0.268
2,0.4,0.761,0.591,0.383,0.298,0.378,0.293
2,0.42,0.737,0.544,0.392,0.272,0.345,0.272
2,0.44,0.74,0.595,0.385,0.28,0.355,0.315
2,0.46,0.77,0.585,0.405,0.284,0.365,0.301
2,0.48,0.689,0.579,0.369,0.287,0.32,0.292
2,0.5,0.782,0.526,0.395,0.263,0.387,0.263
2,0.52,0.768,0.552,0.392,0.257,0.376,0.295
2,0.54,0.797,0.526,0.412,0.258,0.385,0.268
2,0.56,0.774,0.66,0.41,0.344,0.364,0.316
2,0.58,0.757,0.674,0.383,0.342,0.374,0.332
2,0.6,0.807,0.675,0.403,0.328,0.404,0.347
2,0.62,0.744,0.675,0.387,0.334,0.357,0.341
2,0.64,0.777,0.543,0.39,0.289,0.387,0.254
2,0.66,0.756,0.667,0.386,0.339,0.37,0.328
2,0.68,0.791,0.635,0.395,0.329,0.396,0.306
2,0.7,0.798,0.605,0.406,0.293,0.392,0.312
2,0.72,0.828,0.657,0.415,0.334,0.413,0.323
