"l1","alpha","beta_U","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
1,0.02,0.02,0.440643770966241,0.14553621478923,0.273900814780465,0.0716685927899844,0.166742956185776,0.0738676219992455
1,0.02,0.04,0.520727984261585,0.252113745829951,0.303876783208018,0.124872427478566,0.216851201053567,0.127241318351385
1,0.02,0.06,0.577772653625876,0.330089440654067,0.325150607024626,0.163881440893589,0.25262204660125,0.166207999760477
1,0.02,0.08,0.620868342073583,0.390112441047892,0.341210808043878,0.193957923541721,0.279657534029705,0.196154517506171
1,0.02,0.1,0.654451431313231,0.437535351923983,0.35373702583362,0.217749250402855,0.300714405479611,0.219786101521129
1,0.02,0.12,0.681275056131563,0.475820993566028,0.363759677365088,0.236974063065966,0.317515378766475,0.238846930500062
1,0.02,0.14,0.703126262157329,0.507283840530512,0.371942523563148,0.252784274456192,0.331183738594181,0.25449956607432
1,0.02,0.16,0.72121365162545,0.533522052969587,0.378732370441234,0.265976901518142,0.342481281184216,0.267545151451445
1,0.02,0.18,0.736383678718407,0.555672203640506,0.384441309954141,0.277119629437192,0.351942368764265,0.278552574203313
1,0.02,0.2,0.749246900438107,0.574563839785971,0.389294175076992,0.286627291125975,0.359952725361115,0.287936548659996
1,0.02,0.22,0.760254886516467,0.590816323653793,0.393457204418231,0.294809912915125,0.366797682098236,0.296006410738668
1,0.02,0.24,0.769748871093555,0.60490138724115,0.397056064042762,0.301903811600091,0.372692807050793,0.302997575641059
1,0.02,0.26,0.777991556297108,0.617184679180301,0.40018757824095,0.308092281095006,0.377803978056158,0.309092398085295
1,0.02,0.28,0.785188506621602,0.627954059417144,0.402927598579978,0.313519699663325,0.382260908041624,0.314434359753819
1,0.02,0.3,0.791502907098236,0.63743930858705,0.405336422390535,0.318301368059476,0.386166484707701,0.319137940527574
1,0.02,0.32,0.797065971528734,0.645826138965598,0.407462610060836,0.322530510205849,0.389603361467898,0.323295628759749
1,0.02,0.34,0.80198442822102,0.653266338630307,0.409345728848058,0.326283346105805,0.392638699372963,0.326982992524502
1,0.02,0.36,0.806345998612798,0.65988523836331,0.41101836045928,0.329622828601617,0.395327638153518,0.330262409761693
1,0.02,0.38,0.810223470065631,0.665787290582478,0.41250759341584,0.332601437020497,0.397715876649791,0.333185853561981
1,0.02,0.4,0.813677766417121,0.671060294465504,0.413836148315817,0.335263294005887,0.399841618101303,0.335797000459617
1,0.02,0.42,0.816760292518108,0.675778635393893,0.41502323725983,0.337645789236373,0.401737055258278,0.33813284615752
1,0.02,0.44,0.81951474517964,0.680005796678101,0.416085227930182,0.339780838868917,0.403429517249458,0.340224957809184
1,0.02,0.46,0.821978526743687,0.683796327112161,0.417036162195108,0.341695872445428,0.404942364548579,0.342100454666733
1,0.02,0.48,0.824183859122258,0.687197396806823,0.417888165048255,0.34341461350417,0.406295694074004,0.343782783302653
1,0.02,0.5,0.826158669536858,0.690250038121978,0.41865176994721,0.34495770234621,0.407506899589649,0.345292335775768
1,0.02,0.52,0.827927300459475,0.692990143326607,0.419336179758861,0.34634319681863,0.408591120700614,0.346646946507978
1,0.02,0.54,0.82951108289437,0.695449272568157,0.419949477630673,0.347586977953327,0.409561605263697,0.34786229461483
1,0.02,0.56,0.830928802488761,0.69765531264952,0.420498798576961,0.348703080755056,0.4104300039118,0.348952231894464
1,0.02,0.58,0.832197080908897,0.699633017519475,0.420990469990666,0.349703965631381,0.411206610918231,0.349929051888093
1,0.02,0.6,0.83333068971045,0.701404454276186,0.421430127386992,0.3506007423989,0.411900562323458,0.350803711877286
1,0.02,0.62,0.834342810047962,0.702989373167403,0.421822810265087,0.351403356137048,0.412519999782875,0.351586017030355
1,0.02,0.64,0.83524524864389,0.70440551605805,0.422173041904615,0.352120742149718,0.413072206739274,0.352284773908332
1,0.02,0.66,0.836048618217206,0.705668874780465,0.422484896101945,0.352760955763113,0.413563722115261,0.352907919017352
1,0.02,0.68,0.836762488871335,0.706793908437554,0.422762053228713,0.353331281512219,0.414000435642622,0.353462626925334
1,0.02,0.7,0.837395515629504,0.707793726915567,0.423007847515548,0.353838325358523,0.414387668113956,0.353955401557044
1,0.02,0.72,0.837955546286182,0.708680246450634,0.423225307090602,0.354288092872766,0.41473023919558,0.354392153577867
1,0.02,0.74,0.83844971294556,0.709464321985291,0.423417188010432,0.354686055760514,0.415032524935128,0.354778266224777
1,0.02,0.76,0.838884509989613,0.710155860176655,0.423586003290606,0.355037208669254,0.415298506699007,0.355118651507402
1,0.02,0.78,0.839265860720037,0.710763916223021,0.423734047760804,0.355346117866937,0.415531812959233,0.355417798356084
1,0.02,0.8,0.839599174520949,0.711296777120172,0.423863419423527,0.355616963102932,0.415735755097422,0.35567981401724
1,0.02,0.82,0.839889396070167,0.711762033511966,0.423976037878475,0.355853573738086,0.415913358191693,0.355908459773881
1,0.02,0.84,0.840141047869303,0.712166641938254,0.424073660280165,0.356059460049062,0.416067387589138,0.356107181889192
1,0.02,0.86,0.84035826715362,0.712516978988981,0.424157895219524,0.356237840464422,0.416200371934097,0.35627913852456
1,0.02,0.88,0.840544838071571,0.71281888863243,0.424230214857358,0.356391665368971,0.416314623214213,0.356427223263459
1,0.02,0.9,0.840704219883312,0.713077723787113,0.424291965585958,0.356523638013281,0.416412254297354,0.356554085773833
1,0.02,0.92,0.840839571811174,0.713298383042418,0.424344377452298,0.356636232982765,0.416495194358876,0.356662150059653
1,0.02,0.94,0.840953775078259,0.713485343296006,0.424388572540686,0.356731712611912,0.416565202537573,0.356753630684094
1,0.02,0.96,0.841049452590281,0.713642688961057,0.424425572482903,0.356812141671589,0.416623880107378,0.356830547289467
1,0.02,0.98,0.841128986647533,0.713774138299475,0.424456305238711,0.356879400608715,0.416672681408822,0.35689473769076
1,0.02,1,0.841194535015999,0.71388306735492,0.424481611268313,0.356935197576316,0.416712923747686,0.356947869778604
2,0.04,0.02,0.440338788695408,0.144784492529034,0.27373379995273,0.0711654020187387,0.166604988742677,0.0736190905102957
2,0.04,0.04,0.520421806617203,0.251114706133636,0.303694024816816,0.124184210095374,0.216727781800387,0.126930496038262
2,0.04,0.06,0.57747491320774,0.328932740972708,0.324972824287594,0.163089241285262,0.252502088920146,0.165843499687446
2,0.04,0.08,0.620605712736979,0.388892668620642,0.341053786866542,0.193126438299613,0.279551925870437,0.195766230321029
2,0.04,0.1,0.65423189828448,0.436303800586848,0.353605590546602,0.216913147779021,0.300626307737878,0.219390652807826
2,0.04,0.12,0.681098866929862,0.47460588805954,0.363654089865835,0.23615212570683,0.317444777064027,0.23845376235271
2,0.04,0.14,0.702990493145659,0.506100820644326,0.371861144808824,0.251986675100082,0.331129348336835,0.254114145544244
2,0.04,0.16,0.721114191132272,0.532379658393573,0.378672827546223,0.265208998254491,0.342441363586049,0.267170660139082
2,0.04,0.18,0.736316122902286,0.554574858427973,0.384401029517895,0.276384021172571,0.35191509338439,0.278190837255402
2,0.04,0.2,0.749206961389241,0.573513534533303,0.389270630144393,0.285924969465743,0.359936331244848,0.28758856506756
2,0.04,0.22,0.760238571479651,0.5898135924317,0.393448025943613,0.294140926550176,0.366790545536038,0.295672665881524
2,0.04,0.24,0.769752550852255,0.603945889284319,0.397059085994156,0.30126765859155,0.372693464858099,0.302678230692769
2,0.04,0.26,0.77801197904682,0.616275552294297,0.400200849544078,0.307488144690064,0.377811129502742,0.308787407604233
2,0.04,0.28,0.785222785303109,0.627090137956523,0.402949378534399,0.312946591770125,0.382273406768711,0.314143546186398
2,0.04,0.3,0.79154849452634,0.636619259175764,0.405365168183768,0.317758217001739,0.386183326342572,0.318861042174025
2,0.04,0.32,0.797120630803819,0.645048545242101,0.407496960952974,0.322016214231254,0.389623669850844,0.323032331010848
2,0.04,0.34,0.802046202335143,0.652529753884228,0.40938448946124,0.325796805542721,0.392661712873903,0.326732948341507
2,0.04,0.36,0.806413181237988,0.659188217697595,0.411060484442439,0.329162964570251,0.395352696795549,0.330025253127344
2,0.04,0.38,0.810294578458143,0.665128409914214,0.412552168109595,0.332167201633532,0.397742410348548,0.332961208280683
2,0.04,0.4,0.81375151679237,0.670438161038371,0.413882380682629,0.334853675185999,0.399869136109741,0.335584485852372
2,0.04,0.42,0.816835577937948,0.675191892829308,0.415070441146519,0.33725981215715,0.401765136791429,0.337932080672158
2,0.04,0.44,0.819590615831753,0.679453126548187,0.416132812624581,0.339417565319234,0.403457803207172,0.340035561228953
2,0.04,0.46,0.82205417241692,0.683276448345694,0.417083622186599,0.341354398965701,0.404970550230321,0.341922049379994
2,0.04,0.48,0.82425859365433,0.686709063801067,0.417935070880358,0.343094068850594,0.406323522773972,0.343614994950473
2,0.04,0.5,0.826231917009972,0.689792038144282,0.418697760045727,0.344657244647934,0.407534156964245,0.345134793496348
2,0.04,0.52,0.827998582932279,0.692561293597059,0.419380953123558,0.346062010666622,0.408617629808721,0.346499282930437
2,0.04,0.54,0.829580009477973,0.695048417285008,0.419992787287342,0.347324271575761,0.40958722219063,0.347724145709246
2,0.04,0.56,0.830995059595939,0.697281320131244,0.420540445697404,0.348458083377854,0.410454613898535,0.34882323675339
2,0.04,0.58,0.832260423526929,0.699284777577211,0.421030298599138,0.349475925084728,0.411230124927791,0.349808852492483
2,0.04,0.6,0.833390933567934,0.701080875888827,0.421468019582148,0.350388923004937,0.411922913985786,0.35069195288389
2,0.04,0.62,0.834399824564042,0.702689382502793,0.421858681896092,0.351207036896575,0.412541142667951,0.351482345606218
2,0.04,0.64,0.835298950564302,0.704128054863466,0.422206838648685,0.351939215233818,0.413092111915617,0.352188839629648
2,0.04,0.66,0.836098965855497,0.705412899151185,0.422516589898121,0.352593525307444,0.413582375957376,0.35281937384374
2,0.04,0.68,0.836809476885652,0.70655838796189,0.422791639029186,0.353177262706,0.414017837856466,0.35338112525589
2,0.04,0.7,0.837439170275654,0.707577644187139,0.423035340321464,0.3536970438162,0.41440382995419,0.353880600370939
2,0.04,0.72,0.837995921096428,0.70848259693287,0.423250739244044,0.354158884273424,0.414745181852385,0.354323712659446
2,0.04,0.74,0.83848688479004,0.709284114208739,0.423440606718311,0.354568265737883,0.415046278071729,0.354715848470857
2,0.04,0.76,0.838918575483502,0.709992116246176,0.423607468359599,0.354930192933515,0.415311107123903,0.355061923312661
2,0.04,0.78,0.839296932944854,0.710615672609077,0.423753629525328,0.355249242538154,0.415543303419526,0.355366430070923
2,0.04,0.8,0.839627380032766,0.711163085706136,0.42388119685113,0.355529605234857,0.415746183181637,0.35563348047128
2,0.04,0.82,0.839914872171173,0.711641962867398,0.423992096839023,0.35577512201019,0.415922775332151,0.355866840857208
2,0.04,0.84,0.840163940122224,0.712059278786537,0.424088091966859,0.355989315603905,0.416075848155364,0.356069963182631
2,0.04,0.86,0.840378727121049,0.712421429836421,0.424170794711171,0.35617541786689,0.416207932409878,0.35624601196953
2,0.04,0.88,0.840563021264393,0.712734281524937,0.424241679812479,0.356336393663482,0.416321341451914,0.356397887861455
2,0.04,0.9,0.840720283904175,0.713003210159894,0.424302095060283,0.35647496185478,0.416418188843892,0.356528248305115
2,0.04,0.92,0.840853674680455,0.713233139627694,0.424353270832009,0.356593613817228,0.416500403848446,0.356639525810466
2,0.04,0.94,0.840966073731229,0.713428574053698,0.424396328584482,0.356694629882133,0.416569745146747,0.356733944171565
2,0.04,0.96,0.841060101535257,0.713593626997558,0.424432288466538,0.356780094024274,0.416627813068719,0.356813532973284
2,0.04,0.98,0.841138136775719,0.713732047740121,0.424462076196199,0.356851907079314,0.41667606057952,0.356880140660807
2,0.04,1,0.841202332554553,0.713847245136582,0.424486529324453,0.356911798728663,0.416715803230099,0.356935446407919
3,0.06,0.02,0.440029873132253,0.144026637795563,0.273565235737256,0.0706588853170589,0.166464637394997,0.0733677524785038
3,0.06,0.04,0.520113941084555,0.250110654788402,0.30351020108033,0.123492323210573,0.216603740004225,0.126618331577829
3,0.06,0.06,0.577174966818025,0.327767940387063,0.324793649075352,0.162291194433369,0.252381317742673,0.165476745953695
3,0.06,0.08,0.620340681596115,0.387662159878214,0.340895262489119,0.192287310945716,0.279445419106996,0.195374848932498
3,0.06,0.1,0.654010019978154,0.43505943867077,0.353472696887327,0.216068028363946,0.300537323090828,0.218991410306825
3,0.06,0.12,0.680920545238667,0.473376364179993,0.363547183905861,0.235320136175765,0.317373361332806,0.238056228004228
3,0.06,0.14,0.702852897077866,0.504902139287293,0.371778642880474,0.251178246729672,0.331074254197392,0.25372389255762
3,0.06,0.16,0.721013260454944,0.53122063960375,0.378612386746988,0.264429683024633,0.342400873707956,0.266790956579117
3,0.06,0.18,0.736247478520732,0.553460142029778,0.38436009022789,0.275636563590424,0.351887388292842,0.277823578439354
3,0.06,0.2,0.749166322682114,0.572445278868283,0.389246668756286,0.285210471562723,0.359919653925827,0.287234807305561
3,0.06,0.22,0.760221941438432,0.5887924639099,0.393438669968089,0.29345952200461,0.366783271470343,0.29533294190529
3,0.06,0.24,0.769756288340174,0.602971653338779,0.397062161510812,0.300618912031375,0.372694126829361,0.302352741307404
3,0.06,0.26,0.778032815277276,0.61534743350886,0.400214394697005,0.306871292525142,0.377818420580271,0.308476140983718
3,0.06,0.28,0.785257812964934,0.626207042927279,0.402971639997923,0.312360689261195,0.382286172967011,0.313846353666084
3,0.06,0.3,0.791595144164915,0.635779915809497,0.405394589398233,0.317202228609519,0.386200554766682,0.318577687199978
