"l1","alpha","lamda1","rho_A.l1.","rho_I.l1."
1,0.02,0.02,0.688776088503518,0.575290715562964
1,0.02,0.04,0.688810614783169,0.575290418873225
1,0.02,0.06,0.688845142272986,0.575290122163612
1,0.02,0.08,0.688879671028791,0.575289825433291
1,0.02,0.1,0.688914201106609,0.575289528681427
1,0.02,0.12,0.688948732562674,0.575289231907179
1,0.02,0.14,0.688983265453423,0.575288935109706
1,0.02,0.16,0.689017799835507,0.575288638288163
1,0.02,0.18,0.689052335765785,0.575288341441701
1,0.02,0.2,0.689086873301327,0.575288044569466
1,0.02,0.22,0.689121412499421,0.575287747670605
1,0.02,0.24,0.689155953417567,0.575287450744259
1,0.02,0.26,0.689190496113485,0.575287153789565
1,0.02,0.28,0.689225040645115,0.57528685680566
1,0.02,0.3,0.689259587070613,0.575286559791673
1,0.02,0.32,0.689294135448363,0.575286262746733
1,0.02,0.34,0.68932868583697,0.575285965669965
1,0.02,0.36,0.689363238295267,0.57528566856049
1,0.02,0.38,0.689397792882315,0.575285371417425
1,0.02,0.4,0.689432349657402,0.575285074239886
1,0.02,0.42,0.68946690868005,0.575284777026981
1,0.02,0.44,0.689501470010014,0.575284479777819
1,0.02,0.46,0.689536033707283,0.575284182491502
1,0.02,0.48,0.689570599832085,0.575283885167132
1,0.02,0.5,0.689605168444884,0.575283587803805
1,0.02,0.52,0.689639739606385,0.575283290400611
1,0.02,0.54,0.689674313377539,0.575282992956642
1,0.02,0.56,0.689708889819537,0.575282695470981
1,0.02,0.58,0.689743468993819,0.575282397942711
1,0.02,0.6,0.689778050962073,0.575282100370909
1,0.02,0.62,0.689812635786237,0.57528180275465
1,0.02,0.64,0.689847223528499,0.575281505093002
1,0.02,0.66,0.689881814251304,0.575281207385032
1,0.02,0.68,0.689916408017353,0.575280909629802
1,0.02,0.7,0.689951004889603,0.57528061182637
1,0.02,0.72,0.689985604931274,0.575280313973793
1,0.02,0.74,0.690020208205846,0.575280016071118
1,0.02,0.76,0.690054814777062,0.575279718117393
1,0.02,0.78,0.690089424708935,0.57527942011166
1,0.02,0.8,0.690124038065743,0.575279122052958
1,0.02,0.82,0.690158654912036,0.575278823940319
1,0.02,0.84,0.690193275312639,0.575278525772776
1,0.02,0.86,0.690227899332646,0.575278227549352
1,0.02,0.88,0.690262527037432,0.575277929269069
1,0.02,0.9,0.69029715849265,0.575277630930946
1,0.02,0.92,0.690331793764236,0.575277332533994
1,0.02,0.94,0.690366432918405,0.575277034077224
1,0.02,0.96,0.690401076021662,0.575276735559638
1,0.02,0.98,0.690435723140797,0.575276436980237
1,0.02,1,0.690470374342892,0.575276138338017
2,0.04,0.02,0.688760279576215,0.574979959563649
2,0.04,0.04,0.688794793950845,0.574979360897979
