"beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.01,0.402496486085064,0.0288942590143998,0.274518839449609,0.0122554892888908,0.127977646635455,0.016638769725509
0.02,0.469140860844732,0.103552333884099,0.297379609327955,0.0450496823173479,0.171761251516778,0.0585026515667506
0.03,0.511345910789311,0.156912723545769,0.311436272232423,0.0692330602923919,0.199909638556889,0.0876796632533766
0.04,0.544984278723425,0.200286186859046,0.322807471401171,0.0892681915968505,0.222176807322254,0.111017995262196
0.05,0.573333433634745,0.237154195865084,0.33255159273791,0.106556828549779,0.240781840896835,0.130597367315305
0.06,0.597826291481778,0.269347421882024,0.341084861826899,0.121848928827412,0.256741429654879,0.147498493054611
0.07,0.61935828360976,0.297979628323915,0.348673001173862,0.135603927120897,0.270685282435897,0.162375701203018
0.08,0.638491150432569,0.323716246155896,0.355484295612327,0.148092612840396,0.283006854820243,0.1756236333155
0.09,0.655609957027738,0.346999432182371,0.361634483809959,0.159492898729023,0.293975473217778,0.187506533453348
0.1,0.671007080615631,0.368162971343421,0.367212193430874,0.169939738546097,0.303794887184757,0.198223232797324
0.11,0.684917531358015,0.38747737044107,0.372289556705096,0.179544129385115,0.31262797465292,0.207933241055955
0.12,0.697534861151808,0.405168159030758,0.376926775607754,0.18840020213732,0.320608085544054,0.216767956893438
0.13,0.709020381202614,0.421425642600973,0.381174670437162,0.196588693434131,0.327845710765452,0.224836949166841
0.14,0.719509643774991,0.436411594640805,0.38507646439611,0.20417927244966,0.334433179378881,0.232232322191145
0.15,0.729117370119164,0.450264380446708,0.388669155940259,0.211232348520405,0.340448214178905,0.239032031926303
0.16,0.737941293557599,0.463103014892728,0.391984604388125,0.217800536671665,0.345956689169474,0.245302478221063
0.17,0.746065190014086,0.475030414535906,0.395050397787742,0.223929859742574,0.351014792226344,0.251100554793333
0.18,0.753561287223644,0.486136022825412,0.397890551645881,0.229660739634414,0.355670735577763,0.256475283190998
0.19,0.760492194376271,0.496497942590582,0.400526075196004,0.235028818187466,0.359966119180267,0.261469124403115
0.2,0.766912458799172,0.506184678751397,0.402975433279656,0.240065639881008,0.363937025519516,0.266119038870389
0.21,0.772869830445244,0.515256570847021,0.405254925446447,0.244799222084486,0.367614904998798,0.270457348762536
0.22,0.778406295805289,0.523766977272348,0.407378998986038,0.249254533461852,0.371027296819252,0.274512443810497
0.23,0.783558928589917,0.531763259612197,0.409360508898458,0.253453897063264,0.374198419691459,0.278309362548933
0.24,0.788360593824988,0.539287605120017,0.411210934988211,0.257417331410798,0.377149658836776,0.281870273709219
0.25,0.792840533922845,0.546377717423609,0.412940564109039,0.261162840321676,0.379899969813807,0.285214877101933
0.26,0.797024859144523,0.553067399374784,0.414558643924046,0.264706660173595,0.382466215220477,0.288360739201189
0.27,0.800936960158533,0.559387047160883,0.416073513257687,0.268063471690867,0.384863446900846,0.291323575470016
0.28,0.804597856768545,0.565364071040871,0.417492713111425,0.271246582030119,0.38710514365712,0.294117489010752
0.29,0.808026494060536,0.571023255114754,0.418823081626695,0.274268081901666,0.389203412433841,0.296755173213088
0.3,0.811239995014819,0.576387066199571,0.420070835656839,0.277138981623672,0.391169159357981,0.299248084575898
0.31,0.814253876894762,0.581475920029351,0.421241641116338,0.279869329328756,0.393012235778424,0.301606590700595
0.32,0.817082237353395,0.586308411514559,0.422340673882339,0.282468313993672,0.394741563471056,0.303840097520887
0.33,0.819737915109714,0.590901514607503,0.423372672708302,0.284944355516108,0.396365242401411,0.305957159091396
0.34,0.822232629176019,0.59527075636169,0.42434198535593,0.287305183697941,0.397890643820089,0.30796557266375
0.35,0.82457709991869,0.599430368996803,0.425252608946363,0.289557907695401,0.399324490972327,0.309872461301403
0.36,0.826781154670848,0.603393423149434,0.426108225365001,0.291709077250571,0.400672929305847,0.311684345898863
0.37,0.828853820158163,0.607171944973557,0.426912232418306,0.293764736815456,0.401941587739857,0.313407208158101
0.38,0.830803403626718,0.610777019331173,0.427667771329541,0.295730473511325,0.403135632297177,0.315046545819849
0.39,0.832637564257293,0.614218880964392,0.428377751068689,0.297611459725782,0.404259813188603,0.316607421238609
0.4,0.834363376200162,0.617506995251281,0.42904486993603,0.299412491032805,0.405318506264132,0.318094504218476
0.41,0.835987384358059,0.620650129907764,0.429671634755958,0.301138020022759,0.406315749602101,0.319512109885005
0.42,0.837515653873933,0.623656418797546,0.430260377985271,0.302792186546728,0.407255275888661,0.320864232250818
0.43,0.838953814137837,0.626533418844469,0.430813272996327,0.304378844809714,0.408140541141511,0.322154574034755
0.44,0.840307098008553,0.629288160900798,0.431332347758706,0.30590158768817,0.408974750249847,0.323386573212628
0.45,0.84158037684599,0.631927195306243,0.431819497112051,0.307363768597137,0.409760879733939,0.324563426709106
0.46,0.842778191866713,0.634456632772061,0.432276493796526,0.308768521189473,0.410501698070186,0.325688111582587
0.47,0.843904782264294,0.636882181139366,0.432704998385166,0.310118777133115,0.411199783879128,0.326763404006251
0.48,0.844964110476376,0.639209178488272,0.43310656824343,0.31141728218102,0.411857542232946,0.327791896307252
0.49,0.845959884929502,0.641442623012532,0.433482665625174,0.312666610721506,0.412477219304328,0.328776012291026
0.5,0.846895580549515,0.643587200021396,0.433834665000387,0.313869178973552,0.413060915549128,0.329718021047844
0.51,0.847774457288286,0.645647306384878,0.434163859698204,0.31502725697163,0.413610597590082,0.330620049413248
0.52,0.848599576885849,0.647627072699507,0.434471467938458,0.316142979467283,0.414128108947391,0.331484093232224
0.53,0.849373818059771,0.649530383417851,0.434758638316212,0.317218355859715,0.414615179743558,0.332312027558136
0.54,0.850099890290092,0.651360895155899,0.435026454796078,0.318255279254521,0.415073435494014,0.333105615901378
0.55,0.850780346347913,0.653122053367085,0.435275941266483,0.319255534738397,0.41550440508143,0.333866518628688
0.56,0.851417593698113,0.654817107549717,0.43550806569828,0.320220806947667,0.415909527999833,0.33459630060205
