"l1","alpha","lamda2","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
1,0.02,0.02,0.618312822764961,0.462557264116372,0.323910598907379,0.230310760532113,0.294402223857582,0.232246503584259
1,0.02,0.04,0.629038569789887,0.462455441219312,0.331672006413621,0.23023754305442,0.297366563376266,0.232217898164892
1,0.02,0.06,0.638595244738331,0.462364530459742,0.338390263581887,0.230173985843953,0.300204981156444,0.232190544615789
1,0.02,0.08,0.647179577286659,0.462282690247736,0.34425060177392,0.23011840416017,0.302928975512739,0.232164286087566
1,0.02,0.1,0.654938080518227,0.462208575379577,0.349393990187585,0.230069511325065,0.305544090330642,0.232139064054512
1,0.02,0.12,0.661987204457816,0.462141115436893,0.353931885283583,0.230026285897632,0.308055319174233,0.232114829539261
1,0.02,0.14,0.668421558876113,0.46207943794346,0.357953972526052,0.229987902745286,0.31046758635006,0.232091535198175
1,0.02,0.16,0.674318952291314,0.462022823081094,0.361533246324748,0.229953687867811,0.312785705966566,0.232069135213283
1,0.02,0.18,0.679744029067368,0.461970671057512,0.364729703598199,0.229923085425425,0.315014325469169,0.232047585632087
1,0.02,0.2,0.68475099594493,0.46192247756164,0.367593104488496,0.229895632989295,0.317157891456434,0.232026844572345
1,0.02,0.22,0.689385697059994,0.461877815017044,0.370165064358838,0.229870942711567,0.319220632701156,0.232006872305477
1,0.02,0.24,0.693687211539809,0.461836318099929,0.372480657084596,0.229848686839743,0.321206554455213,0.231987631260186
1,0.02,0.26,0.697689096572331,0.461797672435269,0.374569656631864,0.229828586459206,0.323119439940467,0.231969085976063
1,0.02,0.28,0.701420364183465,0.461761605688133,0.376457507877204,0.229810402661157,0.324962856306262,0.231951203026977
1,0.02,0.3,0.704906255859828,0.461727880479084,0.378166092605302,0.229793929551819,0.326740163254526,0.231933950927264
1,0.02,0.32,0.708168862167336,0.461696288702407,0.379714339023491,0.229778988673111,0.328454523143845,0.231917300029296
1,0.02,0.34,0.711227622396766,0.461666646933251,0.381118710606363,0.229765424515246,0.330108911790403,0.231901222418004
1,0.02,0.36,0.714099730524747,0.461638792687354,0.382393601069057,0.229753100881391,0.331706129455689,0.231885691805963
1,0.02,0.38,0.716800467405308,0.461612581353865,0.38355165571186,0.229741897922572,0.333248811693448,0.231870683431293
1,0.02,0.4,0.719343474414629,0.461587883663645,0.384604034563402,0.229731709703893,0.334739439851226,0.231856173959752
1,0.02,0.42,0.721740980283869,0.461564583586714,0.385560629179423,0.229722442194919,0.336180351104446,0.231842141391795
1,0.02,0.44,0.724003990239469,0.461542576575991,0.386430242283083,0.229714011601031,0.337573747956386,0.231828564974959
1,0.02,0.46,0.726142444591996,0.4615217680923,0.387220737417645,0.229706342970595,0.338921707174351,0.231815425121705
1,0.02,0.48,0.728165352406267,0.461502072359228,0.387939164249595,0.229699369026598,0.340226188156672,0.23180270333263
1,0.02,0.5,0.730080904726417,0.461483411306918,0.388591863985525,0.229693029182017,0.341489040740891,0.231790382124902
1,0.02,0.52,0.731896570932509,0.46146571367202,0.389184558459157,0.229687268706354,0.342712012473352,0.231778444965666
1,0.02,0.54,0.733619181106004,0.461448914227366,0.389722425739743,0.229682038017201,0.343896755366261,0.231766876210165
1,0.02,0.56,0.735254996732763,0.461432953119961,0.390210164561323,0.229677292075691,0.34504483217144,0.23175566104427
1,0.02,0.58,0.736809771638962,0.461417775299804,0.390652049437694,0.229672989868661,0.346157722201268,0.231744785431143
1,0.02,0.6,0.738288804711096,0.461403330025229,0.39105197798366,0.229669093963489,0.347236826727436,0.23173423606174
1,0.02,0.62,0.739696985676162,0.461389570432956,0.391413511688739,0.229665570124086,0.348283473987423,0.23172400030887
1,0.02,0.64,0.741038834997037,0.461376453163096,0.391739911169605,0.229662386978533,0.349298923827432,0.231714066184563
1,0.02,0.66,0.742318538759473,0.461363938030961,0.392034166750442,0.229659515730482,0.350284372009031,0.231704422300479
1,0.02,0.68,0.743539979282046,0.4613519877389,0.392299025076927,0.22965692990776,0.351240954205119,0.23169505783114
1,0.02,0.7,0.744706762061994,0.461340567622455,0.392537012352849,0.229654605142691,0.352169749709145,0.231685962479765
