"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.16,0.9,0.8145,0.721,0.4065,0.3565,0.408,0.3645
0.16,0.92,0.835,0.708,0.4135,0.3575,0.4215,0.3505
0.16,0.94,0.8175,0.6875,0.3975,0.352,0.42,0.3355
0.16,0.96,0.8205,0.7235,0.4125,0.3545,0.408,0.369
0.16,0.98,0.8295,0.72,0.415,0.356,0.4145,0.364
0.16,1,0.844,0.707,0.4165,0.3615,0.4275,0.3455
0.18,0.02,0.437,0.1435,0.269,0.073,0.168,0.0705
0.18,0.04,0.4965,0.226,0.2805,0.112,0.216,0.114
0.18,0.06,0.5875,0.285,0.3255,0.1465,0.262,0.1385
0.18,0.08,0.596,0.3685,0.3255,0.1835,0.2705,0.185
0.18,0.1,0.6415,0.4275,0.334,0.2145,0.3075,0.213
0.18,0.12,0.602,0.4965,0.318,0.24,0.284,0.2565
0.18,0.14,0.686,0.475,0.358,0.2335,0.328,0.2415
0.18,0.16,0.6915,0.492,0.356,0.2365,0.3355,0.2555
0.18,0.18,0.685,0.4955,0.355,0.242,0.33,0.2535
0.18,0.2,0.709,0.5775,0.3635,0.287,0.3455,0.2905
0.18,0.22,0.747,0.536,0.377,0.2615,0.37,0.2745
0.18,0.24,0.7725,0.5595,0.3915,0.2725,0.381,0.287
0.18,0.26,0.7825,0.5835,0.3925,0.291,0.39,0.2925
0.18,0.28,0.729,0.596,0.3725,0.2935,0.3565,0.3025
0.18,0.3,0.7745,0.634,0.387,0.321,0.3875,0.313
0.18,0.32,0.794,0.591,0.4005,0.2945,0.3935,0.2965
0.18,0.34,0.785,0.6525,0.3925,0.3235,0.3925,0.329
0.18,0.36,0.744,0.681,0.3765,0.347,0.3675,0.334
0.18,0.38,0.7995,0.6135,0.41,0.303,0.3895,0.3105
0.18,0.4,0.8035,0.652,0.403,0.3315,0.4005,0.3205
0.18,0.42,0.7925,0.7035,0.401,0.3555,0.3915,0.348
0.18,0.44,0.8065,0.6545,0.4015,0.326,0.405,0.3285
0.18,0.46,0.8215,0.696,0.414,0.347,0.4075,0.349
0.18,0.48,0.7795,0.634,0.3895,0.3315,0.39,0.3025
0.18,0.5,0.821,0.7195,0.4155,0.359,0.4055,0.3605
0.18,0.52,0.7935,0.697,0.3995,0.3415,0.394,0.3555
0.18,0.54,0.8415,0.676,0.421,0.33,0.4205,0.346
0.18,0.56,0.8165,0.703,0.4145,0.3575,0.402,0.3455
0.18,0.58,0.7975,0.727,0.4025,0.367,0.395,0.36
0.18,0.6,0.8065,0.715,0.4045,0.3505,0.402,0.3645
0.18,0.62,0.8385,0.6915,0.415,0.34,0.4235,0.3515
0.18,0.64,0.7965,0.717,0.398,0.361,0.3985,0.356
0.18,0.66,0.8425,0.702,0.4255,0.352,0.417,0.35
0.18,0.68,0.8315,0.675,0.418,0.3385,0.4135,0.3365
0.18,0.7,0.819,0.709,0.4115,0.3455,0.4075,0.3635
0.18,0.72,0.8215,0.6915,0.414,0.35,0.4075,0.3415
0.18,0.74,0.8125,0.6925,0.407,0.3455,0.4055,0.347
0.18,0.76,0.8675,0.693,0.437,0.352,0.4305,0.341
0.18,0.78,0.8345,0.728,0.419,0.3605,0.4155,0.3675
0.18,0.8,0.836,0.7065,0.42,0.352,0.416,0.3545
0.18,0.82,0.8325,0.7035,0.418,0.355,0.4145,0.3485
0.18,0.84,0.8205,0.7135,0.4075,0.355,0.413,0.3585
0.18,0.86,0.8205,0.702,0.414,0.356,0.4065,0.346
0.18,0.88,0.8255,0.69,0.4125,0.348,0.413,0.342
0.18,0.9,0.838,0.702,0.422,0.3465,0.416,0.3555
0.18,0.92,0.8245,0.702,0.412,0.3485,0.4125,0.3535
0.18,0.94,0.8315,0.7165,0.4155,0.354,0.416,0.3625
0.18,0.96,0.83,0.7095,0.42,0.3565,0.41,0.353
0.18,0.98,0.846,0.6965,0.427,0.3465,0.419,0.35
0.18,1,0.821,0.7225,0.398,0.3605,0.423,0.362
0.2,0.02,0.468,0.1265,0.2845,0.0625,0.1835,0.064
0.2,0.04,0.5205,0.2145,0.298,0.103,0.2225,0.1115
0.2,0.06,0.583,0.2945,0.3205,0.14,0.2625,0.1545
0.2,0.08,0.577,0.3985,0.306,0.208,0.271,0.1905
0.2,0.1,0.6155,0.415,0.3285,0.204,0.287,0.211
0.2,0.12,0.655,0.4735,0.3315,0.2235,0.3235,0.25
0.2,0.14,0.6385,0.4875,0.3475,0.2415,0.291,0.246
0.2,0.16,0.7115,0.4905,0.3645,0.24,0.347,0.2505
0.2,0.18,0.677,0.5415,0.3575,0.274,0.3195,0.2675
0.2,0.2,0.7415,0.5755,0.3875,0.282,0.354,0.2935
0.2,0.22,0.721,0.5395,0.3695,0.2725,0.3515,0.267
0.2,0.24,0.728,0.572,0.366,0.286,0.362,0.286
0.2,0.26,0.7655,0.564,0.398,0.2845,0.3675,0.2795
0.2,0.28,0.7465,0.5575,0.3835,0.271,0.363,0.2865
0.2,0.3,0.794,0.571,0.399,0.2845,0.395,0.2865
0.2,0.32,0.7905,0.584,0.4055,0.295,0.385,0.289
0.2,0.34,0.7755,0.6425,0.3945,0.3255,0.381,0.317
0.2,0.36,0.7765,0.6335,0.3985,0.3225,0.378,0.311
0.2,0.38,0.7765,0.6265,0.396,0.3185,0.3805,0.308
0.2,0.4,0.789,0.672,0.392,0.3385,0.397,0.3335
0.2,0.42,0.7935,0.6635,0.4035,0.328,0.39,0.3355
0.2,0.44,0.765,0.695,0.3875,0.337,0.3775,0.358
0.2,0.46,0.8305,0.673,0.4195,0.3385,0.411,0.3345
0.2,0.48,0.7965,0.698,0.3935,0.352,0.403,0.346
0.2,0.5,0.7995,0.691,0.411,0.3415,0.3885,0.3495
0.2,0.52,0.783,0.692,0.403,0.3495,0.38,0.3425
0.2,0.54,0.814,0.689,0.4155,0.3355,0.3985,0.3535
0.2,0.56,0.8425,0.676,0.42,0.345,0.4225,0.331
0.2,0.58,0.7995,0.7065,0.404,0.3465,0.3955,0.36
0.2,0.6,0.823,0.6805,0.4125,0.337,0.4105,0.3435
0.2,0.62,0.8175,0.686,0.4065,0.3365,0.411,0.3495
0.2,0.64,0.811,0.7065,0.4055,0.355,0.4055,0.3515
0.2,0.66,0.809,0.7255,0.4115,0.3645,0.3975,0.361
0.2,0.68,0.817,0.716,0.406,0.357,0.411,0.359
0.2,0.7,0.825,0.7045,0.4125,0.3485,0.4125,0.356
0.2,0.72,0.8365,0.703,0.4205,0.3535,0.416,0.3495
0.2,0.74,0.82,0.701,0.412,0.352,0.408,0.349
0.2,0.76,0.8275,0.7035,0.415,0.3585,0.4125,0.345
0.2,0.78,0.8105,0.728,0.4115,0.361,0.399,0.367
0.2,0.8,0.812,0.686,0.405,0.339,0.407,0.347
0.2,0.82,0.8435,0.575,0.42,0.2865,0.4235,0.2885
0.2,0.84,0.842,0.7015,0.4185,0.3535,0.4235,0.348
0.2,0.86,0.832,0.6895,0.414,0.346,0.418,0.3435
0.2,0.88,0.781,0.74,0.395,0.3615,0.386,0.3785
0.2,0.9,0.8325,0.7,0.4195,0.3535,0.413,0.3465
0.2,0.92,0.824,0.7115,0.411,0.3485,0.413,0.363
0.2,0.94,0.834,0.6885,0.422,0.3405,0.412,0.348
0.2,0.96,0.8315,0.708,0.4215,0.356,0.41,0.352
0.2,0.98,0.8275,0.7255,0.4095,0.37,0.418,0.3555
0.2,1,0.8405,0.6935,0.4185,0.35,0.422,0.3435
0.22,0.02,0.4415,0.1515,0.261,0.074,0.1805,0.0775
0.22,0.04,0.4925,0.264,0.288,0.1315,0.2045,0.1325
0.22,0.06,0.567,0.343,0.318,0.167,0.249,0.176
0.22,0.08,0.6025,0.3545,0.329,0.1735,0.2735,0.181
0.22,0.1,0.6385,0.4315,0.3445,0.2165,0.294,0.215
0.22,0.12,0.642,0.453,0.3365,0.222,0.3055,0.231
0.22,0.14,0.6615,0.4715,0.3435,0.2305,0.318,0.241
0.22,0.16,0.711,0.519,0.366,0.2565,0.345,0.2625
0.22,0.18,0.685,0.5435,0.361,0.273,0.324,0.2705
0.22,0.2,0.7135,0.6215,0.376,0.306,0.3375,0.3155
0.22,0.22,0.749,0.541,0.391,0.276,0.358,0.265
0.22,0.24,0.7715,0.5255,0.391,0.2575,0.3805,0.268
0.22,0.26,0.7095,0.656,0.367,0.3135,0.3425,0.3425
0.22,0.28,0.749,0.6095,0.377,0.3035,0.372,0.306
0.22,0.3,0.773,0.5395,0.393,0.2655,0.38,0.274
0.22,0.32,0.775,0.583,0.3935,0.29,0.3815,0.293
0.22,0.34,0.768,0.651,0.382,0.327,0.386,0.324
0.22,0.36,0.8045,0.6,0.407,0.307,0.3975,0.293
0.22,0.38,0.754,0.695,0.378,0.342,0.376,0.353
0.22,0.4,0.7845,0.6355,0.398,0.3205,0.3865,0.315
0.22,0.42,0.8075,0.6055,0.4045,0.3025,0.403,0.303
0.22,0.44,0.739,0.6865,0.37,0.3425,0.369,0.344
0.22,0.46,0.8215,0.6795,0.4065,0.342,0.415,0.3375
0.22,0.48,0.7905,0.687,0.4035,0.3415,0.387,0.3455
0.22,0.5,0.782,0.6605,0.3935,0.3345,0.3885,0.326
0.22,0.52,0.79,0.7,0.399,0.347,0.391,0.353
0.22,0.54,0.806,0.7015,0.4115,0.352,0.3945,0.3495
0.22,0.56,0.8225,0.694,0.4125,0.344,0.41,0.35
0.22,0.58,0.8225,0.6245,0.407,0.31,0.4155,0.3145
0.22,0.6,0.803,0.6795,0.41,0.3325,0.393,0.347
0.22,0.62,0.8095,0.728,0.408,0.365,0.4015,0.363
0.22,0.64,0.813,0.7095,0.4065,0.357,0.4065,0.3525
0.22,0.66,0.815,0.7075,0.404,0.3515,0.411,0.356
0.22,0.68,0.7915,0.7245,0.4045,0.356,0.387,0.3685
0.22,0.7,0.8225,0.7225,0.4075,0.359,0.415,0.3635
0.22,0.72,0.8345,0.6385,0.4205,0.305,0.414,0.3335
0.22,0.74,0.8055,0.741,0.398,0.3715,0.4075,0.3695
0.22,0.76,0.8255,0.686,0.413,0.3395,0.4125,0.3465
0.22,0.78,0.8165,0.678,0.4025,0.335,0.414,0.343
0.22,0.8,0.813,0.735,0.411,0.368,0.402,0.367
0.22,0.82,0.809,0.7135,0.4095,0.356,0.3995,0.3575
0.22,0.84,0.832,0.695,0.4155,0.358,0.4165,0.337
0.22,0.86,0.8365,0.6825,0.412,0.3345,0.4245,0.348
0.22,0.88,0.8285,0.675,0.4075,0.343,0.421,0.332
0.22,0.9,0.824,0.712,0.41,0.3605,0.414,0.3515
0.22,0.92,0.8245,0.71,0.4115,0.3525,0.413,0.3575
0.22,0.94,0.8265,0.728,0.408,0.3615,0.4185,0.3665
0.22,0.96,0.821,0.7265,0.413,0.352,0.408,0.3745
0.22,0.98,0.8165,0.708,0.404,0.3565,0.4125,0.3515
0.22,1,0.835,0.722,0.4155,0.3655,0.4195,0.3565
0.24,0.02,0.444,0.131,0.273,0.063,0.171,0.068
0.24,0.04,0.4525,0.263,0.2535,0.1285,0.199,0.1345
0.24,0.06,0.6105,0.3815,0.335,0.1875,0.2755,0.194
0.24,0.08,0.5815,0.367,0.3155,0.174,0.266,0.193
0.24,0.1,0.5935,0.4355,0.3315,0.211,0.262,0.2245
0.24,0.12,0.668,0.483,0.3515,0.2455,0.3165,0.2375
0.24,0.14,0.6935,0.436,0.358,0.2105,0.3355,0.2255
0.24,0.16,0.671,0.5565,0.3495,0.2785,0.3215,0.278
0.24,0.18,0.701,0.4795,0.363,0.2295,0.338,0.25
0.24,0.2,0.6905,0.5695,0.3505,0.2825,0.34,0.287
0.24,0.22,0.736,0.525,0.3785,0.272,0.3575,0.253
0.24,0.24,0.7085,0.6155,0.3635,0.3025,0.345,0.313
0.24,0.26,0.7785,0.6035,0.3895,0.3015,0.389,0.302
0.24,0.28,0.7735,0.5495,0.3925,0.271,0.381,0.2785
0.24,0.3,0.7745,0.5685,0.3955,0.288,0.379,0.2805
0.24,0.32,0.7565,0.581,0.3985,0.297,0.358,0.284
0.24,0.34,0.744,0.662,0.3805,0.3265,0.3635,0.3355
0.24,0.36,0.7775,0.6305,0.385,0.318,0.3925,0.3125
0.24,0.38,0.7755,0.68,0.3915,0.3365,0.384,0.3435
0.24,0.4,0.803,0.6365,0.3985,0.319,0.4045,0.3175
0.24,0.42,0.792,0.666,0.3895,0.33,0.4025,0.336
0.24,0.44,0.788,0.635,0.3895,0.3225,0.3985,0.3125
0.24,0.46,0.814,0.6965,0.4035,0.35,0.4105,0.3465
0.24,0.48,0.7615,0.6865,0.385,0.3435,0.3765,0.343
0.24,0.5,0.794,0.7265,0.3975,0.3605,0.3965,0.366
0.24,0.52,0.7975,0.6965,0.403,0.3435,0.3945,0.353
0.24,0.54,0.8205,0.6855,0.403,0.352,0.4175,0.3335
0.24,0.56,0.8205,0.694,0.4055,0.349,0.415,0.345
0.24,0.58,0.8305,0.66,0.415,0.333,0.4155,0.327
0.24,0.6,0.8195,0.694,0.4165,0.351,0.403,0.343
0.24,0.62,0.8295,0.668,0.412,0.333,0.4175,0.335
0.24,0.64,0.8225,0.7065,0.4125,0.3535,0.41,0.353
0.24,0.66,0.8255,0.6875,0.4165,0.34,0.409,0.3475
0.24,0.68,0.838,0.676,0.4195,0.3445,0.4185,0.3315
0.24,0.7,0.8165,0.718,0.4145,0.363,0.402,0.355
0.24,0.72,0.8125,0.717,0.403,0.359,0.4095,0.358
0.24,0.74,0.827,0.697,0.415,0.3405,0.412,0.3565
0.24,0.76,0.8405,0.685,0.4225,0.3435,0.418,0.3415
0.24,0.78,0.8205,0.7055,0.4125,0.3555,0.408,0.35
0.24,0.8,0.8085,0.7295,0.403,0.366,0.4055,0.3635
0.24,0.82,0.836,0.5735,0.4195,0.287,0.4165,0.2865
0.24,0.84,0.8125,0.722,0.407,0.355,0.4055,0.367
0.24,0.86,0.843,0.691,0.4165,0.3455,0.4265,0.3455
0.24,0.88,0.8085,0.7275,0.4075,0.3675,0.401,0.36
0.24,0.9,0.8285,0.711,0.416,0.3525,0.4125,0.3585
0.24,0.92,0.8265,0.7285,0.417,0.3565,0.4095,0.372
0.24,0.94,0.8235,0.7,0.403,0.355,0.4205,0.345
0.24,0.96,0.8185,0.715,0.4085,0.3525,0.41,0.3625
0.24,0.98,0.832,0.7065,0.4235,0.3575,0.4085,0.349
0.24,1,0.822,0.709,0.4115,0.362,0.4105,0.347
0.26,0.02,0.4425,0.128,0.2715,0.066,0.171,0.062
0.26,0.04,0.463,0.256,0.272,0.121,0.191,0.135
0.26,0.06,0.569,0.3165,0.3255,0.1575,0.2435,0.159
0.26,0.08,0.558,0.3375,0.2995,0.1635,0.2585,0.174
0.26,0.1,0.582,0.3745,0.315,0.1865,0.267,0.188
0.26,0.12,0.641,0.3935,0.336,0.192,0.305,0.2015
0.26,0.14,0.677,0.447,0.3555,0.2185,0.3215,0.2285
0.26,0.16,0.7,0.4985,0.365,0.251,0.335,0.2475
0.26,0.18,0.6945,0.5055,0.362,0.2525,0.3325,0.253
0.26,0.2,0.7,0.525,0.3665,0.2615,0.3335,0.2635
0.26,0.22,0.7575,0.5465,0.3895,0.274,0.368,0.2725
0.26,0.24,0.7665,0.5635,0.3815,0.2775,0.385,0.286
0.26,0.26,0.7335,0.5365,0.373,0.264,0.3605,0.2725
0.26,0.28,0.7575,0.6015,0.3875,0.2895,0.37,0.312
0.26,0.3,0.7705,0.659,0.3945,0.3305,0.376,0.3285
0.26,0.32,0.75,0.673,0.3825,0.326,0.3675,0.347
0.26,0.34,0.7955,0.6625,0.406,0.33,0.3895,0.3325
0.26,0.36,0.7775,0.6475,0.3975,0.328,0.38,0.3195
0.26,0.38,0.8045,0.6525,0.4,0.322,0.4045,0.3305
0.26,0.4,0.821,0.6185,0.416,0.3035,0.405,0.315
0.26,0.42,0.7645,0.6685,0.3925,0.327,0.372,0.3415
0.26,0.44,0.8,0.6345,0.405,0.311,0.395,0.3235
0.26,0.46,0.758,0.687,0.384,0.3445,0.374,0.3425
0.26,0.48,0.784,0.718,0.399,0.365,0.385,0.353
0.26,0.5,0.802,0.6965,0.4035,0.35,0.3985,0.3465
0.26,0.52,0.805,0.6875,0.403,0.3445,0.402,0.343
0.26,0.54,0.794,0.677,0.396,0.3305,0.398,0.3465
0.26,0.56,0.816,0.623,0.4145,0.3145,0.4015,0.3085
0.26,0.58,0.8055,0.722,0.403,0.3575,0.4025,0.3645
0.26,0.6,0.7855,0.714,0.4,0.357,0.3855,0.357
0.26,0.62,0.8255,0.701,0.4145,0.3475,0.411,0.3535
0.26,0.64,0.8105,0.6905,0.4125,0.3415,0.398,0.349
0.26,0.66,0.83,0.6505,0.4085,0.328,0.4215,0.3225
0.26,0.68,0.8445,0.6665,0.4265,0.329,0.418,0.3375
0.26,0.7,0.82,0.708,0.408,0.3485,0.412,0.3595
0.26,0.72,0.8285,0.6905,0.413,0.3455,0.4155,0.345
0.26,0.74,0.8125,0.6765,0.4075,0.334,0.405,0.3425
0.26,0.76,0.82,0.7135,0.401,0.3605,0.419,0.353
0.26,0.78,0.8265,0.71,0.4145,0.3555,0.412,0.3545
0.26,0.8,0.826,0.712,0.41,0.353,0.416,0.359
0.26,0.82,0.8295,0.6985,0.416,0.3485,0.4135,0.35
0.26,0.84,0.829,0.716,0.417,0.356,0.412,0.36
0.26,0.86,0.8385,0.6755,0.4145,0.342,0.424,0.3335
0.26,0.88,0.827,0.706,0.408,0.3565,0.419,0.3495
0.26,0.9,0.829,0.693,0.4215,0.3445,0.4075,0.3485
0.26,0.92,0.811,0.728,0.4135,0.365,0.3975,0.363
0.26,0.94,0.8225,0.708,0.418,0.3495,0.4045,0.3585
0.26,0.96,0.8215,0.709,0.4065,0.3625,0.415,0.3465
0.26,0.98,0.837,0.6895,0.4205,0.3435,0.4165,0.346
0.26,1,0.82,0.707,0.41,0.3495,0.41,0.3575
0.28,0.02,0.416,0.119,0.259,0.06,0.157,0.059
0.28,0.04,0.4985,0.2655,0.2865,0.126,0.212,0.1395
0.28,0.06,0.527,0.28,0.2925,0.135,0.2345,0.145
0.28,0.08,0.5625,0.3395,0.3205,0.1715,0.242,0.168
0.28,0.1,0.658,0.412,0.355,0.203,0.303,0.209
0.28,0.12,0.617,0.431,0.3345,0.215,0.2825,0.216
0.28,0.14,0.712,0.4735,0.377,0.237,0.335,0.2365
0.28,0.16,0.702,0.5435,0.363,0.2755,0.339,0.268
0.28,0.18,0.722,0.5265,0.3675,0.2595,0.3545,0.267
0.28,0.2,0.701,0.554,0.358,0.2675,0.343,0.2865
0.28,0.22,0.712,0.5375,0.374,0.2595,0.338,0.278
0.28,0.24,0.6855,0.596,0.359,0.293,0.3265,0.303
0.28,0.26,0.74,0.6225,0.387,0.3085,0.353,0.314
0.28,0.28,0.7905,0.551,0.3985,0.273,0.392,0.278
0.28,0.3,0.7375,0.6495,0.3815,0.3205,0.356,0.329
0.28,0.32,0.7815,0.651,0.383,0.327,0.3985,0.324
0.28,0.34,0.7815,0.6015,0.403,0.2925,0.3785,0.309
0.28,0.36,0.775,0.677,0.3845,0.3295,0.3905,0.3475
0.28,0.38,0.7495,0.692,0.3775,0.3415,0.372,0.3505
0.28,0.4,0.729,0.6865,0.371,0.3385,0.358,0.348
0.28,0.42,0.771,0.691,0.3875,0.3375,0.3835,0.3535
0.28,0.44,0.7705,0.6625,0.3865,0.333,0.384,0.3295
0.28,0.46,0.796,0.703,0.3995,0.3525,0.3965,0.3505
0.28,0.48,0.746,0.692000000000001,0.3895,0.35,0.3565,0.342
0.28,0.5,0.7815,0.6945,0.388,0.3495,0.3935,0.345
0.28,0.52,0.744,0.7395,0.383,0.365,0.361,0.3745
0.28,0.54,0.7845,0.7075,0.394,0.346,0.3905,0.3615
0.28,0.56,0.7905,0.719,0.3915,0.36,0.399,0.359
0.28,0.58,0.826,0.6665,0.4125,0.3325,0.4135,0.334
0.28,0.6,0.8425,0.6815,0.4225,0.3305,0.42,0.351
0.28,0.62,0.802,0.7145,0.4005,0.358,0.4015,0.3565
0.28,0.64,0.7905,0.733,0.404,0.3635,0.3865,0.3695
0.28,0.66,0.7985,0.7225,0.398,0.3675,0.4005,0.355
0.28,0.68,0.842,0.678,0.422,0.3365,0.42,0.3415
0.28,0.7,0.835,0.6725,0.416,0.3375,0.419,0.335
0.28,0.72,0.8245,0.6835,0.4235,0.3355,0.401,0.348
0.28,0.74,0.8005,0.7065,0.402,0.3555,0.3985,0.351
0.28,0.76,0.837,0.706,0.4365,0.349,0.4005,0.357
0.28,0.78,0.817,0.7115,0.4055,0.358,0.4115,0.3535
0.28,0.8,0.8315,0.707,0.4195,0.352,0.412,0.355
0.28,0.82,0.829,0.6965,0.4185,0.345,0.4105,0.3515
0.28,0.84,0.826,0.6895,0.4155,0.343,0.4105,0.3465
0.28,0.86,0.8075,0.729,0.406,0.374,0.4015,0.355
0.28,0.88,0.8445,0.69,0.4195,0.352,0.425,0.338
0.28,0.9,0.816,0.723,0.4085,0.37,0.4075,0.353
0.28,0.92,0.8455,0.6965,0.427,0.3575,0.4185,0.339
0.28,0.94,0.8125,0.728,0.4075,0.354,0.405,0.374
0.28,0.96,0.82,0.7165,0.417,0.3525,0.403,0.364
0.28,0.98,0.842,0.6735,0.4265,0.3355,0.4155,0.338
0.28,1,0.8285,0.7025,0.416,0.3515,0.4125,0.351
0.3,0.02,0.4415,0.137,0.268,0.0695,0.1735,0.0675
0.3,0.04,0.5465,0.2445,0.305,0.1135,0.2415,0.131
0.3,0.06,0.527,0.3165,0.297,0.161,0.23,0.1555
0.3,0.08,0.6235,0.352,0.3355,0.1685,0.288,0.1835
0.3,0.1,0.6505,0.3735,0.348,0.1795,0.3025,0.194
0.3,0.12,0.668,0.465,0.353,0.2265,0.315,0.2385
0.3,0.14,0.7105,0.375,0.378,0.1955,0.3325,0.1795
0.3,0.16,0.631,0.5285,0.3215,0.263,0.3095,0.2655
0.3,0.18,0.7265,0.488,0.38,0.2445,0.3465,0.2435
0.3,0.2,0.7455,0.5285,0.3915,0.265,0.354,0.2635
0.3,0.22,0.7515,0.5435,0.3865,0.269,0.365,0.2745
0.3,0.24,0.744,0.5845,0.3785,0.29,0.3655,0.2945
0.3,0.26,0.7475,0.6105,0.389,0.3065,0.3585,0.304
0.3,0.28,0.7815,0.5315,0.404,0.263,0.3775,0.2685
0.3,0.3,0.7715,0.608,0.4015,0.308,0.37,0.3
0.3,0.32,0.7345,0.6385,0.3735,0.3175,0.361,0.321
0.3,0.34,0.757,0.6485,0.3815,0.327,0.3755,0.3215
0.3,0.36,0.793,0.5865,0.3975,0.294,0.3955,0.2925
0.3,0.38,0.778,0.6745,0.388,0.345,0.39,0.3295
0.3,0.4,0.8195,0.6715,0.412,0.3405,0.4075,0.331
0.3,0.42,0.7875,0.6865,0.395,0.3365,0.3925,0.35
0.3,0.44,0.8185,0.6685,0.413,0.336,0.4055,0.3325
0.3,0.46,0.7995,0.6445,0.3985,0.3245,0.401,0.32
0.3,0.48,0.784,0.696,0.392,0.3455,0.392,0.3505
0.3,0.5,0.79,0.6865,0.3905,0.3495,0.3995,0.337
0.3,0.52,0.7905,0.6985,0.3975,0.336,0.393,0.3625
0.3,0.54,0.781,0.731,0.397,0.3655,0.384,0.3655
0.3,0.56,0.792,0.715,0.3995,0.3575,0.3925,0.3575
0.3,0.58,0.7945,0.6945,0.401,0.3535,0.3935,0.341
0.3,0.6,0.807,0.6955,0.3995,0.3475,0.4075,0.348
0.3,0.62,0.7985,0.697,0.3935,0.354,0.405,0.343
0.3,0.64,0.8125,0.6845,0.422,0.344,0.3905,0.3405
0.3,0.66,0.8075,0.6965,0.4065,0.3525,0.401,0.344
0.3,0.68,0.815,0.727,0.406,0.3625,0.409,0.3645
0.3,0.7,0.8125,0.6895,0.4115,0.348,0.401,0.3415
0.3,0.72,0.8135,0.716,0.4035,0.3605,0.41,0.3555
0.3,0.74,0.8155,0.7065,0.4105,0.354,0.405,0.3525
0.3,0.76,0.8395,0.6935,0.4255,0.3495,0.414,0.344
0.3,0.78,0.816,0.6805,0.4095,0.3385,0.4065,0.342
0.3,0.8,0.825,0.7095,0.4105,0.3695,0.4145,0.34
0.3,0.82,0.8065,0.731,0.405,0.3675,0.4015,0.3635
0.3,0.84,0.8105,0.738,0.408,0.3645,0.4025,0.3735
0.3,0.86,0.821,0.709,0.409,0.352,0.412,0.357
0.3,0.88,0.83,0.7025,0.407,0.347,0.423,0.3555
0.3,0.9,0.8135,0.7365,0.4025,0.37,0.411,0.3665
0.3,0.92,0.768,0.7545,0.38,0.3845,0.388,0.37
0.3,0.94,0.8335,0.7185,0.42,0.3505,0.4135,0.368
0.3,0.96,0.8225,0.708,0.4135,0.35,0.409,0.358
0.3,0.98,0.804,0.726,0.4105,0.3665,0.3935,0.3595
0.3,1,0.819,0.7165,0.4035,0.366,0.4155,0.3505
0.32,0.02,0.426,0.1425,0.262,0.0655,0.164,0.077
0.32,0.04,0.4315,0.2345,0.253,0.116,0.1785,0.1185
0.32,0.06,0.5115,0.29,0.294,0.15,0.2175,0.14
0.32,0.08,0.5355,0.3875,0.2835,0.188,0.252,0.1995
0.32,0.1,0.6055,0.3765,0.332,0.1905,0.2735,0.186
0.32,0.12,0.648,0.4135,0.3495,0.2125,0.2985,0.201
0.32,0.14,0.683,0.436,0.359,0.2155,0.324,0.2205
0.32,0.16,0.7085,0.4575,0.3705,0.223,0.338,0.2345
0.32,0.18,0.713,0.5385,0.362,0.2665,0.351,0.272
0.32,0.2,0.7085,0.517,0.366,0.2615,0.3425,0.2555
0.32,0.22,0.7585,0.521,0.386,0.257,0.3725,0.264
0.32,0.24,0.7805,0.4805,0.4005,0.242,0.38,0.2385
0.32,0.26,0.686,0.6255,0.3475,0.3095,0.3385,0.316
0.32,0.28,0.772,0.605,0.394,0.297,0.378,0.308
0.32,0.3,0.7815,0.5615,0.401,0.283,0.3805,0.2785
0.32,0.32,0.734,0.6165,0.378,0.3075,0.356,0.309
0.32,0.34,0.766,0.6865,0.3955,0.342,0.3705,0.3445
0.32,0.36,0.7645,0.575,0.3905,0.2905,0.374,0.2845
0.32,0.38,0.7705,0.643,0.392,0.324,0.3785,0.319
0.32,0.4,0.7185,0.698,0.3755,0.345,0.343,0.353
0.32,0.42,0.7715,0.66,0.3915,0.3345,0.38,0.3255
0.32,0.44,0.796,0.6685,0.404,0.3425,0.392,0.326
0.32,0.46,0.762,0.724,0.392,0.3605,0.37,0.3635
0.32,0.48,0.7845,0.6935,0.392,0.3505,0.3925,0.343
0.32,0.5,0.8225,0.6675,0.41,0.338,0.4125,0.3295
0.32,0.52,0.8205,0.6645,0.4125,0.329,0.408,0.3355
0.32,0.54,0.8345,0.624,0.417,0.3195,0.4175,0.3045
0.32,0.56,0.8435,0.6385,0.4245,0.324,0.419,0.3145
0.32,0.58,0.812,0.691,0.4085,0.342,0.4035,0.349
0.32,0.6,0.8245,0.6765,0.4155,0.3355,0.409,0.341
0.32,0.62,0.813,0.6945,0.4015,0.345,0.4115,0.3495
0.32,0.64,0.82,0.677,0.421,0.3295,0.399,0.3475
0.32,0.66,0.768,0.7315,0.384,0.3655,0.384,0.366
0.32,0.68,0.8265,0.7205,0.422,0.3655,0.4045,0.355
0.32,0.7,0.8265,0.699,0.4115,0.345,0.415,0.354
0.32,0.72,0.8165,0.705,0.415,0.354,0.4015,0.351
0.32,0.74,0.825,0.673,0.418,0.328,0.407,0.345
0.32,0.76,0.824,0.654,0.4185,0.327,0.4055,0.327
0.32,0.78,0.8035,0.708,0.4125,0.3455,0.391,0.3625
0.32,0.8,0.8245,0.703,0.411,0.3535,0.4135,0.3495
0.32,0.82,0.8425,0.7045,0.4235,0.341,0.419,0.3635
