"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.04,0.82,0.841,0.7155,0.4225,0.3605,0.4185,0.355
0.04,0.84,0.8195,0.7195,0.4125,0.3615,0.407,0.358
0.04,0.86,0.8425,0.7195,0.4175,0.3645,0.425,0.355
0.04,0.88,0.825,0.7135,0.416,0.3515,0.409,0.362
0.04,0.9,0.8185,0.702,0.408,0.35,0.4105,0.352
0.04,0.92,0.824,0.7135,0.4115,0.3605,0.4125,0.353
0.04,0.94,0.8285,0.7145,0.414,0.365,0.4145,0.3495
0.04,0.96,0.8215,0.7165,0.4165,0.364,0.405,0.3525
0.04,0.98,0.8265,0.7125,0.4135,0.3515,0.413,0.361
0.04,1,0.833,0.7065,0.4175,0.361,0.4155,0.3455
0.06,0.02,0.4145,0.167,0.2515,0.073,0.163,0.094
0.06,0.04,0.491,0.248,0.2735,0.1185,0.2175,0.1295
0.06,0.06,0.5725,0.3045,0.3285,0.151,0.244,0.1535
0.06,0.08,0.6185,0.408,0.324,0.2,0.2945,0.208
0.06,0.1,0.6115,0.4595,0.331,0.2355,0.2805,0.224
0.06,0.12,0.6935,0.4495,0.3655,0.228,0.328,0.2215
0.06,0.14,0.681,0.4525,0.358,0.2175,0.323,0.235
0.06,0.16,0.7155,0.5485,0.3705,0.2805,0.345,0.268
0.06,0.18,0.735,0.569,0.3745,0.2815,0.3605,0.2875
0.06,0.2,0.7645,0.613,0.3945,0.2995,0.37,0.3135
0.06,0.22,0.739,0.579,0.3865,0.28,0.3525,0.299
0.06,0.24,0.723,0.629,0.376,0.317,0.347,0.312
0.06,0.26,0.763,0.6115,0.389,0.3055,0.374,0.306
0.06,0.28,0.7735,0.6175,0.3995,0.3075,0.374,0.31
0.06,0.3,0.7545,0.692,0.389,0.352,0.3655,0.34
0.06,0.32,0.7515,0.6385,0.3845,0.326,0.367,0.3125
0.06,0.34,0.8045,0.619,0.4005,0.312,0.404,0.307
0.06,0.36,0.79,0.64,0.4005,0.32,0.3895,0.32
0.06,0.38,0.8035,0.6625,0.398,0.3285,0.4055,0.334
0.06,0.4,0.8095,0.6625,0.409,0.3295,0.4005,0.333
0.06,0.42,0.806,0.6595,0.404,0.3335,0.402,0.326
0.06,0.44,0.823,0.655,0.413,0.3305,0.41,0.3245
0.06,0.46,0.74,0.6845,0.3795,0.3455,0.3605,0.339
0.06,0.48,0.829,0.649,0.4115,0.3225,0.4175,0.3265
0.06,0.5,0.813,0.5355,0.4075,0.268,0.4055,0.2675
0.06,0.52,0.813,0.6615,0.4015,0.325,0.4115,0.3365
0.06,0.54,0.8315,0.7125,0.418,0.3585,0.4135,0.354
0.06,0.56,0.83,0.6795,0.414,0.342,0.416,0.3375
0.06,0.58,0.8275,0.689,0.417,0.3385,0.4105,0.3505
0.06,0.6,0.8165,0.679,0.4015,0.329,0.415,0.35
0.06,0.62,0.813,0.714,0.4035,0.3675,0.4095,0.3465
0.06,0.64,0.8095,0.717,0.404,0.3595,0.4055,0.3575
0.06,0.66,0.8185,0.7005,0.4115,0.3535,0.407,0.347
0.06,0.68,0.820499999999999,0.7035,0.408,0.348,0.4125,0.3555
0.06,0.7,0.8395,0.722,0.4215,0.36,0.418,0.362
0.06,0.72,0.837,0.7075,0.408,0.361,0.429,0.3465
0.06,0.74,0.819,0.704,0.409,0.351,0.41,0.353
0.06,0.76,0.8255,0.722,0.414,0.365,0.4115,0.357
0.06,0.78,0.832,0.718,0.414,0.366,0.418,0.352
0.06,0.8,0.8265,0.709,0.419,0.345,0.4075,0.364
0.06,0.82,0.8325,0.7205,0.4165,0.3575,0.416,0.363
0.06,0.84,0.8265,0.713,0.4135,0.3545,0.413,0.3585
0.06,0.86,0.825,0.705,0.4105,0.3475,0.4145,0.3575
0.06,0.88,0.824,0.7155,0.414,0.354,0.41,0.3615
0.06,0.9,0.823,0.715,0.413,0.3505,0.41,0.3645
0.06,0.92,0.818,0.7235,0.4035,0.361,0.4145,0.3625
0.06,0.94,0.8215,0.7145,0.413,0.3575,0.4085,0.357
0.06,0.96,0.827,0.6875,0.4125,0.338,0.4145,0.3495
0.06,0.98,0.8335,0.716,0.419,0.3615,0.4145,0.3545
0.06,1,0.8195,0.6855,0.4095,0.3415,0.41,0.344
0.08,0.02,0.4135,0.17,0.2565,0.084,0.157,0.086
0.08,0.04,0.5025,0.2705,0.29,0.132,0.2125,0.1385
0.08,0.06,0.538,0.342,0.289,0.1675,0.249,0.1745
0.08,0.08,0.616,0.434,0.3165,0.21,0.2995,0.224
0.08,0.1,0.652,0.4435,0.3565,0.225,0.2955,0.2185
0.08,0.12,0.6835,0.46,0.3605,0.2225,0.323,0.2375
0.08,0.14,0.6505,0.4975,0.332,0.251,0.3185,0.2465
0.08,0.16,0.749,0.4805,0.395,0.239,0.354,0.2415
0.08,0.18,0.7195,0.5695,0.3665,0.287,0.353,0.2825
0.08,0.2,0.7485,0.5045,0.3885,0.253,0.36,0.2515
0.08,0.22,0.7595,0.5035,0.3795,0.2515,0.38,0.252
0.08,0.24,0.7235,0.517,0.364,0.268,0.3595,0.249
0.08,0.26,0.7615,0.6245,0.3885,0.305,0.373,0.3195
0.08,0.28,0.788,0.622,0.4005,0.309,0.3875,0.313
0.08,0.3,0.8015,0.5995,0.401,0.302,0.4005,0.2975
0.08,0.32,0.7585,0.6385,0.3865,0.3145,0.372,0.324
0.08,0.34,0.813,0.6665,0.405,0.3345,0.408,0.332
0.08,0.36,0.776,0.6765,0.392,0.3415,0.384,0.335
0.08,0.38,0.796,0.69,0.3985,0.3465,0.3975,0.3435
0.08,0.4,0.812,0.594,0.403,0.2905,0.409,0.3035
