"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.04,0.98,0.64,0.516,0.032,0.023,0.608,0.493
0.04,0.99,0.62,0.506,0.026,0.012,0.594,0.494
0.06,0.5,0.668,0.504,0.042,0.028,0.626,0.476
0.06,0.51,0.691,0.494,0.04,0.025,0.651,0.469
0.06,0.52,0.66,0.487,0.034,0.029,0.626,0.458
0.06,0.53,0.682,0.486,0.041,0.025,0.641,0.461
0.06,0.54,0.681,0.497,0.04,0.035,0.641,0.462
0.06,0.55,0.679,0.485,0.043,0.028,0.636,0.457
0.06,0.56,0.676,0.497,0.043,0.03,0.633,0.467
0.06,0.57,0.689,0.513,0.04,0.025,0.649,0.488
0.06,0.58,0.67,0.494,0.038,0.032,0.632,0.462
0.06,0.59,0.659,0.422,0.042,0.027,0.617,0.395
0.06,0.6,0.72,0.507,0.043,0.032,0.677,0.475
0.06,0.61,0.662,0.479,0.046,0.033,0.616,0.446
0.06,0.62,0.668,0.463,0.039,0.035,0.629,0.428
0.06,0.63,0.68,0.479,0.042,0.025,0.638,0.454
0.06,0.64,0.682,0.462,0.045,0.028,0.637,0.434
0.06,0.65,0.659,0.477,0.044,0.026,0.615,0.451
0.06,0.66,0.676,0.487,0.042,0.031,0.634,0.456
0.06,0.67,0.675,0.507,0.041,0.028,0.634,0.479
0.06,0.68,0.637,0.459,0.04,0.027,0.597,0.432
0.06,0.69,0.678,0.534,0.042,0.035,0.636,0.499
0.06,0.7,0.665,0.483,0.046,0.032,0.619,0.451
0.06,0.71,0.637,0.51,0.038,0.026,0.599,0.484
0.06,0.72,0.657,0.516,0.045,0.032,0.612,0.484
0.06,0.73,0.664,0.495,0.038,0.03,0.626,0.465
0.06,0.74,0.645,0.495,0.044,0.029,0.601,0.466
0.06,0.75,0.645,0.485,0.044,0.032,0.601,0.453
0.06,0.76,0.645,0.514,0.043,0.033,0.602,0.481
0.06,0.77,0.642,0.498,0.042,0.023,0.6,0.475
0.06,0.78,0.643,0.497,0.044,0.026,0.599,0.471
0.06,0.79,0.659,0.468,0.054,0.031,0.605,0.437
0.06,0.8,0.651,0.512,0.041,0.028,0.61,0.484
0.06,0.81,0.655,0.463,0.049,0.028,0.606,0.435
0.06,0.82,0.635,0.462,0.043,0.028,0.592,0.434
0.06,0.83,0.633,0.497,0.046,0.025,0.587,0.472
0.06,0.84,0.606,0.501,0.036,0.029,0.57,0.472
0.06,0.85,0.666,0.543,0.039,0.04,0.627,0.503
0.06,0.86,0.643,0.498,0.04,0.028,0.603,0.47
0.06,0.87,0.654,0.493,0.037,0.027,0.617,0.466
0.06,0.88,0.645,0.515,0.045,0.032,0.6,0.483
0.06,0.89,0.627,0.516,0.043,0.03,0.584,0.486
0.06,0.9,0.649,0.441,0.042,0.028,0.607,0.413
0.06,0.91,0.638,0.484,0.042,0.025,0.596,0.459
0.06,0.92,0.65,0.495,0.048,0.028,0.602,0.467
0.06,0.93,0.652,0.502,0.047,0.023,0.605,0.479
0.06,0.94,0.615,0.488,0.038,0.035,0.577,0.453
0.06,0.95,0.627,0.5,0.043,0.024,0.584,0.476
0.06,0.96,0.628,0.498,0.047,0.031,0.581,0.467
0.06,0.97,0.592,0.516,0.035,0.026,0.557,0.49
0.06,0.98,0.612,0.456,0.042,0.024,0.57,0.432
0.06,0.99,0.65,0.493,0.05,0.026,0.6,0.467
0.08,0.5,0.664,0.493,0.059,0.05,0.605,0.443
0.08,0.51,0.676,0.479,0.057,0.034,0.619,0.445
0.08,0.52,0.69,0.449,0.064,0.043,0.626,0.406
0.08,0.53,0.702,0.459,0.055,0.04,0.647,0.419
0.08,0.54,0.683,0.499,0.055,0.045,0.628,0.454
0.08,0.55,0.662,0.435,0.054,0.038,0.608,0.397
0.08,0.56,0.687,0.464,0.062,0.039,0.625,0.425
0.08,0.57,0.688,0.492,0.053,0.035,0.635,0.457
0.08,0.58,0.659,0.476,0.059,0.039,0.6,0.437
0.08,0.59,0.674,0.467,0.057,0.036,0.617,0.431
0.08,0.6,0.674,0.519,0.058,0.042,0.616,0.477
0.08,0.61,0.661,0.467,0.055,0.031,0.606,0.436
0.08,0.62,0.677,0.47,0.059,0.034,0.618,0.436
0.08,0.63,0.682,0.495,0.059,0.034,0.623,0.461
0.08,0.64,0.662,0.463,0.06,0.037,0.602,0.426
0.08,0.65,0.658,0.473,0.056,0.038,0.602,0.435
0.08,0.66,0.661,0.47,0.066,0.046,0.595,0.424
0.08,0.67,0.667,0.496,0.052,0.038,0.615,0.458
0.08,0.68,0.651,0.441,0.055,0.034,0.596,0.407
0.08,0.69,0.665,0.495,0.053,0.045,0.612,0.45
0.08,0.7,0.639,0.476,0.053,0.045,0.586,0.431
0.08,0.71,0.678,0.505,0.058,0.047,0.62,0.458
0.08,0.72,0.629,0.461,0.055,0.035,0.574,0.426
0.08,0.73,0.671,0.493,0.058,0.044,0.613,0.449
0.08,0.74,0.672,0.477,0.057,0.037,0.615,0.44
0.08,0.75,0.629,0.485,0.055,0.04,0.574,0.445
0.08,0.76,0.667,0.488,0.06,0.046,0.607,0.442
0.08,0.77,0.677,0.498,0.059,0.042,0.618,0.456
0.08,0.78,0.652,0.478,0.052,0.033,0.6,0.445
0.08,0.79,0.639,0.511,0.052,0.038,0.587,0.473
0.08,0.8,0.644,0.464,0.054,0.038,0.59,0.426
0.08,0.81,0.649,0.487,0.06,0.044,0.589,0.443
0.08,0.82,0.616,0.475,0.054,0.043,0.562,0.432
0.08,0.83,0.641,0.551,0.056,0.039,0.585,0.512
0.08,0.84,0.656,0.488,0.058,0.04,0.598,0.448
0.08,0.85,0.612,0.478,0.058,0.036,0.554,0.442
0.08,0.86,0.657,0.485,0.059,0.033,0.598,0.452
0.08,0.87,0.642,0.477,0.062,0.041,0.58,0.436
0.08,0.88,0.641,0.504,0.056,0.044,0.585,0.46
0.08,0.89,0.656,0.517,0.059,0.037,0.597,0.48
0.08,0.9,0.624,0.506,0.054,0.033,0.57,0.473
0.08,0.91,0.618,0.526,0.054,0.042,0.564,0.484
0.08,0.92,0.633,0.491,0.059,0.044,0.574,0.447
0.08,0.93,0.606,0.48,0.056,0.037,0.55,0.443
0.08,0.94,0.602,0.47,0.056,0.043,0.546,0.427
0.08,0.95,0.607,0.504,0.061,0.044,0.546,0.46
0.08,0.96,0.607,0.501,0.053,0.05,0.554,0.451
0.08,0.97,0.601,0.481,0.059,0.033,0.542,0.448
0.08,0.98,0.634,0.519,0.06,0.036,0.574,0.483
0.08,0.99,0.641,0.54,0.055,0.047,0.586,0.493
0.1,0.5,0.667,0.515,0.061,0.05,0.606,0.465
0.1,0.51,0.687,0.459,0.064,0.041,0.623,0.418
0.1,0.52,0.708,0.481,0.071,0.055,0.637,0.426
0.1,0.53,0.694,0.489,0.074,0.054,0.62,0.435
0.1,0.54,0.69,0.479,0.069,0.046,0.621,0.433
0.1,0.55,0.699,0.468,0.072,0.049,0.627,0.419
0.1,0.56,0.71,0.496,0.074,0.056,0.636,0.44
0.1,0.57,0.671,0.469,0.058,0.047,0.613,0.422
0.1,0.58,0.694,0.5,0.067,0.043,0.627,0.457
0.1,0.59,0.714,0.493,0.068,0.05,0.646,0.443
0.1,0.6,0.665,0.431,0.065,0.047,0.6,0.384
0.1,0.61,0.659,0.472,0.071,0.053,0.588,0.419
0.1,0.62,0.66,0.49,0.066,0.054,0.594,0.436
0.1,0.63,0.685,0.467,0.07,0.042,0.615,0.425
0.1,0.64,0.632,0.464,0.072,0.044,0.56,0.42
0.1,0.65,0.687,0.498,0.078,0.05,0.609,0.448
0.1,0.66,0.678,0.503,0.073,0.049,0.605,0.454
0.1,0.67,0.657,0.513,0.066,0.049,0.591,0.464
0.1,0.68,0.687,0.489,0.075,0.047,0.612,0.442
0.1,0.69,0.64,0.494,0.061,0.049,0.579,0.445
0.1,0.7,0.668,0.535,0.074,0.054,0.594,0.481
0.1,0.71,0.669,0.462,0.071,0.053,0.598,0.409
0.1,0.72,0.646,0.479,0.069,0.047,0.577,0.432
0.1,0.73,0.651,0.489,0.07,0.04,0.581,0.449
0.1,0.74,0.638,0.498,0.065,0.046,0.573,0.452
0.1,0.75,0.655,0.504,0.069,0.04,0.586,0.464
0.1,0.76,0.696,0.474,0.082,0.048,0.614,0.426
0.1,0.77,0.648,0.489,0.077,0.05,0.571,0.439
0.1,0.78,0.668,0.519,0.065,0.048,0.603,0.471
0.1,0.79,0.637,0.451,0.068,0.046,0.569,0.405
0.1,0.8,0.642,0.515,0.073,0.056,0.569,0.459
0.1,0.81,0.628,0.473,0.069,0.054,0.559,0.419
0.1,0.82,0.654,0.451,0.071,0.048,0.583,0.403
0.1,0.83,0.666,0.512,0.076,0.048,0.59,0.464
0.1,0.84,0.657,0.462,0.068,0.039,0.589,0.423
0.1,0.85,0.653,0.467,0.075,0.039,0.578,0.428
0.1,0.86,0.645,0.498,0.074,0.042,0.571,0.456
0.1,0.87,0.658,0.491,0.073,0.047,0.585,0.444
0.1,0.88,0.656,0.459,0.074,0.047,0.582,0.412
0.1,0.89,0.641,0.495,0.071,0.044,0.57,0.451
0.1,0.9,0.621,0.499,0.071,0.055,0.55,0.444
0.1,0.91,0.661,0.479,0.07,0.047,0.591,0.432
0.1,0.92,0.624,0.508,0.076,0.053,0.548,0.455
0.1,0.93,0.625,0.492,0.069,0.048,0.556,0.444
0.1,0.94,0.632,0.537,0.079,0.052,0.553,0.485
0.1,0.95,0.612,0.514,0.07,0.045,0.542,0.469
0.1,0.96,0.624,0.507,0.066,0.05,0.558,0.457
0.1,0.97,0.629,0.479,0.07,0.05,0.559,0.429
0.1,0.98,0.622,0.504,0.072,0.046,0.55,0.458
0.1,0.99,0.63,0.486,0.062,0.05,0.568,0.436
0.12,0.5,0.663,0.467,0.077,0.062,0.586,0.405
0.12,0.51,0.695,0.478,0.087,0.06,0.608,0.418
0.12,0.52,0.663,0.489,0.075,0.058,0.588,0.431
0.12,0.53,0.663,0.488,0.081,0.053,0.582,0.435
0.12,0.54,0.694,0.492,0.088,0.058,0.606,0.434
0.12,0.55,0.673,0.476,0.076,0.063,0.597,0.413
0.12,0.56,0.671,0.482,0.081,0.058,0.59,0.424
0.12,0.57,0.637,0.488,0.079,0.048,0.558,0.44
0.12,0.58,0.627,0.484,0.09,0.059,0.537,0.425
0.12,0.59,0.694,0.444,0.082,0.061,0.612,0.383
0.12,0.6,0.664,0.492,0.08,0.053,0.584,0.439
0.12,0.61,0.685,0.489,0.084,0.056,0.601,0.433
0.12,0.62,0.658,0.464,0.087,0.056,0.571,0.408
0.12,0.63,0.678,0.546,0.084,0.065,0.594,0.481
0.12,0.64,0.69,0.508,0.09,0.065,0.6,0.443
0.12,0.65,0.677,0.492,0.084,0.058,0.593,0.434
0.12,0.66,0.657,0.496,0.082,0.051,0.575,0.445
0.12,0.67,0.673,0.514,0.081,0.057,0.592,0.457
0.12,0.68,0.645,0.485,0.08,0.06,0.565,0.425
