"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.18,0.81,0.649,0.499,0.127,0.081,0.522,0.418
0.18,0.82,0.618,0.49,0.132,0.087,0.486,0.403
0.18,0.83,0.636,0.473,0.121,0.083,0.515,0.39
0.18,0.84,0.654,0.498,0.133,0.092,0.521,0.406
0.18,0.85,0.671,0.498,0.132,0.095,0.539,0.403
0.18,0.86,0.673,0.467,0.136,0.082,0.537,0.385
0.18,0.87,0.66,0.499,0.122,0.095,0.538,0.404
0.18,0.88,0.631,0.507,0.122,0.089,0.509,0.418
0.18,0.89,0.657,0.507,0.124,0.09,0.533,0.417
0.18,0.9,0.634,0.452,0.132,0.074,0.502,0.378
0.18,0.91,0.645,0.483,0.131,0.089,0.514,0.394
0.18,0.92,0.643,0.485,0.123,0.083,0.52,0.402
0.18,0.93,0.652,0.475,0.129,0.072,0.523,0.403
0.18,0.94,0.676,0.514,0.129,0.092,0.547,0.422
0.18,0.95,0.62,0.505,0.126,0.081,0.494,0.424
0.18,0.96,0.633,0.489,0.141,0.087,0.492,0.402
0.18,0.97,0.638,0.505,0.141,0.086,0.497,0.419
0.18,0.98,0.634,0.541,0.138,0.091,0.496,0.45
0.18,0.99,0.607,0.51,0.127,0.087,0.48,0.423
0.2,0.5,0.663,0.477,0.128,0.092,0.535,0.385
0.2,0.51,0.677,0.485,0.138,0.085,0.539,0.4
0.2,0.52,0.686,0.52,0.153,0.105,0.533,0.415
0.2,0.53,0.693,0.47,0.139,0.095,0.554,0.375
0.2,0.54,0.679,0.483,0.143,0.104,0.536,0.379
0.2,0.55,0.67,0.443,0.138,0.084,0.532,0.359
0.2,0.56,0.658,0.481,0.14,0.103,0.518,0.378
0.2,0.57,0.692,0.492,0.145,0.093,0.547,0.399
0.2,0.58,0.679,0.495,0.14,0.095,0.539,0.4
0.2,0.59,0.651,0.448,0.137,0.091,0.514,0.357
0.2,0.6,0.65,0.475,0.139,0.097,0.511,0.378
0.2,0.61,0.696,0.473,0.149,0.099,0.547,0.374
0.2,0.62,0.657,0.453,0.12,0.088,0.537,0.365
0.2,0.63,0.655,0.469,0.141,0.092,0.514,0.377
0.2,0.64,0.693,0.493,0.14,0.099,0.553,0.394
0.2,0.65,0.653,0.487,0.135,0.102,0.518,0.385
0.2,0.66,0.684,0.484,0.137,0.088,0.547,0.396
0.2,0.67,0.671,0.5,0.141,0.096,0.53,0.404
0.2,0.68,0.664,0.495,0.139,0.104,0.525,0.391
0.2,0.69,0.632,0.464,0.133,0.094,0.499,0.37
0.2,0.7,0.656,0.487,0.14,0.095,0.516,0.392
0.2,0.71,0.65,0.444,0.134,0.088,0.516,0.356
0.2,0.72,0.67,0.497,0.139,0.094,0.531,0.403
0.2,0.73,0.662,0.476,0.132,0.085,0.53,0.391
0.2,0.74,0.658,0.482,0.137,0.094,0.521,0.388
0.2,0.75,0.652,0.506,0.14,0.101,0.512,0.405
0.2,0.76,0.652,0.474,0.133,0.101,0.519,0.373
0.2,0.77,0.657,0.502,0.141,0.097,0.516,0.405
0.2,0.78,0.632,0.513,0.128,0.101,0.504,0.412
0.2,0.79,0.691,0.481,0.146,0.081,0.545,0.4
0.2,0.8,0.645,0.513,0.152,0.099,0.493,0.414
0.2,0.81,0.649,0.508,0.135,0.107,0.514,0.401
0.2,0.82,0.648,0.51,0.147,0.093,0.501,0.417
0.2,0.83,0.643,0.479,0.143,0.104,0.5,0.375
0.2,0.84,0.652,0.506,0.139,0.092,0.513,0.414
0.2,0.85,0.633,0.475,0.146,0.093,0.487,0.382
0.2,0.86,0.648,0.512,0.138,0.101,0.51,0.411
0.2,0.87,0.632,0.499,0.138,0.096,0.494,0.403
0.2,0.88,0.645,0.479,0.144,0.101,0.501,0.378
0.2,0.89,0.646,0.502,0.147,0.09,0.499,0.412
0.2,0.9,0.656,0.472,0.15,0.093,0.506,0.379
0.2,0.91,0.586,0.471,0.13,0.084,0.456,0.387
0.2,0.92,0.659,0.485,0.142,0.106,0.517,0.379
0.2,0.93,0.649,0.45,0.148,0.096,0.501,0.354
0.2,0.94,0.644,0.541,0.148,0.096,0.496,0.445
0.2,0.95,0.618,0.463,0.134,0.093,0.484,0.37
0.2,0.96,0.651,0.487,0.152,0.099,0.499,0.388
0.2,0.97,0.654,0.52,0.15,0.101,0.504,0.419
0.2,0.98,0.616,0.511,0.143,0.099,0.473,0.412
0.2,0.99,0.596,0.502,0.136,0.091,0.46,0.411
0.22,0.5,0.675,0.511,0.145,0.11,0.53,0.401
0.22,0.51,0.663,0.496,0.143,0.105,0.52,0.391
0.22,0.52,0.695,0.47,0.152,0.102,0.543,0.368
0.22,0.53,0.676,0.521,0.162,0.118,0.514,0.403
0.22,0.54,0.702,0.474,0.164,0.088,0.538,0.386
0.22,0.55,0.69,0.512,0.156,0.118,0.534,0.394
0.22,0.56,0.65,0.477,0.152,0.113,0.498,0.364
0.22,0.57,0.677,0.479,0.158,0.105,0.519,0.374
0.22,0.58,0.665,0.465,0.151,0.099,0.514,0.366
0.22,0.59,0.697,0.495,0.151,0.115,0.546,0.38
0.22,0.6,0.675,0.472,0.146,0.106,0.529,0.366
0.22,0.61,0.647,0.501,0.139,0.109,0.508,0.392
0.22,0.62,0.694,0.522,0.157,0.125,0.537,0.397
0.22,0.63,0.672,0.5,0.143,0.112,0.529,0.388
0.22,0.64,0.687,0.454,0.153,0.098,0.534,0.356
0.22,0.65,0.664,0.498,0.147,0.113,0.517,0.385
0.22,0.66,0.673,0.505,0.156,0.109,0.517,0.396
0.22,0.67,0.677,0.498,0.154,0.108,0.523,0.39
0.22,0.68,0.668,0.498,0.148,0.111,0.52,0.387
0.22,0.69,0.682,0.497,0.158,0.093,0.524,0.404
0.22,0.7,0.659,0.501,0.146,0.102,0.513,0.399
0.22,0.71,0.642,0.489,0.147,0.107,0.495,0.382
0.22,0.72,0.674,0.506,0.165,0.111,0.509,0.395
0.22,0.73,0.681,0.47,0.163,0.091,0.518,0.379
0.22,0.74,0.67,0.446,0.16,0.092,0.51,0.354
0.22,0.75,0.678,0.487,0.157,0.114,0.521,0.373
0.22,0.76,0.667,0.487,0.16,0.099,0.507,0.388
0.22,0.77,0.665,0.455,0.152,0.086,0.513,0.369
0.22,0.78,0.668,0.499,0.171,0.115,0.497,0.384
0.22,0.79,0.66,0.462,0.167,0.1,0.493,0.362
0.22,0.8,0.659,0.499,0.155,0.11,0.504,0.389
0.22,0.81,0.661,0.466,0.155,0.106,0.506,0.36
0.22,0.82,0.666,0.48,0.147,0.103,0.519,0.377
0.22,0.83,0.661,0.504,0.165,0.116,0.496,0.388
0.22,0.84,0.68,0.507,0.165,0.126,0.515,0.381
0.22,0.85,0.665,0.502,0.171,0.114,0.494,0.388
0.22,0.86,0.646,0.543,0.155,0.12,0.491,0.423
0.22,0.87,0.637,0.495,0.147,0.101,0.49,0.394
0.22,0.88,0.642,0.501,0.163,0.116,0.479,0.385
0.22,0.89,0.615,0.482,0.154,0.096,0.461,0.386
0.22,0.9,0.642,0.491,0.156,0.093,0.486,0.398
0.22,0.91,0.644,0.484,0.152,0.104,0.492,0.38
0.22,0.92,0.643,0.479,0.152,0.094,0.491,0.385
0.22,0.93,0.612,0.485,0.158,0.106,0.454,0.379
0.22,0.94,0.654,0.514,0.17,0.112,0.484,0.402
0.22,0.95,0.664,0.493,0.172,0.113,0.492,0.38
0.22,0.96,0.66,0.489,0.163,0.113,0.497,0.376
0.22,0.97,0.606,0.483,0.149,0.1,0.457,0.383
0.22,0.98,0.634,0.494,0.161,0.116,0.473,0.378
0.22,0.99,0.652,0.5,0.169,0.101,0.483,0.399
0.24,0.5,0.695,0.447,0.17,0.094,0.525,0.353
0.24,0.51,0.646,0.47,0.155,0.112,0.491,0.358
0.24,0.52,0.668,0.486,0.156,0.103,0.512,0.383
0.24,0.53,0.688,0.533,0.153,0.118,0.535,0.415
0.24,0.54,0.666,0.473,0.16,0.115,0.506,0.358
0.24,0.55,0.66,0.492,0.164,0.116,0.496,0.376
0.24,0.56,0.695,0.487,0.167,0.101,0.528,0.386
0.24,0.57,0.675,0.507,0.17,0.126,0.505,0.381
0.24,0.58,0.705,0.482,0.171,0.112,0.534,0.37
0.24,0.59,0.678,0.492,0.174,0.11,0.504,0.382
0.24,0.6,0.7,0.477,0.171,0.109,0.529,0.368
0.24,0.61,0.696,0.496,0.162,0.123,0.534,0.373
0.24,0.62,0.692,0.505,0.163,0.125,0.529,0.38
0.24,0.63,0.666,0.503,0.16,0.113,0.506,0.39
0.24,0.64,0.682,0.487,0.161,0.125,0.521,0.362
0.24,0.65,0.656,0.456,0.157,0.105,0.499,0.351
0.24,0.66,0.677,0.46,0.165,0.103,0.512,0.357
0.24,0.67,0.64,0.496,0.161,0.122,0.479,0.374
0.24,0.68,0.662,0.469,0.166,0.12,0.496,0.349
0.24,0.69,0.696,0.478,0.177,0.109,0.519,0.369
0.24,0.7,0.666,0.503,0.172,0.11,0.494,0.393
0.24,0.71,0.659,0.509,0.157,0.119,0.502,0.39
0.24,0.72,0.676,0.473,0.16,0.104,0.516,0.369
0.24,0.73,0.664,0.464,0.157,0.119,0.507,0.345
0.24,0.74,0.672,0.483,0.168,0.113,0.504,0.37
0.24,0.75,0.672,0.469,0.176,0.119,0.496,0.35
0.24,0.76,0.656,0.49,0.16,0.108,0.496,0.382
0.24,0.77,0.657,0.505,0.165,0.117,0.492,0.388
0.24,0.78,0.651,0.484,0.159,0.108,0.492,0.376
0.24,0.79,0.665,0.478,0.159,0.125,0.506,0.353
0.24,0.8,0.662,0.475,0.174,0.099,0.488,0.376
0.24,0.81,0.657,0.494,0.172,0.111,0.485,0.383
0.24,0.82,0.642,0.484,0.166,0.115,0.476,0.369
0.24,0.83,0.64,0.466,0.16,0.106,0.48,0.36
0.24,0.84,0.667,0.497,0.179,0.128,0.488,0.369
0.24,0.85,0.66,0.504,0.17,0.113,0.49,0.391
0.24,0.86,0.646,0.475,0.168,0.109,0.478,0.366
0.24,0.87,0.666,0.494,0.172,0.109,0.494,0.385
0.24,0.88,0.654,0.503,0.164,0.109,0.49,0.394
0.24,0.89,0.681,0.464,0.172,0.11,0.509,0.354
0.24,0.9,0.641,0.526,0.171,0.117,0.47,0.409
0.24,0.91,0.619,0.467,0.171,0.103,0.448,0.364
0.24,0.92,0.623,0.515,0.168,0.123,0.455,0.392
0.24,0.93,0.625,0.494,0.158,0.098,0.467,0.396
0.24,0.94,0.658,0.48,0.175,0.096,0.483,0.384
0.24,0.95,0.633,0.509,0.176,0.12,0.457,0.389
0.24,0.96,0.633,0.502,0.155,0.115,0.478,0.387
0.24,0.97,0.644,0.517,0.173,0.129,0.471,0.388
0.24,0.98,0.613,0.468,0.163,0.108,0.45,0.36
0.24,0.99,0.617,0.447,0.174,0.104,0.443,0.343
0.26,0.5,0.667,0.489,0.18,0.13,0.487,0.359
0.26,0.51,0.672,0.488,0.172,0.133,0.5,0.355
0.26,0.52,0.67,0.465,0.182,0.131,0.488,0.334
0.26,0.53,0.672,0.43,0.173,0.117,0.499,0.313
0.26,0.54,0.706,0.505,0.183,0.129,0.523,0.376
0.26,0.55,0.707,0.478,0.185,0.131,0.522,0.347
0.26,0.56,0.677,0.466,0.184,0.126,0.493,0.34
0.26,0.57,0.692,0.497,0.181,0.129,0.511,0.368
0.26,0.58,0.639,0.512,0.169,0.141,0.47,0.371
0.26,0.59,0.675,0.492,0.181,0.141,0.494,0.351
0.26,0.6,0.658,0.495,0.181,0.14,0.477,0.355
0.26,0.61,0.661,0.468,0.179,0.115,0.482,0.353
0.26,0.62,0.703,0.509,0.202,0.141,0.501,0.368
0.26,0.63,0.657,0.502,0.187,0.137,0.47,0.365
0.26,0.64,0.684,0.513,0.181,0.125,0.503,0.388
0.26,0.65,0.694,0.484,0.179,0.126,0.515,0.358
0.26,0.66,0.651,0.487,0.173,0.131,0.478,0.356
0.26,0.67,0.662,0.473,0.178,0.118,0.484,0.355
0.26,0.68,0.682,0.443,0.183,0.115,0.499,0.328
0.26,0.69,0.642,0.496,0.176,0.133,0.466,0.363
0.26,0.7,0.665,0.489,0.18,0.135,0.485,0.354
0.26,0.71,0.648,0.479,0.182,0.12,0.466,0.359
0.26,0.72,0.701,0.463,0.204,0.11,0.497,0.353
0.26,0.73,0.658,0.484,0.185,0.117,0.473,0.367
0.26,0.74,0.663,0.486,0.179,0.115,0.484,0.371
0.26,0.75,0.632,0.474,0.181,0.126,0.451,0.348
0.26,0.76,0.694,0.487,0.197,0.127,0.497,0.36
0.26,0.77,0.666,0.497,0.182,0.124,0.484,0.373
0.26,0.78,0.693,0.485,0.188,0.127,0.505,0.358
0.26,0.79,0.64,0.519,0.191,0.132,0.449,0.387
0.26,0.8,0.668,0.465,0.181,0.122,0.487,0.343
0.26,0.81,0.658,0.498,0.185,0.124,0.473,0.374
0.26,0.82,0.635,0.509,0.17,0.127,0.465,0.382
0.26,0.83,0.624,0.495,0.178,0.125,0.446,0.37
0.26,0.84,0.662,0.474,0.191,0.11,0.471,0.364
0.26,0.85,0.661,0.504,0.184,0.127,0.477,0.377
0.26,0.86,0.634,0.497,0.179,0.117,0.455,0.38
0.26,0.87,0.656,0.492,0.185,0.127,0.471,0.365
0.26,0.88,0.621,0.467,0.188,0.115,0.433,0.352
0.26,0.89,0.672,0.516,0.182,0.133,0.49,0.383
0.26,0.9,0.654,0.497,0.189,0.131,0.465,0.366
0.26,0.91,0.685,0.503,0.196,0.131,0.489,0.372
0.26,0.92,0.674,0.521,0.186,0.137,0.488,0.384
0.26,0.93,0.667,0.533,0.196,0.136,0.471,0.397
0.26,0.94,0.638,0.512,0.186,0.134,0.452,0.378
0.26,0.95,0.628,0.475,0.178,0.109,0.45,0.366
0.26,0.96,0.662,0.478,0.183,0.125,0.479,0.353
0.26,0.97,0.64,0.504,0.185,0.137,0.455,0.367
0.26,0.98,0.641,0.494,0.195,0.136,0.446,0.358
0.26,0.99,0.633,0.486,0.187,0.116,0.446,0.37
0.28,0.5,0.671,0.483,0.189,0.132,0.482,0.351
0.28,0.51,0.68,0.472,0.193,0.124,0.487,0.348
0.28,0.52,0.712,0.496,0.207,0.146,0.505,0.35
0.28,0.53,0.697,0.5,0.195,0.144,0.502,0.356
0.28,0.54,0.664,0.474,0.198,0.134,0.466,0.34
0.28,0.55,0.692,0.484,0.196,0.145,0.496,0.339
0.28,0.56,0.692,0.465,0.211,0.142,0.481,0.323
0.28,0.57,0.657,0.457,0.197,0.137,0.46,0.32
0.28,0.58,0.686,0.509,0.205,0.138,0.481,0.371
0.28,0.59,0.687,0.485,0.199,0.131,0.488,0.354
0.28,0.6,0.678,0.508,0.198,0.141,0.48,0.367
0.28,0.61,0.679,0.484,0.199,0.141,0.48,0.343
0.28,0.62,0.674,0.474,0.195,0.127,0.479,0.347
0.28,0.63,0.668,0.454,0.204,0.134,0.464,0.32
0.28,0.64,0.667,0.479,0.2,0.141,0.467,0.338
0.28,0.65,0.653,0.462,0.2,0.138,0.453,0.324
0.28,0.66,0.656,0.517,0.194,0.15,0.462,0.367
0.28,0.67,0.671,0.489,0.207,0.145,0.464,0.344
0.28,0.68,0.677,0.487,0.202,0.133,0.475,0.354
0.28,0.69,0.662,0.5,0.207,0.146,0.455,0.354
0.28,0.7,0.647,0.493,0.212,0.151,0.435,0.342
0.28,0.71,0.648,0.488,0.197,0.145,0.451,0.343
0.28,0.72,0.65,0.459,0.196,0.136,0.454,0.323
0.28,0.73,0.639,0.498,0.186,0.139,0.453,0.359
0.28,0.74,0.693,0.51,0.212,0.14,0.481,0.37
0.28,0.75,0.674,0.476,0.214,0.135,0.46,0.341
0.28,0.76,0.625,0.502,0.201,0.152,0.424,0.35
0.28,0.77,0.658,0.505,0.208,0.137,0.45,0.368
0.28,0.78,0.633,0.52,0.19,0.162,0.443,0.358
0.28,0.79,0.661,0.486,0.207,0.139,0.454,0.347
0.28,0.8,0.658,0.485,0.208,0.141,0.45,0.344
0.28,0.81,0.659,0.461,0.215,0.139,0.444,0.322
0.28,0.82,0.679,0.455,0.211,0.124,0.468,0.331
0.28,0.83,0.647,0.489,0.199,0.139,0.448,0.35
0.28,0.84,0.658,0.462,0.214,0.136,0.444,0.326
0.28,0.85,0.639,0.467,0.196,0.119,0.443,0.348
0.28,0.86,0.649,0.464,0.219,0.136,0.43,0.328
0.28,0.87,0.659,0.485,0.218,0.133,0.441,0.352
0.28,0.88,0.635,0.5,0.203,0.137,0.432,0.363
0.28,0.89,0.629,0.477,0.207,0.147,0.422,0.33
0.28,0.9,0.643,0.502,0.212,0.138,0.431,0.364
0.28,0.91,0.659,0.483,0.205,0.128,0.454,0.355
0.28,0.92,0.639,0.465,0.199,0.124,0.44,0.341
0.28,0.93,0.594,0.45,0.187,0.12,0.407,0.33
0.28,0.94,0.656,0.487,0.213,0.14,0.443,0.347
0.28,0.95,0.632,0.491,0.213,0.127,0.419,0.364
0.28,0.96,0.64,0.461,0.205,0.142,0.435,0.319
0.28,0.97,0.641,0.466,0.199,0.125,0.442,0.341
0.28,0.98,0.631,0.476,0.204,0.15,0.427,0.326
0.28,0.99,0.651,0.504,0.216,0.145,0.435,0.359
0.3,0.5,0.704,0.469,0.207,0.14,0.497,0.329
0.3,0.51,0.719,0.462,0.212,0.138,0.507,0.324
0.3,0.52,0.695,0.495,0.207,0.149,0.488,0.346
0.3,0.53,0.656,0.48,0.203,0.146,0.453,0.334
0.3,0.54,0.675,0.516,0.196,0.158,0.479,0.358
0.3,0.55,0.691,0.486,0.214,0.155,0.477,0.331
0.3,0.56,0.711,0.519,0.219,0.158,0.492,0.361
0.3,0.57,0.651,0.443,0.198,0.129,0.453,0.314
0.3,0.58,0.668,0.466,0.198,0.137,0.47,0.329
0.3,0.59,0.675,0.5,0.209,0.153,0.466,0.347
0.3,0.6,0.67,0.535,0.206,0.174,0.464,0.361
0.3,0.61,0.699,0.531,0.223,0.157,0.476,0.374
0.3,0.62,0.664,0.508,0.199,0.164,0.465,0.344
0.3,0.63,0.675,0.502,0.202,0.15,0.473,0.352
0.3,0.64,0.664,0.456,0.201,0.131,0.463,0.325
0.3,0.65,0.662,0.471,0.208,0.136,0.454,0.335
0.3,0.66,0.671,0.486,0.208,0.129,0.463,0.357
0.3,0.67,0.692,0.474,0.207,0.137,0.485,0.337
0.3,0.68,0.668,0.492,0.209,0.141,0.459,0.351
0.3,0.69,0.663,0.471,0.196,0.145,0.467,0.326
0.3,0.7,0.645,0.479,0.208,0.132,0.437,0.347
0.3,0.71,0.63,0.47,0.194,0.147,0.436,0.323
0.3,0.72,0.653,0.483,0.206,0.143,0.447,0.34
0.3,0.73,0.666,0.458,0.213,0.136,0.453,0.322
0.3,0.74,0.652,0.475,0.203,0.141,0.449,0.334
0.3,0.75,0.674,0.479,0.216,0.142,0.458,0.337
0.3,0.76,0.669,0.496,0.209,0.167,0.46,0.329
0.3,0.77,0.713,0.458,0.233,0.135,0.48,0.323
0.3,0.78,0.643,0.521,0.203,0.15,0.44,0.371
0.3,0.79,0.659,0.495,0.221,0.145,0.438,0.35
0.3,0.8,0.698,0.488,0.226,0.143,0.472,0.345
0.3,0.81,0.658,0.483,0.205,0.145,0.453,0.338
0.3,0.82,0.66,0.462,0.217,0.124,0.443,0.338
0.3,0.83,0.689,0.492,0.213,0.165,0.476,0.327
0.3,0.84,0.666,0.483,0.215,0.147,0.451,0.336
0.3,0.85,0.68,0.527,0.212,0.15,0.468,0.377
0.3,0.86,0.67,0.494,0.219,0.145,0.451,0.349
0.3,0.87,0.64,0.478,0.214,0.147,0.426,0.331
0.3,0.88,0.65,0.499,0.209,0.152,0.441,0.347
0.3,0.89,0.67,0.518,0.219,0.158,0.451,0.36
0.3,0.9,0.679,0.502,0.227,0.144,0.452,0.358
0.3,0.91,0.659,0.478,0.219,0.145,0.44,0.333
0.3,0.92,0.684,0.463,0.223,0.151,0.461,0.312
0.3,0.93,0.628,0.519,0.22,0.149,0.408,0.37
0.3,0.94,0.645,0.471,0.216,0.123,0.429,0.348
0.3,0.95,0.662,0.496,0.215,0.147,0.447,0.349
0.3,0.96,0.604,0.475,0.21,0.144,0.394,0.331
0.3,0.97,0.676,0.472,0.217,0.132,0.459,0.34
0.3,0.98,0.619,0.502,0.206,0.146,0.413,0.356
0.3,0.99,0.636,0.465,0.21,0.122,0.426,0.343
0.32,0.5,0.708,0.491,0.233,0.168,0.475,0.323
0.32,0.51,0.666,0.449,0.207,0.138,0.459,0.311
0.32,0.52,0.709,0.468,0.232,0.166,0.477,0.302
0.32,0.53,0.722,0.505,0.227,0.16,0.495,0.345
0.32,0.54,0.692,0.467,0.234,0.161,0.458,0.306
0.32,0.55,0.687,0.471,0.225,0.147,0.462,0.324
0.32,0.56,0.646,0.462,0.218,0.144,0.428,0.318
0.32,0.57,0.664,0.5,0.204,0.156,0.46,0.344
0.32,0.58,0.702,0.496,0.232,0.16,0.47,0.336
0.32,0.59,0.668,0.465,0.227,0.138,0.441,0.327
0.32,0.6,0.693,0.457,0.224,0.162,0.469,0.295
0.32,0.61,0.67,0.463,0.213,0.147,0.457,0.316
0.32,0.62,0.656,0.51,0.206,0.169,0.45,0.341
0.32,0.63,0.67,0.51,0.23,0.155,0.44,0.355
0.32,0.64,0.686,0.466,0.228,0.152,0.458,0.314
0.32,0.65,0.677,0.471,0.225,0.151,0.452,0.32
0.32,0.66,0.687,0.457,0.226,0.148,0.461,0.309
0.32,0.67,0.672,0.471,0.229,0.162,0.443,0.309
0.32,0.68,0.682,0.487,0.237,0.159,0.445,0.328
0.32,0.69,0.646,0.471,0.222,0.149,0.424,0.322
0.32,0.7,0.664,0.465,0.212,0.152,0.452,0.313
0.32,0.71,0.698,0.489,0.236,0.156,0.462,0.333
0.32,0.72,0.657,0.448,0.224,0.148,0.433,0.3
0.32,0.73,0.648,0.447,0.208,0.136,0.44,0.311
0.32,0.74,0.681,0.498,0.243,0.166,0.438,0.332
0.32,0.75,0.646,0.48,0.231,0.152,0.415,0.328
0.32,0.76,0.661,0.465,0.227,0.151,0.434,0.314
0.32,0.77,0.686,0.502,0.229,0.161,0.457,0.341
0.32,0.78,0.669,0.455,0.236,0.147,0.433,0.308
0.32,0.79,0.674,0.494,0.219,0.168,0.455,0.326
0.32,0.8,0.661,0.522,0.24,0.172,0.421,0.35
0.32,0.81,0.646,0.488,0.233,0.169,0.413,0.319
0.32,0.82,0.656,0.504,0.222,0.153,0.434,0.351
0.32,0.83,0.659,0.471,0.231,0.136,0.428,0.335
0.32,0.84,0.652,0.513,0.221,0.166,0.431,0.347
0.32,0.85,0.65,0.479,0.225,0.148,0.425,0.331
0.32,0.86,0.654,0.488,0.222,0.157,0.432,0.331
0.32,0.87,0.673,0.488,0.238,0.156,0.435,0.332
0.32,0.88,0.645,0.44,0.224,0.14,0.421,0.3
0.32,0.89,0.619,0.483,0.222,0.147,0.397,0.336
0.32,0.9,0.647,0.455,0.22,0.15,0.427,0.305
0.32,0.91,0.677,0.534,0.237,0.166,0.44,0.368
0.32,0.92,0.652,0.497,0.231,0.158,0.421,0.339
0.32,0.93,0.648,0.534,0.239,0.165,0.409,0.369
0.32,0.94,0.654,0.464,0.234,0.144,0.42,0.32
0.32,0.95,0.664,0.541,0.238,0.182,0.426,0.359
0.32,0.96,0.67,0.488,0.246,0.145,0.424,0.343
0.32,0.97,0.631,0.493,0.236,0.161,0.395,0.332
0.32,0.98,0.654,0.52,0.242,0.157,0.412,0.363
0.32,0.99,0.679,0.518,0.247,0.181,0.432,0.337
0.34,0.5,0.711,0.464,0.248,0.159,0.463,0.305
0.34,0.51,0.674,0.503,0.235,0.183,0.439,0.32
0.34,0.52,0.68,0.471,0.242,0.16,0.438,0.311
0.34,0.53,0.682,0.468,0.247,0.153,0.435,0.315
0.34,0.54,0.728,0.463,0.248,0.145,0.48,0.318
0.34,0.55,0.673,0.491,0.234,0.165,0.439,0.326
0.34,0.56,0.669,0.506,0.241,0.171,0.428,0.335
0.34,0.57,0.686,0.498,0.237,0.167,0.449,0.331
0.34,0.58,0.687,0.492,0.234,0.17,0.453,0.322
0.34,0.59,0.674,0.499,0.224,0.172,0.45,0.327
0.34,0.6,0.698,0.505,0.243,0.175,0.455,0.33
0.34,0.61,0.674,0.488,0.233,0.167,0.441,0.321
0.34,0.62,0.681,0.473,0.25,0.154,0.431,0.319
0.34,0.63,0.695,0.503,0.227,0.172,0.468,0.331
0.34,0.64,0.658,0.526,0.224,0.178,0.434,0.348
0.34,0.65,0.673,0.518,0.238,0.179,0.435,0.339
0.34,0.66,0.698,0.502,0.242,0.176,0.456,0.326
0.34,0.67,0.697,0.482,0.252,0.161,0.445,0.321
0.34,0.68,0.702,0.49,0.252,0.164,0.45,0.326
0.34,0.69,0.663,0.469,0.236,0.163,0.427,0.306
0.34,0.7,0.678,0.49,0.243,0.161,0.435,0.329
0.34,0.71,0.662,0.486,0.232,0.165,0.43,0.321
0.34,0.72,0.703,0.489,0.249,0.166,0.454,0.323
0.34,0.73,0.676,0.478,0.235,0.148,0.441,0.33
0.34,0.74,0.676,0.478,0.238,0.152,0.438,0.326
0.34,0.75,0.676,0.476,0.236,0.156,0.44,0.32
0.34,0.76,0.652,0.491,0.23,0.166,0.422,0.325
0.34,0.77,0.675,0.493,0.245,0.165,0.43,0.328
0.34,0.78,0.674,0.475,0.235,0.156,0.439,0.319
0.34,0.79,0.673,0.473,0.243,0.159,0.43,0.314
0.34,0.8,0.604,0.455,0.222,0.152,0.382,0.303
0.34,0.81,0.651,0.467,0.24,0.147,0.411,0.32
0.34,0.82,0.652,0.489,0.235,0.168,0.417,0.321
0.34,0.83,0.656,0.478,0.223,0.171,0.433,0.307
0.34,0.84,0.66,0.489,0.232,0.153,0.428,0.336
0.34,0.85,0.641,0.472,0.223,0.17,0.418,0.302
0.34,0.86,0.661,0.488,0.234,0.156,0.427,0.332
0.34,0.87,0.685,0.474,0.256,0.16,0.429,0.314
0.34,0.88,0.684,0.478,0.247,0.161,0.437,0.317
0.34,0.89,0.601,0.463,0.223,0.147,0.378,0.316
0.34,0.9,0.647,0.457,0.236,0.156,0.411,0.301
0.34,0.91,0.67,0.504,0.247,0.166,0.423,0.338
0.34,0.92,0.655,0.485,0.25,0.158,0.405,0.327
0.34,0.93,0.654,0.504,0.229,0.159,0.425,0.345
0.34,0.94,0.679,0.479,0.247,0.165,0.432,0.314
0.34,0.95,0.641,0.472,0.233,0.149,0.408,0.323
0.34,0.96,0.637,0.486,0.234,0.16,0.403,0.326
0.34,0.97,0.661,0.476,0.243,0.166,0.418,0.31
0.34,0.98,0.662,0.469,0.256,0.16,0.406,0.309
0.34,0.99,0.634,0.532,0.241,0.185,0.393,0.347
0.36,0.5,0.672,0.476,0.241,0.168,0.431,0.308
0.36,0.51,0.699,0.52,0.248,0.181,0.451,0.339
0.36,0.52,0.685,0.479,0.254,0.181,0.431,0.298
0.36,0.53,0.698,0.487,0.242,0.157,0.456,0.33
0.36,0.54,0.678,0.482,0.241,0.184,0.437,0.298
0.36,0.55,0.669,0.428,0.228,0.141,0.441,0.287
0.36,0.56,0.687,0.475,0.247,0.173,0.44,0.302
0.36,0.57,0.678,0.492,0.258,0.186,0.42,0.306
0.36,0.58,0.686,0.503,0.235,0.173,0.451,0.33
0.36,0.59,0.64,0.473,0.234,0.172,0.406,0.301
0.36,0.6,0.693,0.517,0.259,0.188,0.434,0.329
0.36,0.61,0.672,0.493,0.242,0.174,0.43,0.319
0.36,0.62,0.71,0.491,0.267,0.174,0.443,0.317
0.36,0.63,0.708,0.462,0.261,0.16,0.447,0.302
0.36,0.64,0.651,0.495,0.226,0.164,0.425,0.331
0.36,0.65,0.666,0.46,0.255,0.164,0.411,0.296
0.36,0.66,0.669,0.502,0.247,0.181,0.422,0.321
