"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.04,0.72,0.7514,0.5766,0.3914,0.2874,0.36,0.2892
0.04,0.74,0.736,0.595,0.3862,0.3032,0.3498,0.2918
0.04,0.76,0.7412,0.5814,0.3874,0.2934,0.3538,0.288
0.04,0.78,0.735,0.5868,0.3822,0.2964,0.3528,0.2904
0.04,0.8,0.7734,0.5924,0.3938,0.2992,0.3796,0.2932
0.04,0.82,0.7644,0.5886,0.3966,0.299,0.3678,0.2896
0.04,0.84,0.7354,0.5948,0.3864,0.293,0.349,0.3018
0.04,0.86,0.776,0.5808,0.4004,0.2876,0.3756,0.2932
0.04,0.88,0.7544,0.5656,0.3922,0.279,0.3622,0.2866
0.04,0.9,0.7658,0.5512,0.3944,0.273,0.3714,0.2782
0.04,0.92,0.7456,0.5846,0.3902,0.2966,0.3554,0.288
0.04,0.94,0.776,0.546,0.4016,0.2704,0.3744,0.2756
0.04,0.96,0.7446,0.5842,0.3864,0.2886,0.3582,0.2956
0.04,0.98,0.7734,0.5812,0.4028,0.2872,0.3706,0.294
0.04,1,0.7556,0.5542,0.3936,0.277,0.362,0.2772
0.06,0.02,0.7522,0.5598,0.3868,0.2832,0.3654,0.2766
0.06,0.04,0.7534,0.5588,0.387,0.2782,0.3664,0.2806
0.06,0.06,0.7388,0.558,0.3708,0.281,0.368,0.277
0.06,0.08,0.7494,0.5356,0.3804,0.2684,0.369,0.2672
0.06,0.1,0.729,0.5866,0.3808,0.292,0.3482,0.2946
0.06,0.12,0.7396,0.5556,0.3716,0.28,0.368,0.2756
0.06,0.14,0.7326,0.5774,0.38,0.292,0.3526,0.2854
0.06,0.16,0.7042,0.5974,0.3592,0.3008,0.345,0.2966
0.06,0.18,0.7404,0.5594,0.3788,0.2758,0.3616,0.2836
0.06,0.2,0.7518,0.582,0.3834,0.2872,0.3684,0.2948
0.06,0.22,0.7552,0.5632,0.3848,0.281,0.3704,0.2822
0.06,0.24,0.7262,0.5724,0.3752,0.2842,0.351,0.2882
0.06,0.26,0.7412,0.544,0.389,0.2738,0.3522,0.2702
0.06,0.28,0.7514,0.519,0.3858,0.26,0.3656,0.259
0.06,0.3,0.7376,0.5584,0.3796,0.277,0.358,0.2814
0.06,0.32,0.7426,0.5756,0.3866,0.2898,0.356,0.2858
0.06,0.34,0.7418,0.5942,0.3826,0.2986,0.3592,0.2956
0.06,0.36,0.7506,0.5566,0.3804,0.276,0.3702,0.2806
0.06,0.38,0.7286,0.5588,0.3776,0.279,0.351,0.2798
0.06,0.4,0.765,0.532,0.398,0.271,0.367,0.261
0.06,0.42,0.7446,0.586,0.3824,0.2854,0.3622,0.3006
0.06,0.44,0.7412,0.603,0.3854,0.3008,0.3558,0.3022
0.06,0.46,0.7302,0.5742,0.3742,0.2936,0.356,0.2806
0.06,0.48,0.7456,0.579,0.3862,0.291,0.3594,0.288
0.06,0.5,0.733,0.5698,0.3834,0.2804,0.3496,0.2894
0.06,0.52,0.7348,0.5754,0.3822,0.2832,0.3526,0.2922
0.06,0.54,0.7588,0.5782,0.3922,0.2868,0.3666,0.2914
0.06,0.56,0.7442,0.592,0.385,0.2948,0.3592,0.2972
0.06,0.58,0.7346,0.5906,0.3826,0.2964,0.352,0.2942
0.06,0.6,0.7666,0.5498,0.3944,0.2758,0.3722,0.274
0.06,0.62,0.73,0.58,0.38,0.294,0.35,0.286
0.06,0.64,0.739,0.5916,0.3846,0.2946,0.3544,0.297
0.06,0.66,0.7606,0.5838,0.3884,0.2916,0.3722,0.2922
0.06,0.68,0.7662,0.5222,0.3926,0.2656,0.3736,0.2566
0.06,0.7,0.754,0.578,0.3966,0.2954,0.3574,0.2826
0.06,0.72,0.7724,0.5922,0.394,0.299,0.3784,0.2932
0.06,0.74,0.738,0.569,0.3848,0.2856,0.3532,0.2834
0.06,0.76,0.711,0.5932,0.3658,0.2954,0.3452,0.2978
0.06,0.78,0.7264,0.5914,0.3822,0.2922,0.3442,0.2992
0.06,0.8,0.7516,0.5652,0.3904,0.2826,0.3612,0.2826
0.06,0.82,0.7574,0.5722,0.389,0.2814,0.3684,0.2908
0.06,0.84,0.7636,0.6108,0.3944,0.3106,0.3692,0.3002
0.06,0.86,0.7642,0.593,0.3904,0.301,0.3738,0.292
0.06,0.88,0.7578,0.546,0.393,0.2778,0.3648,0.2682
0.06,0.9,0.736,0.587,0.3918,0.2956,0.3442,0.2914
0.06,0.92,0.7334,0.5762,0.3848,0.2884,0.3486,0.2878
0.06,0.94,0.7724,0.557,0.3964,0.2842,0.376,0.2728
0.06,0.96,0.7672,0.5552,0.4044,0.2834,0.3628,0.2718
0.06,0.98,0.7752,0.5488,0.4026,0.273,0.3726,0.2758
0.06,1,0.7692,0.5904,0.3964,0.2904,0.3728,0.3
0.08,0.02,0.737,0.5742,0.3776,0.2882,0.3594,0.286
0.08,0.04,0.707,0.6042,0.3666,0.2948,0.3404,0.3094
0.08,0.06,0.719,0.5814,0.3696,0.2898,0.3494,0.2916
0.08,0.08,0.7062,0.6198,0.3656,0.3118,0.3406,0.308
0.08,0.1,0.7368,0.5202,0.3816,0.2654,0.3552,0.2548
0.08,0.12,0.7604,0.565,0.3928,0.286,0.3676,0.279
0.08,0.14,0.7074,0.5686,0.36,0.2794,0.3474,0.2892
0.08,0.16,0.7046,0.5718,0.371,0.2808,0.3336,0.291
0.08,0.18,0.7304,0.5712,0.3772,0.285,0.3532,0.2862
0.08,0.2,0.7428,0.5404,0.3826,0.2748,0.3602,0.2656
0.08,0.22,0.715,0.5746,0.3718,0.2848,0.3432,0.2898
0.08,0.24,0.7448,0.55,0.3798,0.2696,0.365,0.2804
0.08,0.26,0.7462,0.5798,0.3876,0.2814,0.3586,0.2984
0.08,0.28,0.7512,0.5574,0.3882,0.2782,0.363,0.2792
0.08,0.3,0.727,0.5984,0.3802,0.3014,0.3468,0.297
0.08,0.32,0.7518,0.5644,0.3902,0.2748,0.3616,0.2896
0.08,0.34,0.7322,0.5552,0.3764,0.2726,0.3558,0.2826
0.08,0.36,0.7514,0.5568,0.3874,0.283,0.364,0.2738
0.08,0.38,0.7372,0.5672,0.3798,0.2874,0.3574,0.2798
0.08,0.4,0.7294,0.5304,0.3786,0.2658,0.3508,0.2646
0.08,0.42,0.7502,0.5848,0.3896,0.2894,0.3606,0.2954
0.08,0.44,0.7056,0.5994,0.367,0.2942,0.3386,0.3052
0.08,0.46,0.757,0.5404,0.3918,0.2726,0.3652,0.2678
0.08,0.48,0.757,0.5182,0.3922,0.262,0.3648,0.2562
0.08,0.5,0.747,0.5488,0.388,0.2764,0.359,0.2724
0.08,0.52,0.7402,0.5438,0.3774,0.2708,0.3628,0.273
0.08,0.54,0.7496,0.5656,0.3838,0.2884,0.3658,0.2772
0.08,0.56,0.7648,0.5794,0.3966,0.2942,0.3682,0.2852
0.08,0.58,0.7278,0.581,0.3814,0.2882,0.3464,0.2928
0.08,0.6,0.7606,0.5628,0.387,0.2788,0.3736,0.284
0.08,0.62,0.7474,0.6016,0.386,0.299,0.3614,0.3026
0.08,0.64,0.7448,0.6056,0.3834,0.2956,0.3614,0.31
0.08,0.66,0.7522,0.561,0.3858,0.2816,0.3664,0.2794
0.08,0.68,0.7336,0.5772,0.3778,0.294,0.3558,0.2832
0.08,0.7,0.758,0.589,0.3932,0.2984,0.3648,0.2906
0.08,0.72,0.765,0.5766,0.3916,0.2878,0.3734,0.2888
0.08,0.74,0.7534,0.5998,0.386,0.2944,0.3674,0.3054
0.08,0.76,0.7406,0.5514,0.3836,0.2764,0.357,0.275
0.08,0.78,0.7358,0.5798,0.3842,0.2942,0.3516,0.2856
0.08,0.8,0.755,0.5886,0.3918,0.2916,0.3632,0.297
0.08,0.82,0.7556,0.5766,0.3928,0.2894,0.3628,0.2872
0.08,0.84,0.7462,0.5456,0.3876,0.2708,0.3586,0.2748
0.08,0.86,0.7458,0.5588,0.3868,0.2802,0.359,0.2786
0.08,0.88,0.7672,0.5566,0.3942,0.2764,0.373,0.2802
0.08,0.9,0.7304,0.616,0.383,0.3168,0.3474,0.2992
0.08,0.92,0.777,0.5966,0.3978,0.3008,0.3792,0.2958
0.08,0.94,0.7726,0.5176,0.4026,0.2614,0.37,0.2562
0.08,0.96,0.758,0.5708,0.396,0.282,0.362,0.2888
0.08,0.98,0.7548,0.5646,0.3926,0.2784,0.3622,0.2862
0.08,1,0.7562,0.5358,0.3982,0.2682,0.358,0.2676
0.1,0.02,0.6618,0.6024,0.3482,0.2988,0.3136,0.3036
0.1,0.04,0.7248,0.569,0.3722,0.2808,0.3526,0.2882
0.1,0.06,0.7144,0.5706,0.3716,0.2856,0.3428,0.285
0.1,0.08,0.7402,0.534,0.3798,0.2728,0.3604,0.2612
0.1,0.1,0.7298,0.5794,0.3778,0.289,0.352,0.2904
0.1,0.12,0.7394,0.532,0.3784,0.261,0.361,0.271
0.1,0.14,0.7526,0.5322,0.3866,0.2678,0.366,0.2644
0.1,0.16,0.749,0.6124,0.385,0.3078,0.364,0.3046
0.1,0.18,0.7332,0.5752,0.3804,0.2882,0.3528,0.287
0.1,0.2,0.7522,0.5882,0.3882,0.2904,0.364,0.2978
0.1,0.22,0.7448,0.542,0.3832,0.276,0.3616,0.266
0.1,0.24,0.7164,0.5594,0.3696,0.2856,0.3468,0.2738
0.1,0.26,0.735,0.5198,0.3732,0.2584,0.3618,0.2614
0.1,0.28,0.7398,0.5798,0.3768,0.2912,0.363,0.2886
0.1,0.3,0.7148,0.5928,0.3712,0.2918,0.3436,0.301
0.1,0.32,0.7424,0.5674,0.3776,0.2902,0.3648,0.2772
0.1,0.34,0.728,0.5738,0.3768,0.2778,0.3512,0.296
0.1,0.36,0.7366,0.5394,0.3828,0.2632,0.3538,0.2762
0.1,0.38,0.7294,0.5102,0.38,0.2602,0.3494,0.25
0.1,0.4,0.7402,0.5722,0.3854,0.2778,0.3548,0.2944
0.1,0.42,0.7382,0.5628,0.3818,0.2772,0.3564,0.2856
0.1,0.44,0.7498,0.5322,0.39,0.2638,0.3598,0.2684
0.1,0.46,0.737,0.5506,0.3854,0.2762,0.3516,0.2744
0.1,0.48,0.7456,0.5794,0.3806,0.2858,0.365,0.2936
0.1,0.5,0.7314,0.583,0.3778,0.2884,0.3536,0.2946
0.1,0.52,0.7248,0.5622,0.3782,0.2736,0.3466,0.2886
0.1,0.54,0.7288,0.5886,0.377,0.296,0.3518,0.2926
0.1,0.56,0.746,0.5632,0.386,0.2872,0.36,0.276
0.1,0.58,0.7442,0.5514,0.391,0.2736,0.3532,0.2778
0.1,0.6,0.7484,0.539,0.3874,0.2686,0.361,0.2704
0.1,0.62,0.7554,0.6074,0.3896,0.2974,0.3658,0.31
0.1,0.64,0.7212,0.6056,0.3764,0.296,0.3448,0.3096
0.1,0.66,0.714,0.6146,0.3764,0.3036,0.3376,0.311
0.1,0.68,0.752,0.5584,0.394,0.2896,0.358,0.2688
0.1,0.7,0.7382,0.5708,0.3812,0.2852,0.357,0.2856
0.1,0.72,0.7432,0.5664,0.3806,0.2842,0.3626,0.2822
0.1,0.74,0.7636,0.5464,0.397,0.272,0.3666,0.2744
0.1,0.76,0.767,0.5488,0.3926,0.2764,0.3744,0.2724
0.1,0.78,0.764,0.5206,0.3894,0.2566,0.3746,0.264
0.1,0.8,0.7576,0.537,0.391,0.2648,0.3666,0.2722
0.1,0.82,0.7554,0.5702,0.3946,0.2856,0.3608,0.2846
0.1,0.84,0.7594,0.5826,0.3942,0.2902,0.3652,0.2924
0.1,0.86,0.746,0.5658,0.3892,0.2808,0.3568,0.285
0.1,0.88,0.7446,0.5522,0.3888,0.277,0.3558,0.2752
0.1,0.9,0.7606,0.5268,0.3922,0.2618,0.3684,0.265
0.1,0.92,0.7654,0.6024,0.3968,0.3032,0.3686,0.2992
0.1,0.94,0.7674,0.5696,0.3992,0.2812,0.3682,0.2884
0.1,0.96,0.7606,0.5576,0.3954,0.2784,0.3652,0.2792
0.1,0.98,0.759,0.571,0.3932,0.2874,0.3658,0.2836
0.1,1,0.7562,0.586,0.3916,0.2956,0.3646,0.2904
0.12,0.02,0.6922,0.5952,0.3604,0.2958,0.3318,0.2994
0.12,0.04,0.715,0.5382,0.3648,0.267,0.3502,0.2712
0.12,0.06,0.7014,0.5762,0.367,0.2864,0.3344,0.2898
0.12,0.08,0.7244,0.565,0.3696,0.2794,0.3548,0.2856
0.12,0.1,0.7334,0.5724,0.3812,0.2876,0.3522,0.2848
0.12,0.12,0.748,0.567,0.386,0.2844,0.362,0.2826
0.12,0.14,0.728,0.5422,0.375,0.2684,0.353,0.2738
0.12,0.16,0.7584,0.5584,0.3914,0.2754,0.367,0.283
0.12,0.18,0.7222,0.5598,0.3712,0.2808,0.351,0.279
0.12,0.2,0.7238,0.554,0.3746,0.2818,0.3492,0.2722
0.12,0.22,0.743,0.5578,0.3888,0.2806,0.3542,0.2772
0.12,0.24,0.727,0.5828,0.3762,0.2926,0.3508,0.2902
0.12,0.26,0.7396,0.5662,0.3766,0.2864,0.363,0.2798
0.12,0.28,0.737,0.5764,0.3804,0.2824,0.3566,0.294
0.12,0.3,0.733,0.552,0.3856,0.2738,0.3474,0.2782
0.12,0.32,0.7046,0.5586,0.3668,0.2802,0.3378,0.2784
0.12,0.34,0.7306,0.5962,0.3782,0.295,0.3524,0.3012
0.12,0.36,0.7208,0.5898,0.3744,0.3024,0.3464,0.2874
0.12,0.38,0.7276,0.5596,0.3784,0.2852,0.3492,0.2744
0.12,0.4,0.7424,0.574,0.383,0.2838,0.3594,0.2902
0.12,0.42,0.739,0.5412,0.3772,0.2718,0.3618,0.2694
0.12,0.44,0.7488,0.5612,0.3854,0.2774,0.3634,0.2838
0.12,0.46,0.7396,0.5488,0.3886,0.279,0.351,0.2698
0.12,0.48,0.7416,0.5822,0.383,0.295,0.3586,0.2872
0.12,0.5,0.7398,0.5644,0.3832,0.2874,0.3566,0.277
0.12,0.52,0.748,0.5786,0.3884,0.2914,0.3596,0.2872
0.12,0.54,0.728,0.564,0.3796,0.2732,0.3484,0.2908
0.12,0.56,0.7434,0.5786,0.3802,0.2898,0.3632,0.2888
0.12,0.58,0.7448,0.5532,0.3884,0.2762,0.3564,0.277
0.12,0.6,0.7586,0.5416,0.3972,0.271,0.3614,0.2706
0.12,0.62,0.7318,0.5818,0.3796,0.297,0.3522,0.2848
0.12,0.64,0.7198,0.5432,0.3732,0.2668,0.3466,0.2764
0.12,0.66,0.7558,0.5624,0.391,0.2762,0.3648,0.2862
0.12,0.68,0.7578,0.5622,0.3954,0.284,0.3624,0.2782
0.12,0.7,0.7212,0.566,0.378,0.2706,0.3432,0.2954
0.12,0.72,0.738,0.5824,0.3844,0.293,0.3536,0.2894
0.12,0.74,0.7704,0.5058,0.3984,0.259,0.372,0.2468
0.12,0.76,0.7344,0.5776,0.381,0.2856,0.3534,0.292
0.12,0.78,0.743,0.5754,0.3852,0.2858,0.3578,0.2896
0.12,0.8,0.7468,0.544,0.385,0.273,0.3618,0.271
0.12,0.82,0.7358,0.5752,0.3858,0.286,0.35,0.2892
0.12,0.84,0.755,0.5862,0.3922,0.2956,0.3628,0.2906
0.12,0.86,0.748,0.5616,0.3904,0.28,0.3576,0.2816
0.12,0.88,0.7526,0.5862,0.391,0.2936,0.3616,0.2926
0.12,0.9,0.7584,0.5618,0.3926,0.2766,0.3658,0.2852
0.12,0.92,0.7512,0.5458,0.396,0.2718,0.3552,0.274
0.12,0.94,0.7528,0.5834,0.3948,0.2906,0.358,0.2928
0.12,0.96,0.7606,0.5792,0.3948,0.2924,0.3658,0.2868
0.12,0.98,0.7482,0.5692,0.391,0.2866,0.3572,0.2826
0.12,1,0.7488,0.5908,0.3868,0.289,0.362,0.3018
0.14,0.02,0.72,0.5862,0.369,0.2982,0.351,0.288
0.14,0.04,0.7252,0.5396,0.3768,0.2718,0.3484,0.2678
0.14,0.06,0.7118,0.548,0.3738,0.275,0.338,0.273
0.14,0.08,0.718,0.6032,0.3706,0.302,0.3474,0.3012
0.14,0.1,0.7216,0.5716,0.3732,0.2878,0.3484,0.2838
0.14,0.12,0.7374,0.556,0.3748,0.2808,0.3626,0.2752
0.14,0.14,0.7146,0.589,0.3738,0.297,0.3408,0.292
0.14,0.16,0.712,0.5556,0.3676,0.2688,0.3444,0.2868
0.14,0.18,0.7418,0.5192,0.3802,0.262,0.3616,0.2572
0.14,0.2,0.6954,0.579,0.365,0.2882,0.3304,0.2908
0.14,0.22,0.7536,0.5688,0.3898,0.2836,0.3638,0.2852
0.14,0.24,0.7454,0.5646,0.3906,0.285,0.3548,0.2796
0.14,0.26,0.747,0.5552,0.3874,0.2716,0.3596,0.2836
0.14,0.28,0.7248,0.5624,0.376,0.2786,0.3488,0.2838
