"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.16,0.46,0.7278,0.57,0.3822,0.2856,0.3456,0.2844
0.16,0.48,0.7196,0.595,0.3786,0.2904,0.341,0.3046
0.16,0.5,0.744,0.5226,0.3854,0.2604,0.3586,0.2622
0.16,0.52,0.7352,0.5678,0.3798,0.2824,0.3554,0.2854
0.16,0.54,0.7274,0.5538,0.3738,0.2802,0.3536,0.2736
0.16,0.56,0.7244,0.5532,0.3762,0.2752,0.3482,0.278
0.16,0.58,0.753,0.5918,0.3846,0.2952,0.3684,0.2966
0.16,0.6,0.772,0.5444,0.3998,0.266,0.3722,0.2784
0.16,0.62,0.726,0.5156,0.379,0.2586,0.347,0.257
0.16,0.64,0.7592,0.5446,0.3928,0.2706,0.3664,0.274
0.16,0.66,0.7324,0.5868,0.3798,0.2956,0.3526,0.2912
0.16,0.68,0.7546,0.5782,0.3934,0.2902,0.3612,0.288
0.16,0.7,0.7474,0.5402,0.3872,0.2714,0.3602,0.2688
0.16,0.72,0.7288,0.5394,0.377,0.2702,0.3518,0.2692
0.16,0.74,0.7436,0.5526,0.3892,0.2766,0.3544,0.276
0.16,0.76,0.744,0.5406,0.3924,0.2712,0.3516,0.2694
0.16,0.78,0.7348,0.5912,0.3814,0.2966,0.3534,0.2946
0.16,0.8,0.7348,0.5808,0.3822,0.2836,0.3526,0.2972
0.16,0.82,0.7296,0.5612,0.377,0.2768,0.3526,0.2844
0.16,0.84,0.7448,0.5562,0.3852,0.274,0.3596,0.2822
0.16,0.86,0.7336,0.5748,0.3926,0.2886,0.341,0.2862
0.16,0.88,0.7508,0.542,0.3904,0.2742,0.3604,0.2678
0.16,0.9,0.7402,0.548,0.3886,0.2742,0.3516,0.2738
0.16,0.92,0.741,0.5542,0.3876,0.2786,0.3534,0.2756
0.16,0.94,0.765,0.5696,0.3974,0.2804,0.3676,0.2892
0.16,0.96,0.7708,0.554,0.401,0.2866,0.3698,0.2674
0.16,0.98,0.7352,0.56,0.3844,0.28,0.3508,0.28
0.16,1,0.743,0.5824,0.3846,0.289,0.3584,0.2934
0.18,0.02,0.7094,0.5572,0.3642,0.2804,0.3452,0.2768
0.18,0.04,0.723,0.569,0.3744,0.2852,0.3486,0.2838
0.18,0.06,0.7166,0.5558,0.3738,0.2754,0.3428,0.2804
0.18,0.08,0.708,0.5652,0.37,0.2824,0.338,0.2828
0.18,0.1,0.7048,0.6136,0.3636,0.3038,0.3412,0.3098
0.18,0.12,0.7104,0.5638,0.3678,0.28,0.3426,0.2838
0.18,0.14,0.7298,0.5588,0.3794,0.274,0.3504,0.2848
0.18,0.16,0.7278,0.5636,0.3796,0.276,0.3482,0.2876
0.18,0.18,0.7106,0.566,0.3752,0.2832,0.3354,0.2828
0.18,0.2,0.7096,0.5652,0.362,0.2766,0.3476,0.2886
0.18,0.22,0.742,0.5558,0.382,0.2798,0.36,0.276
0.18,0.24,0.697,0.589,0.3652,0.2916,0.3318,0.2974
0.18,0.26,0.743,0.5574,0.384,0.276,0.359,0.2814
0.18,0.28,0.7424,0.5556,0.3786,0.2798,0.3638,0.2758
0.18,0.3,0.7354,0.5626,0.3776,0.2816,0.3578,0.281
0.18,0.32,0.7412,0.5702,0.3836,0.2904,0.3576,0.2798
0.18,0.34,0.7446,0.5392,0.3824,0.2696,0.3622,0.2696
0.18,0.36,0.7384,0.5146,0.379,0.2602,0.3594,0.2544
0.18,0.38,0.7294,0.5602,0.3764,0.2802,0.353,0.28
0.18,0.4,0.7236,0.571,0.3808,0.2798,0.3428,0.2912
0.18,0.42,0.7182,0.5764,0.382,0.2904,0.3362,0.286
0.18,0.44,0.7194,0.5668,0.3712,0.2872,0.3482,0.2796
0.18,0.46,0.7166,0.5646,0.3714,0.2832,0.3452,0.2814
0.18,0.48,0.7298,0.5516,0.3746,0.275,0.3552,0.2766
0.18,0.5,0.7362,0.5926,0.3798,0.2944,0.3564,0.2982
0.18,0.52,0.726,0.5808,0.3738,0.295,0.3522,0.2858
0.18,0.54,0.7342,0.5818,0.3792,0.29,0.355,0.2918
0.18,0.56,0.728,0.5542,0.3764,0.2802,0.3516,0.274
0.18,0.58,0.7438,0.5186,0.3832,0.2584,0.3606,0.2602
0.18,0.6,0.7602,0.5234,0.3926,0.2608,0.3676,0.2626
0.18,0.62,0.7412,0.5008,0.3834,0.2488,0.3578,0.252
0.18,0.64,0.7678,0.5378,0.3934,0.2646,0.3744,0.2732
0.18,0.66,0.7494,0.5564,0.3874,0.2748,0.362,0.2816
0.18,0.68,0.744,0.5614,0.3884,0.2818,0.3556,0.2796
0.18,0.7,0.7506,0.5516,0.394,0.2692,0.3566,0.2824
0.18,0.72,0.7442,0.5818,0.385,0.2956,0.3592,0.2862
0.18,0.74,0.76,0.55,0.3998,0.2746,0.3602,0.2754
0.18,0.76,0.751,0.5692,0.387,0.281,0.364,0.2882
0.18,0.78,0.7678,0.5656,0.3944,0.281,0.3734,0.2846
0.18,0.8,0.7626,0.5868,0.395,0.2964,0.3676,0.2904
0.18,0.82,0.7164,0.5732,0.3782,0.2836,0.3382,0.2896
0.18,0.84,0.743,0.5498,0.387,0.2726,0.356,0.2772
0.18,0.86,0.7466,0.5792,0.3888,0.2814,0.3578,0.2978
0.18,0.88,0.7512,0.557,0.3902,0.2762,0.361,0.2808
0.18,0.9,0.7492,0.579,0.3888,0.2954,0.3604,0.2836
0.18,0.92,0.7498,0.5888,0.3914,0.2916,0.3584,0.2972
0.18,0.94,0.7574,0.5636,0.3984,0.2854,0.359,0.2782
0.18,0.96,0.7678,0.5406,0.3948,0.272,0.373,0.2686
0.18,0.98,0.7462,0.5398,0.3904,0.2736,0.3558,0.2662
0.18,1,0.7348,0.577,0.3898,0.285,0.345,0.292
0.2,0.02,0.708,0.558,0.3726,0.277,0.3354,0.281
0.2,0.04,0.7588,0.5414,0.3842,0.2686,0.3746,0.2728
0.2,0.06,0.7082,0.5564,0.3642,0.2738,0.344,0.2826
0.2,0.08,0.6924,0.5522,0.3616,0.2704,0.3308,0.2818
0.2,0.1,0.7178,0.5466,0.372,0.2792,0.3458,0.2674
0.2,0.12,0.7452,0.5342,0.3826,0.2666,0.3626,0.2676
0.2,0.14,0.7226,0.5932,0.371,0.2974,0.3516,0.2958
0.2,0.16,0.7162,0.6148,0.3772,0.3114,0.339,0.3034
0.2,0.18,0.6802,0.5792,0.3588,0.2908,0.3214,0.2884
0.2,0.2,0.7194,0.573,0.3692,0.2874,0.3502,0.2856
0.2,0.22,0.748,0.5666,0.3848,0.2776,0.3632,0.289
0.2,0.24,0.7256,0.5636,0.3748,0.284,0.3508,0.2796
0.2,0.26,0.7314,0.5766,0.378,0.2802,0.3534,0.2964
0.2,0.28,0.7422,0.5806,0.3858,0.2918,0.3564,0.2888
0.2,0.3,0.7394,0.5362,0.3736,0.2662,0.3658,0.27
0.2,0.32,0.7318,0.5488,0.3856,0.272,0.3462,0.2768
0.2,0.34,0.7408,0.506,0.3804,0.2426,0.3604,0.2634
0.2,0.36,0.7166,0.579,0.369,0.2866,0.3476,0.2924
0.2,0.38,0.733,0.549,0.3702,0.2748,0.3628,0.2742
0.2,0.4,0.7488,0.5562,0.3878,0.2828,0.361,0.2734
0.2,0.42,0.7426,0.544,0.3876,0.2758,0.355,0.2682
0.2,0.44,0.7194,0.5878,0.3732,0.2928,0.3462,0.295
0.2,0.46,0.7208,0.54,0.3736,0.2712,0.3472,0.2688
0.2,0.48,0.702,0.5452,0.3688,0.2758,0.3332,0.2694
0.2,0.5,0.733,0.5604,0.3842,0.28,0.3488,0.2804
0.2,0.52,0.757,0.5508,0.3902,0.2696,0.3668,0.2812
0.2,0.54,0.7322,0.5426,0.3838,0.2714,0.3484,0.2712
0.2,0.56,0.7408,0.56,0.3866,0.2794,0.3542,0.2806
0.2,0.58,0.7496,0.498,0.39,0.2454,0.3596,0.2526
0.2,0.6,0.75,0.5288,0.3956,0.2648,0.3544,0.264
0.2,0.62,0.7496,0.555,0.3836,0.2752,0.366,0.2798
0.2,0.64,0.7696,0.542,0.3978,0.269,0.3718,0.273
0.2,0.66,0.7392,0.5902,0.3862,0.3012,0.353,0.289
0.2,0.68,0.7322,0.5972,0.3852,0.2956,0.347,0.3016
0.2,0.7,0.748,0.553,0.3858,0.2728,0.3622,0.2802
0.2,0.72,0.7382,0.5252,0.3872,0.2668,0.351,0.2584
0.2,0.74,0.756,0.529,0.3934,0.2604,0.3626,0.2686
0.2,0.76,0.7282,0.596,0.3832,0.298,0.345,0.298
0.2,0.78,0.7656,0.5424,0.4006,0.27,0.365,0.2724
0.2,0.8,0.7526,0.5588,0.3928,0.2788,0.3598,0.28
0.2,0.82,0.7338,0.5606,0.381,0.2834,0.3528,0.2772
0.2,0.84,0.753,0.5336,0.3974,0.2706,0.3556,0.263
0.2,0.86,0.7534,0.5522,0.3968,0.2738,0.3566,0.2784
0.2,0.88,0.716,0.5414,0.3748,0.2758,0.3412,0.2656
0.2,0.9,0.759,0.5568,0.3962,0.2754,0.3628,0.2814
0.2,0.92,0.7454,0.5594,0.388,0.2818,0.3574,0.2776
0.2,0.94,0.7542,0.5334,0.3966,0.2648,0.3576,0.2686
0.2,0.96,0.737,0.584,0.3936,0.2876,0.3434,0.2964
0.2,0.98,0.7676,0.5388,0.4006,0.276,0.367,0.2628
0.2,1,0.7426,0.5334,0.3868,0.2658,0.3558,0.2676
0.22,0.02,0.7262,0.5416,0.37,0.268,0.3562,0.2736
0.22,0.04,0.7222,0.5586,0.3712,0.2768,0.351,0.2818
0.22,0.06,0.7326,0.5614,0.374,0.282,0.3586,0.2794
0.22,0.08,0.712,0.5742,0.3642,0.2806,0.3478,0.2936
0.22,0.1,0.7352,0.5864,0.3814,0.297,0.3538,0.2894
0.22,0.12,0.7026,0.5618,0.361,0.2754,0.3416,0.2864
0.22,0.14,0.7342,0.546,0.3828,0.2734,0.3514,0.2726
0.22,0.16,0.7266,0.5482,0.3804,0.2806,0.3462,0.2676
0.22,0.18,0.7252,0.5474,0.3736,0.2708,0.3516,0.2766
0.22,0.2,0.6974,0.576,0.3614,0.2902,0.336,0.2858
0.22,0.22,0.6986,0.5368,0.3644,0.2664,0.3342,0.2704
0.22,0.24,0.7394,0.5462,0.3822,0.272,0.3572,0.2742
0.22,0.26,0.7148,0.5378,0.3724,0.27,0.3424,0.2678
0.22,0.28,0.747,0.533,0.39,0.2682,0.357,0.2648
0.22,0.3,0.7228,0.5154,0.3722,0.257,0.3506,0.2584
0.22,0.32,0.7096,0.5682,0.368,0.2774,0.3416,0.2908
0.22,0.34,0.7178,0.5486,0.3754,0.2772,0.3424,0.2714
0.22,0.36,0.7254,0.5896,0.3774,0.2944,0.348,0.2952
0.22,0.38,0.7176,0.5594,0.3684,0.2804,0.3492,0.279
0.22,0.4,0.6874,0.557,0.355,0.2762,0.3324,0.2808
0.22,0.42,0.727,0.5774,0.378,0.2844,0.349,0.293
0.22,0.44,0.734,0.515,0.3848,0.257,0.3492,0.258
0.22,0.46,0.7398,0.5634,0.382,0.2842,0.3578,0.2792
0.22,0.48,0.7244,0.5412,0.3738,0.2654,0.3506,0.2758
0.22,0.5,0.7278,0.5306,0.3794,0.2668,0.3484,0.2638
0.22,0.52,0.7254,0.5174,0.3782,0.261,0.3472,0.2564
0.22,0.54,0.7504,0.555,0.394,0.284,0.3564,0.271
0.22,0.56,0.7334,0.5396,0.3888,0.2704,0.3446,0.2692
0.22,0.58,0.7246,0.563,0.3772,0.2832,0.3474,0.2798
0.22,0.6,0.7568,0.5758,0.392,0.2836,0.3648,0.2922
0.22,0.62,0.7318,0.5656,0.376,0.2816,0.3558,0.284
0.22,0.64,0.7344,0.5638,0.3794,0.2842,0.355,0.2796
0.22,0.66,0.7656,0.531,0.3968,0.2664,0.3688,0.2646
0.22,0.68,0.7472,0.5524,0.387,0.2776,0.3602,0.2748
0.22,0.7,0.7594,0.548,0.389,0.2778,0.3704,0.2702
0.22,0.72,0.749,0.5566,0.3848,0.2782,0.3642,0.2784
0.22,0.74,0.7548,0.501,0.3908,0.2552,0.364,0.2458
0.22,0.76,0.7412,0.5446,0.3864,0.2666,0.3548,0.278
0.22,0.78,0.757,0.5368,0.3906,0.2662,0.3664,0.2706
0.22,0.8,0.768,0.5642,0.3978,0.2808,0.3702,0.2834
0.22,0.82,0.7484,0.5244,0.3896,0.2598,0.3588,0.2646
0.22,0.84,0.734,0.5622,0.3844,0.2786,0.3496,0.2836
0.22,0.86,0.7594,0.5322,0.3926,0.2718,0.3668,0.2604
0.22,0.88,0.753,0.5656,0.3962,0.285,0.3568,0.2806
0.22,0.9,0.7404,0.5904,0.3872,0.293,0.3532,0.2974
0.22,0.92,0.7696,0.5528,0.3932,0.2706,0.3764,0.2822
0.22,0.94,0.7458,0.6136,0.3894,0.3066,0.3564,0.307
0.22,0.96,0.747,0.5722,0.3934,0.2832,0.3536,0.289
0.22,0.98,0.7634,0.5344,0.3976,0.267,0.3658,0.2674
0.22,1,0.7572,0.5506,0.3894,0.2732,0.3678,0.2774
0.24,0.02,0.7064,0.5512,0.3614,0.2744,0.345,0.2768
0.24,0.04,0.7134,0.519,0.3674,0.2614,0.346,0.2576
0.24,0.06,0.7026,0.5762,0.3668,0.2886,0.3358,0.2876
0.24,0.08,0.735,0.5278,0.3766,0.264,0.3584,0.2638
0.24,0.1,0.699,0.55,0.3592,0.2748,0.3398,0.2752
0.24,0.12,0.7232,0.5578,0.375,0.2732,0.3482,0.2846
0.24,0.14,0.7248,0.528,0.3736,0.254,0.3512,0.274
0.24,0.16,0.7382,0.568,0.3806,0.2848,0.3576,0.2832
0.24,0.18,0.7352,0.539,0.3778,0.2708,0.3574,0.2682
0.24,0.2,0.7244,0.5418,0.3736,0.2752,0.3508,0.2666
0.24,0.22,0.7078,0.5182,0.368,0.2668,0.3398,0.2514
0.24,0.24,0.7426,0.561,0.3804,0.28,0.3622,0.281
0.24,0.26,0.7018,0.5972,0.365,0.292,0.3368,0.3052
0.24,0.28,0.7022,0.573,0.3672,0.2842,0.335,0.2888
0.24,0.3,0.7256,0.5942,0.3706,0.2964,0.355,0.2978
0.24,0.32,0.7296,0.5378,0.3798,0.2646,0.3498,0.2732
0.24,0.34,0.7304,0.5538,0.3812,0.27,0.3492,0.2838
0.24,0.36,0.7292,0.545,0.3814,0.2738,0.3478,0.2712
0.24,0.38,0.7456,0.5738,0.387,0.2894,0.3586,0.2844
0.24,0.4,0.7414,0.5886,0.383,0.2928,0.3584,0.2958
0.24,0.42,0.726,0.5782,0.3794,0.2922,0.3466,0.286
0.24,0.44,0.7494,0.5754,0.3862,0.287,0.3632,0.2884
0.24,0.46,0.7418,0.5422,0.3828,0.2766,0.359,0.2656
0.24,0.48,0.7322,0.5616,0.3764,0.2858,0.3558,0.2758
0.24,0.5,0.7204,0.572,0.3818,0.2806,0.3386,0.2914
0.24,0.52,0.7258,0.5524,0.3788,0.2792,0.347,0.2732
0.24,0.54,0.732,0.5234,0.3838,0.2628,0.3482,0.2606
0.24,0.56,0.7424,0.5204,0.3862,0.2616,0.3562,0.2588
0.24,0.58,0.7628,0.547,0.3948,0.2712,0.368,0.2758
0.24,0.6,0.741,0.562,0.3858,0.2802,0.3552,0.2818
0.24,0.62,0.757,0.5392,0.394,0.2704,0.363,0.2688
0.24,0.64,0.7352,0.534,0.379,0.2608,0.3562,0.2732
0.24,0.66,0.7332,0.5318,0.3842,0.262,0.349,0.2698
0.24,0.68,0.7334,0.561,0.3836,0.2868,0.3498,0.2742
0.24,0.7,0.728,0.5816,0.3798,0.2858,0.3482,0.2958
0.24,0.72,0.707,0.5524,0.3714,0.2742,0.3356,0.2782
0.24,0.74,0.7414,0.4948,0.3882,0.2452,0.3532,0.2496
0.24,0.76,0.7396,0.544,0.387,0.2706,0.3526,0.2734
0.24,0.78,0.7402,0.541,0.3924,0.2658,0.3478,0.2752
0.24,0.8,0.7518,0.511,0.3962,0.2568,0.3556,0.2542
0.24,0.82,0.7552,0.5678,0.3938,0.2888,0.3614,0.279
0.24,0.84,0.7312,0.554,0.3854,0.2766,0.3458,0.2774
0.24,0.86,0.747,0.576,0.3944,0.285,0.3526,0.291
0.24,0.88,0.7272,0.5498,0.383,0.2772,0.3442,0.2726
0.24,0.9,0.719,0.5656,0.3834,0.285,0.3356,0.2806
0.24,0.92,0.738,0.5642,0.389,0.282,0.349,0.2822
0.24,0.94,0.7356,0.5468,0.388,0.2742,0.3476,0.2726
0.24,0.96,0.7498,0.5342,0.3928,0.2718,0.357,0.2624
0.24,0.98,0.7502,0.5664,0.3912,0.2862,0.359,0.2802
0.24,1,0.73,0.5758,0.3856,0.2926,0.3444,0.2832
0.26,0.02,0.6984,0.5268,0.3674,0.2596,0.331,0.2672
0.26,0.04,0.7228,0.5772,0.3768,0.2856,0.346,0.2916
0.26,0.06,0.7084,0.5438,0.3606,0.2682,0.3478,0.2756
0.26,0.08,0.7226,0.5568,0.3734,0.2746,0.3492,0.2822
0.26,0.1,0.697,0.558,0.3616,0.276,0.3354,0.282
0.26,0.12,0.7292,0.5164,0.3764,0.2628,0.3528,0.2536
0.26,0.14,0.7208,0.5442,0.3714,0.2716,0.3494,0.2726
0.26,0.16,0.7246,0.5846,0.3754,0.2886,0.3492,0.296
0.26,0.18,0.7098,0.5748,0.3686,0.2848,0.3412,0.29
0.26,0.2,0.7012,0.5416,0.366,0.2716,0.3352,0.27
0.26,0.22,0.7198,0.547,0.3696,0.2708,0.3502,0.2762
0.26,0.24,0.7316,0.5322,0.378,0.2656,0.3536,0.2666
0.26,0.26,0.7262,0.5006,0.3758,0.2506,0.3504,0.25
0.26,0.28,0.7102,0.5402,0.3676,0.2758,0.3426,0.2644
0.26,0.3,0.715,0.5432,0.37,0.2636,0.345,0.2796
0.26,0.32,0.7342,0.5082,0.3776,0.2482,0.3566,0.26
0.26,0.34,0.7256,0.5576,0.3758,0.279,0.3498,0.2786
0.26,0.36,0.7392,0.535,0.3828,0.2656,0.3564,0.2694
0.26,0.38,0.7346,0.5506,0.379,0.2764,0.3556,0.2742
0.26,0.4,0.7184,0.5336,0.375,0.2698,0.3434,0.2638
0.26,0.42,0.7366,0.5376,0.3834,0.2684,0.3532,0.2692
0.26,0.44,0.7394,0.5278,0.3806,0.2626,0.3588,0.2652
0.26,0.46,0.738,0.5488,0.381,0.275,0.357,0.2738
0.26,0.48,0.7374,0.549,0.3818,0.2744,0.3556,0.2746
0.26,0.5,0.726,0.5728,0.3794,0.2884,0.3466,0.2844
0.26,0.52,0.7474,0.544,0.3852,0.2728,0.3622,0.2712
0.26,0.54,0.7314,0.537,0.3786,0.2664,0.3528,0.2706
0.26,0.56,0.7486,0.5424,0.3898,0.2756,0.3588,0.2668
0.26,0.58,0.7514,0.5462,0.3894,0.2762,0.362,0.27
0.26,0.6,0.7422,0.5334,0.3914,0.2656,0.3508,0.2678
0.26,0.62,0.7382,0.5416,0.3854,0.2684,0.3528,0.2732
0.26,0.64,0.7322,0.5858,0.3718,0.2892,0.3604,0.2966
0.26,0.66,0.7364,0.5436,0.3842,0.2746,0.3522,0.269
0.26,0.68,0.7516,0.5546,0.3948,0.2722,0.3568,0.2824
0.26,0.7,0.7552,0.5358,0.3948,0.2642,0.3604,0.2716
0.26,0.72,0.7396,0.5382,0.3832,0.2656,0.3564,0.2726
0.26,0.74,0.7458,0.5602,0.3876,0.281,0.3582,0.2792
0.26,0.76,0.74,0.5514,0.3886,0.2752,0.3514,0.2762
0.26,0.78,0.7448,0.5702,0.3852,0.2826,0.3596,0.2876
0.26,0.8,0.7664,0.5744,0.4002,0.2818,0.3662,0.2926
0.26,0.82,0.7506,0.5646,0.3916,0.2818,0.359,0.2828
0.26,0.84,0.7198,0.5406,0.3758,0.2774,0.344,0.2632
0.26,0.86,0.75,0.5108,0.391,0.2544,0.359,0.2564
0.26,0.88,0.7156,0.5382,0.3786,0.2696,0.337,0.2686
0.26,0.9,0.7292,0.5508,0.3788,0.2762,0.3504,0.2746
0.26,0.92,0.754,0.5288,0.3952,0.268,0.3588,0.2608
0.26,0.94,0.719,0.5464,0.377,0.2742,0.342,0.2722
0.26,0.96,0.7548,0.5602,0.3944,0.2776,0.3604,0.2826
0.26,0.98,0.7502,0.5524,0.3944,0.278,0.3558,0.2744
0.26,1,0.7518,0.5604,0.395,0.2808,0.3568,0.2796
0.28,0.02,0.7328,0.5286,0.372,0.2678,0.3608,0.2608
0.28,0.04,0.7324,0.5116,0.3778,0.2576,0.3546,0.254
0.28,0.06,0.7236,0.5512,0.3696,0.2738,0.354,0.2774
0.28,0.08,0.6966,0.535,0.3622,0.2654,0.3344,0.2696
0.28,0.1,0.725,0.5704,0.3718,0.2882,0.3532,0.2822
0.28,0.12,0.6776,0.5406,0.3488,0.2644,0.3288,0.2762
0.28,0.14,0.72,0.5584,0.3698,0.2746,0.3502,0.2838
0.28,0.16,0.714,0.5512,0.3712,0.2702,0.3428,0.281
0.28,0.18,0.687,0.6034,0.3532,0.2982,0.3338,0.3052
0.28,0.2,0.717,0.5372,0.3748,0.2686,0.3422,0.2686
0.28,0.22,0.7326,0.5672,0.3788,0.285,0.3538,0.2822
0.28,0.24,0.701,0.532,0.3666,0.2636,0.3344,0.2684
0.28,0.26,0.7148,0.571,0.3666,0.29,0.3482,0.281
0.28,0.28,0.7172,0.566,0.3704,0.2872,0.3468,0.2788
0.28,0.3,0.743,0.5256,0.3854,0.2646,0.3576,0.261
0.28,0.32,0.7044,0.5248,0.3648,0.259,0.3396,0.2658
0.28,0.34,0.7174,0.528,0.3742,0.2534,0.3432,0.2746
0.28,0.36,0.7274,0.5044,0.3764,0.2528,0.351,0.2516
0.28,0.38,0.7082,0.549,0.3708,0.276,0.3374,0.273
0.28,0.4,0.7524,0.5344,0.387,0.264,0.3654,0.2704
0.28,0.42,0.7198,0.5444,0.3718,0.2738,0.348,0.2706
0.28,0.44,0.7268,0.5562,0.3858,0.2792,0.341,0.277
0.28,0.46,0.7266,0.551,0.3748,0.2834,0.3518,0.2676
0.28,0.48,0.735,0.5152,0.3796,0.2574,0.3554,0.2578
0.28,0.5,0.7468,0.5784,0.3816,0.2822,0.3652,0.2962
0.28,0.52,0.7258,0.5722,0.3812,0.287,0.3446,0.2852
0.28,0.54,0.7508,0.5432,0.3908,0.2694,0.36,0.2738
0.28,0.56,0.733,0.5392,0.3782,0.27,0.3548,0.2692
0.28,0.58,0.7522,0.5474,0.3906,0.2604,0.3616,0.287
0.28,0.6,0.7474,0.538,0.391,0.2642,0.3564,0.2738
0.28,0.62,0.6996,0.5634,0.3732,0.2806,0.3264,0.2828
0.28,0.64,0.7284,0.5712,0.378,0.2852,0.3504,0.286
0.28,0.66,0.7234,0.5318,0.38,0.264,0.3434,0.2678
0.28,0.68,0.7446,0.5448,0.3892,0.2718,0.3554,0.273
0.28,0.7,0.7458,0.5274,0.3842,0.2668,0.3616,0.2606
0.28,0.72,0.7282,0.529,0.3808,0.262,0.3474,0.267
0.28,0.74,0.7376,0.5764,0.385,0.2826,0.3526,0.2938
0.28,0.76,0.7478,0.5384,0.3896,0.2676,0.3582,0.2708
0.28,0.78,0.7316,0.519,0.3804,0.2622,0.3512,0.2568
0.28,0.8,0.7482,0.5486,0.3958,0.2742,0.3524,0.2744
0.28,0.82,0.7582,0.563,0.3952,0.2838,0.363,0.2792
0.28,0.84,0.7412,0.5416,0.3888,0.264,0.3524,0.2776
0.28,0.86,0.744,0.5424,0.3906,0.2696,0.3534,0.2728
0.28,0.88,0.7392,0.5372,0.385,0.2636,0.3542,0.2736
0.28,0.9,0.7502,0.5486,0.3974,0.2704,0.3528,0.2782
0.28,0.92,0.72,0.5378,0.3804,0.2652,0.3396,0.2726
0.28,0.94,0.7444,0.5442,0.3874,0.2708,0.357,0.2734
0.28,0.96,0.7468,0.5722,0.394,0.2864,0.3528,0.2858
0.28,0.98,0.7578,0.5268,0.398,0.2646,0.3598,0.2622
0.28,1,0.7474,0.569,0.3952,0.2838,0.3522,0.2852
0.3,0.02,0.6642,0.5588,0.346,0.2788,0.3182,0.28
0.3,0.04,0.7092,0.5644,0.3712,0.2782,0.338,0.2862
0.3,0.06,0.7408,0.5402,0.3864,0.273,0.3544,0.2672
0.3,0.08,0.7022,0.5224,0.3652,0.2604,0.337,0.262
0.3,0.1,0.7078,0.5308,0.3692,0.2592,0.3386,0.2716
0.3,0.12,0.7204,0.5648,0.3784,0.2852,0.342,0.2796
0.3,0.14,0.7002,0.5502,0.3678,0.2714,0.3324,0.2788
0.3,0.16,0.7436,0.5062,0.3826,0.2532,0.361,0.253
0.3,0.18,0.7028,0.5382,0.3664,0.2662,0.3364,0.272
0.3,0.2,0.7246,0.5622,0.3706,0.2784,0.354,0.2838
0.3,0.22,0.735,0.4986,0.3884,0.2518,0.3466,0.2468
0.3,0.24,0.6954,0.5762,0.362,0.2884,0.3334,0.2878
0.3,0.26,0.7236,0.565,0.3786,0.2812,0.345,0.2838
0.3,0.28,0.7244,0.556,0.3702,0.2744,0.3542,0.2816
0.3,0.3,0.7318,0.556,0.3804,0.2754,0.3514,0.2806
0.3,0.32,0.7296,0.538,0.3808,0.2706,0.3488,0.2674
0.3,0.34,0.7276,0.5168,0.3748,0.2598,0.3528,0.257
0.3,0.36,0.7384,0.5208,0.3912,0.2566,0.3472,0.2642
0.3,0.38,0.7238,0.5748,0.376,0.2846,0.3478,0.2902
0.3,0.4,0.6932,0.5608,0.3584,0.2726,0.3348,0.2882
0.3,0.42,0.7174,0.5776,0.3774,0.2868,0.34,0.2908
0.3,0.44,0.7284,0.5742,0.3804,0.2882,0.348,0.286
0.3,0.46,0.724,0.5742,0.3774,0.2874,0.3466,0.2868
0.3,0.48,0.7398,0.5576,0.3798,0.281,0.36,0.2766
0.3,0.5,0.7222,0.5506,0.3708,0.2736,0.3514,0.277
0.3,0.52,0.7428,0.5592,0.3862,0.281,0.3566,0.2782
0.3,0.54,0.7272,0.5258,0.3796,0.2618,0.3476,0.264
0.3,0.56,0.722,0.5568,0.3784,0.276,0.3436,0.2808
0.3,0.58,0.7102,0.534,0.369,0.2646,0.3412,0.2694
0.3,0.6,0.7322,0.556,0.3772,0.2744,0.355,0.2816
0.3,0.62,0.7536,0.5372,0.3886,0.2744,0.365,0.2628
0.3,0.64,0.7468,0.5186,0.3912,0.2598,0.3556,0.2588
0.3,0.66,0.7258,0.5242,0.3802,0.2654,0.3456,0.2588
0.3,0.68,0.7368,0.5074,0.386,0.2562,0.3508,0.2512
0.3,0.7,0.743,0.5452,0.383,0.2714,0.36,0.2738
0.3,0.72,0.702,0.5276,0.3706,0.2648,0.3314,0.2628
0.3,0.74,0.7602,0.515,0.3972,0.2602,0.363,0.2548
0.3,0.76,0.7362,0.544,0.3828,0.2706,0.3534,0.2734
0.3,0.78,0.7494,0.5244,0.3914,0.2624,0.358,0.262
0.3,0.8,0.7396,0.4956,0.3892,0.2442,0.3504,0.2514
0.3,0.82,0.7284,0.5684,0.383,0.2876,0.3454,0.2808
0.3,0.84,0.7414,0.5334,0.3932,0.2656,0.3482,0.2678
0.3,0.86,0.7626,0.5188,0.3964,0.2604,0.3662,0.2584
0.3,0.88,0.7364,0.528,0.3846,0.2636,0.3518,0.2644
0.3,0.9,0.762,0.5314,0.3988,0.2682,0.3632,0.2632
0.3,0.92,0.7422,0.544,0.3864,0.2692,0.3558,0.2748
0.3,0.94,0.753,0.5682,0.3906,0.2808,0.3624,0.2874
0.3,0.96,0.7584,0.5274,0.3954,0.2672,0.363,0.2602
0.3,0.98,0.7318,0.5342,0.3826,0.2614,0.3492,0.2728
0.3,1,0.7534,0.5248,0.3876,0.2608,0.3658,0.264
0.32,0.02,0.7188,0.555,0.3688,0.2772,0.35,0.2778
