"l1","alpha","lamda2","rho_A.l1.","rho_I.l1."
5,0.1,0.64,0.690287624816505,0.57390511023808
5,0.1,0.66,0.690338168971561,0.573901293883357
5,0.1,0.68,0.690388460972579,0.573897496742362
5,0.1,0.7,0.690438507982098,0.573893718271823
5,0.1,0.72,0.690488316719084,0.573889957961855
5,0.1,0.74,0.690537893491048,0.573886215333544
5,0.1,0.76,0.690587244223603,0.573882489936735
5,0.1,0.78,0.690636374487815,0.57387878134798
5,0.1,0.8,0.690685289525607,0.573875089168632
5,0.1,0.82,0.690733994273462,0.573871413023062
5,0.1,0.84,0.690782493384598,0.573867752557004
5,0.1,0.86,0.69083079124977,0.573864107435986
5,0.1,0.88,0.690878892016816,0.573860477343868
5,0.1,0.9,0.690926799609053,0.57385686198146
5,0.1,0.92,0.690974517742592,0.573853261065223
5,0.1,0.94,0.69102204994264,0.573849674326046
5,0.1,0.96,0.691069399558832,0.573846101508094
5,0.1,0.98,0.69111656977964,0.573842542367728
5,0.1,1,0.691163563645882,0.573838996672489
6,0.12,0.02,0.688489936477002,0.573712988608
6,0.12,0.04,0.688559943217648,0.573706586155627
6,0.12,0.06,0.688628154847487,0.57370034692244
6,0.12,0.08,0.688694815190124,0.573694248869978
6,0.12,0.1,0.688760117135794,0.573688274555757
6,0.12,0.12,0.688824215823389,0.573682409944331
6,0.12,0.14,0.688887237897828,0.573676643572281
6,0.12,0.16,0.688949288143759,0.573670965949814
6,0.12,0.18,0.689010454325704,0.573665369124138
6,0.12,0.2,0.689070810777297,0.573659846355633
6,0.12,0.22,0.689130421102226,0.573654391874152
6,0.12,0.24,0.689189340233989,0.573649000693155
6,0.12,0.26,0.689247616025876,0.573643668466207
6,0.12,0.28,0.689305290492078,0.573638391374959
6,0.12,0.3,0.689362400786435,0.573633166040783
6,0.12,0.32,0.689418979981638,0.573627989454419
6,0.12,0.34,0.689475057695013,0.57362285891946
6,0.12,0.36,0.689530660595236,0.573617772006581
6,0.12,0.38,0.689585812815784,0.57361272651618
6,0.12,0.4,0.689640536294728,0.573607720447679
6,0.12,0.42,0.689694851055916,0.573602751974095
6,0.12,0.44,0.68974877544319,0.573597819420875
6,0.12,0.46,0.689802326316726,0.573592921248124
6,0.12,0.48,0.689855519218641,0.573588056035635
6,0.12,0.5,0.689908368513546,0.573583222470157
6,0.12,0.52,0.689960887508555,0.573578419334539
6,0.12,0.54,0.690013088556394,0.573573645498387
6,0.12,0.56,0.690064983144528,0.57356889990999
6,0.12,0.58,0.690116581972704,0.573564181589296
6,0.12,0.6,0.690167895020837,0.573559489621753
6,0.12,0.62,0.690218931608837,0.573554823152886
6,0.12,0.64,0.690269700449679,0.573550181383482
6,0.12,0.66,0.690320209696786,0.573545563565291
6,0.12,0.68,0.690370466986622,0.57354096899716
6,0.12,0.7,0.690420479477217,0.573536397021533
6,0.12,0.72,0.690470253883224,0.573531847021272
6,0.12,0.74,0.69051979650803,0.573527318416735
6,0.12,0.76,0.690569113273294,0.573522810663097
6,0.12,0.78,0.690618209746292,0.573518323247863
6,0.12,0.8,0.690667091165307,0.573513855688561
6,0.12,0.82,0.69071576246333,0.573509407530593
6,0.12,0.84,0.690764228290218,0.573504978345213
6,0.12,0.86,0.690812493033495,0.573500567727644
6,0.12,0.88,0.690860560837889,0.573496175295298
6,0.12,0.9,0.690908435623717,0.573491800686107
6,0.12,0.92,0.690956121104203,0.573487443556949
6,0.12,0.94,0.691003620801763,0.573483103582167
6,0.12,0.96,0.691050938063342,0.573478780452173
6,0.12,0.98,0.691098076074811,0.573474473872145
6,0.12,1,0.691145037874477,0.573470183560793
7,0.14,0.02,0.688472958119632,0.573380993766357
7,0.14,0.04,0.688542915789852,0.573373461147032
7,0.14,0.06,0.6886110796964,0.573366120590875
7,0.14,0.08,0.688677693426668,0.573358946169498
7,0.14,0.1,0.688742949698137,0.573351917360249
7,0.14,0.12,0.688807003520436,0.573345017648153
7,0.14,0.14,0.688869981439704,0.573338233543949
7,0.14,0.16,0.688931988163606,0.573331553880307
7,0.14,0.18,0.688993111395562,0.573324969298255
7,0.14,0.2,0.689053425419868,0.573318471866263
7,0.14,0.22,0.689112993799736,0.573312054793559
7,0.14,0.24,0.689171871434952,0.573305712211462
7,0.14,0.26,0.689230106150342,0.573299439004554
7,0.14,0.28,0.689287739935742,0.573293230678875
7,0.14,0.3,0.689344809923911,0.573287083257951
7,0.14,0.32,0.689401349169088,0.573280993200015
7,0.14,0.34,0.689457387272284,0.573274957331498
7,0.14,0.36,0.689512950887618,0.573268972793169
7,0.14,0.38,0.689568064135472,0.573263036996179
7,0.14,0.4,0.689622748942042,0.573257147585915
7,0.14,0.42,0.68967702532034,0.573251302412098
7,0.14,0.44,0.689730911604259,0.573245499503848
7,0.14,0.46,0.689784424644785,0.573239737048793
7,0.14,0.48,0.68983757997551,0.573234013375428
7,0.14,0.5,0.689890391953102,0.57322832693815
7,0.14,0.52,0.689942873877243,0.573222676304462
7,0.14,0.54,0.68999503809368,0.573217060143991
7,0.14,0.56,0.690046896083309,0.573211477218979
7,0.14,0.58,0.690098458539674,0.573205926376014
7,0.14,0.6,0.690149735436818,0.573200406538781
7,0.14,0.62,0.690200736089082,0.573194916701685
7,0.14,0.64,0.690251469204148,0.573189455924176
7,0.14,0.66,0.690301942930399,0.573184023325691
7,0.14,0.68,0.690352164899498,0.573178618081105
7,0.14,0.7,0.690402142264884,0.57317323941661
7,0.14,0.72,0.690451881736829,0.573167886605971
7,0.14,0.74,0.690501389614522,0.57316255896709
7,0.14,0.76,0.690550671815604,0.57315725585885
7,0.14,0.78,0.690599733903493,0.57315197667819
7,0.14,0.8,0.690648581112777,0.573146720857386
7,0.14,0.82,0.69069721837289,0.57314148786152
7,0.14,0.84,0.690745650330275,0.573136277186108
7,0.14,0.86,0.690793881369168,0.573131088354873
7,0.14,0.88,0.690841915631134,0.573125920917658
7,0.14,0.9,0.690889757033442,0.573120774448456
7,0.14,0.92,0.690937409286376,0.573115648543557
7,0.14,0.94,0.690984875909518,0.573110542819809
7,0.14,0.96,0.691032160247076,0.573105456912972
7,0.14,0.98,0.691079265482278,0.573100390476181
7,0.14,1,0.691126194650873,0.5730953431785
8,0.16,0.02,0.688455688239961,0.573043569892158
8,0.16,0.04,0.688525595980226,0.573034888114029
8,0.16,0.06,0.688593711327203,0.573026427737757
8,0.16,0.08,0.688660277628018,0.573018158879761
8,0.16,0.1,0.688725487424421,0.573010057885073
8,0.16,0.12,0.688789495594544,0.573002105716912
8,0.16,0.14,0.688852428584027,0.572994286825418
8,0.16,0.16,0.688914391022213,0.572986588336789
8,0.16,0.18,0.688975470550355,0.572978999461519
8,0.16,0.2,0.68903574140255,0.572971511055448
8,0.16,0.22,0.689095267100828,0.572964115289388
8,0.16,0.24,0.689154102510676,0.5729568053971
8,0.16,0.26,0.689212295427955,0.572949575480719
8,0.16,0.28,0.689269887817728,0.572942420358829
8,0.16,0.3,0.689326916791305,0.572935335446617
8,0.16,0.32,0.68938341538415,0.572928316660453
8,0.16,0.34,0.689439413180678,0.572921360341221
8,0.16,0.36,0.6894949368202,0.572914463192229
8,0.16,0.38,0.689550010409773,0.572907622228531
8,0.16,0.4,0.689604655863517,0.572900834735266
8,0.16,0.42,0.689658893183421,0.572894098233168
8,0.16,0.44,0.689712740693255,0.572887410449835
8,0.16,0.46,0.689766215234659,0.57288076929563
8,0.16,0.48,0.689819332332557,0.572874172843347
8,0.16,0.5,0.689872106335532,0.572867619310954
8,0.16,0.52,0.689924550535709,0.572861107046843
8,0.16,0.54,0.689976677271738,0.572854634517165
8,0.16,0.56,0.690028498017833,0.572848200294862
8,0.16,0.58,0.690080023461229,0.572841803050139
8,0.16,0.6,0.690131263569996,0.572835441542105
8,0.16,0.62,0.690182227652813,0.57282911461141
8,0.16,0.64,0.690232924411976,0.572822821173716
8,0.16,0.66,0.690283361990746,0.572816560213852
8,0.16,0.68,0.690333548015898,0.572810330780573
8,0.16,0.7,0.690383489636208,0.572804131981813
8,0.16,0.72,0.690433193557489,0.572797962980356
8,0.16,0.74,0.690482666074661,0.572791822989887
8,0.16,0.76,0.690531913101277,0.572785711271342
8,0.16,0.78,0.690580940196837,0.572779627129539
8,0.16,0.8,0.690629752592164,0.572773569910045
8,0.16,0.82,0.69067835521308,0.572767538996252
8,0.16,0.84,0.690726752702554,0.572761533806645
8,0.16,0.86,0.690774949441479,0.572755553792234
8,0.16,0.88,0.690822949568202,0.572749598434145
8,0.16,0.9,0.690870756996894,0.57274366724135
8,0.16,0.92,0.690918375434849,0.572737759748529
8,0.16,0.94,0.690965808398767,0.572731875514066
8,0.16,0.96,0.691013059230072,0.572726014118149
8,0.16,0.98,0.691060131109302,0.572720175160997
8,0.16,1,0.69110702706961,0.572714358261195
9,0.18,0.02,0.688438120449597,0.572700611004337
9,0.18,0.04,0.68850797738134,0.572690760691702
9,0.18,0.06,0.688576043313915,0.57268116162464
9,0.18,0.08,0.688642561350052,0.572671779897786
9,0.18,0.1,0.688707723852726,0.572662588670653
9,0.18,0.12,0.688771685566288,0.572653566341494
9,0.18,0.14,0.688834572834127,0.572644695264364
9,0.18,0.16,0.688896490205896,0.572635960829452
9,0.18,0.18,0.688957525259591,0.572627350791842
9,0.18,0.2,0.689017752178233,0.572618854773588
9,0.18,0.22,0.689077234441947,0.572610463888905
9,0.18,0.24,0.689136026881321,0.572602170458256
9,0.18,0.26,0.689194177262746,0.572593967787575
9,0.18,0.28,0.689251727526076,0.572585849995886
9,0.18,0.3,0.689308714760797,0.572577811879318
9,0.18,0.32,0.689365171983273,0.572569848802822
9,0.18,0.34,0.689421128761034,0.572561956613166
9,0.18,0.36,0.689476611718324,0.572554131568475
9,0.18,0.38,0.689531644948647,0.57254637028072
9,0.18,0.4,0.689586250353836,0.572538669668428
9,0.18,0.42,0.689640447924665,0.572531026917549
9,0.18,0.44,0.689694255974609,0.572523439448838
9,0.18,0.46,0.6897476913358,0.572515904890508
9,0.18,0.48,0.689800769524341,0.57250842105515
9,0.18,0.5,0.689853504880598,0.572500985920146
9,0.18,0.52,0.689905910689004,0.572493597610925
9,0.18,0.54,0.689957999280992,0.572486254386588
9,0.18,0.56,0.69000978212398,0.572478954627462
9,0.18,0.58,0.690061269898782,0.572471696824279
9,0.18,0.6,0.6901124725674,0.572464479568692
9,0.18,0.62,0.690163399432746,0.572457301544915
9,0.18,0.64,0.690214059191644,0.572450161522311
9,0.18,0.66,0.690264459982143,0.572443058348761
9,0.18,0.68,0.690314609426047,0.57243599094471
9,0.18,0.7,0.690364514667389,0.572428958297779
9,0.18,0.72,0.690414182407445,0.572421959457855
9,0.18,0.74,0.690463618936797,0.572414993532601
9,0.18,0.76,0.690512830164839,0.572408059683318
9,0.18,0.78,0.690561821647085,0.57240115712112
9,0.18,0.8,0.69061059861053,0.572394285103374
9,0.18,0.82,0.690659165977323,0.572387442930385
9,0.18,0.84,0.690707528386897,0.572380629942289
9,0.18,0.86,0.690755690216749,0.572373845516143
9,0.18,0.88,0.690803655601951,0.572367089063186
9,0.18,0.9,0.690851428453522,0.572360360026265
9,0.18,0.92,0.690899012475718,0.572353657877408
9,0.18,0.94,0.690946411182306,0.572346982115542
9,0.18,0.96,0.690993627911879,0.572340332264349
9,0.18,0.98,0.691040665842243,0.572333707870242
9,0.18,1,0.691087528003904,0.572327108500475
10,0.2,0.02,0.688420248152486,0.572352008355761
10,0.2,0.04,0.6884900533775,0.572340969738752
10,0.2,0.06,0.68855806902171,0.572330212726665
10,0.2,0.08,0.688624537939224,0.572319699324407
10,0.2,0.1,0.688689652311142,0.572309399451667
10,0.2,0.12,0.688753566745695,0.572299288897679
10,0.2,0.14,0.688816407482236,0.572289347884181
10,0.2,0.16,0.688878278989329,0.572279560035183
10,0.2,0.18,0.688939268780599,0.572269911624958
10,0.2,0.2,0.688999450987096,0.572260391020157
10,0.2,0.22,0.6890588890463,0.572250988259839
10,0.2,0.24,0.689117637753288,0.572241694735077
10,0.2,0.26,0.689175744844463,0.572232502941553
10,0.2,0.28,0.689233252234026,0.572223406286366
10,0.2,0.3,0.689290196989259,0.572214398935637
10,0.2,0.32,0.689346612107092,0.572205475693129
10,0.2,0.34,0.689402527137872,0.572196631902741
10,0.2,0.36,0.689457968690516,0.572187863369529
10,0.2,0.38,0.689512960844737,0.572179166295231
10,0.2,0.4,0.689567525489868,0.572170537225272
10,0.2,0.42,0.689621682605275,0.572161973004885
10,0.2,0.44,0.689675450493957,0.572153470742551
10,0.2,0.46,0.689728845978376,0.572145027779342
10,0.2,0.48,0.689781884565661,0.572136641663046
10,0.2,0.5,0.689834580587816,0.572128310126207
10,0.2,0.52,0.689886947321453,0.57212003106736
10,0.2,0.54,0.689938997090663,0.572111802534906
10,0.2,0.56,0.689990741355949,0.572103622713167
10,0.2,0.58,0.6900421907916,0.572095489910246
10,0.2,0.6,0.690093355353435,0.572087402547399
10,0.2,0.62,0.690144244338509,0.572079359149666
10,0.2,0.64,0.690194866438077,0.572071358337549
10,0.2,0.66,0.690245229784885,0.572063398819587
10,0.2,0.68,0.690295341995684,0.572055479385679
10,0.2,0.7,0.690345210209679,0.572047598901038
10,0.2,0.72,0.690394841123537,0.572039756300691
10,0.2,0.74,0.690444241023421,0.572031950584442
10,0.2,0.76,0.6904934158145,0.572024180812235
10,0.2,0.78,0.690542371048229,0.572016446099858
10,0.2,0.8,0.690591111947716,0.572008745614961
10,0.2,0.82,0.690639643431368,0.572001078573331
10,0.2,0.84,0.690687970135026,0.571993444235413
10,0.2,0.86,0.690736096432729,0.571985841903044
10,0.2,0.88,0.690784026456223,0.571978270916385
10,0.2,0.9,0.690831764113319,0.57197073065103
10,0.2,0.92,0.690879313105181,0.571963220515288
10,0.2,0.94,0.690926676942595,0.571955739947625
10,0.2,0.96,0.690973858961275,0.571948288414256
10,0.2,0.98,0.691020862336245,0.571940865406879
10,0.2,1,0.691067690095326,0.571933470440556
11,0.22,0.02,0.688402064535029,0.571997650338552
11,0.22,0.04,0.688471817134841,0.571985403242463
11,0.22,0.06,0.688539781596973,0.571973468637179
11,0.22,0.08,0.688606200522602,0.571961804368544
11,0.22,0.1,0.68867126590778,0.571950377060996
11,0.22,0.12,0.688735132222235,0.571939159849766
11,0.22,0.14,0.688797925599455,0.571928130787279
11,0.22,0.16,0.688859750425484,0.571917271700555
11,0.22,0.18,0.688920694148445,0.571906567357106
11,0.22,0.2,0.688980830846497,0.571896004846101
11,0.22,0.22,0.689040223913721,0.57188557311247
11,0.22,0.24,0.689098928109058,0.571875262601462
11,0.22,0.26,0.689156991138393,0.571865064984146
11,0.22,0.28,0.689214454889822,0.571854972943068
11,0.22,0.3,0.689271356408032,0.571844980003139
11,0.22,0.32,0.689327728670176,0.57183508039696
11,0.22,0.34,0.689383601209119,0.571825268956614
11,0.22,0.36,0.689439000618184,0.571815541026021
11,0.22,0.38,0.689493950963048,0.571805892389393
11,0.22,0.4,0.689548474120328,0.571796319212409
11,0.22,0.42,0.689602590057783,0.571786817993527
11,0.22,0.44,0.689656317067753,0.571777385523404
11,0.22,0.46,0.689709671962863,0.571768018850866
11,0.22,0.48,0.689762670241112,0.571758715254202
11,0.22,0.5,0.689815326225999,0.571749472216775
11,0.22,0.52,0.689867653186177,0.571740287406205
11,0.22,0.54,0.689919663438269,0.571731158656466
11,0.22,0.56,0.689971368435743,0.571722083952409
11,0.22,0.58,0.690022778846249,0.571713061416286
11,0.22,0.6,0.69007390461932,0.571704089295956
11,0.22,0.62,0.690124755046052,0.571695165954478
11,0.22,0.64,0.690175338812033,0.57168628986088
11,0.22,0.66,0.690225664044617,0.571677459581917
11,0.22,0.68,0.690275738355412,0.571668673774653
11,0.22,0.7,0.690325568878717,0.571659931179756
